global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09
864.5951802426607	n/a	747524.8256988389	n/a	1017.266551920573	n/a	n/a	1034831.2376563718	819.9925151967748	n/a	672387.7249787329	n/a	843.5679346134402	757.4790691026154	n/a	n/a	n/a	n/a	-0.1841328097	0.1339593605	-0.0408550036	0.2101471807	-0.031984562	-0.0044719031	0.0822527975	-0.0071660035	0.5287978784	-0.1748336908	0.1463545119	-0.3981078606	-0.0092703581	0.1541285087	-0.288676045	0.007407308	-0.2455974416	0.0452665335	-0.0279754925	0.2108678243	-0.0585930951	0.0339012765	-0.1193182963	0.2321530506	-0.1181173887	0.3367985369	-0.2025169686	0.0601900351	-0.1846183573	0.02217059	-0.0437356408	0.0482248242	-0.0406799418	-0.0902873749	0.0056447798	-0.3030258762	0.0113937618	-0.187939962	0.112801852	-0.0370161885	0.2116395243	0.1709439354	-0.2934396221	0.0553591594	-0.0736220766	0.4619959013	-0.331770778	0.0904070529	-0.1869526711	0.1563527529	-0.0864516714	0.285319516	-0.0093392941	0.1979630422	-0.004129383	0.2094056909	-0.0304297915	0.0747060456	-0.3746238612	0.014503105	-0.1428333995	0.139621675	-0.3014613479	0.2451505457	-0.0852036712	0.1760137168	-0.0051025231	0.0506088006	-0.1593444302	0.0117587004	-0.1140799324	0.0313661792	-0.1308129847	-0.1113767682	0.1561451084	0.1560591586	-0.0369639195602076	n/a	0.0013663313492534	n/a	-0.0617280766229129	n/a	n/a	0.0038103554435642	-0.0701718836933622	n/a	n/a	0.0049240932610747	-0.0004883732298766	n/a	n/a	2.385084116601024e-07	0.0025407218246142	n/a	6.45526739007091e-06	n/a	-0.0008878818065117	n/a	7.883341023344798e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
864.6823207240135	0.087140481352776	747675.5157726657	0.0075934634903935	1004.8137339952256	-12.452817925347404	155.0726742818536	1009650.640025428	823.0403377920549	3.0478225952800813	677395.3976328598	9.28922257229981	843.9952851982526	759.4108745722142	1.605186	19.284016	0.1546686191338617	0.1264204152465064	-0.270061927	0.1129678413	0.1329542246	0.0194084347	-0.1068783242	0.1609096953	0.1854096724	0.0425983091	0.0930466679	0.0445041567	0.1317271963	0.0122277353	0.2403953145	0.0010259544	-0.1658013299	-0.0849391962	-0.2549138609	0.0039754851	-0.0913516774	0.2166499079	-0.096227589	-0.0314050792	0.1651202833	-0.010725705	0.3136080965	0.1275608056	-0.0415324203	0.0267775944	0.0682855939	-0.087469817	-0.0373104767	-0.115920203	-0.0204316434	0.193805766	-0.0731561895	-0.2139846781	-0.0202731669	-0.1367834996	0.167545327	-0.1269685019	0.1778337642	0.0577810483	0.0678045842	-0.1916089107	0.0442107319	0.0206519296	-0.0086057739	-0.1969164047	0.2001902609	-0.0567985965	-0.2040122274	0.3811342971	-0.0629841688	0.0083660851	0.1281011942	-0.0755122133	-0.1932743537	-0.1919198377	-0.0141272253	0.0382931295	-0.0877856118	0.0283495583	-0.0467243928	-0.0511193322	-0.0228172532	-0.0079661822	0.1003592098	-0.1023148261	-0.079815335	-0.0458606588	0.010349157	-0.0912556329	-0.1550199531	-0.0668712712	0.155915944	0.1551433414	-0.0372010762571619	-0.0002371566969543	0.0013839200746911	5.624329891027468e-08	0.0629145893866365	0.1246426660095494	0.015535794189968	0.003958245557689	-0.0536839359626242	0.016487947730738	0.0002718524203715	0.0028819649804391	-0.0004514744914242	3.689873845240003e-05	1.3615168993786243e-09	2.0382921640674007e-07	0.0023117016174372	-0.0002290202071769	5.343964368061767e-06	5.2450255295395946e-08	-0.0008879798348147	-9.802830300005128e-08	7.885081870375419e-07	9.60954818906986e-15	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
862.1378918451901	-2.544428878823396	743281.7445552687	6.4741183193904845	1004.9488225640192	0.1350885687936625	0.01824892141872	1009922.1359728086	824.2672749891639	1.2269371971090095	679416.5406180619	1.5053748856497124	846.0209712249709	750.6170326306506	1.538466	18.482464	0.1265723407534291	0.105279941517061	-0.2034065217	-0.0052170569	-0.003794962	-0.142582593	-0.1709419687	0.1999137116	-0.0572416756	0.1467556702	-0.0882559288	0.0186263027	-0.116802302	-0.0819759668	0.1737855884	-0.0717228195	0.0118153633	0.0664696232	0.1617694882	0.2981009623	0.0494306583	0.1954524972	-0.0097757017	-0.0189966813	0.0870828556	0.1428010678	-0.0551484692	-0.0611240153	0.0867932374	-0.0420256498	0.0692638726	0.0190996025	0.1676839241	-0.1321472074	-0.1436186386	0.1789211557	0.010621925	-0.0022967684	0.0316450514	0.1769278253	0.0271228888	0.2140377041	0.1033181716	9.90201e-05	-0.0558445376	-0.1427506234	0.2450384486	0.0267611732	-0.1009761285	-0.0412203024	0.0310510678	-0.0554500524	-0.0841285987	0.3135255579	0.0308567675	0.0228665381	-0.123734293	0.0790274921	-0.0255370131	0.0345466018	0.1691070898	0.129885939	0.0893429675	-0.0880627451	-0.0801305037	-0.2402149537	0.1093009817	-0.0208122215	0.1273027188	-0.0430401277	0.0012671214	-0.2829907962	-0.0304973813	0.0417646905	0.0952631096	-0.2202422462	0.1554579513	0.1533170814	-0.030045432595557	0.0071556436616049	0.0009027280198541	5.1203236211866416e-05	-0.0407386054697269	-0.1036531948563634	0.0107439848039312	0.001659633975618	-0.053772282457345	-8.834649472080208e-05	7.805103129452711e-09	0.0028914583606724	-0.0007639761923304	-0.0003125017009061	9.765731306926807e-08	5.836596224476563e-07	0.0023118412919691	1.3967453190008236e-07	5.344610159253358e-06	1.9508974861507124e-14	-0.000887118095438	8.617393767000603e-07	7.869785152535444e-07	7.425947533554085e-13	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
861.2115948085342	-0.9262970366559102	741685.4110326589	0.8580262001175207	1005.4469061957466	0.4980836317273542	0.2480873041947106	1010923.4811785984	822.6476771716766	-1.6195978174872607	676749.2007559551	2.623097090409498	844.8362068609891	749.0335599157205	1.193892	14.3429	0.107354854453869	0.0524267057692472	-0.1549826887	-0.0285720875	0.0682114543	-0.1717329074	-0.1463886071	0.1987425455	-0.0044137508	0.1366673403	-0.189749817	-0.0508032879	-0.0348042127	-0.0416997337	0.0679296269	-0.1064273874	-0.1215731877	-0.1798411036	0.1599891035	0.2165104443	-0.0171448307	0.2299400106	0.0137707923	-0.1730973119	-0.0582291227	-0.080716075	0.1314152054	-0.0930685163	0.0964035965	0.1201838319	0.0246095591	-0.0766463971	0.022571818	-0.0656392844	-0.0332967247	0.1348836471	-0.0523809922	0.0250799517	0.1992890983	0.1082088402	0.1026679784	0.1596335682	0.2555019436	-0.0310895875	0.0439554577	0.0019409218	0.261554033	-0.0261868086	0.1395784453	0.0273130691	0.0951026296	-0.0588485502	-0.0393413277	0.2628131927	-0.0110718647	-0.0433163382	-0.1464217025	0.0812312869	0.123824199	0.1376705135	0.0836869847	0.1008433439	0.1071703704	-0.0364197671	0.0257320208	-0.1091764541	0.0596712157	-0.1402822255	0.2932744106	-0.0514021878	0.0851363092	-0.0003685172	0.1368730042	-0.040434939	0.1476010861	0.2379941826	0.1547718027	0.1505910958	-0.0370641253608852	-0.0070186927653282	0.0013737493887674	4.9262048134070416e-05	-0.0784079081784199	-0.037669302708693	0.0014189763665591	0.0061478000649155	-0.0311855996483672	0.0225866828089777	0.0005101582403133	0.0009725416254282	-0.0010031261563615	-0.000239149964031	5.719270529607641e-08	1.0062620855765963e-06	0.0023116646821146	-1.766098544999685e-07	5.343793602535996e-06	3.119104070650004e-14	-0.0003248411459062	0.0005622769495318	1.0552177007365312e-07	3.161553679747864e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
859.3048471141426	-1.9067476943915835	738404.82027386	3.63568677006762	1001.5905665418836	-3.85633965386296	14.871355525955895	1003183.6629856916	822.4790943166151	-0.1685828550614587	676471.8605878795	0.0284201790206728	844.5800043624668	747.8355278309518	1.382556	16.609425	0.1342688081241168	0.0748830791521574	-0.0782942972	-0.1469509073	-0.1481007692	-0.1926502768	-0.0674898925	0.1238859089	-0.0949871799	0.197433112	-0.1578064068	-0.0743248943	-0.0893793847	-0.0239213626	0.0228406676	0.1064128837	0.0506629358	-0.1359520726	0.1565196905	0.1615577872	-0.0853575175	0.0232536757	0.0454132696	-0.1374360553	0.0613493658	0.0354412018	0.1279414211	-0.1148317906	0.0845788156	-0.1993266489	-0.041387164	0.0899838357	-0.1730426608	0.0700141842	0.0267265917	0.0674071953	0.1235579118	0.0117204313	0.1496691071	0.168590056	0.0803540198	0.0481103101	0.0280965024	-0.040761696	0.0899645579	-0.213055954	0.0683527595	0.0912232162	0.2224887347	0.1550006239	0.0351743185	0.0738525016	0.0462312689	0.1891138155	0.0830280488	-0.1027153597	-0.1684401071	-0.0542449754	0.0460521144	-0.1698486785	0.114856552	-0.1571255682	0.0458875402	0.0367906326	0.0888913851	0.0410462349	0.0408788906	0.0067903826	0.0004292506	-0.0435936469	-0.0817788105	0.219665842	-0.0132810167	0.0382087521	0.0424528346	0.0746757002	0.1538585052	0.1469813818	-0.0194498565714553	0.0176142687894299	0.0003782969206501	0.0003102624649862	-0.0138433498172219	0.064564558361198	0.0041685821963765	0.0001916383341619	-0.0088631291122283	0.0223224705361389	0.0004982926908367	7.855505766002882e-05	-0.000816190304837	0.0001869358515244	3.4945012585189894e-08	6.66166613709915e-07	0.0019041329641495	-0.0004075317179651	3.625722345160761e-06	1.6608210114758598e-07	-0.0003257237851636	-8.82639257399954e-07	1.0609598422130305e-07	7.790520587035423e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
856.4946758883956	-2.8101712257470126	733583.1298251678	7.897062318016467	1000.7880692545572	-0.802497287326446	0.6440018961663044	1001576.7595622644	821.6876607476709	-0.7914335689442851	675170.6118249794	0.6263670940518884	843.174583657729	745.143175799747	1.335695	16.046461	0.0579461982373096	0.0394025269251569	0.0628508927	-0.2113796321	-0.2516503811	-0.1358629118	0.0852540298	-0.0295798621	-0.1920917845	0.1148526321	-0.0825797996	-0.1328888523	-0.0787547513	0.1297950153	-0.0780585042	0.2074279378	0.129917264	-0.0469339829	0.0516772017	0.0679925876	-0.0992374943	0.0884473096	-0.0881890305	0.0845742827	-0.0788666179	-0.0194839491	0.0084161936	0.0411657037	0.2385766741	-0.1842746435	-0.1072996348	0.2250479267	-0.0881648079	0.13640409	0.0314112759	-0.058693671	0.2229232116	0.0332261344	0.0900051184	0.1029163677	-0.0920639292	0.0295246538	0.0631273022	0.021792222	0.063955396	-0.2381188959	-0.2425263469	0.1241155298	0.1146084314	0.0970546761	0.0351392427	0.0771411191	0.1967691491	0.1297214704	0.2033295914	-0.1084925844	-0.1203372444	0.0340227591	-0.0649033642	0.0032448911	0.0839991848	-0.1728763737	-0.1462556167	0.0294207512	-0.0320532289	0.0945617171	-0.0275054234	-0.1575938012	-0.1976839767	0.0561572461	-0.0038841306	-0.0599269513	-0.1113973371	0.1965349827	0.1541329334	0.1841065344	0.152719399	0.1425091225	-0.01936374819077	8.610838068530066e-05	0.0003749547439955	7.414653224244659e-09	-0.030942112495893	-0.0170987626786711	0.0002923676851415	0.0009574143257084	-0.0089220854723066	-5.895636007829941e-05	3.475852393682096e-09	7.960360917514448e-05	-0.0001351671969365	0.0006810231079005	4.63792473494456e-07	1.827017112767057e-08	0.0020360187042427	0.0001318857400931	4.145372164026123e-06	1.7393848439931054e-08	-0.0003268623535274	-1.1385683638000092e-06	1.06838998153471e-07	1.2963379190462301e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
854.5595259056696	-1.9351499827259888	730271.9833161228	3.744805455644394	996.8168204752604	-3.9712487792967295	15.770816867065763	993643.7735824076	821.0959659515217	-0.5916947961491132	674198.5853018626	0.3501027317899406	842.9715743995116	732.1591796507023	1.340453	16.103619	0.103437832396432	0.0634319640648978	0.1750503932	-0.1342425654	-0.2026035043	0.0441477674	0.0480454734	-0.1707869393	-0.2204462128	0.1055304776	-0.1134229442	9.4537e-06	0.0165998719	0.0841834159	-0.1572528646	0.1876272601	0.08699589	0.0055073808	0.0200776663	0.0639814331	-0.0610236235	0.1970099497	-0.0125938963	0.1364791361	0.0481084202	-0.0133830441	-0.169290369	-0.0119847419	0.0811738338	-0.0850542089	0.1638840409	0.0743738344	0.0630779617	0.0175157616	0.000833345	-0.1747553049	0.1977707555	-0.0024626697	0.0451985943	0.0222868121	-0.0741813211	-0.0048808794	0.1498936181	0.0388299511	0.0339157322	-0.0870498654	-0.0908959819	-0.0417278997	-0.0249306107	-0.0584138741	0.0613244516	-0.0022888547	0.2869746344	0.0858446584	0.1996261457	-0.0555745469	-0.0299184948	0.0642314864	-0.0377233841	0.1114809793	-0.0037219334	0.0481621155	-0.076042933	-0.0112677675	0.1958664451	-0.0199071424	0.0685518316	0.1333142417	-0.0796736839	0.0755847231	0.0201010517	0.1184819251	0.0071400196	0.0431119482	0.1391498937	-0.0093274313	0.1513561561	0.1372005631	-0.019236124477743	0.0001276237130269	0.0003700284849232	1.628781212679776e-08	-0.0664566313089665	-0.0355145188130734	0.0012612810465241	0.0044164838449359	0.01651378027816	0.0254358657504666	0.0006469832664757	0.0002727049390753	-0.0009581746703743	-0.0008230074734378	6.77341301334471e-07	9.180986989468984e-07	0.0020136561492509	-2.236255499180008e-05	4.054811087415962e-06	5.000838657612825e-10	-0.0003250358995597	1.8264539676999853e-06	1.0564833600258339e-07	3.3359340961270186e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
855.3519593697155	0.792433464045871	731626.9743976113	0.6279507949397387	998.8217001681858	2.0048796929253285	4.01954258310436	997644.7887268652	821.2840208981764	0.1880549466546881	674507.4429826763	0.0353646629612976	843.7960675030077	725.7278682181307	1.30733	15.705701	0.0800226883817644	0.0393241599928286	0.2274722481	0.0096364864	-0.1054649117	0.1161074043	0.054755085	-0.254928311	-0.1280987844	-0.0718720863	0.0915988773	0.1066849455	-0.0135678385	0.0371943116	-0.1705261996	0.1248691493	0.1047985217	-0.0495607295	-0.1162148536	-0.0917063116	-0.0148839164	0.1905257473	0.1730244639	-0.1062220001	0.0286577692	0.1253214919	-0.1853859595	-0.0560915384	-0.0288999511	0.1203177347	-0.0236967664	0.0112394111	-0.0198917235	0.1277004877	0.1072886976	-0.2217326034	0.1728914065	0.0153491169	-0.0804982765	-0.1227066793	0.024158394	-0.0800132501	0.1278717418	0.0024031079	-0.0671171861	-0.0632703524	0.1488413697	-0.0577940381	-0.0285195291	-0.0070334088	0.0276258085	0.0242661727	0.2875207517	0.0800329123	0.1214382831	0.0305790223	0.1895467565	0.0294060886	0.0384090571	-0.025043697	-0.0348989573	0.0800333687	0.141713612	0.0075358615	0.1451284545	0.0053669593	0.0068155289	0.1537743386	-0.0837278102	0.1657216233	0.2114983306	0.1086052358	0.0620132103	-0.0506705373	-0.0436431046	0.0873288591	0.1497707771	0.1310868562	-0.0350909952554303	-0.0158548707776873	0.0012313779480166	0.0002513769273771	-0.0499878136328106	0.0164688176761558	0.0002712219556504	0.0024987815117886	0.0227476935591113	0.0062339132809512	3.886167479442097e-05	0.0005174575622592	-0.0014881319812108	-0.0005299573108365	2.808547513090548e-07	2.214536793502381e-06	0.0023117450536371	0.0002980889043862	5.344165193015598e-06	8.885699491816523e-08	-0.000323780381843	1.255517716699996e-06	1.0483373566639889e-07	1.5763247369475716e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
856.0955668018894	0.743607432173917	732899.6194978482	0.5529520131842866	997.9542708333332	-0.8674293348525453	0.7524336509627291	995912.7266744898	822.3669240206958	1.082903122519383	676287.3577232609	1.17267917276223	843.8040324268253	729.302467993218	1.202406	14.44518	0.1306080139795573	0.0709847426912081	0.2002988707	0.0501612076	0.0385509545	-0.0051330627	0.1162995655	-0.1620720564	-0.0307187473	-0.144971876	0.0013183135	0.0843235347	-0.0098034993	-0.0147565165	-0.1141259883	-0.0499638308	0.0623464577	-0.0495965111	-0.0823268711	-0.2035786851	0.0414290337	0.0973874209	0.1541669069	-0.0210676342	0.0940260319	-0.0372969904	-0.151634195	-0.029554317	-0.1194780869	-0.0060220243	0.0722753739	0.0334227852	0.0316698874	0.1384024854	0.1444328106	-0.1406584962	-0.0085417541	0.1138525446	-0.0762187431	-0.1542712438	0.0054996029	-0.0344882805	0.0237517713	-0.1262296472	-0.0959140773	-0.0938680914	0.036242686	-0.1310669242	0.0371042635	-0.0577550069	0.0442860905	0.0438801313	0.1532705113	-0.0728276041	0.0128382489	0.0133703555	0.2226736223	0.0469256536	0.1338211897	0.0112668497	0.1196314013	-0.0014594404	0.0676612866	-0.0186439344	0.076032159	-0.0103787162	0.0105287937	0.0181006733	-0.0646873755	0.0800246163	-0.0349215112	0.1377568636	-0.036995168	-0.0677971456	-0.1809676769	-0.0063319182	0.1479655889	0.1242038795	-0.0162074878054454	0.0188835074499849	0.0002626826609636	0.0003565868536136	-0.0504227895102928	-0.0004349758774821	1.892040139914057e-07	0.0025424577019992	0.0202850696037302	-0.002462623955381	6.064516745616843e-06	0.0004114840488281	-0.0005610380246852	0.0009270939565256	8.595032042262913e-07	3.1476366514267105e-07	0.0014389849025482	-0.0008727601510889	2.070677549761653e-06	7.617102813287197e-07	5.290364447668337e-05	0.0003766840263196	2.7987955989153103e-09	1.418908556844079e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
856.2228722366468	0.1273054347574316	733117.6069411732	0.0162066737187786	1000.43951171875	2.485240885416829	6.176422258547423	1000879.216608051	822.5859381527824	0.2190141320866132	676647.6256466932	0.0479671900536524	844.3223080730291	723.974139471146	1.08407	13.023551	0.100140818105618	0.0524040472618075	0.17919934	0.0566045642	0.1783231161	-0.0053551278	-0.0470851874	-0.0802143615	-0.005729093	-0.1743082322	-0.0726802543	-0.003065853	0.0267294057	-0.0575267654	-0.0673431384	-0.1227079885	0.0376318693	-0.0755990499	0.0553651217	-0.1866819691	-0.0293406257	-0.0440371749	0.0288293683	-0.0039303914	0.0354127076	0.0126104048	-0.065170082	-0.0268573418	-0.0048079881	0.0459817915	0.0769910006	0.0886662942	-0.0929155944	0.0936527727	-0.0616980233	-0.0570492565	-0.0743263227	0.1954765621	0.0094401782	-0.1294788372	-0.0061107137	-0.0865772177	-0.0871126017	-0.0855522812	-0.0646167717	-0.0492480628	0.0719284262	-0.092551105	-0.0474811818	0.0358224795	0.0258667104	0.0968274423	0.0317589363	-0.1053133019	-0.0964155102	-0.0701254632	0.2054023875	0.1403892298	0.0665788769	-0.0235748182	0.0848303997	-0.0138615321	0.0467382886	-0.039117143	0.0312518481	-0.0424500409	-0.0792177072	-0.0224070831	0.0335703634	0.0850288714	-0.062095095	0.0429890162	0.0107491584	-0.0541584946	-0.1091346845	-0.1463529977	0.1459432408	0.1165920251	-0.0086212740377362	0.0075862137677092	7.432636603374423e-05	5.755063932938064e-05	-0.0668629628401618	-0.016440173329869	0.0002702792991161	0.0044706557997648	0.0114692911949845	-0.0088157784087457	7.771794895210688e-05	0.0001315446405153	-0.0006464088086549	-8.537078396970001e-05	7.2881707556011885e-09	4.178443479066471e-07	0.0005581057955403	-0.0008808791070078	3.114820790156712e-07	7.759480011630352e-07	-0.0003268195165316	-0.0003797231610082	1.0681099638594876e-07	1.441896790061227e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
