global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01
812.0945657427338	n/a	n/a	659497.5837088794	963.9160665624282	n/a	929134.1833771836	n/a	756.572891993881	n/a	n/a	572402.5408999847	774.7059574723658	620.7856771485281	n/a	n/a	n/a	n/a	-0.0015211522	0.0177526166	-0.122185728	0.2628771128	-0.0153648997	-0.0725360933	0.0623163934	-0.3535177702	0.2878748955	-0.4789416925	0.0060931561	-0.029237958	-0.0120083826	0.1016922614	-0.0511509804	0.0365722879	-0.1930793486	0.0432699792	-0.1202313719	0.1817363732	-0.0704573456	0.0272752291	-0.0861781804	0.2206552367	-0.2920679723	0.253203041	-0.0194159514	0.1022182876	0.004579967	-0.0505313398	0.0250262264	-0.0143484717	0.0674845215	-0.0498021011	0.1800209842	-0.0452517401	0.0350812512	-0.2304169613	0.3895893716	0.3802736194	-0.3814319444	0.0694456957	-0.1833820149	0.1386304152	-0.0830865764	-0.0128991928	0.0056122298	-0.0925080645	0.0178881975	-0.0804801366	0.3599474508	-0.1944453113	0.0954474932	-0.0561258485	0.0617291348	-0.1761712514	0.0508007916	-0.1076488369	0.1217120432	-0.0594761599	0.1574678784	-0.0250635279	0.0280366132	-0.2652464616	0.0645069981	-0.3631413222	0.0006093814	0.0289935095	0.1561451084	0.1560591586	2.739076028035469e-05	n/a	7.502537487358561e-10	n/a	-0.0778665881656905	n/a	0.0060632055525652	n/a	-0.1169023063322072	n/a	0.0136661492257892	n/a	-8.698029965416776e-09	n/a	7.565572527928814e-17	n/a	-7.099998979920308e-05	n/a	n/a	5.040998551486941e-09	-0.0002449999443185	n/a	6.00249727160681e-08	n/a	0.0	0.0
812.7018248446232	0.6072591018893263	0.3687636168274312	660484.2561057806	951.8905091091518	-12.025557453276406	906095.5413320804	144.6140320620517	758.7340017329751	2.1611097390941723	4.670395304407681	575677.2853857343	774.7210569931783	638.5473321882345	1.192701	19.390577	0.175218611842121	0.1213669219152082	-0.1648865172	-0.0795347423	-0.0907586634	-0.0087700718	0.0031973765	-0.1886321453	-0.0147852544	-0.1011353769	0.1066662453	0.0511368735	0.116735391	-0.1885012787	-0.0818221354	0.1104549593	0.1050626656	-0.1011809006	-0.02434163	0.0496650158	-0.2668413085	0.0840255676	-0.1088926165	-0.0849368402	0.0186491223	0.0130569157	-0.0231383478	-0.0073688275	0.0059400258	0.1244891551	0.1345663614	-0.2003233139	0.0641147895	0.0487632736	-0.0042706902	-0.1295548075	0.0481995363	0.0061279319	0.3143988953	-0.0447163029	-0.037654042	-0.0464973598	-0.0593018258	-0.0504889013	-0.0307028948	-0.0219319127	0.087252832	0.1548649274	-0.071978438	-0.1497117787	0.1620289815	-0.0741621419	0.0553866695	-0.1416576857	-0.0071200695	0.0540146285	0.2172284223	-0.0021268712	-0.0949064396	-0.1890431117	0.061104161	-0.1084851153	-0.0590223554	0.0279992745	0.0850047678	-0.1360384981	0.0371784759	-0.1242599879	-0.0215914146	-0.0783263147	0.155915944	0.1551433414	-4.8354814637718846e-05	-7.574557491807354e-05	2.3381880986481486e-09	5.737392119669492e-09	0.0390386084899319	0.1169051966556224	0.0015240129528301	0.0136668250050897	-0.0895178977291948	0.0273844086030124	0.0080134540138545	0.0007499058345367	0.0003619760695232	0.0003619847675531	1.3102667490746452e-07	1.310329719405192e-07	-0.0002630326369583	-0.000192032647159	3.687653757493023e-08	6.918616810523686e-08	-0.0001819521388594	6.304780545909999e-05	3.3106580835510386e-08	3.975025773208519e-09	0.0	0.0
809.0989754169102	-3.602849427712954	12.98052399877156	654641.1520206939	953.2267551335814	1.3362460244295562	908641.2467024968	1.785553437803794	756.6771952193596	-2.05680651361547	4.230453034451025	572560.3777650369	774.1810638661017	628.9530068446014	1.350281	21.952467	0.2062021232015345	0.151370621706308	-0.0172409453	-0.0102311857	-0.072493426	-0.2051925301	-0.080136582	0.0363120718	0.1243093029	0.0897414565	0.0979666454	0.1238899332	0.0001024839	-0.040110906	0.1558660494	-0.038218804	-0.0083790622	0.0737354378	-0.0116322921	0.1022212163	-0.0374363298	-0.2443410132	0.129031243	-0.0703143297	0.0206981203	0.1129624456	-0.1603084709	0.045856466	-0.039983	0.0521801468	0.0175921883	-0.0342089223	-0.1614304519	0.0145767654	0.0956694276	0.1297118793	-0.0001066481	0.085725208	-0.0770827878	0.248886952	-0.0887218153	0.1078800118	-0.0605618978	-0.1093663735	0.0522826787	0.0232995431	0.0366293647	-0.167374482	-0.0155408437	0.0032940824	0.0407510522	-0.0189004329	0.0703597516	-0.1089907861	-0.1533368805	0.0803563973	0.209696146	-0.0971139959	-0.2086078937	0.3204247926	-0.0323998517	0.010128468	-0.0660462928	-0.0835628297	0.050887415	0.118964798	0.0404940673	0.000156527	-0.0835484923	0.0383183613	0.1554579513	0.1533170814	3.95433562658809e-05	8.789817090359975e-05	1.5636770247703823e-09	7.726088448198429e-09	-0.1082825078818814	-0.1473211163718133	0.0117251015131897	0.0217035113290373	-0.0634245965728155	0.0260933011563792	0.0040226794504244	0.0006808603652375	0.000508999988654	0.0001470239191308	2.5908098844977216e-07	2.1616032796580032e-08	-1.084421983321704e-07	0.0002629241947599	6.91291321901775e-08	1.175971037911378e-14	-0.0004260001750174	-0.0002440480361579	1.8147614911485546e-07	5.955944395257647e-08	0.0	0.0
809.1696195713486	0.0706441544383551	0.0049905965563101	654755.4732372409	947.8080591400284	-5.418695993553001	898340.1169707875	29.362266270547348	756.0117584757722	-0.6654367435874065	0.4428060597162117	571553.7789536294	773.3442963473576	621.0206222728148	1.329887	21.620909	0.0703084855407514	0.0541184044831988	-0.0083562573	-0.0060592141	0.0872628304	0.0544303396	0.1521487957	0.0278974514	-0.1519173765	0.0201290604	0.0647037763	0.0885089487	-0.0650612872	0.0158809795	0.0589521353	-0.1193396793	-0.0813162894	-0.1618721886	0.0647044294	-0.0811543961	0.1719704306	0.1476960142	0.0557453161	-0.0939688894	0.1685255529	0.1139521984	-0.1451094309	-0.0194837723	-0.0295245331	0.0885750843	0.0480442163	0.0078751832	-0.0351581999	0.1142641329	-0.162367139	-0.0115511172	-0.0349739353	-0.0466332264	-0.2158285412	-0.2065733055	-0.0585873577	-0.1180438593	-0.1174045708	-0.1573023316	0.0538323168	0.0752622946	-0.1183423144	0.0855458458	-0.021085527	0.0288092857	0.0549743532	0.0925720301	0.1245122263	-0.0777592826	0.0290724009	0.0270279405	-0.0759481715	0.0325198666	0.1419497633	0.2573594053	0.2690170093	0.2237738437	-0.049148803	0.0196286386	-0.018424853	0.070329047	-0.1265614731	-0.2154200101	-0.0546030049	0.1433806432	0.1547718027	0.1505910958	4.439560345304017e-05	4.852247187159264e-06	1.970969605959592e-09	2.3544302765294997e-11	-0.0565401187542136	0.0517423891276678	0.0031967850287405	0.0026772748326389	-0.0672827066916141	-0.0038581101187985	0.0045269626197497	1.48850136887761e-05	0.0002150001252812	-0.0002939998633728	4.6225053870931696e-08	8.64359196632251e-08	-4.578318657522119e-08	6.265901175694921e-08	3.9261517543574994e-15	2.0961001729815146e-15	-0.00042600001646	1.585574000112326e-10	1.8147601402392026e-07	2.5140449098322027e-20	0.0	0.0
808.537992863087	-0.6316267082615923	0.3989522985893746	653733.6859030693	947.8501747442048	0.0421156041763879	898419.9537626195	0.0017737241151421	755.0388336005238	-0.9729248752483954	0.9465828128771058	570083.6402448395	771.8080082324083	627.1016548932608	1.293597	21.030918	0.0471309731036574	0.0224556630121384	-0.0333495333	0.003215308	-0.0346780749	-0.1224881048	-0.1112931083	0.0601903636	0.0550052409	0.0404099643	-0.1119930803	0.0769749847	0.0653923174	0.0706323227	-0.0902112704	-0.0543751621	0.1449988717	0.1226310772	0.0610523965	0.0960582437	-0.0820256344	-0.0261044659	-0.0294209243	0.0208437344	-0.1075384185	-0.0783067672	0.1057677268	0.1117942858	-0.0611753992	0.1369565206	-0.0722029755	0.0836461614	-0.0206309559	-0.1019196363	0.053774688	-0.0491177194	-0.0673392856	0.0734158257	0.1918592693	0.0292413968	-0.0975455877	-0.0847295237	0.0534171361	0.0719893437	-0.1115824801	-0.0563573089	0.1611756192	-0.0357325583	-0.0501736297	-0.0118335679	0.006545758	0.0227645375	0.1080284596	-0.0512064101	-0.0514953424	0.0618419334	0.1149836046	0.0761210362	-0.0718432215	-0.1968315462	-0.0356998023	0.1188324048	-0.2604261565	0.0042220302	-0.1532076447	-0.0306944526	0.0336199685	0.1353012791	-0.0900653284	-0.0105735231	0.1538585052	0.1469813818	0.0049786708688088	0.0049342752653557	2.4787163619925373e-05	2.4347072394301656e-05	-0.0459835617721324	0.0105565569820812	0.0021144879532515	0.0001114408953159	-0.0573950249058299	0.0098876817857841	0.0032941888839408	9.776625109692855e-05	0.0001789573579443	-3.604276733689999e-05	3.2025735962404324e-08	1.2990810773019042e-09	-0.0002780273145395	-0.0002779815313529	7.72737317733171e-08	7.729918763004608e-08	-0.0003049751337411	0.0001210248827189	9.300983220040182e-08	1.4647022237123498e-08	0.0	0.0
807.5846455201639	-0.9533473429230526	0.9088711562584444	652192.9596799288	947.4257044209614	-0.4244703232433267	897615.465397555	0.1801750553142942	754.681945941903	-0.3568876586208489	0.1273688008758716	569544.8395306574	771.7815500647762	623.1458009881488	1.096667	17.829288	0.1161032595997643	0.069852584111376	0.0143125725	-0.0605842893	0.1134353229	-0.0414992762	0.1008673474	0.0330335489	-0.1789878759	0.1414614454	0.0219557264	0.0294172489	-0.1547445145	0.0991626808	0.0402958825	-0.0238382125	-0.0213251182	-0.1180816848	0.0227089442	-0.09592781	-0.0527309343	-0.0336559693	-0.0776822187	-0.0802624773	-0.0485975424	0.0195655762	0.0146460606	-0.1687729093	-0.1037932728	-0.1144615189	0.1176836149	0.1123261347	0.004179744	0.0912323192	-0.0692672493	0.0017006819	-0.0259639575	-0.1802084369	0.0609530875	0.0421401324	0.0022244501	-0.0839625324	0.0091957316	-0.0884139547	-0.0064548683	-0.0227401458	-0.1083659783	-0.0261618712	-0.0242984657	0.0900845373	0.097740978	0.0938703741	0.0320486431	-0.1148497844	-0.0575154763	0.0148142582	0.0982486656	-0.1003695526	-0.0209129392	0.0681723007	-0.0907301486	0.1464665843	-0.0962253866	0.0719605258	-0.0832967715	0.1188706588	0.0576479027	-0.0456292177	0.0078402689	-0.1058398455	0.152719399	0.1425091225	0.0101048884651788	0.0051262175963699	0.0001021087708937	2.627810684533341e-05	-0.1089333640590268	-0.0629498022868944	0.0118664778052164	0.003962677607959	-0.0795245843410299	-0.0221295594351999	0.0063241595146135	0.000489717400796	0.0004389116602571	0.0002599543023128	1.92643445509644e-07	6.757623929093463e-08	-0.0004155933437441	-0.0001375660292046	1.8924412391120862e-08	1.7271782736440165e-07	-0.0004254084078497	-0.0001204332741086	1.809723134692167e-07	1.4504173512517184e-08	0.0	0.0
805.6828738184073	-1.901771701756616	3.6167356056022535	649124.8931642877	947.5333129917336	0.1076085707721858	897819.3792290906	0.0115796045036325	754.8607077537933	0.1787618118903537	0.0319557853903222	569814.6881105579	771.6950582858173	616.095962226997	1.0162	16.521072	0.1839417558481167	0.1123470633853874	0.0432853367	0.0978568222	0.1023619564	-0.089225313	-0.0791290632	0.1539712725	0.0372749278	0.0622648487	-0.054554886	-0.0474557002	-0.0496148133	0.0757969263	0.0036329975	-0.0586861522	-0.035451993	-0.0718863219	0.0869606737	0.1690353815	0.0031984114	-0.0954459442	-0.0589470561	0.1332815863	0.0516911691	-0.0059347065	0.0507328095	-0.1817364574	-0.1544727206	-0.0803643444	-0.0288407003	0.0966682155	-0.0403186676	-0.033882769	-0.0783490405	-0.0299867262	-0.131664071	0.118784314	-0.039033888	0.1168187725	0.1026675099	0.1178555474	0.1627799661	-0.0201248167	-0.0932880169	0.0613705839	0.0723262073	0.1107572254	-0.0733154887	0.1017723381	-0.061967389	0.1277814659	0.0547577728	-0.0295291564	-0.0553925497	0.0973907073	0.0495805507	-0.0908556587	0.0730719076	-0.0588920327	0.0101550079	-0.0781041797	-0.1614018817	0.1219070627	-0.0079836677	-0.0863583073	0.206017242	0.1437184291	-0.0929569521	-0.1642337257	0.1513561561	0.1372005631	0.0201775704517643	0.0100726819865854	0.0004071343493359	0.0001014589224028	-0.0080291727589667	0.1009041913000601	6.446761519333293e-05	0.0101816558219191	-0.0422071001882784	0.0373174841527515	0.0017814393063033	0.0013925946234908	5.596831022440738e-05	-0.0003829433500326	3.1324517493755035e-09	1.466456093342614e-07	-0.0002990056795382	0.0001165876642059	1.3592683444987696e-08	8.940439639610076e-08	-0.0002119914539139	0.0002134169539357	4.4940376532529195e-08	4.5546796227235374e-08	0.0	0.0
807.1898579487859	1.5069841303785552	2.27100116921281	651555.4667753811	944.4477393033816	-3.085573688352042	891981.5322752682	9.520764986250423	755.8835569877845	1.02284923399111	1.0462205554762003	571359.9517245052	772.4433310842084	606.0254539619058	1.110488	18.053984	0.1652202962770818	0.1077927402599488	0.1276636839	0.0327293385	0.0313309271	0.0629853203	0.0187906739	0.0690728813	-0.0076827018	0.0747927254	-0.1281859115	-0.0906470934	0.0147896004	0.0402439559	0.0416210078	0.0127344177	-0.0012104656	0.0804627389	-0.069683085	-0.1594193456	0.1101288619	-0.0964668372	0.1546760363	0.0402396844	0.0803120692	0.0936838966	-0.1621471631	0.1505030602	0.1851531178	-0.1643957713	-0.0781101033	0.0561105514	0.0035666079	-0.0295182872	0.0943306329	0.0820094525	0.0812915993	-0.0979760565	-0.1760806345	0.0355185228	-0.0340029954	0.05427089	0.0427822409	-0.1120573065	0.0937546501	0.0921487849	-0.0702435946	-0.1249975089	0.031359951	0.1077471861	0.0074336702	0.0131586169	0.145643327	-0.0300596018	-0.0090104318	-0.0386275929	-0.0822855391	0.0795924163	-0.0068360379	0.2351300533	0.1982560678	0.0473024666	0.0905799942	0.0128256114	-0.1363271609	0.0153501308	-0.0648404012	0.0401125128	-0.0258169683	0.1093183144	0.1497707771	0.1310868562	4.219802853810961e-05	-0.0201353724232261	1.780673612503113e-09	0.000405433222622	-0.1106286411337436	-0.1025994683747769	0.0122386962390986	0.0105266509107868	-0.0552432062886225	-0.0130361061003441	0.0030518118410473	0.0001699400622594	-1.99999927067924e-05	-7.596830293119978e-05	3.9999970827174907e-10	5.771183050246537e-09	4.246418994213741e-09	0.0002990099259571	8.940693582092677e-08	1.803207427441924e-17	-0.0004260002126002	-0.0002140087586862	1.814761811354156e-07	4.5799748794450974e-08	0.0	0.0
810.5596272404771	3.3697692916912274	11.355345079225197	657006.9093122211	947.0613652742826	2.613625970901012	896925.2295951882	6.831040715768257	756.2788409811913	0.3952839934067924	0.1562494354436211	571957.6853158539	772.3444843517566	627.1147737729348	1.173595	19.079952	0.1769458446212956	0.1066827263235113	-0.0287881922	-0.0312173111	-0.0541309169	0.125832327	0.0791921518	-0.0990329451	-0.0762056607	0.0180581552	-0.0523500518	0.0359966625	0.0864227324	-0.0037295921	-0.0511739021	0.0142025426	0.0024938007	-0.0222881824	0.0011483882	0.0689762803	-0.094413049	-0.0009142723	-0.1511746843	-0.1647729622	-0.1252537921	0.0186873863	0.1803812045	-0.0179956647	0.1618099637	-0.1056269677	-0.0612158732	-0.0163653296	0.0932857294	0.0089403867	-0.0916341182	-0.0261433388	0.0199433845	0.0418927087	0.1396290927	-0.0331815656	0.0224476448	-0.1823716456	-0.0879818981	-0.0484222534	-0.0193043256	-0.1354938442	-0.0841300961	0.1187496606	0.0143719168	-0.0668979162	-0.0534453468	0.0032039827	0.0582358579	-0.1066070563	0.0102073293	-0.0071189914	0.044846597	0.1517408697	0.0809368385	-0.1452416811	-0.0251817568	0.0311355408	-0.0508233816	0.00297176	-0.1095050085	0.2258055166	-0.0208750388	0.0076088653	-0.0322361592	-0.0977919163	0.1479655889	0.1242038795	0.0161558113623669	0.0161136133338287	0.0002610102407763	0.0002596485346721	-0.0187903417428572	0.0918382993908863	0.0003530769428133	0.00843427323501	-0.0869792066305876	-0.0317360003419651	0.0075653823860864	0.0010071737177052	0.000724999701459	0.0007449996941657	5.256245671156391e-07	5.550245443071241e-07	-1.544250434193373e-07	-1.5867146241355107e-07	2.517663298445494e-14	2.384709403506421e-14	-0.0004259999471361	2.654640999751913e-10	1.8147595495996e-07	7.047118837563836e-20	0.0	0.0
808.5729810348274	-1.986646205649663	3.946763146422203	653790.2656595474	949.4073962561146	2.346030981831973	901374.4040658148	5.503861367715491	756.5144635680094	0.2356225868181809	0.0555180034188912	572314.1335875931	773.3883928692615	624.7450473720744	1.252986	20.370678	0.128597301471327	0.0663780249146411	0.0119920246	-0.087252801	-0.0215283532	-0.1739359818	-0.1093399542	0.1346917476	0.0828496122	-0.0190803766	-0.0065293352	0.2069899686	0.004727575	0.0023579183	0.2236817314	0.0502537129	0.1199189278	0.1198173453	0.1216938632	0.0547207209	-0.0098153376	0.0346084245	0.0183991547	-0.1104991231	0.0168630494	-0.0501616067	-0.0625515704	0.0420585815	-0.043006842	0.027998858	-0.1039526845	0.0327165994	-0.158322863	0.1056036746	0.2032040742	0.0318412393	-0.0658334345	0.062234252	-0.0072344272	-0.0564467703	-0.0794785924	0.002552069	0.0723000939	-0.0458549129	-0.0572234036	-0.1206043095	0.1647674488	-0.0908900176	0.0672398608	0.0234178074	0.0174995136	-0.0400382029	-0.0238835552	-0.0495041888	-0.0855911063	0.0208030786	0.0340658381	0.0835514883	0.0646597321	0.0382697857	0.0809986298	0.0285964584	0.0849854707	0.0889873087	-0.0630437822	0.1216096066	-0.0755645478	0.3362402032	0.0817558402	-0.0418738054	0.1459432408	0.1165920251	-1.115405206064679e-05	-0.0161669654144275	1.2441287737161892e-10	0.0002613707707112	-0.0654514354485229	-0.0466610937056657	0.0042838904022721	0.0021772576658089	-0.0468657367420064	0.0401134698885812	0.002196397280371	0.0016090904665021	0.0004719997349931	-0.0002529999664659	2.227837498335566e-07	6.400898303174652e-08	-3.9168429166736025e-08	1.1525661425260129e-07	1.3284087128972932e-14	1.5341658433896174e-15	-0.0001659997209632	0.0002600002261729	2.7555907359860266e-08	6.760011760995917e-08	0.0	0.0
