global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01
824.0042266228103	n/a	n/a	678982.9654922556	896.62876166672	n/a	803943.1362479959	n/a	779.3875217924182	n/a	607444.9091257271	n/a	789.5992617144065	656.6280872669626	n/a	n/a	n/a	n/a	-0.026401919	0.0337141485	-0.0582799182	0.0957178029	-0.1235521827	0.2373373133	-0.2123299128	0.0526721732	-0.028129737	0.0698645317	-0.0310570989	-0.0612458786	0.0841486643	-0.1039485463	0.1405570538	-0.0143389264	0.1230284988	0.0050290995	-0.0509987348	0.0983708175	-0.0351967214	0.1050957791	-0.1794929255	0.152525274	-0.0159546284	0.0584697563	-0.0464071617	0.1067889398	-0.1532852132	-0.0591679719	-0.0553722791	-0.0498834071	0.0353709787	-0.160802451	0.1153333551	-0.149465612	0.1614517897	0.0255706191	-0.2179253821	0.1056374402	-0.1259333705	0.1924321282	-0.0774382945	0.072992953	-0.2422708814	-0.0245272967	-0.0544793597	0.1083961203	-0.1461378989	0.0350171656	-0.0307665338	0.2048172817	-0.0269264943	0.0224076767	-0.2675976806	0.2381390019	0.1209398083	-0.0694898821	0.2082644876	-0.0915688642	0.0413554189	-0.2255397202	0.0535311606	-0.1310385509	0.1259693296	-0.0310796779	0.0016130062	0.1660317548	-0.0106444032	0.1561451084	0.1560591586	-0.0670640518349898	n/a	0.0044975870485261	n/a	0.0540799246116279	n/a	0.0029246382459993	n/a	-0.0998401831816266	n/a	n/a	0.0099680621777407	-2.3235719481130042e-12	n/a	5.3989865980576616e-24	n/a	0.0002509999277606	n/a	n/a	6.300096373582642e-08	-3.4283401088323227e-11	n/a	1.1753515901828425e-21	n/a	0.0	0.0
823.9122802408699	-0.0919463819403745	0.0084541371519252	678831.4455317097	872.7059293027784	-23.922832363941662	761615.639040226	572.3019083132548	779.6625869238936	0.2750651314754577	607873.749448858	0.0756608265536108	788.3884791550237	645.398719686143	1.193305	17.594349	0.0917148903043643	0.0446903525451526	-0.0233670672	0.0795036657	0.0094236294	-0.0339019239	0.0622970425	-0.1681596638	-0.055245955	-0.0960419343	0.2095390282	0.0062047033	0.0462199207	0.0235599005	-0.1253559685	0.1261592497	0.0406606545	-0.041917056	0.1104451377	0.2016511019	-0.0898571936	-0.0014776687	-0.1391770748	0.0892462729	-0.0365366897	-0.1034683617	0.170832479	0.1832896152	-0.0189385085	0.0076024132	-0.0565180267	0.0480530372	0.0397541349	0.148591082	-0.0960379969	0.0784116162	0.0439555824	-0.1871437596	-0.1073363234	0.0677096607	-0.1901966446	-0.0101454234	-0.1352014897	-0.1116705893	-0.0655291463	-0.0870842608	-0.2103603724	-0.1537046857	-0.0110565216	-0.0152566924	-0.0316213761	-0.1371091123	-0.0041591028	0.1240958442	0.1523742089	-0.1478928879	-0.2301947612	0.3063115091	-0.0387143156	0.3179201974	-0.0545178599	-0.0364036403	0.1206100262	-0.1551056945	0.1046309251	-0.0283018105	-0.02287989	-0.0386943342	0.1538325165	0.1215764822	-0.1477253167	0.155915944	0.1551433414	-0.0513496915719855	0.0157143602630043	0.002636790824538	0.0002469411184754	0.0812157524859742	0.0271358278743462	0.006595998451863	0.0007363531544261	-0.0921812910774093	0.0076588921042173	5.865862826404213e-05	0.008497390424698	-0.0004340321913924	-0.0004340321890688	1.8838394316488897e-07	1.8838394114787893e-07	0.0005149723842463	0.0002639724564856	6.968145778309476e-08	2.651965565363189e-07	0.000126111521418	0.0001261115557014	1.5904115834362673e-08	1.5904124481427588e-08	0.0	0.0
824.4406845616314	0.5284043207615241	0.2792111261994476	679702.4423604514	883.0465981321908	10.34066882941238	779771.2944728348	106.9294318395808	780.2686226863989	0.6060357625052575	608819.1235489299	0.3672793454353288	789.8524551335046	661.1739109086652	1.325208	19.539162	0.1318539972463178	0.0729229908212651	-0.0860283394	0.1102229611	0.0113834431	0.1622228241	0.0020286886	-0.0810767439	-0.174186705	-0.2477726577	0.0268486577	-0.1161466752	0.1112237885	0.0310451723	-0.0606860133	0.0241968818	-0.1590316	-0.046132089	0.1506189777	0.1722369144	-0.0775425917	0.0736903448	-0.0332134285	0.0966286049	0.0295700133	-0.0100597519	-0.0475517293	0.2299116185	0.2029050024	-0.1871168637	0.1297200445	0.0856525022	0.0075089236	0.0219921027	-0.0072337902	0.1695866205	0.0117438715	-0.3514818279	-0.0038840479	0.0801195585	-0.0716816531	-0.0636120159	-0.036125816	0.0462365219	-0.0405309842	-0.0687635432	0.161952412	0.1459989503	-0.0841715064	0.0230153019	0.0444489894	-0.2071977632	-0.0325823726	0.0322968119	-0.0873176175	0.0578787301	-0.2581941723	-0.0095471831	0.0068427787	0.1293979352	0.0880275261	0.1078242146	-0.3353582328	0.1879103599	-0.1263521512	-0.1453626032	-0.0926493321	-0.0750802495	0.2293292655	-0.0456189316	0.082824241	0.1554579513	0.1533170814	-0.0577923705052825	-0.006442678933297	0.0033399580886198	4.150811183754901e-05	0.0217085915738408	-0.0595071609121333	0.0004712629481198	0.0035411021998225	-0.1218803352717543	-0.029699044194345	0.0008820332260576	0.0148548161259552	-0.0001180001638869	0.0003160320275055	1.3924038677335261e-08	9.98762424092371e-08	0.0002329998625114	-0.0002819725217349	7.950850301353864e-08	5.428893593033131e-08	1.3806527550997729e-08	-0.0001260977148904	1.9062020301645931e-16	1.590063370059296e-08	0.0	0.0
819.4336678779725	-5.00701668365889	25.070216070438462	671471.5360519474	877.828393498405	-5.218204633785717	770582.6884319907	27.22965960006273	777.8081942769505	-2.4604284094483546	604985.5870843704	6.05370795802056	787.3915653893292	642.5950575585061	1.457733	21.493141	0.1035019608161394	0.0611626554527494	0.1138461091	-0.013481511	0.1674246807	0.0970924097	-0.1462347465	-0.1140951866	0.132393048	0.0808490259	-0.0530288354	-0.0415908069	-0.1535740445	0.1094759299	-0.0263363366	-0.2142927529	0.0364878398	0.052427707	0.1202493024	0.0347275101	-0.1271730296	0.1030971853	0.0688376365	0.1054938685	0.1283606498	0.2548175992	-0.066243553	0.0974042035	0.1527222399	0.0140621864	0.0248721163	-0.1117258869	0.1765963487	-0.0479372053	0.1555227133	-0.1544907248	-0.0070860686	-0.1160439929	-0.1085808203	0.0974152052	0.0233372117	-0.0652465087	-0.0863663604	0.121587063	-0.1261599884	-0.0800682585	0.0447798617	-0.0135843005	-0.0664845902	0.0607888825	0.0888704731	0.2025346191	-0.1661548882	0.1732757561	-0.0634900569	0.0539510631	-0.1414840988	0.0453697327	-0.0543095352	-0.0389357162	-0.0390761456	-0.0738703026	-0.0382165161	0.1439466234	-0.0412838389	-0.174320594	0.0597692622	-0.1022890824	0.0697159546	-0.0765568944	0.1059787844	0.1547718027	0.1505910958	-0.064831175343329	-0.0070388048380464	0.0042030812963974	4.954477354810676e-05	0.0040710024597672	-0.0176375891140736	1.6573061027430592e-05	0.0003110845497568	-0.0636054781497961	0.0582748571219582	0.0033959589725846	0.0040456568506641	-1.2208964463077216e-12	0.000118000162666	1.4905881326068232e-24	1.39240383892033e-08	0.0005260000705793	0.0002930002080679	8.58491219278327e-08	2.7667607424942856e-07	-1.7579768318940004e-11	-1.3824107319316669e-08	3.0904825414760665e-22	1.911059431759847e-16	0.0	0.0
818.2053452631357	-1.228322614836884	1.50877644611972	669459.987017167	875.2580330645452	-2.5703604338598325	766076.6244440165	6.606752759952106	777.7211961579803	-0.0869981189702002	604850.2589533997	0.0075686727043531	786.8708269304483	632.2621522254133	1.253315	18.479149	0.0598955940768015	0.0339152241248027	0.1901047725	-0.0765680014	-0.1404913457	-0.0879116682	-0.0890727746	-0.0339877987	0.124587164	0.0021081168	0.2152749393	-0.0954778268	-0.1352884595	0.0521669052	0.1257849631	0.1078951258	0.1495306717	0.0688474626	-0.0199651395	0.1306640389	0.1008788527	-0.0462033836	-0.0886498466	-0.0141512416	0.1974952717	-0.0545462941	-0.0424464755	0.1899239837	-0.1040768332	0.1091399176	0.0354033466	-0.1026613509	0.0427793746	0.0275604584	-0.2022937057	-0.1249298416	-0.0622026119	-0.0439544123	-0.1005827691	-0.073210338	-0.0384885898	-0.1573687793	0.031556849	-0.0245671211	0.1767936036	-0.0227225223	-0.1063090452	-0.1216412275	0.167002678	0.0255246798	-0.1227216798	0.0582229223	-0.17334036	-0.0353143361	0.1338823881	-0.0153763689	-0.0630290882	-0.08737118	0.0089186837	0.1016042603	-0.0122098783	0.1729417192	0.0755524395	0.0009225704	0.2348871466	-0.1018943894	-0.1876044954	0.0440105301	-0.0708441438	0.025602348	0.1136406656	0.1538585052	0.1469813818	-0.0707919021211296	-0.0059607267778006	0.0050114934059275	3.553026371958913e-05	0.0251003432590266	0.0210293407992594	0.0006300272317209	0.0004422331744513	-0.0637103676925079	-0.0001048895427118	1.1001816170291136e-08	0.0040590109515145	-0.0002370001298996	-0.0002370001286787	5.6169061572427276e-08	5.616906099372204e-08	0.0001070001516854	-0.0004189999188938	1.7556093203309478e-07	1.1449032460698609e-08	1.2673988222490972e-08	1.2691567990809913e-08	1.6062997746383986e-16	1.6107589806535075e-16	0.0	0.0
820.638138782124	2.432793518988319	5.918484306031569	673446.9548237886	873.212528791584	-2.0455042729612387	762500.1204385929	4.184087730702686	779.6966134909816	1.9754173330012463	607926.8090893051	3.902273639521757	788.5657378041894	639.0987866939382	1.199245	17.681931	0.0589546328652626	0.0294323905946815	0.0167576354	0.1472341706	-0.0543346508	-0.173338205	0.1688466352	-0.0270184429	0.0868059214	-0.0625717935	0.1017008492	0.0050453643	0.1419712952	0.1190402666	-0.0636115798	0.1219163301	0.0067957424	-0.0520510389	0.0881462295	-0.0330946789	0.1074679473	0.0757594359	0.0340212283	-0.0915188828	-0.0496250954	0.1312900919	0.0888642957	-0.0928811898	-0.0567436515	-0.0654613805	-0.0819876974	0.1579248156	0.0683901131	0.0272046433	-0.1395250605	0.0782101507	0.021677666	-0.046231413	0.094449786	-0.0518898409	0.1060983912	0.0068203128	0.0129606401	-0.0311667746	0.0470986551	-0.0514111251	0.0353218707	-0.0714980145	-0.0530246638	-0.0210450403	-0.0358475387	-0.1961275979	-0.1748542632	-0.0774381736	0.0601074835	0.1474128694	0.0413426148	-0.1089237505	0.152547769	-0.0061135951	0.0031104233	0.1959437553	0.0509633011	0.1185874012	0.063547571	-0.0036600495	-0.024793423	0.0018187376	-0.1103301481	0.0498910622	0.0440198569	0.152719399	0.1425091225	-0.0724316832819482	-0.0016397811608186	0.0052463487430564	2.6888822553756e-06	0.028352475358929	0.0032521320999024	0.0008038628589786	1.0576363195215597e-05	-0.0859763760284266	-0.0222660083359187	0.0004957751272152	0.0073919372349814	-0.0006109887595439	-0.0003739886296443	3.733072642889937e-07	1.398674951032214e-07	0.0002930226672963	0.0001860225156109	3.4604376314207544e-08	8.586228354943815e-08	-7.591040612903643e-05	-7.592308011725892e-05	5.762389758675252e-09	5.764314094491717e-09	0.0	0.0
822.8276972180654	2.189558435941421	4.7941661444022445	677045.4193091843	878.374430296851	5.1619015052669965	771541.6397993175	26.645227150077684	779.8487026137793	0.1520891227977472	608163.9989683948	0.0231311012733882	788.104837133409	651.1844587731869	1.276958	18.827761	0.0551266025932348	0.0257648162820154	-0.007026865	-0.1286531685	0.1301323731	-0.1540361432	-0.0027709675	-0.11990687	-0.0099537207	-0.121191861	-0.1140817939	-0.0365861542	-0.0472693266	-0.0239412737	-0.0806587614	0.0093922958	-0.2185655014	0.0552794245	0.1338010449	0.0020160816	-0.1303725245	0.0221864313	0.0404870152	-0.0578706081	0.1002029463	-0.03129264	-0.102785101	-0.1731031108	-0.006261035	-0.0953677883	-0.003671674	-0.0341100291	0.0188704958	-0.0073936483	0.0916479769	0.1885646749	-0.1344246588	-0.0672856063	-0.1054792185	0.147454746	0.1400039292	0.0571239276	0.0062408963	-0.0802060862	-0.0015991355	-0.1037393687	0.2716688922	0.0883968073	0.0949275597	0.0517179976	0.1878198135	-0.0803480584	-0.1552202189	0.113738849	0.1660991396	0.1416400131	0.0482972483	0.0067390301	0.1512392025	-0.1141722645	-0.0487762295	0.027883454	-0.0409690449	0.0970062285	-0.1487710346	0.1299548446	-0.0620867531	-0.0510454574	0.1011332008	-0.1167156873	-0.0338782783	0.1513561561	0.1372005631	-0.0807266937493125	-0.0082950104673643	0.0065167990836952	6.88071986536834e-05	0.0195605632926145	-0.0087919120663144	0.0003826156363243	7.729771778180646e-05	-0.0942692028280305	-0.0082928267996039	6.877097632822867e-05	0.0088866826018323	-0.0002779998436029	0.000332988915941	7.728391304323687e-08	1.1088161813956237e-07	0.000106999802848	-0.0001860228644483	3.46045060975506e-08	1.1448957809510872e-08	1.4878680706161433e-08	7.592528480974259e-05	2.2137513955590047e-16	5.764648873440529e-09	0.0	0.0
822.673202834617	-0.1544943834484229	0.0238685145171083	676791.1986621668	878.9732079844657	0.5987776876147564	772593.9003545028	0.3585347191852747	779.3606812342701	-0.4880213795091777	607403.0714539456	0.2381648668580408	787.9768130201336	656.0649425019609	1.084148	15.984921	0.0634832232055016	0.032822742722708	-0.0649273113	-0.1018087373	-0.1327660875	-0.1270313295	0.0210597492	0.1677099429	0.0213082952	0.0148184898	-0.1059385563	-0.1012714713	-0.0314607269	-0.1101322383	0.1895523901	-0.022529929	0.0602309782	0.0473350368	-0.0918558245	0.046390098	-0.1664764055	-0.0069092943	0.2069660105	-0.2503018098	0.0775229606	-0.111407079	-0.0654171949	-0.1436413497	-0.0623138672	-0.0070865417	-0.0597074621	-0.0432416814	-0.1404406198	-0.1177986486	-0.0059622003	-0.1043354904	-0.0760765483	0.0794173987	-0.1740277316	0.0202306292	0.2039411182	0.2483946095	-0.0131524462	-0.0767681289	0.1735344266	-0.0970422282	0.0045517581	0.1509168463	0.0577529482	0.1450092646	-0.0882623218	-0.0151435796	-0.0367757789	0.0592424042	0.2053745404	-0.013962945	0.0336388734	-0.1339912554	-0.0615323361	-0.1448451029	0.0921997345	-0.1434379942	0.0726110739	0.0880469882	-0.0213321068	0.0559613819	0.120583797	0.0271954835	-0.0727131136	-0.0675224678	0.1136412207	0.1497707771	0.1310868562	-0.0740061487864807	0.0067205449628318	0.0054769100582067	4.5165724597444e-05	-0.0013865297487001	-0.0209470930413146	1.9224647440303626e-06	0.0004387807068814	-0.1056340671771067	-0.0113648643490762	0.0001291601416729	0.0111585561483774	8.160320787118846e-13	0.0002779998444189	6.659083534868395e-25	7.728391349695045e-08	0.0003179995088451	0.0002109997059971	4.4520875930862655e-08	1.0112368762572485e-07	1.2051158541000822e-11	-1.4866629547620432e-08	1.4523042218033706e-22	2.2101667410618088e-16	0.0	0.0
822.6446892227416	-0.0285136118753825	0.0008130260621799	676744.2847063811	872.3834810100618	-6.589726974403902	761052.9379392329	43.424501597186406	779.3184872620858	-0.04219397218435	607337.3045884658	0.0017803312886937	788.6822283768141	656.8217529202184	1.226734	18.087236	0.0815772394711349	0.0380309413144451	-0.0831737054	0.1118622922	0.0930930747	-0.0604257518	0.1213520804	-0.0477473934	0.0906198501	0.0769022191	-0.0805409364	0.0696667844	0.0463150175	0.0916535105	0.0083547181	-0.1922898214	0.0211157626	0.0286622259	-0.1411607444	0.1127657629	0.0434916536	-0.0133187849	-0.0088583108	-0.1573187143	-0.0613688398	0.1961160176	0.1846260145	0.0307823937	-0.04894366	0.0424912334	0.0419887276	0.0928384364	0.0955828448	-0.0416247748	0.133764689	-0.0897150396	0.0416362877	0.0432969306	-0.0796342606	-0.2227540268	-0.04847124	0.0630078793	-0.1116107046	-0.0081569941	0.1589060459	-0.0593680583	-0.041872969	0.005298095	-0.2064801461	0.099503526	0.0367752091	0.0380219365	-0.0894086783	0.0250984333	0.0569466953	-0.0503050442	0.0637954975	-0.1853063549	-0.0187321755	0.0809661074	0.0542858327	-0.156835935	0.1035329764	-0.0957601089	-0.1496557025	0.0174471521	0.0089410044	-0.0155050646	-0.1577695342	-0.0190419585	-0.0118798525	0.1479655889	0.1242038795	-0.0678345967854596	0.006171552001021	0.0046015325210458	3.808805410130751e-05	0.0110230065294842	0.0124095362781842	0.000121506672949	0.0001539965906395	-0.0827942061141158	0.0228398610629909	0.0005216592533767	0.0068548805660666	-0.0001570889321051	-0.0001570889329211	2.467693258992072e-08	2.467693284629993e-08	0.0007139805100064	0.0003959810011612	1.5680095328070547e-07	5.09768168668999e-07	0.0002500558805475	0.0002500558684963	6.252794339638558e-08	6.252793736945962e-08	0.0	0.0
821.518660840832	-1.1260283819095775	1.2679399168659014	674892.910109714	877.051811968694	4.668330958632168	769219.8808775693	21.79331393932354	778.9309863608955	-0.3875009011902648	606733.4815131576	0.1501569484232673	787.9189383108762	649.5442408636106	1.254747	18.500269	0.033378810612062	0.0194944678048188	0.0454941299	-0.1754548051	0.1164553874	-0.1400395082	-0.149989605	-0.0670234589	0.1238089259	0.131265621	0.038311053	-0.0576233068	-0.1444726152	0.0071103549	-0.0641926094	-0.0300485401	0.0703700168	0.147352005	-0.0208525101	-0.1227872799	0.0929466248	-0.0263842793	0.1066292723	0.200613729	0.0250063005	0.0721627319	0.1042926828	-0.1999260933	-0.0530111237	-0.0335646709	-0.1448815498	-0.1330145694	0.0768776131	0.0895403786	0.0386133536	-0.0985147751	-0.1234788486	0.070960007	0.0817895496	-0.0667327269	0.1073571467	-0.0402171962	-0.1219374729	0.030444888	-0.1320654454	0.111651548	-0.0514111771	-0.111538207	0.0852728346	0.1159569329	0.105829858	0.1308848005	-0.0760480377	-0.0199523386	0.0624612739	0.0844027164	0.0818736839	-0.087511209	0.040817153	-0.1461101697	0.0744083447	-0.0906344477	0.0891739889	0.0258200751	-0.1396872176	-0.0361981605	-0.0252914557	0.0971750289	-0.058435214	0.0471976263	-0.0983409099	0.1459432408	0.1165920251	-0.0678336415089972	9.552764623915744e-07	0.0046014029203711	9.12553119599361e-13	0.0223168117707643	0.01129380524128	0.0004980400876117	0.0001275500368279	-0.0813935821434626	0.0014006239706532	1.961747507168337e-06	0.0066249152141445	-6.047608302301485e-05	9.661284908208516e-05	3.6573566178065843e-09	9.33404260775776e-09	0.0007140017390028	2.1228996399972822e-08	4.506702881500589e-16	5.097984832990225e-07	-6.697856384734155e-05	-0.0003170344443948	4.486128015052408e-09	1.0051083893274589e-07	0.0	0.0
