global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15
844.0287400989033	n/a	712384.514112942	n/a	954.0176166391628	n/a	n/a	910149.6128578688	787.7518139867725	n/a	620552.9204394507	n/a	799.1097883827047	703.8807099978129	n/a	n/a	n/a	n/a	-0.1510022241	-0.0814594408	-0.1599490216	-0.1760775987	0.1502070226	-0.1894315743	0.1947838837	-0.0937412868	0.1335131563	0.0980906005	-0.0020311385	0.1621605293	-0.1424306762	0.0454936491	-0.0634837113	0.0417925583	-0.0453818855	0.1450204683	-0.0878946218	-0.1595800963	0.0697809505	-0.0237817532	0.124598669	-0.1627982278	0.1064848112	-0.0108803333	0.1289634148	-0.0110719878	-0.0597416773	-0.1613592246	0.0350368342	-0.2060244251	0.0625832146	-0.0485482509	0.0091341826	-0.1978600777	0.0151916145	-0.0160455621	0.0570505138	-0.0203661314	0.0423989179	-0.0668049835	0.0415823122	-0.0046176126	0.0852611572	-0.1384976648	0.0130526684	-0.0708326344	0.0055022165	-0.1144292805	0.0369152059	-0.0629182461	0.1561451084	0.1560591586	-0.0468992428805137	n/a	n/a	0.0021995389827654	0.0279350145325025	n/a	n/a	0.0007803650369311	-0.3499096142811879	n/a	0.1224367381664096	n/a	-0.0020720049081588	n/a	4.293204339434157e-06	n/a	1.274758076874605e-12	n/a	n/a	1.6250081545570412e-24	-2.8605106694792876e-10	n/a	8.182521290204845e-20	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
838.7968352675704	-5.23190483133294	703580.1308548916	27.372828164124964	941.870734393278	-12.146882245884854	147.54674829539266	887120.4803065328	786.416681931547	-1.335132055225472	618451.197620224	1.7825776048905928	798.0777817859786	679.7708672655307	1.258477	22.48131	0.0535193662135792	0.036349591831358	-0.1238907243	-0.0903158457	-0.0596172265	-0.1144932585	-0.0282442976	0.0009337825	0.1473614886	-0.0659930969	0.1569194343	0.0534012404	-0.0163747143	0.0446877965	-0.0797162076	-0.0520225462	0.0520651516	-0.0900750594	0.1175373853	0.1669477116	-0.0506103738	-0.1714452418	0.0159871875	-0.0143861847	0.0840523783	-0.18092517	-0.0625621753	-0.0382926761	-0.0664805121	0.0926453206	-0.0543780352	-0.1592420892	0.0332378758	-0.2166805751	0.0484697965	-0.0463854575	-0.0332354131	-0.0512845567	-0.0838514239	-0.0772175391	0.0613127325	-0.0738706243	0.1563336804	0.0339706832	-0.0457607751	-0.0142403661	0.1321673506	0.0479219058	-0.0120364264	-0.0628340751	0.0344229936	0.0251738514	0.0330575132	-0.0804601962	0.155915944	0.1551433414	-0.0526252659972215	-0.0057260231167078	3.2787340733072104e-05	0.0027694186212783	0.0269144293182108	-0.0010205852142917	1.041594179630835e-06	0.0007243865055249	-0.3159492886230026	0.0339603256581853	0.0998239529813813	0.0011533037188099	-0.0020529996763934	1.9005231765400164e-05	4.214807671271405e-06	3.611988344565754e-10	0.0002369997422706	0.0002369997409958	5.6168877232096155e-08	5.616887783633083e-08	2.4338567557917815e-07	2.436717266461261e-07	5.923658707713295e-14	5.937591036670439e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
837.8518340574773	-0.9450012100930962	701995.6958334785	0.8930272870774162	940.9148567730092	-0.9558776202687796	0.9137020249307052	885320.7676961725	784.5650313874205	-1.851650544126528	615542.2884759441	3.4286097375640674	795.1162190139057	664.8607725817983	1.037645	18.536381	0.0601218140126947	0.0337143282624555	-0.111103649	-0.0775130382	-0.0627212011	-0.1376097607	0.0348126511	0.0487350948	0.1039894643	-0.0128557916	0.101434595	0.1139971663	0.0320076607	-0.1176331087	-0.066534241	0.0462966144	0.0129593053	-0.0524671054	0.1925293604	-0.0631982813	-0.0212484273	-0.1251052956	0.079735185	-0.0062076369	-0.1440416149	-0.0383383549	0.0708653182	-0.0192969667	-0.1326050422	0.173210491	-0.0580537311	-0.1531230704	0.0638419565	-0.1968523468	0.0344447448	-0.0449375579	-0.0420810159	-0.0145682551	-0.0467672667	0.0265813476	-0.0819272447	-0.0689060184	-0.0519621428	0.0372379447	-0.052061045	0.0210158052	0.0312048968	0.0911926161	-0.0638320608	-0.0114385756	-0.0580887637	-0.0045964783	0.072676368	-0.0896973388	0.1554579513	0.1533170814	-0.0527155831349404	-9.03171377189052e-05	8.157185365735689e-09	0.0027789327052568	0.0420399839596967	0.0151255546414858	0.0002287824032125	0.0017673602513315	-0.2868538900691533	0.0290953985538492	0.0822851542478058	0.0008465422170073	-0.0019399991129373	0.000113000563456	3.763596558197511e-06	1.2769127341396073e-08	3.3999969175191325e-05	-0.0002029997730954	4.120890787678741e-08	1.1559979039139603e-09	3.2848634274034595e-08	-2.105370413051436e-07	1.0790327736692802e-15	4.432584576152372e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
839.7990770339713	1.947242976494067	705262.4897871101	3.791755209505474	938.2411940467548	-2.673662726254406	7.148472373762144	880296.5382062802	785.3707238842627	0.8056924968421981	616807.1739344908	0.6491403994678154	795.8129121866475	671.8778289143632	0.960966	17.166609	0.0633781307399527	0.0363383372116107	-0.1067814909	-0.0657794047	-0.0503040198	-0.1125588097	0.0843970207	0.086112052	-0.0940718	-0.0001754779	-0.0050126698	0.2416168253	0.0353555842	-0.0981632604	-0.0864359809	-0.0611215596	-0.1516423838	0.0996735217	0.1009564506	0.1049687206	-0.0072978471	-0.05043658	0.2089948474	-0.0154516677	-0.165431937	-0.0645658463	0.0034696862	0.1199727012	0.1270408795	0.1340431394	-0.0531350943	-0.1472374834	0.0470983967	-0.1669311689	0.0207035123	-0.1073490181	0.0034153391	-0.0533678539	0.1107296511	0.009986352	-0.0027664228	0.0713983073	-0.1878518865	-0.1011395277	0.091476135	-0.0657041956	0.0620199695	0.0383827099	-0.0187519588	-0.0518594154	0.0295027228	0.1310668036	0.0999510176	-0.0934549641	0.1547718027	0.1505910958	-0.0524733629767553	0.0002422201581851	5.86706050312174e-08	0.0027534538220903	0.0115485229732712	-0.0304914609864255	0.0009297291930867	0.0001333683828641	-0.2922591912711283	-0.005405301201975	0.0854154348824539	2.921728108407261e-05	-0.0022380019747363	-0.0002980028617989	5.008652838923578e-06	8.880570564039384e-08	0.000279999651479	0.0002459996823038	6.05158436935748e-08	7.839980482836146e-08	8.132723988080529e-07	7.804237645340183e-07	6.614119946630046e-13	6.090612522494489e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
841.7920597452429	1.9929827112715657	708613.8718501386	3.9719800874273608	939.1514727750564	0.9102787283015914	0.8286073631983625	882005.4888155574	787.8025345305483	2.431810646285612	620632.8334127557	5.913703019388047	797.5252172088019	672.2841929365949	1.114904	19.916529	0.0824604760233704	0.0420539605835333	-0.1226761741	-0.0942765552	-0.0358468667	-0.1048130664	0.0239957052	-0.0553414425	0.0411813542	-0.0722522462	0.03390678	0.1292159761	-0.0758664405	0.0871540494	-0.0809949065	0.0058157343	0.0033992207	-0.0662684806	0.2272370179	8.76175e-05	-0.0614299099	-0.0754976615	0.1410625755	0.0325746522	0.0893729245	-0.1177485856	0.0229304867	-0.061747803	0.0017701991	0.0955696359	-0.0561165692	-0.1564077706	0.0545973066	-0.1877115696	0.0446339073	-0.0177095471	0.0334523588	-0.1112608285	-0.1331841726	-0.0586028039	0.0244325333	-0.052564112	0.0869590284	0.0073936387	-0.0737867941	0.0075911939	0.0631475567	0.0245725756	-0.0223326724	-0.00202084	-0.0481680752	-0.0312176225	-0.0398662564	-0.0018433103	0.1538585052	0.1469813818	-0.0320475756208082	0.0204257873559471	0.0004172127891103	0.0010270471031714	0.0450610059272094	0.0335124829539382	0.0011230865137379	0.002030494255172	-0.2915652528537436	0.0006939384173847	0.0850102966716674	4.815505271224417e-07	-0.0019869922370593	0.0002510097376769	3.948138150133922e-06	6.300588840867622e-08	0.0001171408808464	-0.0001628587706326	2.652297917196181e-08	1.3721985965470484e-08	-0.0001418835652136	-0.0001426968376124	2.0130946077721883e-08	2.0362387464581956e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
841.5066954261529	-0.2853643190900357	708133.5184470441	0.0814327946097197	938.3912791695824	-0.7601936054740008	0.5778943178035608	880578.1928215252	788.5248161635712	0.7222816330229307	621771.3857057939	0.5216907574022716	798.8994318281764	683.1038124270556	1.123199	20.064714	0.0398829877347804	0.0232864925138009	-0.1151008254	-0.0911893686	-0.0239436065	-0.139429653	0.0145310604	0.033113394	-0.0191969033	-0.1109627984	0.1225001279	0.0223906656	-0.100087283	0.0433957029	-0.0524696235	0.0736020806	0.0311584828	0.1351124535	0.19986153	-0.0794778709	-0.0950583185	-0.1348580805	-0.0160254654	0.1102104994	0.0203035241	0.0275647136	0.1439209186	0.0422765738	-0.006662852	0.182440472	-0.0443133754	-0.1435327541	0.0081209645	-0.1885318424	0.0336596494	-0.0551354116	0.0019446916	0.0213718659	0.0337672473	0.0858219609	-0.2073621898	-0.1451059862	-0.1582739316	0.1445480092	-0.0193005346	0.0125035911	0.0030919845	0.1439500625	-0.1286097072	0.0628247784	-0.0238500529	0.1264108111	0.1415811112	0.0220731177	0.152719399	0.1425091225	-0.0320484199065873	-8.442857791016167e-07	7.12818476793224e-13	0.0010271012185089	0.0393287928374235	-0.0057322130897859	3.2858266906712826e-05	0.0015467539460489	-0.2898103837054293	0.0017548691483142	0.0839900585034881	3.079565727705348e-06	-0.0015810047720442	0.0004059874650151	2.499576089226533e-06	1.6482582174938705e-07	0.0002169997489493	9.98588681029e-05	9.97179353879238e-09	4.7088891044059233e-08	1.713258864235144e-07	0.0001420548911	2.9352559358802953e-14	2.017959208543954e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
840.0870003987902	-1.41969502736265	705746.1682390369	2.015533970718235	945.7438023205108	7.352523150928391	54.05959668493796	894431.3396276573	787.9668230068183	-0.5579931567529002	620891.7141594586	0.3113563629830666	799.1288439583798	672.5274726991731	1.23897	22.132837	0.2226101176178579	0.1313948345082449	-0.1098492919	-0.0755563678	-0.0913786692	-0.1041265049	-0.0119941224	0.0430544362	-0.0818914689	-0.1134226541	0.1093352395	0.0330083175	0.046257122	0.0119234031	-0.1897654076	0.073837126	-0.0610529644	0.1562941287	0.0279462144	-0.1065667127	-0.1061664361	-0.1072765374	-0.0247962876	-0.0161969029	-0.0494196598	-0.0711535612	0.1951522641	0.145830235	0.1024640523	-0.0652087566	-0.0597496062	-0.1259635038	0.1159004357	-0.0651416061	0.0552711705	-0.0527423092	0.0237672175	-0.0252888444	-0.096858304	-0.0371652445	-0.1201368161	0.0533105441	-0.1064172943	-0.0307313663	0.1120861958	-0.0091226096	0.0057312044	-0.083565695	0.1659097155	-0.0429448042	-0.0679372102	-0.0561080468	-0.02046823	0.0601885508	0.1513561561	0.1372005631	-0.0655906020931667	-0.0335421821865793	0.0011250779858376	0.0043021270829441	0.0969823094717128	0.0576535166342893	0.0033239279803002	0.009405568350467	-0.184046733941571	0.1057636497638582	0.0338732002745594	0.011185949611372	-0.0020280014180783	-0.0004469966460341	4.112789751727596e-06	1.998060015657345e-07	0.000150999367922	-6.600038102730002e-05	4.356050295748784e-09	2.280080911284352e-08	1.529722852041792e-07	-1.83536012193352e-08	2.3400520040588744e-14	3.368546777183825e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
842.3153020689393	2.228301670149108	709495.0680994885	4.965328333189303	940.8124849044066	-4.931317416104207	24.317891458372674	885128.1317520043	787.4816552441991	-0.4851677626191986	620127.3573461437	0.235387757884919	799.4383719135444	669.4777250057314	1.998065	35.693233	0.5864872160521661	0.3043409750937478	0.0108995932	0.0262285578	-0.0497212439	0.0121554286	-0.0305391993	-0.0346760052	0.0694238288	-0.0089719768	-0.0195999301	0.0288777896	-0.0145820624	-0.0037153916	0.0585787729	-0.3063596314	-0.0950008118	-0.0037165005	-0.2383733635	-0.0803162946	-0.0213987552	0.0218106317	0.017186922	-0.0325283814	0.055205367	-0.0544389568	-0.2488263745	0.0340106538	0.0474772333	-0.2528119289	0.0543640199	0.0184082519	-0.1810444538	0.1620211605	0.14642214	-0.1565858108	0.2195551752	0.1330093601	-0.1102174918	-0.3540139915	0.0243148574	0.1048200121	-0.0032217961	-0.0215017215	0.1774411173	0.2656030822	-0.206515937	-0.046855472	-0.0377946736	-0.2901230039	-0.2724293187	0.0251723312	-0.036859077	0.3558321103	0.1497707771	0.1310868562	0.0058699681786578	0.0714605702718245	0.0051066131035743	3.445652641845517e-05	0.1997692188357831	0.1027869093640703	0.0105651487366176	0.039907740794259	-0.1494323743359444	0.0346143596056266	0.0223300344996778	0.0011981538909076	0.002926187349782	0.0049541887678603	8.562572406024205e-06	2.4543986347593152e-05	0.0008757446455873	0.0007247452776653	5.252557174981527e-07	7.669286842748257e-07	0.0018737264629725	0.0018735734906872	3.510850858043436e-06	3.5102776250061784e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
843.7609196366845	1.4456175677452163	711932.4895061436	2.089810152173596	926.9436570845824	-13.86882781982422	192.3443850959302	859224.5434093399	785.3112518858767	-2.17040335832246	616713.7623385629	4.710650737817413	795.7433967499721	671.0569947684684	1.515185	27.067118	0.6226358623393222	0.3137887423656782	0.1117480198	0.0641563208	0.1250909835	0.0607533972	0.0079529371	-0.1190903946	-0.1384797984	0.1401274667	-0.1609871437	0.0355331939	-0.0111472796	0.0821733723	0.2211423297	-0.3747705548	0.0350752297	-0.0625229902	-0.1814547665	0.1024211656	0.1285937431	0.145864352	0.0976184345	-0.0549321908	0.1375616383	0.1212676697	-0.3138397766	0.0945078798	-0.0455385091	-0.1396962417	0.1406970731	0.1604281149	-0.2683833177	0.1723881692	0.1375139621	-0.1651782952	0.1303758065	0.0816375934	0.2791404972	-0.2662573295	-0.0456921794	-0.1169281761	0.1340384763	-0.0587233955	-0.0591487448	-0.0595028749	0.0228022881	0.0359258583	-0.2866863286	0.0141383677	0.0003247825	0.1262362939	0.0593190556	-0.153385784	0.1479655889	0.1242038795	0.0739996759402004	0.0681297077615426	0.0046416570796731	0.0054759520392546	-0.0285851216953005	-0.2283543405310836	0.052145704839386	0.0008171091823351	-0.0103657381985584	0.1390666361373859	0.000107448528401	0.0193395292865681	0.0063389667739881	0.0034127794242061	4.0182499761725095e-05	1.164706339828452e-05	0.0010883219584669	0.0002125773128795	4.518911395111134e-08	1.1844446852812287e-06	0.001990073284073	0.0001163468211005	3.960391675981096e-06	1.353658278019178e-08	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
838.8366935292307	-4.924226107453819	703646.9984110525	24.248002757329797	925.15672602118	-1.786931063402335	3.1931226253522	855914.9677022288	783.5980390171804	-1.713212868696246	614025.8867515706	2.9350983334664207	793.5929855624552	667.0912145909255	1.512644	27.021717	0.163038238653235	0.0876879275451375	0.1535392591	0.0817508837	0.1371482778	0.087544287	0.032948885	-0.0042742362	-0.0704937009	0.1466624214	-0.1253267508	-0.0610312321	-0.0002322384	-0.0296445652	0.2681902141	0.1201695841	-0.0228386958	0.0510664162	-0.13879597	0.1118292777	0.1469479227	0.1479541765	-0.0116633429	0.0152871623	-0.0278591336	0.2525600677	0.000797758	-0.0079114314	0.0068251588	-0.125369366	0.1158243106	0.1957698587	-0.1768556011	0.1287460786	0.055023588	0.0261387432	-0.071996236	-0.0526773149	0.0850199234	-0.025171448	-0.2230807475	-0.1713609673	0.0240795969	-0.2886181675	-0.0929611538	-0.0793878024	0.1262992672	-0.2087084844	-0.1083905352	0.0723840476	-0.023825003	-0.2711521162	0.0848365658	-0.129245346	0.1459432408	0.1165920251	0.0399981751605054	-0.034001500779695	0.0011561020552716	0.0015998540161704	-0.0036493739008989	0.0249357477944015	0.000621791518066	1.3317929868562056e-05	0.045742501107	0.0561082393055583	0.0020923764075238	0.0031481345179698	0.0062539072416073	-8.505953238080021e-05	3.911135578662823e-05	7.235124048840399e-09	0.0011120770417285	2.375508326159996e-05	5.643039807655464e-10	1.2367153467396115e-06	0.0011390328842438	-0.0008510403998292	1.29739591138875e-06	7.242697621414448e-07	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
