global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	non_steady_state_outlier00	non_steady_state_outlier01	non_steady_state_outlier02	non_steady_state_outlier03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04
644.1855472921188	n/a	414975.0193400467	n/a	1454.783950634217	n/a	2116396.3430229	n/a	684.8285597357558	n/a	n/a	468990.1562297496	882.0341156948818	771.2027566690592	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	-0.050937414158767	n/a	0.0025946201611817	n/a	0.0153049911703533	n/a	n/a	0.0002342427547245	0.1758310646580128	n/a	n/a	0.0309165632987702	0.0009820144850632	n/a	n/a	9.643524488739416e-07	-6.829854816148284e-05	n/a	4.664691680966391e-09	n/a	0.0004100338585006	n/a	1.681277651168901e-07	n/a	0.0	0.0	0.0	0.0	0.0
503.6719737410428	-140.51357355107604	253685.4571321977	19744.064352093654	983.83976685599	-470.9441837782271	967940.6868472488	221788.4242345405	550.4747393821185	-134.35382035363727	18050.94904361744	303022.4386978113	656.8563874491145	551.461253315057	12.356295	344.596008	0.6101848563219773	0.3839538546767551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	-0.019518239665146	0.031419174493621	0.000380961679626	0.0009871645258606	0.0831923708946789	0.0678873797243256	0.0046086963258347	0.0069209705750778	-0.188647081683527	-0.3644781463415398	0.1328443191605649	0.0355877214277113	-0.0010752723810401	-0.0020572868661033	4.232429249441137e-06	1.1562106934276462e-06	-0.0006308868510087	-0.0005625883028472	3.980182187756737e-07	3.165055985005122e-07	0.0007181618047999	0.0003081279462993	5.157563778734497e-07	9.494283129062432e-08	1.0	0.0	0.0	0.0	0.0
477.9475416930708	-25.724432047972016	228433.85261044963	661.7464041907298	842.2072281569577	-141.63253869903224	709313.0151598259	20059.776018332865	539.6394486759172	-10.835290706201365	117.40352468789362	291210.7345672478	609.36709071813	485.8816748323817	2.897182	80.79747	0.3047022208671477	0.2163118694280391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0283693781917691	0.0478876178569151	0.0008048216189876	0.0022932239440099	-0.1252776189153337	-0.2084699898100126	0.0434597366513867	0.0156944818010955	-0.192981550385582	-0.004334468702055	1.8787618929094403e-05	0.0372418787892229	-0.0015362977367832	-0.0004610253557431	2.1254437863805194e-07	2.3602107360451827e-06	-0.0004292187391947	0.000201668111814	1.842287260758879e-07	4.0670027322624015e-08	0.0009356712272061	0.0002175094224061	8.754806454213692e-07	4.731034883547871e-08	0.0	1.0	0.0	0.0	0.0
470.72518154208	-7.222360150990767	221582.19653782417	52.16248615061937	790.800613660491	-51.40661449646677	625365.6105658091	2642.640013988348	535.8716180263422	-3.767830649574989	14.196547803876689	287158.39100617	593.4210010057085	459.8933691495892	1.313155	36.621666	0.0630354024120649	0.0312139138280908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0358856725389102	0.0075162943471411	0.0012877814935698	5.649468071286526e-05	-0.1452125176713679	-0.0199348987560341	0.0003974001884133	0.0210866752884573	-0.2142965724082017	-0.0213150220226197	0.0004543301638247	0.0459230209459036	-0.0015048861055789	3.141163120430005e-05	9.866905749149567e-10	2.2646821907644283e-06	-0.0002781267468336	0.000151091992361	7.735448730424145e-08	2.2828790155646696e-08	0.0008327911050461	-0.0001028801221599	6.935410246439043e-07	1.0584319535656517e-08	0.0	0.0	0.0	0.0	0.0
468.3199359601417	-2.4052455819382885	219323.56241771125	5.785206309433656	768.0736377158861	-22.726975944604877	589937.1129541142	516.5154355866486	535.6813152159526	-0.1903028103895394	0.036215159642157	286954.4714714928	587.8433752167091	451.40120537366914	0.940213	26.220924	0.0706839293917816	0.0344445023718876	-0.0800856539	-0.0188022924	-0.0337183297	0.1164135584	-0.0408496899	0.2253349504	-0.0958233975	-0.0406495834	0.1209209593	-0.027298511	0.0917562127	0.0067327419	-0.0887185846	0.0087285731	-0.0025187845	0.0028554532	-0.0460497607	0.0481352826	-0.0359353395	0.0789660628	-0.1436769959	0.064166996	-0.0549892534	0.0573555724	-0.0282131312	0.0698541164	-0.0339391732	0.0684740777	-0.0627882784	-0.007344549	-0.0219054984	0.026088505	-0.0214715972	0.0650811561	-0.0313796587	0.0824665723	-0.0330384713	0.0560726909	-0.0828573026	0.1453584699	-0.0588411417	0.0877167665	-0.0338316845	-0.0581310028	-0.1144524515	0.0616801602	-0.01979118	0.0763005189	-0.0369460671	0.035342219	-0.0769055678	0.1290386066	-0.0992959287	0.002340469	-0.0698293558	0.0719635678	-0.0952583875	0.0954898319	-0.0795342531	0.0573654237	-0.1279187023	0.0415745865	-0.0588853354	0.0249469371	-0.0278728956	-0.0875539325	0.0065192149	-0.0923163727	0.0439473742	-0.0908618635	0.0034790952	-0.1330993189	0.0065824477	-0.1689784866	-0.0634255178	0.0084853327	0.0526499499	-0.0281956083	0.1054873708	-0.0248191362	0.0437042114	-0.0970074581	0.0723003104	-0.0889985456	0.0244512114	-0.0297433553	-0.080088741	0.0355004167	-0.1931869902	0.0726410685	-0.0365039522	0.0178234974	-0.0466564044	0.0356110508	-0.0022074835	0.008970323	-0.040836773	0.0060338295	0.0985300633	0.0985214698	0.098507148	0.0	0.0	0.0	0.0	0.0400373180344928	0.0041516454955825	0.0016029868353951	1.7236160320991277e-05	-0.1273097206271956	0.0179027970441723	0.0003205101420048	0.0162077649661745	-0.192898105185705	0.0213984672224967	0.0004578943994722	0.0372096789842353	-0.0018018612386415	-0.0002969751330626	8.819422965754904e-08	3.246703923318681e-06	-0.0002629592061436	1.516754069e-05	6.914754409567235e-08	2.3005429058280567e-10	0.0010652688238841	0.0002324777188379	1.1347976671394134e-06	5.404588975612013e-08	0.0	0.0	0.0	0.0	0.0
468.2277797771709	-0.0921561829708252	219237.25375505883	0.0084927620597522	762.4856187627556	-5.588018953130472	581384.3188200223	31.22595582054538	536.3857029506138	0.704387734661168	0.496162080741092	287709.6223298241	586.0906640813591	448.4402601788424	0.908945	25.348932	0.0617304811442988	0.0264841088618588	-0.0989853669	0.0690590215	0.0263973128	0.1304280207	-0.0832259584	0.1608520303	-0.0628076532	-0.0561554175	0.135473091	-0.0640449191	0.116253528	-0.0498698248	-0.0176557951	-0.0029349946	0.0497758053	0.0500157611	-0.048352989	0.0283992837	-0.0358397397	0.0479738937	-0.1117808885	0.0010953154	0.0555534752	-0.0676624922	-0.021621623	0.0548155161	-0.143701373	0.1087766396	-0.1300290934	-0.0318328167	0.0234847652	0.0531028388	-0.0478932061	0.0330277161	-0.0726301678	0.0346535456	-0.0329954012	-0.0319620305	-0.1120942635	0.0211215159	-0.0276849089	0.0011249062	0.0264878356	-0.0083192211	-0.1427284267	0.0318062225	0.0287410647	0.0542776791	-0.1059811953	0.0179914134	0.0242182941	0.1081748885	-0.0264905302	-0.0661455648	0.0354344258	0.0310263352	-0.0152895182	0.1516893871	0.0151706104	-0.0270739025	-0.1092405795	0.0187580926	-0.0791533046	0.0326264015	-0.0755070457	0.0594348756	-0.0398371725	-0.0996709664	-0.0636714507	-0.0734246033	0.0699656654	0.0009044543	-0.0954082094	-0.1806805905	-0.065301858	0.0169317788	0.0230446349	-0.0886919677	0.0106878434	0.001662677	0.0557744051	-0.1010424542	0.1197133006	-0.1223277999	0.027329502	-0.018843867	-0.0327525164	-0.0298879797	-0.2598909122	-0.0124123034	0.0091235029	-0.0346267007	-4.0542e-06	-0.0027030037	0.0199214241	-0.0381701113	-0.0907197541	-0.0348868838	0.098507148	0.0984298219	0.0983009902	0.0	0.0	0.0	0.0	0.0484237579457698	0.008386439911277	0.0023448603335905	7.033237438545978e-05	-0.1370547309864207	-0.0097450103592251	9.49652269014049e-05	0.0187839992857601	-0.1769754466865833	0.0159226584991216	0.0002535310536796	0.0313203087299156	-0.0015352724774382	0.0002665887612033	7.106956759991019e-08	2.357061579979228e-06	-0.0003729545586892	-0.0001099953525455	1.390951028470559e-07	1.2098977581630824e-08	0.0012422121576287	0.0001769433337446	1.54309104456055e-06	3.1308943356652915e-08	0.0	0.0	0.0	0.0	0.0
467.5327891775423	-0.6949905996285679	218586.90895613225	0.4830119335720764	757.9331106978856	-4.55250806487004	574462.6002921733	20.725329680706757	536.5463261307377	0.1606231801239346	0.0257998059931259	287881.960084392	585.9986510116063	442.7608377054257	0.961556	26.81617	0.1114315169304834	0.0505575082512055	-0.1033603577	0.0491151682	0.0740267751	-0.0066660298	-0.074318693	0.0979373274	-0.048485195	-0.0387206122	0.0877714579	-0.0059189117	0.1183709611	-0.0423543999	-0.0194206369	0.0819845524	0.0169072412	-0.0043530692	0.0951920152	-0.0356691395	-0.0008914399	-0.0041241312	-0.0384662234	0.0129693588	0.0337717848	-0.0311841366	-0.0329672077	0.0306526012	0.0039440008	0.1117346703	-0.0047787305	-0.0437735486	0.0712024711	-0.0239049337	-0.0710921548	-0.1029089631	-0.0742544426	0.0173681405	0.0037504651	0.0409553516	0.006040821	-0.0065530627	0.0201987336	0.0025667013	-0.0231459114	-0.0142447298	-0.1256779473	0.064671603	0.0115193895	-0.0177393873	-0.0313108138	0.0292785881	0.0178814385	0.019580367	-0.0400582253	0.114191484	-0.022820585	-0.0341867035	-0.0364746949	-0.0301652964	0.0221197382	-0.0390719115	-0.010732502	-0.0643954189	0.0142832434	-0.0069318433	-0.0472012327	0.0095910286	0.0504295474	-0.0373187313	-0.1100801403	-0.0374825986	0.0333089026	-0.0637558092	-0.017237108	-0.0749344749	-0.0472742279	-0.0021320046	0.0469177216	-0.1277840032	-0.0407638123	-0.0199393913	-0.0305465235	-0.0938906973	0.0697650667	0.0232127691	-0.0584218029	0.101051667	-0.0156743564	0.0380776016	-0.2534221782	0.0756387486	-0.0260912648	0.0372329786	-0.019335161	-0.0005294558	-0.0150291561	0.0170484435	0.1537196495	0.1073449455	0.0984613227	0.0982466114	0.097889106	0.0	0.0	0.0	0.0	0.0546054058897595	0.0061816479439896	0.0029817503523853	3.821277130343205e-05	-0.1666823660008844	-0.0296276350144636	0.0008777967565502	0.0277830111356527	-0.1930145272570484	-0.0160390805704651	0.0002572521055458	0.0372546077322618	-0.0010905989465532	0.0004446735308849	1.977345490697329e-07	1.1894060622229498e-06	0.000186924911572	0.0005598794702612	3.4940922566200024e-08	3.134650212199619e-07	0.0010551020907436	-0.0001871100668851	1.113240421891516e-06	3.5010177129746595e-08	0.0	0.0	0.0	0.0	0.0
467.5649863126271	0.0321971350848002	218617.0164255272	0.0010366555076688	754.2760110919395	-3.657099605946087	568932.3009087676	13.374377527811022	535.4125539479238	-1.1337721828139138	1.2854393625226268	286666.60292503843	585.8126357003545	443.2153669916745	0.896104	24.990805	0.0710848767617408	0.0377478946708325	-0.1038743287	0.0160316023	0.0684981824	-0.0746053163	-0.0761895434	0.0410724468	-0.0571780138	0.0238454511	0.0734508665	0.0574911545	0.1002798895	-0.0301856631	0.0285215862	0.0514817732	0.0814913984	-0.0400098389	-0.1306272533	0.0315529024	0.0822162283	0.015557518	0.0351217266	0.0650996628	-0.0171437442	0.0795510282	0.0434088235	-0.0132272619	0.0798111871	-0.0488997225	-0.0045392908	0.025140783	0.0380929989	-0.1129774939	0.1154638586	-0.0741594713	-0.0022402575	-0.0683510086	0.0527970023	0.0283504866	-0.0623427589	0.0332789816	-0.0559969033	0.0086906607	0.1338632068	-0.0311026867	-0.0907203045	0.0664098159	0.0985615924	-0.0011173311	-0.0356422874	0.0473185388	-0.084407203	-0.0130513036	0.0585088061	-0.0251466344	0.0762392502	0.1106202064	0.0569447357	0.0637102576	-0.0032739537	0.0080808048	-0.034390458	-0.055359596	0.0262420011	-0.0891183013	0.0969803426	-0.0003170096	0.0790149043	0.0223005088	0.1050203119	-0.0774663151	-0.0560881426	0.0106641272	0.0277544547	0.0689036723	-0.0586219358	-0.0019826235	0.0783171056	-0.120972247	-0.0060039674	-0.033990952	-0.0762502917	-0.0743213235	-0.0048789718	-0.0370701184	0.0049693678	0.0054533945	-0.0904914233	0.0535893044	-0.2357513962	0.0833996038	-0.0900265849	0.0181606454	-0.0317019444	0.0290956122	0.0424029193	-0.0293775869	0.1096747643	0.0223244529	0.0983925981	0.0979720086	0.0972723574	0.0	0.0	0.0	0.0	0.0544399404430038	-0.0001654654467556	0.0029637071154378	2.7378814070062883e-08	-0.1469930634131628	0.0196893025877216	0.0003876686363908	0.021606960691586	-0.2188656728235969	-0.0258511455665484	0.0006682817271028	0.0479021827405257	-0.0012560668217815	-0.0001654678752282	2.737961773256821e-08	1.5777038607802785e-06	0.0001870521747198	1.2726314780001232e-07	3.498851606740659e-08	1.619590878796778e-14	0.0007131179659054	-0.0003419841248381	5.085372332970552e-07	1.1695314164134954e-07	0.0	0.0	0.0	0.0	0.0
466.9860665656012	-0.5789197470259069	218075.9863664121	0.33514807349654	752.7783635171612	-1.4976475747782845	566675.2645795753	2.2429482582392763	533.7711161519145	-1.6414377960093134	2.6943180381679124	284911.6044380606	583.883230145058	443.3797598212293	0.883668	24.643993	0.053537920224541	0.030497456130219	-0.0934904949	-0.0281837883	0.0374744711	-0.0737366286	-0.0339653863	0.0329830078	-0.0216552063	0.0432440103	-0.0060188999	0.0340105411	0.0466274327	-0.0303771216	-0.0510772872	-0.0181263445	0.1199299229	-0.0434323104	-0.0228143135	0.0603972785	0.1073395496	0.0231721317	0.0211151521	-0.0332852777	0.0262282981	0.0510435885	0.0020564182	-0.0012425953	0.007023024	-0.0542729075	0.016031013	-0.1012561325	-0.0587221454	0.0076156887	-0.0299820317	-0.0819000797	0.0022691364	-0.0127320919	-0.0382104292	0.0230099117	0.0829723525	0.0923915664	-0.0045513629	0.0921956471	-0.0706423226	0.0044586046	-0.0665076032	-0.0004785641	0.065846794	0.0378586002	-0.0013394577	-0.0475258063	-0.0037403089	-0.0755260719	-0.0477299437	0.0217488565	0.0401247561	0.0423280182	0.0363702828	0.0962074021	0.0486622771	0.0549318244	-0.0887594935	0.0346839178	-0.0721868811	-0.0342426524	0.130820922	-0.0530726812	-0.0496176164	0.0651609239	-0.0697512452	0.0275985548	-0.1044045672	0.0247681958	0.0108294272	0.0889852435	-0.0517446406	0.0225606533	0.0641065257	-0.0591539345	-0.0521251224	0.0441051698	-0.0978356022	-0.0468648166	0.0091841078	-0.1525643016	0.0115527323	-0.0128946209	-0.1034472279	-0.0228413277	-0.1466428189	0.0009854843	-0.057309452	-0.0700558805	-0.0143176966	-0.0065666249	0.0570130195	0.0155357655	0.0856496038	-0.0868359895	0.0983009902	0.0976062691	0.0964520353	0.0	0.0	0.0	0.0	0.0628482381831361	0.0084082977401323	0.0039499010427242	7.069947088671403e-05	-0.1483404727792532	-0.0013474093660904	1.8155119998281384e-06	0.0220048958643723	-0.1931140574255039	0.025751615398093	0.0006631456956113	0.0372930391753408	-0.0013479733445323	-9.19065227508e-05	8.446808924143319e-09	1.8170321375695944e-06	-8.09808733575057e-05	-0.0002680330480773	6.557901849744376e-09	7.184171486161125e-08	0.000712445582329	-6.723835763999819e-07	5.07578707780108e-07	4.5209967381243044e-13	0.0	0.0	0.0	0.0	0.0
466.16904567909614	-0.8170208865050768	217313.57914935923	0.6675231289855416	755.3830974450273	2.60473392786605	570603.6239056436	6.784638834976502	533.9679480472328	0.1968318953182688	0.0387427950145819	285121.76954177226	584.9232001143895	444.0718749358765	0.915181	25.522848	0.0455490798035385	0.0220728637801525	-0.0569238485	-0.0705913156	0.0061308986	-0.0565358465	-0.0353470183	0.0654601643	0.0115646432	0.0742847842	-0.0769019164	0.0495493614	0.0455566791	-0.0206412635	-0.0204746583	-0.031313031	-0.0517090765	-0.1060198197	-0.0453759842	-0.0137183627	-0.0109833158	0.0803662517	-0.0197830189	-0.0295444164	-0.0098619259	0.0773638963	0.0430538818	-0.0013673014	-0.0063475523	0.0330810538	0.0297185061	0.1557742958	0.0825291628	0.0626778219	-0.0125387815	0.1659184595	0.0062850438	-0.0090853504	-0.0497638194	-0.0994934924	0.0117836303	0.1050313746	0.0217620424	-0.0149205351	0.0131263902	-0.0179760893	-0.0535881947	-0.0194618844	0.0402871402	-0.0346110698	0.1124992858	-0.0219999646	-0.0134209211	-0.0032276343	-0.0040937344	-0.0146377529	0.0861500963	0.0706195691	-0.0121423929	0.0004975795	-0.0002837965	-0.0145455171	0.0232553678	-0.010688253	-0.0635945923	-0.0167301507	0.0312028762	-0.0109286079	0.0452952974	-0.1023126579	0.079587299	-0.1099579175	-0.0708502173	0.0241069413	0.0043874686	-0.0216664165	-0.0342587302	0.0179257057	0.0691300854	0.0218695881	-0.0236321909	-0.0074958872	-0.0738071028	-0.0772132321	-0.021923907	-0.0555106689	-0.0898307463	0.0151716639	-0.0135594561	-0.0834477536	-0.2177368546	-0.0860835923	-0.0502098396	0.0371961565	0.0797806348	0.0151087619	0.0320375131	0.0554272895	0.0158552791	0.0021749691	0.0981865202	0.097149733	0.0954298563	0.0	0.0	0.0	0.0	0.0541078308416729	-0.0087404073414632	0.002927657358391	7.639472049470387e-05	-0.1608456249151402	-0.012505152135887	0.0001563788299416	0.0258713150543419	-0.1994928831131375	-0.0063788256876336	4.068941715321454e-05	0.0397974104127919	-0.001092433794918	0.0002555395496143	6.530046141707929e-08	1.1934115962789428e-06	-0.0001838894361714	-0.0001029085628138	3.38153247354354e-08	1.0590172300421233e-08	0.0007123998019861	-4.578034290005605e-08	5.075134778698344e-07	2.095839796046712e-15	0.0	0.0	0.0	0.0	0.0
