global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40
1033260.7681901013	n/a	1067627815080.7982	n/a	1195156.6392641128	n/a	n/a	1428399392377.0886	1053594.3500260145	n/a	n/a	1110061054406.74	1067295.1732954546	911879.7156939908	n/a	n/a	n/a	n/a	-0.0387179455	0.0180943651	-0.1209431995	0.0181087365	-0.0920976185	0.0082367467	-0.0462819062	0.0016965729	-0.2219414817	0.0185355257	-0.022106379	-0.0101798582	-0.014613753	0.050354755	-0.0549633838	0.0388884386	-0.0200967512	0.0346817082	-0.1009570671	0.0681910867	-0.1123892315	0.0329700843	-0.0977025343	0.0060015833	-0.0165459417	0.0406009653	-0.0168927714	0.0930902972	0.0055537553	-0.1384290401	0.1139949188	-0.0637786821	0.0923354768	-0.016950957	0.0139301529	-0.050956385	0.0535787212	-0.0540976502	0.0046434456	-0.0199695709	0.0298382425	-0.1127213362	0.064576976	-0.1228543295	0.0212088136	-0.0808449419	0.0203224917	-0.0001311008	0.058669683	-0.1207563559	0.0462065577	0.0906413721	-0.1369891641	-0.0106382345	-0.0288495154	-0.0112979212	0.0268177355	-0.002392911	0.0100337418	-0.0035089253	0.0070431403	-0.0316913696	0.0671522911	-0.0371242745	0.0506161281	-0.0589295893	0.01416683	-0.0264140886	0.0053048341	-0.0150333631	0.0119903954	-0.0023434453	-0.0686660601	0.0646645745	-0.0534461411	0.1119707262	0.0037524932	0.1154637225	0.1154447293	0.1154130763	-0.1004119926495548	n/a	n/a	0.0100825682678542	0.0140965443043938	n/a	0.0001987125613257	n/a	-0.0318242614840968	n/a	0.0010127836190081	n/a	0.0012099778159958	n/a	1.4640463152019658e-06	n/a	0.0007737546362598	n/a	5.986962371335355e-07	n/a	-0.0012329681411814	n/a	1.5202104371683166e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1030382.6869963944	-2878.081193706836	1061688481661.9095	8283351.357568963	1170940.904032258	-24215.73523185472	586401832.8192899	1371102600735.8818	1051727.3690166494	-1866.9810093650597	3485618.0893297764	1106130458738.6836	1064733.2368198207	874036.8838874475	1.208732	32.670238	0.0737577790276807	0.0404353316334397	0.0163750594	0.0394855861	-0.0095435127	0.0417559862	0.0407434423	-0.0435490731	0.0632462304	0.0327480233	0.1375498249	0.0292491492	-0.0117269917	0.0089145828	0.0471989097	0.0220399274	-0.0307686395	-0.0858469684	-0.0628107191	0.0288313612	0.108038154	-0.0189690256	-0.0050777645	-0.0261743571	-0.0688068307	-0.0092839748	-0.045560627	0.0130466794	0.0252201288	0.0457228557	0.0313796711	-0.1171130875	0.1140227747	-0.0144817093	0.0323389436	0.0052025386	-0.0509941466	-0.0289360901	0.0422659473	0.0174201877	0.1007615036	-0.0322895222	-0.1193134455	0.0148571693	-0.0023550447	0.026889436	0.0318634034	-0.0614401231	0.0572008236	-0.0005987242	0.0110619562	-0.0626968038	-0.0276779646	0.1157989077	-0.1132686141	-0.0181935618	-0.023771493	-0.0039148875	0.0345629398	-0.0456735894	-0.0007276674	-0.0410983324	-0.0116023084	0.0055455479	0.0654383361	-0.002621904	0.0136151499	-0.0187647669	-0.0633252743	0.0265034049	0.0361597513	0.0514225943	-0.0114756118	0.0072269958	-0.0100417297	0.0131730385	-0.0575563981	-0.0816761439	0.0662395592	0.1154130763	0.1152422001	0.1149575937	-0.0816806507320535	0.0187313419175013	0.0003508631700303	0.0066717287040117	0.0093929667465175	-0.0047035775578762	8.822782430118354e-05	2.212364184295757e-05	-0.0357543616769149	-0.0039301001928181	0.0012783743789236	1.544568752558887e-05	0.001158128841569	-5.184897442679984e-05	1.341262413673954e-06	2.6883161491109435e-09	0.000320031017869	-0.0004537236183908	1.0241985239826821e-07	2.0586512188564038e-07	-0.0008106855468093	0.0004222825943721	6.572110558054937e-07	1.7832258950963153e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1031927.8239042384	1545.136907843989	1064875033747.7368	2387448.063981685	1179507.2995967742	8566.395564516075	73383132.96776068	1391237469802.0745	1052221.5120967743	494.1430801248644	244177.3836352881	1107170110519.2222	1065128.1035019667	869652.9487401858	0.906267	24.49506	0.0890021139504539	0.0426160652116165	0.0250839255	0.0238692305	0.0230403065	0.063464566	0.0286797142	-0.0363809036	0.028950256	0.0167145499	0.0066441382	0.0434349519	-0.0154050999	0.0278157456	0.0510900388	-0.0502455685	0.0174910201	-0.0452000541	-0.0226406611	0.1161927181	-0.0336419775	-0.0010328912	0.0347524159	0.0193698188	0.015856845	0.0302463302	-0.0858292986	-0.0202199448	0.0494456118	0.0071185334	0.0220808371	-0.0004484029	0.0893961168	0.0420499857	0.0310840013	0.0239031241	-0.057629315	0.0446159854	0.002565795	0.0320783448	0.0394823099	-0.1045589149	0.0023413739	0.0311751568	-0.0068930229	-0.0452021775	-0.019462977	-0.0089885037	0.0394456221	-0.0479052519	0.0383171816	0.0107813088	-0.0614052932	0.0556007903	-0.0146317304	-0.0122269289	-0.0246307124	-0.0075733606	0.0292280929	-0.0219649978	-0.0056072375	0.0087547789	-0.0049551726	-0.0472684964	0.0333917454	-0.0001383668	-0.0064666085	-0.0479730703	-0.0059902441	0.0309745059	0.0237449814	0.0266882994	-0.0415262541	0.0218820245	-0.0466722612	0.0054584875	0.006684154	0.0460038499	0.0695291893	0.1153118061	0.1148374968	0.1140484259	-0.0855602273026647	-0.0038795765706112	1.5051114367235412e-05	0.0073205524960836	0.0401861679152091	0.0307932011686915	0.0016149280917093	0.0009482212382155	-0.0205668185532488	0.015187543123666	0.0004229940254022	0.0002306614661332	0.0006346231644778	-0.0005235056770912	4.0274656089181684e-07	2.7405819394671577e-07	0.0003948011763117	7.477015844270003e-05	1.5586796881710205e-07	5.590576593546467e-09	-0.0006261255205935	0.0001845600262158	3.920331675384814e-07	3.406240327677678e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1034596.934772187	2669.1108679486206	1070390817440.005	7124152.825401438	1192071.0773689516	12563.777772177476	157848511.90866083	1421033453499.573	1053880.6927029137	1659.180606139358	2752880.283788968	1110664514451.9731	1067122.6675590037	891120.1731382152	1.004865	27.160036	0.1541328910447102	0.0790579863430598	0.0123577441	-0.000359424	-0.1160488658	0.0454421568	-0.0375108225	-0.0014521228	-0.0244956288	0.0141580904	-0.0795563447	-0.0027016793	0.044580234	0.000898267	0.0068987978	0.0481167187	-0.0758798739	-0.0673704411	0.0510925585	-0.0818705901	-0.0103603788	0.0633495843	0.0024709738	-0.0212947669	-0.0535298356	-0.0069393258	-0.0009600185	-0.0748280728	0.0460188433	-0.0422503162	-0.0545808765	0.0023358572	-0.0037232647	-0.0481981084	0.0006591825	0.0037490732	-0.00675552	-0.0409600718	0.0709214389	0.0698653573	0.0257662937	0.0965390101	0.0259809819	-0.0005325078	0.028127171	-0.0424274233	0.0459310073	-0.0544387385	-0.0002571497	-0.045158402	0.008854595	0.0624654463	0.0298636367	-0.0088847452	-0.003146982	-0.0168833848	-0.0190390522	0.0040737016	0.025677412	-0.0523729059	0.0183337028	0.0133603023	-0.0296410684	0.0286122946	0.0385723717	-0.0543722771	0.0592501045	-0.0443602871	0.0364537046	0.0137701236	-0.0427236697	-0.0735969373	-0.0133532526	-0.0138162046	-0.0729138196	0.0599537887	-0.0265243923	0.0238304782	0.0051666304	0.1151599564	0.1142313295	0.112689161	-0.0739505153180886	0.011609711984576	0.0001347854123648	0.0054686787158108	0.0519491254127615	0.0117629574975524	0.0026987116311508	0.0001383671690892	-0.0778254258864805	-0.0572586073332317	0.006056796914412	0.0032785481137412	0.0008464544283897	0.0002118312639118	7.164850993405337e-07	4.4872484370513e-08	-0.0004430871792997	-0.0008378883556114	1.963262484597645e-07	7.020568964691758e-07	-0.0002058128555298	0.0004203126650637	4.235893150133034e-08	1.766627364129501e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1034724.7566683836	127.82189619657584	1070655322062.4456	16338.437147288209	1190727.5940524193	-1343.4833165323362	1804947.4218007252	1417832203237.863	1052060.970148283	-1819.7225546306	3311390.1758313165	1106832284909.3464	1064660.2315340908	905315.9702755752	0.756089	20.435978	0.1421833288613192	0.0703146782579265	0.0125432045	-0.0105414304	-0.0549961714	-0.0169980367	-0.0568507594	0.0008112219	-0.0286069152	0.0076042039	-0.0512804921	0.0471421335	0.0605789896	0.0013387851	0.0397507185	0.0103408278	-0.0613485872	-0.0887105907	0.0845536072	-0.0358659137	-0.0563401968	0.0427034845	-0.0286292499	0.0619461648	0.0208967852	0.0427186681	-0.0929061089	-0.0409676604	-0.0198607645	-0.0501398635	-0.0017387141	0.0382170728	0.0441059818	0.0302648614	0.0448282653	0.0048227271	-0.0320448988	-0.0120957402	0.0786689208	0.1059780526	-0.0102360494	0.0484354319	0.0318911758	-0.0631246687	0.0449302478	-0.0298400192	-0.0131038786	-0.0003017667	0.0256262222	-0.0719226562	-0.0331939911	-0.0228761559	-0.0549442863	0.024223013	-0.0144464717	-0.0166118663	-0.022362765	0.0046902021	0.0279188559	-0.0463121833	0.0121168578	0.03060804	-0.0090062851	-0.066292925	0.0031967235	-0.0542934287	-0.0084504403	-0.0341483414	0.0338587737	0.0331602371	-0.01688868	0.0047240365	-0.0346429849	0.0071575305	-0.0782524019	0.0245326911	0.0272893862	0.0220752023	0.0499146994	0.1149575937	0.1134247617	0.1108851636	-0.0596302606620327	0.0143202546560559	0.0002050696934142	0.0035557679866219	0.0800631168057464	0.0281139913929849	0.0064101026726505	0.0007903965120448	-0.0186529809520621	0.0591724449344184	0.0003479336983979	0.0035013782395167	0.000653945041791	-0.0001925093865987	4.276441176830327e-07	3.705986392860773e-08	-0.0001921879393493	0.0002508992399504	3.693620403133021e-08	6.295042860768839e-08	-0.0005739369865379	-0.0003681241310081	3.294036645162056e-07	1.355153758304688e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1036128.8399966528	1404.0833282691892	1073562973072.8092	1971449.992723484	1182412.7123487904	-8314.881703628926	69137257.74534306	1398099822324.0232	1052492.890673777	431.9205254940316	186555.3403430404	1107741284918.8433	1065472.2332686845	876852.361813977	1.182942	31.973177	0.131370314216077	0.0605431198263427	0.068866808	0.0068562489	0.1404072596	0.0033992609	-0.0041243037	0.0299362386	0.0223411806	0.1040034899	-0.0216761904	0.0371794979	-0.0284567411	0.0689917022	0.0528659471	-0.1140436309	0.0165114555	-0.0001109764	-0.0284617602	0.0329310866	-0.011761962	0.0720331142	0.0244836464	0.0330907105	0.0217012686	-0.0410053582	-0.0030877215	-0.0167678015	0.0480947414	0.0326077482	0.0439779602	-0.1039676664	-0.0645883126	0.073354031	-0.0110747127	0.0558053726	-0.0548373226	0.1161094671	0.0084263167	-0.0180195199	0.0241217565	-0.0193880302	0.0174196068	0.0105568478	0.0657705959	-0.0574227587	0.0009090967	0.0149470611	0.0081969652	-0.0032988869	0.0075778973	0.0188810436	-0.0464714203	-0.0233590932	-0.1278749812	-0.0202356791	-0.0294278795	0.032176155	0.0026671965	-0.0698636046	0.0105969805	-0.0030836781	-0.0505972645	0.0489847216	0.0033220829	0.0341975642	-0.0492708372	0.0091572868	6.69193e-05	0.0682800355	0.0142782446	0.0721161345	-0.0107931789	0.0669841937	0.0458239981	-0.0379240372	0.03121645	-0.082121621	-0.0001851104	0.1147048067	0.1124192083	0.108643553	-0.0401467849927712	0.0194834756692614	0.0003796058241547	0.0016117643452557	0.0396332259707037	-0.0404298908350427	0.0015707926008448	0.0016345760729334	-0.0446666104309443	-0.0260136294788821	0.0019951060873897	0.0006767089186645	0.0013419959628219	0.0006880509210309	1.8009531642302783e-06	4.734140699314698e-07	-2.3419800852186867e-05	0.0001687681384971	5.484870719560926e-10	2.8482684571780763e-08	-0.0006259842916677	-5.204730512979995e-05	3.918563334147121e-07	2.7089219712745e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1035261.9813499262	-866.858646726585	1071767370028.575	751443.9134046463	1183249.128427419	836.4160786287393	699591.8565886775	1400078499924.247	1047618.5316727367	-4874.359001040342	23759375.671023004	1097504587904.1407	1060475.321186626	896352.01306456	1.050953	28.405722	0.1051481488628944	0.0558550763785809	0.0448511771	-0.0307607155	0.0260578904	0.0244946631	0.0146005646	-0.0032764012	0.0369538533	-0.0155101225	0.0460069672	0.0568553494	0.0210807796	0.0415846415	0.1513877476	-0.07783103	-0.0749496716	0.0024263718	-0.0206655805	0.0203427933	-0.0618888711	-0.0131117227	0.0740212928	0.0138674375	0.0205187068	0.0387911177	-0.0177782396	0.0578463586	0.0136373429	-0.0443777857	0.1199178066	-0.0625950558	0.0346812138	0.039847292	-0.0294618573	0.0358579964	-0.1363133668	0.0759969804	0.1025186565	0.0114941289	-0.0103666611	-0.0476080207	0.0682103316	0.0390189734	-0.0043330141	0.0273076063	-0.0740849353	0.0022325516	-0.0229804118	0.0115304221	-0.0132530122	-0.0049990111	-0.0761511811	0.0462215928	-0.032193618	-0.0156532157	-0.0255224537	0.0245239155	0.0066093185	-0.0637719925	0.0261448575	0.0386506618	-0.0116575514	-0.0516150736	-0.0006877595	-0.004800421	-0.0682461988	0.0074213389	0.0079343533	0.0734347641	-0.0132096761	0.0618972186	-0.0333657914	0.0145673011	-0.0168614676	0.0029671488	0.0431754781	0.0164695956	0.0276442696	0.1144017065	0.1112164334	0.105973176	-0.0178517269295213	0.0222950580632499	0.0004970696140436	0.0003186841543661	0.0614761928573557	0.021842966886652	0.0037793222882347	0.0004771152024113	-0.0018449783289824	0.0428216321019618	3.4039450344146894e-06	0.0018336921758757	0.001433407027785	9.14110649631e-05	2.054655707303428e-06	8.355982797688091e-09	-0.0002779620780153	-0.0002545422771631	7.726291681458373e-08	6.47917708633831e-08	-0.0006438007857621	-1.7816494094399977e-05	4.1447945174789733e-07	3.1742746181578926e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1037860.2279943182	2598.2466443920275	1077153852852.4182	6750885.625094431	1200080.724495968	16831.59606854897	283302626.21479315	1440193745306.7676	1055454.2315296566	7835.699856919819	61398192.24773327	1113983634853.858	1069303.693181818	866762.3247143191	1.071995	28.974449	0.1666069118455846	0.070756709088225	0.064427422	-0.0154989577	-0.0489927195	0.0621898412	0.0087564632	0.0481152402	-0.0293067695	0.0131895141	-0.0739253157	0.0045100363	0.0405868848	0.0073116214	-0.0216321473	-0.0073061109	-0.0494889926	-0.0324169049	-0.046655258	-0.1624362664	-0.0546486275	0.0910027831	-0.0003901035	-0.1041762235	-0.0311184963	0.020948911	-0.0756613251	0.0027625245	0.0763123091	-0.0610563058	0.0851876075	0.0252218524	-0.03731136	0.0116978869	-0.023593626	0.0193567913	0.0287983193	0.0032490416	0.0464596636	0.0153621575	0.0574431522	0.1113899863	0.1220988143	0.0013959275	0.0731933719	0.0957762579	0.1056676205	-0.0950688362	0.0515414244	-0.0089601966	0.0240006203	0.0724379941	-0.1051425582	-0.0399051683	0.023444331	-0.0194520843	-0.0235647237	0.0254835175	0.0069156268	-0.0528658925	-0.0254032161	0.0501263879	-0.056273759	0.0435427955	-0.0202610669	-0.0305098404	0.0634092516	-0.0240830579	0.0756503942	0.0143149344	-0.0532110318	-0.0843933453	-0.0713958367	0.0287436713	-0.0041028979	0.0336150974	0.0390832345	0.0021558704	0.0039099288	0.1140484259	0.1098185471	0.1028845713	-0.0353988500977919	-0.0175471231682706	0.0003079015314824	0.0012530785882459	0.1011095241319566	0.0396333312746009	0.0102231358701907	0.0015708009479222	-0.0525074837302455	-0.050662505401263	0.0027570358476819	0.002566689453533	0.000939904070245	-0.00049350295754	8.834196612631179e-07	2.435451691007271e-07	-0.000623144520913	-0.0003451824428977	3.883090939438923e-07	1.1915091888482393e-07	-0.0003072071461708	0.0003365936395912	9.437623065840728e-08	1.1329527821331793e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1043563.3647988508	5703.136804532609	1089024496350.2994	32525769.41121442	1188977.6110887097	-11103.11340725841	123279127.33444144	1413667759670.2148	1059183.8776014568	3729.646071800264	13910259.820895135	1121870486570.858	1072325.4426901224	913461.7581963232	1.295466	35.014545	0.1489691082866104	0.0906831581918414	0.0672632678	-0.0323344785	0.1225307896	-0.0893372947	0.0154918212	0.0864607268	0.0096197488	0.0425253536	0.0321070605	0.0306285906	-0.0319604209	0.0856664254	-0.0765903168	-0.0811846313	0.0899436522	0.028340462	-0.0139559602	0.0359477958	-0.0078395593	0.1404750065	0.0402769639	0.0353783932	-0.0282336695	-0.0463659327	0.0718721058	-0.100082668	0.0097428323	-0.0478827695	0.0267447801	-0.0792945147	-0.0640154767	-0.0234691011	-0.0981313488	0.0690747472	0.0585224084	0.0919905416	-0.1026157575	-0.0469378501	0.0081109365	0.0024026445	0.0077888853	0.029413944	0.0998688194	-0.114211455	0.0289855484	0.0092254943	-0.0386251124	-0.0295636713	-0.0647045307	0.0538953145	-0.0052498334	0.0738974888	-0.0329618283	-0.0166468029	-0.0293111034	0.0334518223	0.0007739561	-0.0654246155	0.0466654484	0.0308878857	-0.0517232289	-0.0439431326	-0.0356809672	0.030263023	-0.0587237866	0.0003654498	-0.0177975301	0.0659791547	-0.0234421889	0.1111504611	-0.0335132054	0.0829271975	0.0093616554	-0.0291127626	0.0654032569	-0.0511558477	0.0332391423	0.1136451198	0.1082280018	0.0993899282	-0.0358155339091581	-0.0004166838113661	1.7362539865466084e-07	0.001282752469198	0.0148286536754653	-0.0862808704564913	0.0002198889698268	0.0074443886067298	-0.0461443760406226	0.0063631076896228	0.0021293034401783	4.0489139469738e-05	0.0015669803523181	0.0006270762820731	2.455427424550957e-06	3.932246635386221e-07	-0.0001322410695772	0.0004909034513358	1.748770048292185e-08	2.4098619853340017e-07	-0.0003073963393445	-1.891931737000121e-07	9.449250944239901e-08	3.5794056974682954e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1038174.6014055996	-5388.763393251225	1077806503003.6757	29038770.90844446	1198368.2343245968	9390.62323588715	88183804.75838363	1436086425038.2517	1054888.7341961495	-4295.143405307317	18448256.872154936	1112790241533.9546	1068242.250437063	891550.2629479555	0.957272	25.873648	0.1194589003151403	0.0767127707873897	0.0703102767	-0.0501654713	0.0545462728	-0.0098814236	-0.0179128526	0.0538835683	-0.0291066341	0.0018071531	-0.0295789123	0.0145193385	0.0411232593	0.0601052132	0.0052531617	-0.1102090102	0.0405570254	-0.0432907098	0.0706084447	0.0290874506	-0.1104443152	0.0249961744	-0.0160316594	0.0720238862	-0.0461045644	0.0110706081	-0.0596684183	-0.0631874132	0.0594958563	-0.0744043115	0.0258835411	-0.0135609025	-0.1208437458	0.0130591212	0.0056975396	0.0597334157	-0.0025996044	0.116287926	-0.0114305903	0.0779678681	-0.0313277377	-0.0139063579	0.065576279	-0.0676169825	0.0279629364	-0.0940316753	-0.0482017413	-0.0518113978	0.0576149187	-0.0559386148	-0.0138873417	0.0589009805	-0.0614250343	0.0182216698	-0.0308653277	-0.0225572923	-0.0432210233	0.0401819722	-0.00540972	-0.0547374061	-0.0119403443	0.0329729626	-0.0748830351	0.0158470592	-0.016128996	0.0207747229	-0.0397559521	-0.0041803767	0.0378353668	0.0655926154	-0.0263851791	0.0362001515	-0.0154604324	0.0514685325	0.0216933223	-0.0469596375	0.0723783828	0.0516745065	0.0127228593	0.1131919653	0.1064475877	0.0955030384	-0.0582237825187661	-0.022408248609608	0.0005021296057499	0.0033900088507925	0.0825018479100663	0.067673194234601	0.0068065549085757	0.004579661217914	-0.0186674124450263	0.0274769635955963	0.0003484722873927	0.0007549835284337	0.0016049821021291	3.800174981099993e-05	2.5759675481547445e-06	1.444132988697833e-09	-0.0001322470083282	-5.938751000000721e-09	1.7489271211759e-08	3.526876344000958e-17	-0.0003073941503998	2.188944700032367e-09	9.449116370001487e-08	4.79147889979979e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
