global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19
866208.2043124331	n/a	n/a	750316653218.1699	1156238.73735201	n/a	1336888017753.3706	n/a	857365.5672342457	n/a	n/a	735075715878.8999	875295.1990613483	839525.4512395157	n/a	n/a	n/a	n/a	-0.0342191059	0.084273502	-0.0270377741	0.0657425701	-0.2352880639	0.049002888	-0.1190092468	0.0106864829	-0.1907073754	-0.1367396757	0.0845288447	0.0491520374	-0.1279423651	0.1154587375	-0.2454596566	0.0247657709	-0.0226357604	0.0354621923	-0.1065158892	0.0279777714	-0.0151168587	0.1417228728	-0.0520099898	0.1095777771	-0.0410187762	0.1060976475	-0.0952369418	0.0881557079	-0.1706257282	0.1481202805	-0.0747531916	0.0290116473	-0.0544891649	0.0243279446	-0.0775031829	0.0734754312	-0.0734972408	0.0251359355	-0.0914731959	0.1330488382	-0.0184975501	-0.1426561685	0.0476590878	-0.0133545613	0.0840724422	-0.0598052959	0.1791615657	-0.0172147881	0.2573132577	-0.1075709488	0.009527929	-0.0092658717	0.0029398529	-0.0399525616	0.1725898819	-0.0619146318	0.0106876216	-0.1455812732	0.0482339261	-0.2437315812	0.0637705428	-0.1533378828	0.0253299377	-0.0359624085	0.2607569859	-0.2694959077	0.0344444373	-0.0153887802	0.0757579116	-0.0649071615	-0.1164208331	0.0684638481	-0.0826683085	0.0384550075	-0.0652999333	0.1103952206	-0.1366558301	-0.0031954557	0.0028567414	-0.0877745946	0.069936007	-0.0831943939	0.1238226317	-0.1087507129	0.054060678	-0.0872610181	0.0449785451	-0.0189146839	0.0557661094	-0.0389543402	-0.1291935541	0.0458710409	-0.0249127811	-0.0997321937	0.1154637225	0.1154447293	0.1154130763	0.091392411965387	n/a	0.008352572964851	n/a	0.0510081768525196	n/a	0.0026018341058179	n/a	0.1187576071333182	n/a	n/a	0.0141033692520315	-0.002508014905918	n/a	6.290138768306875e-06	n/a	-0.0015549092939937	n/a	2.4177429125479867e-06	n/a	0.0019180591372594	n/a	3.678950854024274e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
862879.945280154	-3328.2590322791366	11077308.185947657	744561799966.6815	1132894.5863332874	-23344.15101872268	1283450143743.2705	544949386.7849312	855700.9747374284	-1664.5924968173497	2770868.1804606174	732224158166.585	872450.1297431665	869567.2051839457	1.529058	29.831963	0.2473177744278646	0.124644723473622	0.0097679389	0.0632153381	0.1030950509	0.0857767182	-0.1030648548	-0.1265124797	-0.0202541135	-0.0411421936	-0.0043672915	-0.047937867	0.0999504987	0.0626171653	0.0054712013	0.039259185	0.0099493626	-0.0019923044	0.0410711471	-0.0165982945	0.0254003174	-0.1836504954	0.0093368281	-0.0227060846	-0.0849628644	0.0641975509	-0.1015781684	-0.0120763114	0.0043466491	-0.0460363009	-0.105693434	-0.0587698045	0.0386099199	0.0037056833	0.1056645165	0.0718899859	-0.0245816963	-0.0242935731	-0.0957006447	-0.0929528674	-0.0219833951	-0.0404139945	-0.0247450516	-0.0653560705	0.0993077395	-0.0315690858	0.0187574874	0.0609762005	0.0210245954	0.0290070127	0.0257693326	-0.0361832864	-0.0777416196	0.0049242207	0.1340694447	0.066215998	-0.1022394604	-0.0940358363	-0.0347901864	-0.0078462971	0.0431664693	-0.0223421451	0.0039722876	0.0899540617	0.0587461635	-0.0741208501	0.0944697096	-0.0311433462	-0.1222763275	0.0625398498	-0.0837663586	0.0117048362	-0.0776578763	0.0143076543	-0.096000852	0.059909355	-0.0639286955	-0.0933328003	0.0113972342	-0.0676960494	-0.0445321057	-0.1651814502	0.0437110019	-0.0027746485	-0.0312575983	-0.0224716118	0.0302813487	0.0295519201	-0.0594607287	-0.05606687	0.0789602759	0.0803237619	-0.1196557649	-0.0607199872	-0.0810511099	0.1260291626	0.1154130763	0.1152422001	0.1149575937	0.0710365045825085	-0.0203559073828785	0.0050461849833007	0.0004143629653803	-0.0036546933268368	-0.0546628701793564	1.3356783313225436e-05	0.0029880293762451	0.0421371413655435	-0.0766204657677747	0.0058706957744707	0.0017755386824597	-0.0012270360396457	0.0012809788662723	1.505617442589404e-06	1.6409068558362674e-06	-0.0011140569085623	0.0004408523854313	1.241122795515389e-06	1.943508257405556e-07	0.001726319767006	-0.0001917393702534	2.98017993795565e-06	3.6763986105170416e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
861512.4280941706	-1367.5171859833645	1870103.25395986	742203663760.7135	1123653.0171393172	-9241.56919397018	1262596102926.2908	85406601.16693863	854641.6031190325	-1059.371618395904	1122268.225862757	730412269781.8698	870024.1345631143	874597.9702169575	1.097589	21.413994	0.1491742635986064	0.0703362964176089	0.0393541292	0.0725443698	0.123812898	0.0204329069	-0.0822279179	-0.0572953689	0.1062655059	0.1156243103	-0.0516725311	0.0351006158	0.075906703	0.0803303685	0.011834036	0.0728190362	-0.0642258975	0.0662670287	0.033841653	0.0076430921	0.0216256126	0.0762405648	0.0088950553	0.0919324973	-0.0522452886	0.0082105527	-0.0343614073	0.0572007663	0.0072364468	0.0569442384	-0.1105807216	0.0159419714	-0.0217103705	-0.0046125997	-0.027426371	-0.0226195218	0.0937612178	-0.0708509395	-0.048352047	-0.0541777549	0.0177338485	-0.0272311849	0.0005369697	0.0071841221	0.0926739145	-0.0857582183	0.0232485758	0.0432637445	0.0654469106	-0.0751837064	-0.0394983386	-0.0581278573	0.0010662233	-0.0027681335	-0.0365118483	0.0247157866	0.1145701083	0.0044843042	-0.0121659002	0.0150501113	0.0489624618	-0.058586643	0.0733590768	-0.0141753678	0.0253463406	-0.0088904532	0.0182131823	0.0200240413	-0.0831200575	0.0567558893	0.050247139	0.0046075789	-0.0739662184	0.0313893946	-0.0951916922	0.002796142	-0.0589630427	-0.0135620706	-0.1134314617	0.0820974584	0.012033386	-0.0212861224	0.0029784082	-0.0111881675	-0.0049245276	0.0131516197	-0.0085406778	0.0709444057	0.0786120365	0.0252265077	0.0161122584	-0.0027534324	-0.1292843781	-0.0055381351	-0.0999266923	-0.0482087318	0.1153118061	0.1148374968	0.1140484259	0.0631934400017257	-0.0078430645807827	0.0039934108592517	6.151366201832958e-05	0.035320714822447	0.0389754081492838	0.0012475528955686	0.0015190824404032	0.0635730242563283	0.0214358828907847	0.0004594970753074	0.0040415294130957	-0.0021409517790922	-0.0009139157394464	4.583674520398056e-06	8.352419788080426e-07	-0.0008848397337111	0.0002292171748512	7.829413543539304e-07	5.25405132467656e-08	0.0012510545217486	-0.0004752652452574	1.5651374163876182e-06	2.2587705334957657e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
859495.2291704919	-2017.1989236787197	4069091.497690584	738732048966.8364	1124327.4161618943	674.3990225770976	1264112138733.2815	454814.04165294464	854694.2778485041	52.67472947167698	2774.627124914356	730502308586.976	871196.9065033784	870672.2922585227	1.11525	21.75856	0.1062352746957343	0.055591424387047	0.0004749993	0.0566646858	0.0954876824	-0.0076790168	-0.0977840085	0.0454485746	0.0487716835	0.1224296554	0.0434588359	-0.0258755237	0.0661735777	0.0776477263	0.0418458163	0.0166984163	-0.0326850518	-0.0138639744	0.0788220767	0.0141971186	0.0173111557	-0.1146686378	0.0338429049	0.0670063466	-0.0175590341	0.0519793372	-0.0074114479	-0.0731496617	-0.0260178224	-0.0165460859	-0.036030554	-0.037834156	0.0215709184	-0.0058409281	-0.0861660984	0.0471128135	0.1370215882	-0.0977127406	-0.1299369815	-0.0386232339	-0.1842262726	-0.0826877754	0.0085728961	-0.0503297631	0.0716790747	-0.0703958453	-0.038433968	-0.0197197784	0.0502191364	-0.034365087	-0.0797743095	-0.0082383589	-0.0684709868	0.122807927	0.0435795861	-0.0317404837	-0.0776736891	-0.0768178604	-0.0550148607	0.0254363728	0.0196792488	0.0288362519	0.0052976315	0.0449684341	0.0199289306	-0.0861501852	0.0959566882	-0.0699940394	-0.0042285253	-0.0210779477	0.015330875	-0.0076401163	-0.0486254242	-0.0238170105	-0.0666147483	0.0362152448	-0.0463285281	-0.1022035555	-0.0445234195	-0.0232149371	-0.0827005538	-0.0904144578	-0.0579571324	-0.0240905666	-0.0172409596	-0.007891711	-0.0293730039	0.0313500887	-0.0947224584	-0.0854791104	0.0494226466	0.0475383019	-0.1111720705	-0.0817292639	-0.0102634532	0.0148207808	0.1151599564	0.1142313295	0.112689161	0.0669034489910558	0.00371000898933	0.0044760714868988	1.3764166700910082e-05	-0.0087164059922173	-0.0440371208146643	7.597573342116164e-05	0.0019392680096453	0.0468091617585884	-0.0167638624977398	0.0002810270858431	0.0021910976245416	-0.0016008475557659	0.0005401042233263	2.5627128968016564e-06	2.917125720549057e-07	-0.0008582162745449	2.6623459166199995e-05	7.365351738937272e-07	7.088085779743186e-10	0.0015188124871361	0.0002677579653874	2.306791371080546e-06	7.169432802845364e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
858523.7250460644	-971.5041244275636	943820.2637797669	737062986466.9703	1122874.8774779737	-1452.538683920633	1260847990471.1746	2109868.628285885	854123.2645210057	-571.0133274984546	326056.22018085734	729526550996.0199	870422.5715640356	860830.9351029829	0.998829	19.487167	0.0155039120473469	0.011388350326866	-0.0202289914	0.0626430922	0.0586367341	-0.0162786564	-0.0740525298	0.0242737122	0.0260744607	0.1010596098	0.0720636784	-0.0515154523	0.0428368296	0.0745242681	0.0336405862	0.0297677359	0.0358672399	0.002755468	0.0517505209	-0.0182429552	-0.0124115587	-0.0438220498	0.0552292661	0.0406630968	0.0682473727	0.0513499677	0.1411910577	0.0106949209	0.0616461757	-0.0362656794	0.0346690582	-0.0412498709	-0.0141376211	-0.005773048	0.0220662481	0.0028153738	0.0891545365	0.0145555666	-0.0624863073	0.150705932	0.0198051169	-0.1196590478	0.0163015184	-0.0723154826	0.0415613646	-0.0770673243	-0.0095561526	0.0085162392	0.015513694	0.0196785179	-0.0883307966	0.0186800795	-0.0821969246	0.1176088378	-0.0232488556	-0.0841956859	-0.0719315907	0.0156721441	0.0490775551	0.0011475027	0.0477020571	0.0238420514	0.0082946693	0.0909847502	-0.1085558544	-0.0656160966	-0.0478026661	0.0820704773	0.0448289089	0.0624085685	0.063957738	0.0245412765	-0.0500631307	-0.0057134086	-0.0541269335	0.0212812824	-0.0592745967	-0.027432412	-0.0897657184	0.0788785957	0.0592471126	-0.0801062493	-0.0885481708	-0.0178460251	-0.0177459733	-0.0159378012	0.0201855103	0.0136693881	-0.0369053689	0.0528997324	0.0251627042	0.0572862	-0.0712217431	-0.012320041	0.0009137173	0.0369597382	0.1149575937	0.1134247617	0.1108851636	0.066992879700507	8.943070945120757e-05	0.0044880459305666	7.997851792946307e-09	-0.0086169241882032	9.948180401410032e-05	7.425138246524137e-05	9.896629329899865e-09	0.0458498444159118	-0.0009593173426766	9.202897639601e-07	0.0021022082329633	-0.0016797578752815	-7.891031951560014e-05	2.82158651957022e-06	6.226838526054104e-09	-0.0008589502729146	-7.339983697000028e-07	7.377955713400659e-07	5.38753606722262e-13	0.0017262818130749	0.0002074693259388	2.980048898153164e-06	4.3043521205500074e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
856823.8610057841	-1699.8640402802266	2889537.755437816	734147128788.8593	1117843.9066629957	-5030.970814978005	1249574999663.588	25310667.341160454	852892.8974379377	-1230.3670830680055	1513803.159097273	727426294500.0804	868841.9203009828	848793.6488687095	0.993763	19.388338	0.1557219553838046	0.0796587489940538	-0.0589981647	0.0510836713	0.071544974	-0.0518694507	-0.0586025711	-0.0454204892	-0.0359093964	0.1704397637	0.106732524	-0.0105049287	0.035440692	0.1136127611	-0.0447436371	0.1131795304	0.081872011	-0.013581546	0.0072052421	-0.0925781252	0.0512677583	-0.0753173533	0.1477808416	-0.0471734404	0.0261801927	0.1779922201	-0.0727983273	0.0824478859	0.0109629482	-0.0014229971	0.0319122658	-0.1017080664	0.0542534013	-0.0788530332	0.0088571261	-0.0199620087	0.0008961087	-0.0681796174	-0.0213537341	0.1386268097	0.0838379237	0.0142976656	0.0946247975	-0.0363494016	0.0477643031	-0.1296853226	0.0632587209	0.0150718154	0.0346464753	0.0427214472	-0.1137340014	0.1186370927	-0.0506033416	0.0992918657	-0.009822174	0.0114792118	-0.1090308895	0.0270870422	-0.0141149029	-0.0648129623	-0.0318567605	-0.1314945691	-0.0386726218	0.0681682292	-0.0741250102	-0.0074081039	0.073427951	0.0437094309	-0.1767408812	-0.0181168362	-0.0101505645	0.0012859354	-0.1049169857	0.0190431111	-0.0328113422	-0.0080833642	-0.0657900471	-0.0433933305	-0.0764781258	-0.0061376662	-0.1221970398	-0.0409970112	-0.0825426703	-0.0748244638	0.021920621	0.0002933379	0.0301449739	0.0434144969	0.0113915052	-0.0260975828	0.1136276494	0.0107455481	0.0314967781	-0.0415960348	-0.0789932485	0.1367784773	0.1147048067	0.1124192083	0.108643553	0.0668109082994306	-0.0001819714010764	0.0044636974677949	3.31135908097121e-08	0.0261739078467115	0.0347908320349147	0.0006850734519681	0.0012104019936816	0.0990090996015453	0.0531592551856335	0.0028259064118913	0.0098028018039087	-0.0022139965083369	-0.0005342386330554	4.901780538927985e-06	2.854109170489024e-07	-0.0009811435589359	-0.0001221932860213	9.62642683241404e-07	1.493119914868323e-08	0.001030915796908	-0.0006953660161669	1.0627873803144567e-06	4.835338964398255e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
857788.6346047828	964.7735989986686	930788.0973248438	735801341657.1376	1117179.654873348	-664.2517896476202	1248090381262.933	441230.4400500662	854901.0170273711	2008.1195894334232	4032544.28546626	730855748914.4335	871315.4375844594	853944.5962146578	0.8952069999999999	17.465502	0.071297309180408	0.0385019939637306	-0.0643792423	0.0490097321	0.0628245869	-0.0592068672	-0.0974646608	-0.0331703125	0.0237751143	0.0623942664	0.0134024099	-0.0276543696	0.0719304991	0.0745701811	0.0428618564	0.0621613252	-0.0055801116	-0.0391732136	0.0700687147	-0.0056872473	0.0587563956	-0.0440970713	-0.0061908071	0.0264078861	0.0243294488	0.0798048546	0.0971725227	-0.0304458175	-0.0782370986	-0.0498944324	-0.1245991442	-0.0741233584	-0.051643122	-0.0010046567	0.045017708	-0.0448516429	0.0305479854	-0.0120794392	-0.0378147496	-0.0385748132	-0.0002612759	0.0347459688	0.0858619704	-0.05138454	0.0773887002	-0.0663775408	-0.0317068329	0.0322727792	0.0655599451	0.0370972394	-0.0398447068	-0.0282734837	-0.031875453	0.0679659927	0.0298900011	-0.0133629259	0.000742085	-0.0514903434	0.1045140262	-0.09161248	0.0431982543	0.0596747441	0.0603748354	0.0267662692	0.0337461039	-0.0373263106	0.0484788543	-0.0025828008	-0.0463865322	0.0019177915	-0.0084348102	0.033368555	-0.0986452364	-0.0340895501	-0.0541391738	0.0187011235	-0.0499213951	-0.0147577287	-0.0910754602	0.0317792104	0.026037908	-0.0754986283	-0.0098146266	-0.0320288282	0.0072405796	0.0366402656	0.0122535876	0.0490059499	0.0031441758	-0.0409561374	-0.0312683028	0.0307901723	-0.0762442575	0.0043575545	0.036877104	0.0071478613	0.1144017065	0.1112164334	0.105973176	0.0508495583974024	-0.0159613499020281	0.0025856775892108	0.0002547646906949	-0.004491208307499	-0.0306651161542104	2.0170952061348038e-05	0.0009403493487512	0.0822670061198209	-0.0167420934817243	0.0002802976941507	0.0067678602959186	-0.0021409517331095	7.304477522740004e-05	4.583674323504572e-06	5.335539188021395e-09	-0.0010096680580675	-2.8524499131600024e-05	1.0194295874817966e-06	8.136470507086506e-10	0.0010879215153979	5.700571848990012e-05	1.1835732236656634e-06	3.2496519405497403e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
855890.2137696911	-1898.4208350917324	3604001.667110391	732548058026.7274	1116200.799869218	-978.8550041301642	1245904225628.682	958157.1191106637	853944.1067791216	-956.9102482495364	915677.2232049892	729220537502.7917	870059.3483991093	833001.0375046503	1.031882	20.13204	0.0598535784793876	0.0314651328942768	-0.081849895	0.0497718803	0.0243720919	-0.0664977985	-0.0301635065	0.0045215979	-0.0900767081	0.1160864873	0.0435547526	-0.0824173034	-0.033373706	0.0636230476	-0.0041977727	0.0215100359	-0.0743210969	0.0035426247	-0.1463914708	-0.0461631265	0.0964611957	0.0138776745	-0.0332747826	0.0553536395	-0.1298757281	-0.0181484965	-0.0108607167	-0.1611867506	-0.0055335751	0.111559113	0.0938284656	0.0569801148	-0.0653357225	-0.0760152241	-0.0914806375	0.0524789748	-0.0983775363	-0.0322501824	-0.0182162618	-0.0306485432	-0.0265287921	-0.0657832574	0.0249528582	-0.0854662666	-0.0387789028	-0.0828299499	0.0102576677	-0.031682819	0.0388418512	-0.0826996038	0.0222857236	0.1839956932	0.0306554303	-0.0448825226	0.0066030229	0.0340626165	-0.0072378596	-0.0798585276	-0.1368889834	0.0745149904	0.0925334264	0.0830997416	0.0799680916	-0.1506997838	-0.0627836823	0.0654045169	-0.0469799976	0.0011534692	0.0502769498	-0.0291392441	-0.0076506559	0.0139203369	-0.1052368962	-0.0229627114	-0.0202281343	-0.0006876174	-0.0799519373	-0.0068582195	-0.084088831	-0.0315521732	-0.0601234872	-0.0319176384	-0.0454662311	-0.0628414444	0.0580325914	0.0489966589	0.0079060413	-0.0125477566	0.0589989694	0.0609757561	-0.0070891592	-0.0331424413	0.0768249851	0.026629946	0.0364124098	-0.051412688	0.1140484259	0.1098185471	0.1028845713	0.0567559435603186	0.0059063851629162	0.003221237129422	3.4885385692716645e-05	0.0205808457833001	0.0250720540907991	0.0004235712131559	0.0006286078963319	0.0947459932955183	0.0124789871756973	0.0001557251209312	0.0089768032455544	-0.0022208174677456	-7.986573463609993e-05	4.932030225043979e-06	6.3785355689639316e-09	-0.0011083760675811	-9.870800951359985e-05	1.2284975071865428e-06	9.743271142136918e-09	0.0012372708122477	0.0001493492968497	1.530839062840083e-06	2.2305212469529667e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
857099.661043791	1209.447274099919	1462762.708827725	734619828961.3813	1114620.4874552588	-1580.3124139590657	1242378831054.9988	2497387.325713129	855910.0475413749	1965.9407622533615	3864923.080689329	732582009482.2787	871999.1359854883	839374.7143131933	0.983963	19.197134	0.116447547971152	0.0613191596059136	-0.0793606711	0.0753276721	-0.0170112257	-0.0508594573	-0.0114962492	4.95813e-05	-0.1009765765	0.0162723569	0.0760951877	-0.0765670445	0.0371690916	0.0137820728	-0.0869762274	0.0918418931	-0.0041188135	-0.0503004856	-0.1266137158	-0.112344779	-0.0602082192	0.1081809145	-0.0207338341	0.0157080678	-0.0047113249	0.0037689909	0.0003688626	-0.1247103491	0.1182681515	0.0267862632	-0.0802247345	0.1100742949	0.0395865448	0.0723725993	-0.1081398434	-0.0232978658	-0.1558257422	0.0831593873	-0.1193041421	-0.0012490805	-0.0451292662	-0.0676332945	-0.0891404323	-0.0868629808	0.0118254684	-0.0028845992	0.0592672838	-0.0205501183	0.0516626212	0.0673416459	0.0442630742	0.1229872223	-0.0491260076	-0.1306189656	-0.0587533267	0.0250808493	-0.0260233718	0.1161726944	-0.0177462229	0.0091326375	0.1673210584	0.0219765557	0.0508726275	-0.1437424731	0.0481574797	0.0139215304	0.0177364905	0.0045658802	0.04741309	-0.0206178671	0.0016189694	0.0192990894	-0.0642142487	0.0040388225	0.0436742187	-0.0104533963	-0.0666017626	-0.0205904604	-0.0352241309	0.0064357488	0.0314389174	-0.0258883156	-0.0197712457	-0.0401961973	0.0614567789	0.026738171	-0.0040882462	-0.0642573042	-0.03823159	0.0501753971	0.0354525548	-0.0066172513	0.0668241268	0.0236145893	0.0697350956	-0.1463793177	0.1136451198	0.1082280018	0.0993899282	0.0439344843217952	-0.0128214592385234	0.001930238912622	0.0001643898170051	0.0492134686995058	0.0286326229162056	0.0024219655014372	0.0008198270950616	0.0570595091941754	-0.0376864841013429	0.0014202710839207	0.0032557875894801	-0.001725970915364	0.0004948465523816	2.978975600682444e-06	2.448731104039556e-07	-0.0008580733327605	0.0002503027348205	7.362898443947118e-07	6.265145905867153e-08	0.0012382611593471	9.903470993999786e-07	1.5332906987476242e-06	9.807873772899512e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
856868.8781253445	-230.7829184464645	53260.75544666747	734224274299.7865	1116339.1983755506	1718.71092029172	1246213205829.7668	2953967.227530011	853716.3544119988	-2193.693129376159	4812289.545872166	728831613790.5134	869585.7330006142	835515.8291079038	1.081198	21.094202	0.2188381998528757	0.135541680423539	-0.0848948966	0.06442404	-0.0091868636	-0.0390376985	-0.0191129114	-0.0832620426	-0.1013625918	0.1113737534	0.0607164952	-0.0882162321	-0.0384141913	0.0691815236	-0.1373123938	0.0342041461	-0.0420815631	0.0364028457	-0.2067760131	-0.1097521452	0.143668304	0.1454388514	-0.0328565156	0.0019620345	0.0280616598	0.0631600343	-0.0647332032	0.0133243813	-0.0034128463	0.0688302826	-0.0666121105	0.0175936432	0.0039383336	0.0125578089	0.0237280777	-0.0711937593	0.0572987583	-0.0089250523	0.1243145741	-0.0516426115	0.0387316278	-0.0193741503	-0.1501947151	-0.0934382719	-0.0377543212	-0.0918026653	0.135231877	-0.0642405788	-0.0051397965	-0.0492905736	0.0130235064	0.1957335959	0.079536656	-0.0687857829	-0.0128223746	0.0492561151	0.0991670352	0.0899378182	-0.0711541347	-0.0808546249	0.0071706128	-0.0847544781	0.070301735	-0.1094229024	0.0655393684	-0.0457400041	-0.0823111768	0.1923316895	0.0293102977	0.1115618045	-0.0901345206	-0.0126177501	-0.1453663967	0.1370285473	0.0753012507	-0.0308336109	-0.0374299166	-0.0496213837	0.0180438765	-0.0339575903	-0.0535029841	0.0437648939	-0.0544336278	-0.1483247156	0.0324532813	0.0256258921	0.009404695	-0.0226174563	0.0913369486	0.0685543242	0.0718371781	-0.0947859804	0.1495644979	0.0580930136	-0.0730627653	-0.1088594539	0.1131919653	0.1064475877	0.0955030384	0.0437250472181602	-0.0002094371036349	0.0019118797542303	4.386390037901615e-08	0.155037154644333	0.1058236859448271	0.0240365193202108	0.0111986525069494	0.141110558794054	0.0840510495998785	0.0070645789388412	0.0199121898031701	-0.0015150367236098	0.0002109341917541	2.295336273886318e-06	4.4493233250997546e-08	-0.0009562347280127	-9.816139525219992e-05	9.143848550575224e-07	9.635659517858621e-09	0.0009722762022628	-0.0002659849570843	9.453210134865732e-07	7.07479973951369e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
