global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05
958281.2395183474	n/a	n/a	918302934012.8204	1356272.8583233173	n/a	1839476066224.501	n/a	949036.1163174916	n/a	900669550074.9875	n/a	972151.4156994376	966349.9007888348	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0505699152579239	n/a	n/a	0.0025573163291936	-0.1110354278514051	n/a	n/a	0.0123288662381445	-0.1234271418198886	n/a	0.0152342593378268	n/a	-0.0005382039373874	n/a	2.896634782193004e-07	n/a	0.0025989866092219	n/a	6.75473139491475e-06	n/a	-0.0017678051379875	n/a	3.125135005895004e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0
951326.6256947388	-6954.613823608612	48366653.435528	905022348755.7375	1319350.1849459135	-36922.67337740376	1740684910516.8162	1363283809.3344402	946039.0784940944	-2997.037823397201	894989938037.9553	8982235.71487343	967937.1282807676	962167.5211193492	1.292342	24.018181	0.0847293523145675	0.0472660796094607	-0.1117920736	0.0764653515	-0.1151269916	0.1069691545	-0.0304849134	0.0809499008	0.0725998061	0.1507748254	-0.104856136	0.0479219	-0.0114327687	-0.0923866575	-0.000655123	0.1236374285	-0.0147930243	0.0005173822	-0.0460505612	0.0558469255	-0.2035574087	0.1902121964	-0.0356544518	0.091549477	-0.0886808368	0.06529614	-0.0218906848	0.0778630113	-0.0803098294	0.0343658845	-0.0859030857	0.0243805242	-0.0818737004	0.1987988347	-0.1285436128	0.0685463456	-0.1053262453	0.0209392414	-0.1046427498	0.0218505744	-0.1004888669	0.2622764313	-0.0001278312	-0.2075702399	0.0125387829	-0.0389220124	0.0104599548	0.0762282521	-0.0815126556	0.087917308	-0.0848580826	0.0569003114	-0.0323512555	0.053901286	-0.0185818459	-0.0230935206	0.1804130631	-0.138133238	0.0119668626	-0.1361113534	0.1221189391	-0.1011904174	0.0805353663	-0.0630237787	0.0263987364	0.0818814164	-0.1701211782	0.1996432747	-0.0089299362	0.0606469042	-0.1210840431	0.0650151496	-0.1704655558	0.0184110698	-0.070264206	0.1642366934	-0.1200204774	0.0408167948	-0.0450584314	0.0200088331	-0.1292658312	-0.0870951115	0.104125513	-0.0139720728	0.0592871054	-0.183102248	0.0185490087	-0.1373769068	0.1692701904	-0.096262597	-0.0393848396	0.0507374838	-0.1339027991	0.1110747819	-0.1503339363	0.1200421572	-0.1460910065	0.0832658981	-0.1054360127	0.1089659495	-0.1000870905	0.0949245816	-0.1565857136	0.1463210009	0.0159207279	0.1158504512	0.1158311377	0.115798951	0.0	-0.0334761494627429	0.0170937657951809	0.0002921968290604	0.0011206525828519	-0.1498992454210679	-0.0388638175696627	0.001510396316088	0.0224697837778055	-0.1295384349968174	-0.0061112931769287	0.0167802061414246	3.734790429437627e-05	-0.0001341587918821	0.0004040451455053	1.7998581439264623e-08	1.6325247960639904e-07	0.0026471262304057	4.8139621183799705e-05	7.00727727970189e-06	2.317423127719737e-09	-0.0017688298867543	-1.024748766799942e-06	3.128759168275229e-06	1.0501100350580018e-12	0.0	0.0	0.0	0.0	0.0	0.0
949864.5990583918	-1462.0266363470582	2137521.8853882933	902242756544.3594	1326004.0955528845	6653.910606971011	1758286861423.0232	44274526.36556132	945038.501441226	-1000.577052868437	893097769206.2781	1001154.438726887	967169.963759925	954261.3257404808	1.054869	19.604752	0.2564023908986927	0.1259128992577364	-0.0995595097	0.0308829497	-0.1009346831	0.0582476665	0.0058012153	0.1026747241	0.1021576413	0.1900509038	-0.0166166461	0.0974812613	-0.0845570136	-0.0842145342	0.002718995	0.1310312663	0.0101034177	-0.0454073854	-0.0848173756	0.0968347662	-0.2127046269	0.1109944607	-0.0113439565	-0.0551075748	-0.0371970346	-0.0946675133	0.0700464426	0.1069424313	0.0688228301	-0.026825232	0.0892523711	-0.0291102643	0.0170433956	0.0956412706	-0.0311024964	-0.0725095711	-0.0801458399	-0.1281626812	-0.1475652087	0.1157794801	0.0011843237	0.0455214297	-0.0908604048	0.0464735038	0.0082928236	0.0371268162	-0.1753895511	-0.0287098032	-0.0657975672	0.0768713205	-0.087801386	0.0330860282	0.0396945703	0.0722908558	-0.027532467	-0.0142497268	0.1393412744	-0.2352080114	0.034351858	0.0879115239	0.0096556565	-0.1464378673	0.1356859257	-0.1352225217	0.0798693014	-0.0992717641	-0.1057979681	0.0456542405	-0.0561586668	0.0450825843	-0.1447396847	0.087664473	0.0371327048	0.0814445012	0.0304580814	-0.1532115214	-0.0204162713	-0.0326524111	0.0483117231	-0.0574528826	-0.1977046447	-0.0707965159	0.0782159435	-0.0113684721	0.0397417963	-0.2162873831	0.0459092391	-0.0384618101	0.1656791994	0.0797393867	0.0376367785	0.0999786456	0.0476689576	0.1170592066	0.0695664197	-0.007118813	-0.1173267135	0.0829252536	0.022721227	-0.0605895101	-0.0223335674	0.0003114643	-0.189984009	0.0330159843	-0.060603275	0.115798951	0.1156251942	0.1153357926	0.0	-0.0236577459305493	0.0098184035321936	9.64010479209918e-05	0.0005596889425144	-0.0782758524525348	0.0716233929685331	0.0051299104203249	0.0061271090771709	-0.0390553509904663	0.090483084006351	0.0015253204409885	0.0081871884913003	0.0007310930937582	0.0008652518856403	5.344971117409363e-07	7.486608256040949e-07	0.001998922593698	-0.0006482036367077	3.995691535596339e-06	4.201679546410879e-07	-0.00159273520127	0.0001760946854842	2.536805421364588e-06	3.100933825581449e-08	0.0	0.0	0.0	0.0	0.0	0.0
947242.5828878962	-2622.016170495539	6874968.798340092	897268510836.1329	1312381.3752253605	-13622.720327524004	1722344874038.4084	185578509.12193567	945043.9099760968	5.408534870832227	893107991782.909	29.252249449008172	967104.7109685156	937455.1197663835	1.156278	21.489437	0.1595862156251068	0.0745372563925962	-0.0305495112	0.0039583422	-0.1481097717	0.0668884658	0.1513585168	0.0413145681	-0.0470497917	0.1672537119	-0.0976972474	-0.0002190523	-0.0334934766	-0.0709818313	0.0611097913	0.0849092214	0.0407316613	0.0019620892	-0.0420620093	0.0857118338	-0.1460566592	0.0301709688	-0.0499666397	0.0676342311	-0.0864933005	-0.0538830171	-0.0648098879	-0.0225126304	0.0462003218	-0.0253062215	-0.1091851386	0.0616853851	-0.0965066328	0.197182215	0.0212990901	-0.0529608057	-0.0378803082	-0.0894565578	0.0468464836	-0.206380562	-0.1740274476	0.0534623844	-0.0411163649	-0.0781891751	0.1477800463	-0.0672632029	0.142650496	-0.0210341911	-0.0754567976	0.0027797191	-0.1205761738	0.0057591788	-0.0147515105	0.020031806	-0.0151972135	-0.0374921898	0.0366149546	-0.1394165033	-0.0567618405	-0.1121194015	-0.0525293557	-0.0902539168	0.0677056855	-0.1192846166	-0.0452415613	0.1438109433	-0.1200544167	0.0884526166	0.0124412948	0.0058332103	-0.2022732865	-0.2165480072	0.0590997933	-0.1468603171	-0.236374256	0.168381304	-0.0280855278	0.081757351	-0.0848915262	0.114406335	0.0019087514	-0.0773197594	0.0927887718	-0.0169734692	0.0442479136	-0.0984439971	0.007400187	-0.1728277132	0.1941489538	0.0251900838	0.0147930657	0.0597218986	-0.1479153887	0.0469800562	-0.147648264	0.0339957162	-0.0215125717	-0.0736212851	-0.0098244024	0.140260375	-0.0388920012	-0.0542939618	-0.0512896809	-0.019278862	-0.1602968955	0.1156959735	0.1152136733	0.1144113283	0.0	-0.0343812342571112	-0.0107234883265618	0.0001149932018899	0.0011820692690423	-0.1228623098934491	-0.0445864574409143	0.0019879521871304	0.0150951471923539	-0.0866248956784119	-0.0475695446879456	0.0075038725512957	0.0022628615818184	0.0004026197639477	-0.0003284733298105	1.621026743213017e-07	1.0789472839679753e-07	0.0022202972913623	0.0002213746976643	4.929720062030767e-06	4.900675676596039e-08	-0.0010084487253511	0.0005842864759189	1.0169688316622583e-06	3.413906859417274e-07	0.0	0.0	0.0	0.0	0.0	0.0
946981.9134137556	-260.6694741406245	67948.57474874971	896774744332.7777	1306361.8834134615	-6019.491811899003	1706581370435.5664	36234281.673519135	942689.5433773904	-2354.36659870646	888663575193.0728	5543042.081104623	964182.11763895	935521.3328466322	1.170974	21.762569	0.1644629178490713	0.0819407342499927	-0.01345905	-0.0504579541	-0.0629693516	0.0570927813	0.081418739	0.0066748537	-0.0522129019	0.0882667252	-0.0747433136	-0.0185740304	-0.041423677	-0.0870703679	0.1267947528	-0.0061919339	0.0920231647	-0.0818431014	-0.0542403981	0.0821679378	-0.2462379121	0.0307108496	-0.1059172316	0.0431096025	0.1426222929	0.0542734671	-0.044282353	0.0273254072	-0.0257610119	0.0287361829	-0.0079365623	-0.0783298044	-0.0301261082	0.0828826703	0.0049076067	-0.0040070776	0.0122927632	-0.0292038295	-0.0692909206	0.0639813521	0.0807006421	-0.1002445505	0.1173306735	-0.0781942091	-0.0027156843	0.0419326768	-0.1191019098	0.0052169449	-0.0975728923	-0.0643221858	-0.1033345875	-0.0251529977	0.0826443546	0.0101140234	-0.0814002348	-0.0837965052	0.0121859371	-0.2417519323	0.0963682054	-0.1151475177	0.0648715681	0.0130977515	-0.0034198956	-0.014018875	-0.0011387547	-0.0375730255	0.0183465643	0.1192603268	-0.0036656841	-0.059270126	-0.0567951023	0.0539765323	-0.0950341107	0.0401934162	0.0250983908	-0.0737515562	0.0326888852	-0.1778508246	-0.1029214629	-0.0556566669	0.1016224532	-0.0707249407	0.0588273684	-0.0190514696	0.0425523992	-0.0652383146	0.0228514831	-0.0235853531	0.1877417925	0.0757946427	-0.0347219452	0.0689113073	0.1127503998	0.0798059503	0.0408067074	-0.0132779809	0.0424718289	0.0690289114	0.0882878945	-0.0629433386	0.0122184326	0.0593825609	-0.1310429859	0.0097257715	0.0498864658	0.1155415645	0.1145973067	0.1130292557	0.0	-0.0344878188601995	-0.0001065846030883	1.1360277615490742e-08	0.0011894096497339	-0.0734572789737342	0.0494050309197148	0.0024408570801779	0.005395971834225	-0.0315434692352738	0.0550814264431381	0.0009949904513966	0.0030339635390108	0.0007264318691684	0.0003238121052207	5.277032605434955e-07	1.048542794874617e-07	0.0018689463805225	-0.0003513509108398	3.4929605732681536e-06	1.2344746254795717e-07	-0.0015306832269532	-0.0005222345016021	2.342991141275862e-06	2.727288746635938e-07	0.0	0.0	0.0	0.0	0.0	0.0
949219.3608113558	2237.447397600161	5006170.857027733	901017394939.1188	1313824.253079928	7462.369666466489	1726134167981.0308	55686961.03899919	945712.3589707536	3022.8155933632515	894371865910.0276	9137414.111480026	967521.7280271284	929864.0650883646	1.266993	23.547071	0.0616824638080599	0.0336639336411611	-0.0499372955	-0.156037999	0.0105799424	0.0234346736	-0.0455275995	0.0872367192	-0.0078163746	-0.0017350902	0.0653306822	-0.0804677972	0.0906161207	-0.0686125036	0.0657372637	-0.1176436639	-0.0579251783	-0.0183489094	-0.0595050581	0.1170589841	-0.165679132	0.1194650522	-0.1143312579	-0.0656162959	-0.0078935719	-0.102265552	-0.0227366691	-0.1736066046	0.1475243869	0.1198668346	0.0106510901	-0.064877005	0.0189969688	-0.1457602595	0.1044347788	-0.0995098188	-0.0273804695	-0.1709419278	0.2157734725	-0.1130901081	0.1187445954	0.0787220472	0.0077071746	0.1441871874	0.0233433374	0.0794730856	0.052925675	-0.0975073285	-0.0864631597	-0.0817894543	0.0771967867	0.0238774131	0.0567487415	0.1235503442	-0.030358583	-0.0036055505	0.1204461403	-0.2038438983	0.0093340241	-0.0459581676	-0.1332754429	0.0744394769	0.0110159075	0.0166377809	-0.1699460048	-0.0093435012	0.0023779863	-0.0871091848	-0.118402843	-0.0566453634	0.0767150897	-0.0855518241	0.2592771429	-0.0265587247	-0.1228304182	-0.1582816085	0.0484413592	0.0697266334	-0.0215702329	-0.0921866612	0.010893747	-0.0599658876	0.0661954022	-0.0047804109	0.049521756	-0.0400428406	0.0175450103	0.0670972912	0.1961535876	0.0065008681	-0.0992026859	-0.0746393134	-0.1007730239	0.0931603645	0.1768296023	-0.0462849669	0.0688238899	-0.220522131	-0.1297215429	-0.0809691363	-0.000523945	-0.0366205661	0.0121358768	-0.2153782461	-0.0455503382	0.1153357926	0.1137771902	0.1111951025	0.0	-0.0342785152631535	0.0002093035970459	4.3807995736393066e-08	0.0011750166086462	-0.0731944140000706	0.0002628649736636	6.909799437917019e-08	0.0053574222408137	-0.0476470298491591	-0.0161035606138853	0.0022702394534466	0.000259324664445	0.000180741267354	-0.0005456906018144	3.26674057247301e-08	2.9777823290856216e-07	0.0019608853133525	9.193893283000004e-05	3.845071212121532e-06	8.452767369919261e-09	-0.0012661780691283	0.0002645051578249	1.6032069027414702e-06	6.996297851597527e-08	0.0	0.0	0.0	0.0	0.0	0.0
950459.895144886	1240.5343335302314	1538925.4326672954	903374012278.8276	1312854.823392428	-969.4296875	1723587787304.7632	939793.9190063477	946106.9560953318	394.5971245781984	895118372371.9741	155706.89072538225	967760.7743783084	956444.9844674416	1.30879	24.323881	0.1472617987333929	0.0746575729291507	-0.1185150011	-0.0711255166	-0.0337802599	0.0383101149	0.031280708	0.0178893464	0.1306401887	0.0686741002	0.0140451672	-0.1405962753	0.1283303277	-0.074113476	-0.0377032742	0.0044520268	-0.1383888667	-0.0509838775	0.0017147302	0.0604545612	-0.0186440812	0.0376080657	0.0396575304	0.1028428259	-0.1097202078	0.1235310205	0.1054956331	0.1601168349	-0.0630938499	-0.1266872133	-0.1430995383	-0.0361794226	0.0027457661	0.0123389142	-0.059287047	-0.1398788673	0.1738652517	0.1222254816	0.110382832	0.1344227847	0.0146116481	0.1286840532	-0.0304557419	0.1303320293	-0.0963935861	-0.0787470546	-0.1045179552	-0.0499076908	-0.0788086709	0.046366066	0.0935423063	0.1331396636	-0.0031362733	0.0147224546	-0.0353923126	-0.1401503466	0.0144016119	0.0885337292	-0.0190457135	-0.0960599466	0.2259523401	-0.0935358641	0.120877448	-0.0122495419	-0.0551652003	0.1566975179	0.024297583	-0.0369766155	0.0382925497	0.0911521779	-0.0008945069	0.1110961297	-0.1373980121	-0.1766734609	0.0715872861	-0.0431709484	0.1712016534	0.0992628815	0.1981351303	-0.0492573263	0.051404868	-0.0796873759	0.0839576356	-0.0074940796	0.0621731736	-0.0612907924	-0.0166177724	0.0349257858	0.152352358	-0.0628672999	-0.1448253147	0.0261238422	-0.0329071317	0.0871622019	-0.1049568611	0.1116395547	-0.0125116316	0.0799979857	0.0330542881	-0.0802636061	-0.1693290856	0.1193577538	-0.0218231572	0.0048337229	0.047105551	0.1150787493	0.1127547821	0.1089162049	0.0	-0.0342532003597995	2.5314903354001217e-05	6.408443318224221e-10	0.0011732817348885	-0.1263612721547957	-0.0531668581547251	0.0028267148060446	0.0159671711005783	-0.0919069240172518	-0.0442598941680927	0.0084468826823128	0.0019589382317707	-8.053263248092318e-05	-0.0002612738998349	6.485504894307443e-09	6.826405073494946e-08	0.002279036768483	0.0003181514551304	5.194008592097435e-06	1.0122034840165439e-07	-0.0008494087939493	0.000416769275179	7.214952992384044e-07	1.7369662873322907e-07	0.0	0.0	0.0	0.0	0.0	0.0
948035.4175076204	-2424.477637265576	5878091.81360087	898771152848.8481	1315209.4432842548	2354.619891826762	1729775879704.079	5544234.834986272	944229.8018138356	-1877.1542814961867	891569918633.3953	3523708.196539465	965959.476600408	941861.7914565004	1.054845	19.6043	0.3068225907319605	0.1554950592481287	-0.0718939678	-0.1078219044	-0.0390371365	0.0211076067	0.0328007681	0.107107645	-0.0042907365	0.0296583156	0.0561124466	-0.1990342033	0.0179390466	-0.0959673176	0.0667857675	-0.0429676407	-0.0950009541	-0.0751819089	-0.0195687613	0.0836685447	-0.1120347314	0.1342279019	0.055321432	-0.0175398915	-0.0575407606	0.0575812596	0.1349105308	0.0616502377	-0.0613216548	-0.1410736126	-0.0170951435	0.0767202696	-0.0537922621	-0.2561441471	0.0809866672	-0.0431787505	0.0650930582	0.0041354001	0.0171000844	-0.0582326789	0.0255522857	-0.1393030928	0.0909011629	-0.0843141536	0.0467830342	-0.084348409	-0.072949799	-0.0806516	-0.1051070088	-0.0443599523	0.0471658799	0.0793875757	0.0892095278	0.1118761087	-0.0110173593	-0.0565280026	0.1312344758	-0.1035524249	0.0586057855	0.0313139995	0.1085645393	-0.049039435	0.0588955602	-0.0258985803	0.1151500982	-0.0237265259	0.1231671438	-0.0838072555	0.0705465247	0.0913689306	0.2078548082	-0.0118022026	0.2307553209	-0.0169607733	-0.0060782035	0.0883354528	0.1627066839	-0.0138254009	0.0625374783	-0.0719276177	0.0083908197	-0.0683051132	0.0605585059	0.0020696109	0.0680873317	-0.0538047225	0.0107500853	0.1236832499	0.1378007715	0.0614393111	0.0398435559	-0.0474423826	0.0071902993	-0.0404478395	0.0698108244	-0.0613330904	-0.0038634966	-0.0038383489	0.0847038913	-0.0886305473	0.0896865699	-0.0344748244	0.0423309252	-0.080911932	0.0307257999	0.1147705489	0.1115319001	0.1062016776	0.0	5.875533308596914e-05	0.0343119556928854	0.0011773103034705	3.4521891660431804e-09	0.0023895086147689	0.1287507807695646	0.0165767635487724	5.709751420054788e-06	-0.0323439304155925	0.0595629936016593	0.0010461298347286	0.0035477502067913	0.0008470287785259	0.0009275614110068	7.174577516510782e-07	8.603701711889687e-07	0.0018090198573366	-0.0004700169111463	3.272552844238133e-06	2.2091589676360278e-07	-0.0011357676851531	-0.0002863588912038	1.2899682346380313e-06	8.200141457146977e-08	0.0	0.0	0.0	0.0	0.0	0.0
949764.8982804352	1729.4807728148298	2991103.743536181	902053362005.6456	1301388.8131009615	-13820.630183293251	1693612842864.329	191009818.66335645	946907.6939679414	2677.8921541058226	896634180895.6847	7171106.389021522	967977.6021655822	936213.9381518316	1.20741	22.439722	0.1639355740388497	0.105039642350353	-0.0664640144	0.012762801	-0.0126756184	0.0839953041	-0.1323405858	-0.0554231754	0.0907142867	0.0448638236	-0.0533183249	-0.1403426205	0.0618381326	-0.0555157794	-0.020861661	0.0913492531	-0.109860515	-0.0105659438	-0.025510539	0.0514692986	-0.0436112925	0.0597590379	-0.0555519077	0.0071521811	0.0264640339	0.0673660396	-0.1000963121	-0.0245125437	-0.0216430825	0.0641046482	0.025367752	0.0447533788	0.0174658952	-0.0398788878	0.1051387867	0.0183164375	0.0807174044	-0.0529229915	-0.0459769463	0.1284064611	0.013590592	-0.030349847	0.1098233784	-0.0735371775	-0.148030824	-0.1312063465	0.2246337794	-0.0121262667	-0.0350168018	0.0913370304	0.0001286404	0.1338137527	0.0093646158	0.0471795791	-0.0108679033	0.0246033792	0.012710093	-0.0778487755	-0.0235562425	-0.0781267014	0.0308179778	0.113801919	-0.0210137575	0.0435943917	-0.0069250281	0.0656272957	0.0101874907	0.0310355882	-0.0693202816	-0.086281248	0.0255176654	0.0875801517	0.0259876155	0.0120965819	0.0186788079	0.1931244561	0.0680400891	-0.0783826352	0.028964527	-0.0833126035	0.2097252487	-0.0658758501	0.079395285	0.0018087527	0.0097368992	-0.0737638178	0.0509473697	0.0250641583	0.0929221901	-0.1378158179	-0.0913279982	-0.0388915747	-0.0929599045	-0.0600840682	0.0470371617	-0.0165817	-0.0547460911	-0.0210996329	-0.074419816	-0.0100923316	0.0934319803	0.1278156934	0.0554417289	0.0509159736	0.0431330671	0.1144113283	0.1101107184	0.103062378	0.0	-0.0211252851353407	-0.0211840404684266	0.0004487635705679	0.0004462776720494	-0.0959229581592495	-0.0983124667740184	0.0096653411231924	0.0092012139020211	-0.0590892748794971	-0.0267453444639046	0.0034915424057847	0.0007153134504929	0.0006469644902421	-0.0002000642882837	4.185630516342204e-07	4.0025719446503416e-08	0.0018621663215101	5.314646417349999e-05	3.467663408966457e-06	2.824546654145118e-09	-0.0010351039909604	0.0001006636941927	1.071440272102148e-06	1.013317932852143e-08	0.0	0.0	0.0	0.0	0.0	0.0
947899.0246462508	-1865.8736341844776	3481484.418744791	898512560925.3135	1298242.3952073315	-3146.417893629987	1685433316713.6692	9899945.561354963	945295.2392083802	-1612.454759561224	893583089270.0288	2600010.351631644	965674.3002660454	931320.6464962264	1.084426	20.154064	0.1428071648945514	0.0795303603528661	-0.0266548946	0.0610213487	-0.0707757611	0.0650365111	-0.0006829446	-0.0672568992	0.0125590599	0.0068092152	-0.0843535349	-0.1045317152	-0.0314251591	-0.0844736746	0.0130054356	0.121406859	-0.013044183	-0.0657392389	-0.0083112006	0.0458343601	-0.0152998695	0.0964692361	-0.0470394638	-0.0287254948	0.0988554719	-0.0122552274	-0.0327527775	0.0042941162	-0.017490112	-0.05234211	0.1012618659	-0.1411802214	-0.0730197745	-0.1334184878	0.0061777506	0.0245913213	-0.1807627059	0.0520306619	0.0015323448	-0.0229544392	-0.0017395544	-0.0428317978	-0.069423452	0.0873930102	-0.1052788187	-0.0053253663	-0.0041135656	0.1638675252	-0.0527754042	0.0859296483	-0.082995371	0.0776197245	0.0904062831	0.0667619892	-0.0095202456	0.0553184162	0.0535063368	-0.0397802375	0.0417500518	-0.0277372696	0.0568252882	0.1075097751	0.0315538817	0.0299494891	-0.0008800783	-0.1108571834	0.1539504934	0.0794874731	0.0706863669	0.0400418353	0.0855834449	0.1041368582	0.0719280308	0.0739333469	0.0215066047	-0.1374361839	-0.0389830791	0.0064585559	-0.0212440486	0.1192912724	-0.0527651892	-0.0699999633	0.0623988984	-0.0030976034	0.033805273	-0.070917224	0.0273691493	-0.0167208478	0.0782568406	0.0038857477	0.0120523577	-0.0002889583	0.0681944107	-0.0715228864	-0.0042062543	-0.1365225601	-0.0843241334	0.0869002911	0.0246730334	-0.0472693	0.0313087536	-0.0429989524	0.1063560163	-0.0206507625	-0.049476172	0.1140012473	0.1084937639	0.0995108621	0.0	-0.0032192787152496	0.0179060064200911	0.0003206250659163	1.0363755446459114e-05	-0.0254462618889732	0.0704766962702763	0.0049669647171727	0.0006475122441222	-0.0433451096247381	0.0157441652547589	0.0018787985283805	0.0002478787395691	0.0011447726466959	0.0004978081564538	1.310504412623136e-06	2.47812960631931e-07	0.0017239847816874	-0.0001381815398227	2.972123527489752e-06	1.909413794777243e-08	-0.0008974877482484	0.000137616242712	8.054842582559833e-07	1.8938230258168103e-08	0.0	0.0	0.0	0.0	0.0	0.0
