global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50	motion_outlier51	motion_outlier52	motion_outlier53	motion_outlier54	motion_outlier55	motion_outlier56	motion_outlier57	motion_outlier58	motion_outlier59	motion_outlier60	motion_outlier61	motion_outlier62	motion_outlier63	motion_outlier64	motion_outlier65	motion_outlier66	motion_outlier67	motion_outlier68	motion_outlier69	motion_outlier70	motion_outlier71
1037703.5818121306	n/a	1076828723705.7252	n/a	1487136.3235583408	n/a	n/a	2211574444846.618	1013991.2412052116	n/a	1028178237240.8856	n/a	1047137.5210368033	888179.9834333882	n/a	n/a	n/a	n/a	0.0654888182	-0.0024630417	0.0008586608	-0.0245834498	0.0632804518	-0.0891246011	0.0498515604	-0.1214514142	0.0660159064	-0.0414861219	0.0216228109	-0.0348254266	0.1348752077	-0.0953984445	-0.0072632178	0.0907597686	-0.0570860916	0.0113225708	-0.0541325363	-0.0016478277	-0.0482059007	-0.0882135916	0.0254916476	-0.0301700677	0.00323097	-0.0825791913	0.1532878693	-0.0180578216	-0.072552573	0.0319090693	-0.0875770383	0.080734212	-0.0492731465	0.0077892641	-0.0277702523	-0.0013644003	0.1010050503	-0.0562530652	0.0346834393	-0.008171563	0.0990960095	-0.080356293	-0.0314867782	0.0008103576	-0.0361562028	0.0499448491	-0.0578686842	0.1186405565	0.0912511644	-0.0125068358	0.015504567	-0.0483042215	0.0686261034	-0.0331590636	0.0362119648	-0.0612704159	0.0131158039	-0.0471916765	0.0353495693	-0.010670922	0.1199593927	-0.0005548201	-0.0710875007	0.0066318868	0.0188188868	-0.1237170119	0.1154637225	0.1154447293	0.1154130763	-0.036805212327593	n/a	n/a	0.0013546236544792	-0.5279839971753972	n/a	0.2787671012733099	n/a	-0.78089192583451	n/a	n/a	0.6097921998335298	-0.0085890903336038	n/a	n/a	7.377247275880623e-05	0.0067791547584103	n/a	n/a	4.595693923847701e-05	0.0040862448958441	n/a	1.6697397348811958e-05	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1041175.4543283266	3471.8725161959883	1084046326695.7974	12053898.768717064	1473800.4333970323	-13335.89016130846	177845966.39448377	2172087717481.2805	1021211.076587948	7219.835382736404	1042872062945.9158	52126022.953812525	1052247.3040138162	920977.2645497532	1.393078	49.848892	0.8847178311293443	0.4050351267192928	-0.0339599306	0.0281861662	-0.0128838964	0.03776671	-0.0727932849	0.0518782448	-0.092176133	-0.0753855602	-0.0086160857	-0.0306046911	0.0335466218	0.0747740164	-0.0624590011	0.0791353011	0.0663791805	-0.0425170987	-0.017891521	0.0218738484	-0.0716679478	-0.061110961	0.0727800099	-0.0535922677	0.0503887121	-0.0948184561	0.1173657318	-0.0767884967	-0.0287766889	-0.2149040378	0.0388471893	-0.0897625008	0.083821258	-0.0069018076	-0.0262457021	-0.076807754	0.0778236095	-0.000562158	0.0652738332	-0.1335351862	0.0502286625	0.0273475655	0.020301919	0.1203688662	0.0223102141	-0.0232500131	0.0116169164	0.0094813498	0.0457647691	0.0043560425	-0.0505167223	0.0261919975	0.0025034316	-0.0642116542	0.1383613327	-0.0621868292	0.0533623547	-0.1355247203	-0.0213972665	-0.0365419258	0.0566768618	0.119156499	0.3276931157	0.0347144348	-0.0466311969	0.165094097	-0.1635992415	-0.2979984278	0.1154130763	0.1152422001	0.1149575937	0.0352526747256121	0.0720578870532051	0.0051923390865724	0.0012427510753098	-0.3353762978368877	0.1926076993385095	0.1124772611507768	0.0370977258444736	-0.6563530723430802	0.1245388534914297	0.0155099260289598	0.4307993555742006	-0.0026708734841154	0.0059182168494884	3.5025290677568405e-05	7.133565168150736e-06	0.0044843428092653	-0.0022948119491449	5.266161881938672e-06	2.0109330431009404e-05	0.0023890058695535	-0.0016972390262905	5.707349044761074e-06	2.8806203123638625e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1036466.562751182	-4708.891577144619	1074262935701.25	22173659.88530354	1435547.3006688398	-38253.13272819249	1463302163.5207114	2060796052457.5923	1015919.9004885992	-5291.176099348813	1032093244208.7653	27996544.514320124	1043098.724079919	915483.3578037624	1.626684	58.208088	0.3422280744010212	0.169928952076312	0.0270097275	0.0274937228	0.0305515032	0.0010713239	-0.0799711961	-0.0918279534	0.1160452902	0.0876722278	0.0218090772	0.0436202595	-0.0918683655	0.027386487	-0.0335187093	-0.0311809259	0.1430209462	-0.0128251147	-0.1130434205	0.0236557172	0.0208280325	0.0221990135	0.00744192	-0.0318228496	-0.0202706652	0.0187935032	0.0312475768	-0.0502259502	-0.0427813137	0.0832502901	-0.0906339277	-0.1297244982	0.0087017281	0.0766103439	-0.0108720413	0.0407313059	0.0221538118	-0.0095431323	-0.006468543	0.0066694297	-0.0485761508	-0.0055596825	0.0048973593	-0.0148298011	-0.0195270202	0.0130326749	0.0549565989	0.0313723451	0.0006384049	0.0888850125	-0.0445691325	-0.0301691267	-0.0011408994	-0.0321754742	-0.0001411215	-0.1043626151	-0.0698351128	-0.0692028339	0.0018044535	-0.0387486623	0.0495344535	-0.021618087	0.0050585843	-0.0039292401	-0.0009921737	0.0221040406	0.0056837997	0.0954002998	0.1153118061	0.1148374968	0.1140484259	-0.0046923320267211	-0.0399450067523332	0.0015956035644439	2.2017979848992545e-05	-0.3911337407172226	-0.0557574428803349	0.1529856031274475	0.0031088924365538	-0.605356373002877	0.0509966993402031	0.002600663343595	0.3664563383351984	-0.004374845023769	-0.0017039715396536	2.903519007949461e-06	1.9139268981996383e-05	0.0061749798990098	0.0016906370897445	2.8582537692197527e-06	3.813037675317508e-05	0.0018730359903886	-0.0005159698791649	3.508263821291004e-06	2.662249162054415e-07	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1034210.5973396532	-2255.965411528829	1069591559649.6422	5089379.9380144365	1449091.239700427	13543.939031587215	183438284.49135163	2099865420976.5205	1010614.4996335504	-5305.400855048792	1021341666869.5714	28147278.232752457	1040661.9824172223	916135.8067783716	0.893553	31.974264	0.2021278696083999	0.1427865283857433	0.0685970384	0.041806673	0.0314808121	-0.0533686403	-0.0483547861	0.0122204725	0.028748628	0.0293912335	0.0793288014	0.0367226898	-0.0159175615	-0.0273459662	0.1130053738	-0.133493855	0.0059050052	0.0548137206	-0.0120483057	0.015784715	0.0196263978	-0.0241073308	7.90434e-05	-0.0907511025	0.0951693097	0.0193245835	-0.0052258477	-0.0776522373	0.0589740383	-0.008977001	-0.1147186422	0.0435594416	-0.0716495837	0.0170028769	-0.0057112739	-0.0194657328	0.0289357668	-0.0250539194	0.0836279263	0.0677016133	0.0054904101	0.0005106565	0.0450994809	0.0504633457	-0.0402021002	0.0298950644	0.0478743973	0.0626716626	-0.0188504484	0.1245065175	0.0070617006	0.0070382248	0.0262897652	-0.0313302968	0.056808762	-0.0387834703	-0.0125805199	-0.0537041832	0.003125816	-0.0498098122	0.0387147168	-0.0125176179	0.0938227542	0.0027969718	-0.029357756	-0.0145840841	-0.036312299	-0.0232598515	0.1151599564	0.1142313295	0.112689161	-0.0196967570888944	-0.0150044250621733	0.0002251327714463	0.0003879622398189	-0.3757533350416793	0.0153804056755433	0.1411905687949445	0.0002365568787442	-0.5882264763200737	0.0171298966828032	0.0002934333603635	0.3460103874439302	-0.0068955416613847	-0.0025206966376157	6.353911538887096e-06	4.754849480389207e-05	0.006026202714743	-0.0001487771842668	2.213465055835757e-08	3.63151191591759e-05	0.0022958250122637	0.0004227890218751	5.270812486935618e-06	1.7875055701810386e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1031357.4408861408	-2853.156453512376	1063698170871.2096	8140501.74821932	1438112.5276809805	-10978.71201944654	120532117.6059399	2068167642272.979	1016040.4995521172	5425.999918566784	1032338296730.1158	29441475.116286747	1044967.0886136256	908191.7095250824	0.832561	29.791771	0.1028727266718834	0.0461889925878483	0.0629615352	0.0471763727	0.0515168254	-0.0483074318	-0.0810513888	0.0238177636	-0.0466040691	0.0591107252	0.0517313535	0.0235178904	-0.0145666516	0.0255431084	-0.0611657705	-0.0589547674	-0.0189094993	-0.1269494155	-0.0751507666	0.034200379	0.048256494	0.0723666842	-0.0358487719	-0.0369008717	0.0574337974	0.0216510818	-0.0535125245	0.0027011937	-0.0188891221	0.0483556777	-0.0858881944	0.0216015003	0.0817654842	0.0053346603	-0.0139635985	0.1408196028	-0.0310884576	-0.0057910189	-0.0106727234	0.059462843	-0.0113279828	-0.0072818522	0.0635933165	0.0318663812	-0.0453881564	0.0375942097	0.045937958	0.060293475	-0.0197383461	0.1366719543	0.0334328943	-0.0192099877	0.0128004514	-0.0210703382	0.0035641761	-0.0579542828	0.012634109	-0.0312747004	0.0063198385	-0.0252701105	0.0372873806	-0.041270993	0.0144293935	-0.0164244361	-0.0409158482	-0.0481806405	0.0024282531	0.0679868955	0.1149575937	0.1134247617	0.1108851636	-0.0332431708080775	-0.0135464137191831	0.0001835053246512	0.001105108405375	-0.3573637527608184	0.0183895822808609	0.1277088517872953	0.0003381767364645	-0.6020285239227832	-0.0138020476027094	0.0001904965180274	0.3624383436166451	-0.0075606368151229	-0.0006650951537381	4.42351563526039e-07	5.716322905019175e-05	0.0061527805819905	0.0001265778672475	1.6021956476925857e-08	3.785670889011936e-05	0.0019448043718668	-0.0003510206403969	3.7822640448322185e-06	1.2321548998464984e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1033846.2521477232	2488.811261582421	1068838073079.8936	6194181.495779483	1456877.9848176143	18765.45713663381	352142381.54684067	2122493462646.233	1017256.682247557	1216.182695439784	1034811157577.3073	1479100.348687178	1050505.3365441875	906550.1399167352	1.091089	39.042732	0.4432243962318023	0.3149542425006649	0.1209896957	-0.0147231144	0.0068791559	-0.0394855102	0.0558124685	-0.0811052572	0.0130010293	-0.0069213358	0.0764508447	-0.0497846421	-0.0227572982	-0.007749685	0.1725648148	-0.0638572813	0.0333278597	0.1952418387	-0.1480745088	-0.0407474672	-0.0312723712	0.1120367979	-0.0114051864	-0.0305648556	0.1508600696	0.0124766132	0.0129103795	0.038359851	-0.0318540519	-0.1921020767	-0.0418532309	-0.003895306	-0.1203788503	0.1923414837	-0.027682596	0.0043482452	-0.0847198211	-0.0766852185	0.0714948309	0.0176301666	0.0361814895	0.0374384841	-0.0056544407	0.1952001621	-0.0638339118	0.0325503637	-0.002635261	0.0734670375	-0.0432776605	0.1314988217	0.154818038	0.0191281892	0.0556775303	-0.0285843452	0.0556027304	0.0463599537	0.0864787181	0.0198214225	0.0065731525	-0.0292427503	0.0333372443	0.0187044296	0.0393091116	0.0285730284	-0.0679665714	0.0081998872	-0.0156840024	-0.0742794046	0.1147048067	0.1124192083	0.108643553	-0.0477440610071084	-0.0145008901990308	0.0002102758165643	0.0022794953614504	-0.4546278328088249	-0.0972640800480065	0.2066864663644488	0.009460301267585	-0.5930477620291583	0.0089807618936248	8.06540841899841e-05	0.3517056480477932	-0.0128659532930195	-0.0053053164778966	2.8146382930641197e-05	0.0001655327541381	0.0067478017329878	0.0005950211509973	3.540501701341517e-07	4.553282822771316e-05	0.0024940400247957	0.0005492356529289	6.220235645282937e-06	3.016598024482352e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1039620.3549663884	5774.102818665211	1080810482460.4396	33340263.36051753	1485682.429631295	28804.4448136806	829696041.0243714	2207252281715.1475	1022917.422679153	5660.740431596059	1046360053620.561	32043982.23390634	1062583.1302405908	940943.9758675988	1.742973	62.369282	2.23492538782961	1.6100014095399744	-0.1292906204	-0.0102009962	-0.1979381759	0.0116448652	0.0253302773	0.0194364692	-0.1025656736	-0.1253990476	-0.098605454	-0.1235989637	0.0614239842	0.1257022122	0.0886904038	0.078691246	-0.0355395142	0.0343630559	0.033485888	0.0242362905	-0.1136910423	-0.101939524	-0.1549731543	0.0669503624	-0.1563225703	-0.0732986688	0.0919940583	-0.0466357871	-0.0612804664	-0.2379303776	0.1268636086	0.0243509438	-0.0603718178	-0.0208413734	-0.079245027	-0.0482302738	-0.0485009464	0.2013064898	0.0305851237	-0.1368072831	0.0593471569	-0.1022066953	-0.042538608	-0.0209228757	0.083636695	-0.1093286212	-0.045929662	-0.0729972146	0.0157278217	-0.1764867289	0.0850945019	-0.0219926592	0.0142378976	-0.2002764617	-0.0622326101	0.196428406	0.0927073394	0.0746495738	0.0273929985	0.0146390199	-0.2609977816	-0.0603350184	-0.013159265	0.205627693	-0.0550664046	-0.106281061	-0.137072151	-0.0077061318	0.1144017065	0.1112164334	0.105973176	-0.0182060298129442	0.0295380311941642	0.0008724952868274	0.0003314595215498	-0.4811749236586564	-0.0265470908498314	0.2315293071579138	0.0007047480325892	-1.1832944774309624	-0.5902467154018041	0.3483911850426183	1.4001858203186144	0.0111058018538304	0.0239717551468499	0.0005746450448205	0.0001233388348165	0.0109624231385818	0.0042146214055939	1.776303359249114e-05	0.0001201747210693	0.006079534480028	0.0035854944552323	3.6960739493849326e-05	1.2855770488501567e-05	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1035277.5206321628	-4342.834334225627	1071799544726.2784	18860210.05452894	1444971.189298561	-40711.24033273384	1657405089.4296143	2087941737902.898	1011754.6719869708	-11162.75069218222	1023647516287.4628	124607003.01581465	1048643.6257741782	923982.6565768914	1.64197	58.755066	1.6292609402131168	1.0357610903431873	-0.1160777653	0.0180441137	-0.0521398715	0.0121893138	-0.0052464222	0.1021798475	-0.06254279	0.0222452656	-0.0802246077	-0.1238379961	0.2304909416	-0.0457896024	-0.2550044498	-0.0613491399	-0.1573097528	-0.0745162718	0.2506534906	0.155923389	-0.0282676063	-0.1496058525	0.0167309814	0.1525500155	-0.1589847619	-0.0536865759	0.0477810537	0.0446757389	-0.1009548795	0.0717842114	0.0317219458	0.1785354512	0.0003149948	-0.2684823746	-0.0709469796	-0.0540877437	0.1425692359	0.1332966185	-0.1299652585	-0.1143584609	0.0233125566	-0.0813025897	-0.051746353	-0.0866845755	0.1242051559	-0.0873492382	-0.040278861	-0.0891319943	0.097619093	-0.0983822294	-0.0227169443	0.033609844	0.0192255816	-0.0319261211	-0.089450242	0.3640441317	0.1688293208	0.102863138	-0.0625008474	-0.022210814	-0.1013939325	-0.0883202579	-0.3561392098	-0.0835902208	0.0601362677	-0.3464268562	0.0080460795	-0.0539578806	0.1140484259	0.1098185471	0.1028845713	-0.013995660499205	0.0042103693137392	1.77272097580767e-05	0.000195878512809	-0.2808360308577278	0.2003388928009286	0.0788688762279226	0.0401356719687019	-0.9581279390355631	0.2251665383953992	0.0506999700129668	0.918009147560536	0.0304059324794758	0.0193001306256454	0.0003724950421669	0.0009245207299464	0.0145487710342158	0.003586347895634	1.2861891228518429e-05	0.000211666738606	0.0071839587528096	0.0011044242727816	5.160926336206967e-05	1.2197529743091658e-06	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1036076.5715005612	799.0508683983935	1073454662012.3575	638482.2902882268	1425271.5201214028	-19699.66917715827	388076965.6894796	2031398906069.1743	1018128.9090798046	6374.237092833733	1036586475504.033	40630898.51565744	1049455.875387089	914168.3870230264	1.380256	49.390095	1.4696449706223915	1.1460333445665911	-0.0719662553	-0.0671015151	-0.1048119429	0.0649811502	0.0624328687	-0.0737810872	0.003634637	0.1264457677	-0.0643870447	-0.0577192429	-0.0064264304	0.1479757026	-0.0175521454	0.0403950197	0.1009356401	-0.1345808762	0.0012216175	0.1412222708	-0.0600764946	0.0336257935	0.0585820542	0.2710773342	-0.1339967547	-0.0040730636	0.1157510835	-0.0742955151	-0.0354333409	0.0055751759	-0.00100017	-0.1254186811	0.0465360878	-0.0499727059	-0.0977661189	0.0653419353	0.0345195683	0.1109251572	-0.2768098519	-0.0888903204	0.0518121766	-0.044119316	0.0195068778	-0.0300667356	0.0800208989	-0.0918855766	-0.0176694995	-0.0866975373	0.043910107	-0.2036459596	-0.135508435	-0.0087287907	-0.0273504208	-0.1648223978	-0.0809841674	0.1624066671	0.0402904881	0.0790593978	0.0531646728	0.0212524741	0.0235114556	0.0383245652	-0.10388274	0.0359709411	0.084392649	0.0447427738	0.0781935208	0.0113708724	0.1136451198	0.1082280018	0.0993899282	0.0215936464028061	0.0355893069020111	0.0012665987657655	0.0004662855649694	-0.2628097086046779	0.0180263222530498	0.0690689429368757	0.0003249482939708	-0.8881559076028225	0.0699720314327406	0.0048960851828244	0.7888209162097933	0.0103649781104418	-0.0200409543690339	0.0004016398520217	0.0001074327712299	0.0104393854531914	-0.0041093855810244	1.6887049853531252e-05	0.0001089807686403	0.0044131525021762	-0.0027708062506334	1.9475915007464056e-05	7.677367278549121e-06	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1042285.6889669928	6209.117466431577	1086359457425.3988	38553139.71194568	1464267.4920750898	38995.97195368703	1520685828.612745	2144079288347.8733	1018724.227931596	595.3188517914386	1037799052574.8264	354404.53529827687	1054050.7694735588	914658.1078849712	1.06015	37.93565	0.4744886686192349	0.35772460140844	-0.1160927276	-0.024769978	-0.0277898144	0.0203523026	-0.0131446279	-0.0874981448	-0.0090914408	-0.0221639852	-0.0584863532	-0.0278487194	0.0229896768	0.0498603186	-0.1112414746	-0.0038693343	-0.1045279536	-0.0716959181	0.13246475	-0.0835840779	-0.0755029073	-0.1871461206	-0.0159342103	0.0393043814	-0.0344745071	-0.0310528915	-0.1261340492	0.0375465599	-0.1085713353	0.0898761187	0.0454123043	0.1159288001	0.0247432175	-0.1421753728	0.0603379608	-0.1296857022	-0.0284600854	0.1438806772	0.0120863029	0.0342116267	0.0388644458	-0.0160860732	0.0090014256	-0.0530404502	0.065000145	-0.0896000576	-0.0217065312	-0.0669371008	0.0366456538	-0.0537259289	-0.1811178854	-0.0346280438	-0.0234133352	-0.1400981163	-0.0783300777	0.0611790865	-0.090428807	0.0362625572	0.089649571	-0.01210659	-0.0260387981	-0.0255856907	0.0025959052	-0.0023168693	0.1434271785	0.0460124903	-0.0284809682	0.0824699413	0.1131919653	0.1064475877	0.0955030384	-0.0182992683170652	-0.0398929147198713	0.0015914446448469	0.0003348632209399	-0.2757114577227497	-0.0129017491180717	0.0760168079196036	0.0001664551303056	-0.8455475530284957	0.0426083545743267	0.0018154718795315	0.7149506644324768	0.0043349976365211	-0.0060299804739207	3.636066451586491e-05	1.879220450864352e-05	0.0105452045414076	0.0001058190882162	1.1197679430907922e-08	0.0001112013388201	0.0029672390601738	-0.0014459134420024	8.804507640221096e-06	2.090665681763228e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
