global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26
1001856.4165717064	n/a	n/a	1003716279425.9004	1523709.5371575342	n/a	n/a	2321690753624.827	999222.5503057452	n/a	n/a	998445705039.5176	1055991.5549019135	1174722.5951799664	n/a	n/a	n/a	n/a	-0.0499470679	-0.0711922858	0.0696495357	-0.0711369613	-0.204426374	-0.0008934655	0.2781379992	-0.2196782433	0.4719846027	-0.1726930217	0.0817174749	-0.1431344359	0.060768083	-0.1438029703	-0.0222664414	0.0698836361	-0.0401826438	0.0117767432	-0.0629373755	0.0023591468	-0.0089068905	0.0275305638	-0.0442979174	0.1669397686	-0.0178492852	0.2206618154	-0.0650856769	0.1576759175	-0.0039398165	0.0078644886	-0.1586474001	0.0996964385	-0.1531045685	0.0441090341	-0.0687539444	0.0645431316	-0.0385298628	0.0964412505	-0.0623733283	-0.1235160551	0.1190537936	-0.0390478152	0.0541949621	-0.3733014935	0.0543676008	-0.017511706	0.1150004503	-0.0787945414	0.0928183956	-0.1718821913	0.0940245976	-0.1942262107	0.1607459416	-0.1814005161	0.256401517	-0.0989943666	0.0292634119	0.2165395439	-0.1863380247	0.2377450622	-0.0699406702	-0.157662608	-0.0902215942	0.0923290241	-0.0294721753	0.0079104706	-0.0848810497	0.0961555433	-0.0591144044	0.1181193161	-0.0644940805	0.0174430024	-0.0539293916	0.0863951328	-0.0604018379	0.1011440861	-0.0789048849	0.0982155733	-0.1320011226	0.0050377445	-0.0680358704	0.1684132944	0.0786492342	-0.0584171786	-0.1485812934	0.1154637225	0.1154447293	0.1154130763	0.0188131040980721	n/a	0.0003539328858048	n/a	-0.1240337178621757	n/a	n/a	0.0153843631667138	-0.0586778578218911	n/a	0.003443090998566	n/a	0.004301047638533	n/a	n/a	1.8499010788930293e-05	-0.0015201946354359	n/a	2.3109917296080887e-06	n/a	0.0020067800652184	n/a	n/a	4.027166230157965e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
996986.0458010216	-4870.370770684793	23720511.44394078	993981175521.9568	1469217.306849315	-54492.23030821909	2969403163.963991	2158599494745.5544	992132.3185437998	-7090.231761945412	50271386.43809953	984326537499.0958	1046129.9826415732	1173337.5628526476	1.252098	28.804283	0.0663457940066991	0.0417507966976297	0.0446470477	0.0434648911	0.1019587	-0.1753527551	0.0329827468	0.1347166278	0.1233903407	-0.0771843824	0.0668306475	0.1063765051	-0.0842414945	-0.122821614	0.0428067983	-0.1761640136	-0.0054477324	0.0589701222	-0.0465085639	0.0888253144	0.0344737015	0.0320105125	-0.0270590394	0.0566047792	-0.0485889271	-0.1310210736	0.0414942542	0.0656003173	0.0180661215	-0.0954389761	-0.0708622036	-0.0064184183	0.0649334	-0.0623268187	0.0411234499	-0.0582676604	-0.0513742907	-0.1407504481	-0.0152930617	0.1352448217	0.0635407501	0.1123673141	0.0515134764	0.0700654919	0.0629421676	-0.1920934342	-0.0816775644	0.0111448216	-0.0339973682	0.0252821391	-0.1353690436	0.0225660314	-0.0465967356	0.015814433	-0.0250251511	-0.0383689864	0.0546792328	0.1049359868	0.0322993458	-0.0706244461	0.0359280353	-0.0155516379	-0.0109701013	-0.1371527992	-0.0981222131	0.0574757551	-0.0396597775	-0.0072807343	-0.1098103541	0.0904690768	-0.07292907	-0.0037681391	-0.0323262065	0.0046036551	-0.084054934	0.0004374974	-0.0586377131	0.0462174294	-0.0624431958	0.0862523434	-0.0981031207	-0.0302641641	-0.0280623891	0.1044624027	0.0749433552	0.0657803111	-0.10350685	0.1154130763	0.1152422001	0.1149575937	0.0246602608022925	0.0058471567042204	0.000608128462837	3.418924152370957e-05	-0.1283025785783706	-0.0042688607161949	1.8223171814272104e-05	0.0164615516698589	-0.0504676981774423	0.0082101596444487	0.0025469885593294	6.740672138733555e-05	0.0044179598806111	0.0001169122420781	1.366847234772826e-08	1.951836950668924e-05	-0.001560849784955	-4.065514951910013e-05	2.43625205119407e-06	1.652841182420387e-09	0.0012039551179789	-0.0008028249472394	6.445278959101058e-07	1.4495079261075867e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
996511.7640075648	-474.28179345687386	224943.2196046688	993035695805.4684	1481175.1690068494	11957.862157534342	142990467.37859187	2193879881282.469	995622.2817121728	3489.963168372982	12179842.916599983	991263727841.7532	1050262.0944868573	1185443.8102213542	1.17359	26.99822	0.0978851559641924	0.0525173378604359	-0.0777231107	-0.0846453874	0.0878426725	-0.0969851453	-0.0768326211	-0.0564591937	-0.1322638889	-0.1177171929	0.0694098409	-0.0799471344	0.0442185933	-0.1565800861	0.0805921077	-0.0369415617	0.0989758991	0.037516856	0.0532565483	0.0443947465	0.1067632305	0.0655202241	-0.0079722817	0.0347778356	-0.007278765	-0.0076425043	-0.0133272787	-0.0170184589	-0.0040559462	0.0634874487	-0.0425002028	0.0040848773	0.0290712663	-0.0488589551	0.1256614086	-0.0324657182	0.0949493386	-0.0610982829	0.1099588485	0.0213245273	-0.0543760952	-0.0779775892	0.1861203953	-0.0072299601	0.0579307516	-0.0066190391	-0.102849296	0.0901295835	0.0381115024	0.0265953195	-0.0732578485	-0.0061165856	-0.0107301734	-0.0280762325	0.1076415689	0.0468571127	-0.0186617976	0.0766782721	-0.028215748	-0.119715367	-0.0030648284	0.0222151326	-0.0390754648	-0.1345656992	-0.0667221409	0.016296635	-0.0237817886	0.0338552545	-0.157555236	-0.0080753958	0.0786268002	0.0753628962	-0.0163481339	-0.0671511703	-0.1204176215	0.0087523711	0.0674653891	0.1084888406	-0.1117283633	0.043014712	-0.0352382979	0.0375668596	0.0369996294	0.0663947868	0.014497841	-0.0232924901	0.0380704179	0.1153118061	0.1148374968	0.1140484259	0.0247276754238754	6.741462158290148e-05	0.0006114579318685	4.544731203165807e-09	-0.1160023302045942	0.0123002483737763	0.0001512961100565	0.0134565406128957	-0.0179482621223741	0.0325194360550682	0.0003221401132134	0.0010575137213396	0.0039929601612032	-0.0004249997194078	1.806247614967931e-07	1.5943730848955888e-05	-0.0016369887505107	-7.613896555569996e-05	2.679732169298583e-06	5.7971420758920654e-09	0.0017627775712906	0.0005588224533117	3.122825343253072e-07	3.107384765845186e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
992125.26305619	-4386.500951374765	19241390.59641172	984312537594.3142	1456465.4546232878	-24709.71438356163	610569984.9171925	2121291620511.0205	990651.4827218432	-4970.798990329611	24708842.60226188	981390360218.9865	1044471.4358330112	1183036.6190863715	1.28819	29.634573	0.0678175049355921	0.0376178248348439	0.1033136631	0.0259194169	0.0195904365	-0.1616915452	0.1015608512	0.0999365537	-0.0574764534	0.0623343131	0.0551053962	0.0515560035	-0.1081138336	-0.1736937103	0.0888220608	0.0481930322	0.0848011738	0.0699297696	-0.0603666723	0.0872084258	0.0026939813	0.0825935901	0.0398451415	-0.0327096044	-0.0381629924	0.0471042128	-0.0735440691	0.0198018601	0.0012338488	0.0855810777	0.0065787887	-0.0546919859	-0.1079013919	0.0382958137	0.0502340452	-0.0480960842	-0.0939772526	-0.0122057422	0.0653051567	-0.0661897181	0.1075113639	0.085066063	0.1725019996	0.0312288841	-0.0808346779	-0.0363948469	-0.0655856044	0.0387102019	0.0993922823	-0.001109721	-0.1060818718	-0.0856992861	-0.062215618	-0.0282842845	-0.0626344977	-0.0667229203	-0.038801778	-0.0283591631	-0.055760257	0.0129211891	0.0716768095	0.0818067818	-0.0168634976	-0.1460305194	-0.0837403388	0.0052394305	-0.0150220651	0.0608847071	-0.0580818695	0.099292587	0.0407789321	0.0118582669	-0.1006817242	0.0537735745	-0.0869075138	-0.0331434234	0.0948081207	0.009209215	-0.0443622556	0.0413225167	0.0465649528	-0.0177902086	0.0104418812	0.0847461416	0.0656763638	-0.0369553639	0.0634590034	0.1151599564	0.1142313295	0.112689161	0.0251419548852851	0.0004142794614096	0.0006321178954537	1.7162747214591002e-07	-0.0959156568976311	0.0200866733069631	0.0004034744445406	0.009199813238104	0.0099659908147202	0.0279142529370943	9.93209729190874e-05	0.000779205517036	0.003883159611713	-0.0001098005494902	1.2056160668349964e-08	1.5078928570039056e-05	-0.0018906349238161	-0.0002536461733053	3.5745004151531103e-06	6.433638123247299e-08	0.0017381783094837	-2.4599261806900093e-05	6.051236814444135e-10	3.0212638355596126e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
991048.51150008	-1076.7515561099865	1159393.9135852768	982177152146.5242	1466762.0552226028	10296.600599315016	106019983.90181436	2151390926640.8335	992184.8823947668	1533.3996729236096	2351314.5569222327	984430840852.7172	1045260.4851299768	1161225.7922402034	1.310293	30.143044	0.1102234861541797	0.0538915198905523	-0.1029463528	-0.0137232677	0.0514424826	-0.0997655465	-0.0502061215	-0.0048580498	-0.1522475109	0.1103334982	-0.0376534669	0.0477584747	0.0497593872	-0.1700683363	-0.0883170707	-0.0113302215	0.0239234436	0.0654943565	-0.1056433462	0.094815877	0.0728190557	0.1055408253	0.001040209	-0.0517341566	-0.0999521925	-0.060550461	0.0561735366	-0.0282915359	0.0022109269	-0.0472715957	-0.1147064385	-0.051629725	-0.1067157324	-0.0826608962	0.0296224334	0.0334483053	-0.0159359113	-0.0216824373	-0.0022918992	-0.0004162098	-0.0695676115	0.0166171174	0.0849763747	0.1804132447	-0.0539547755	-0.0388916598	0.0161823407	0.0567029582	0.0599925534	0.1064139306	-0.1575941469	-0.0469896666	-0.0737925458	-0.0129004348	-0.0410431419	-0.0083280637	-0.0025377788	0.1353697556	0.022535719	0.0149834716	0.1033836934	-0.1199373514	-0.0223296589	-0.1523876097	-0.1086166654	0.0056097453	-0.0233567607	0.0530048611	-0.0603081261	0.0757289964	-0.0228991323	0.0678114067	0.065484475	-0.0421160799	0.034807553	0.0663396788	0.0444458783	-0.0342810253	-0.0500833592	-0.09012141	-0.0048488819	-0.0170616211	0.016002243	0.0741157509	0.0446646726	0.0088179698	0.046544987	0.1149575937	0.1134247617	0.1108851636	0.0243323000579778	-0.0008096548273072	0.0005920608261114	6.555409393820121e-07	-0.0856634453602396	0.0102522115373914	0.0001051078414074	0.0073382258709867	0.0300544539420712	0.020088463127351	0.000903270201756	0.0004035463508189	0.0041897030261302	0.0003065434144172	9.396886492255525e-08	1.7553611447164554e-05	-0.0011479822837354	0.0007426526400806	1.3178633237703449e-06	5.515329438188336e-07	0.001205911230739	-0.0005322670787446	2.8330824311541654e-07	1.4542218964224496e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
990170.9003141376	-877.6111859424273	770201.3936912736	980438411828.9098	1453729.7002568494	-13032.354965753388	169842275.95339698	2113330041408.869	991991.3727957908	-193.50959897600117	37445.96489585278	984046883701.2776	1044852.93586925	1183587.8280707465	1.347417	30.997074	0.1054010253772261	0.0524062538852086	0.1188621065	-0.0583581947	0.0967307383	-0.0323396615	0.1301982721	-0.0218765111	-0.0918329714	0.0977992072	0.0133070002	-0.0505175249	-0.0898588892	-0.1848330597	0.071867597	0.0795972116	0.0235043628	0.0225599078	-0.0246980854	0.0457058846	0.0721754267	-0.0204037306	0.0184618109	0.1264256886	0.0801060777	-0.0446728273	-0.0116964156	-0.0516939238	-0.0468134793	0.0308449362	-0.0276748073	-0.0398561004	0.1570510021	0.0492209693	0.0588153158	-0.0367356392	0.0180633413	-0.0433590572	0.0028629801	0.0149290218	0.0975773517	-0.0321403185	0.2175731964	0.0256470249	-0.084742683	0.0355516243	-0.019216805	-0.0035204549	-0.058642695	-0.0832599191	-0.0556065783	-0.0389040724	-0.075240727	0.1050841819	0.0297285621	0.0149212924	-0.0617551679	0.082067347	0.0359801418	-0.0259423298	-0.016716487	0.04284114	-0.0143041858	-0.1474130604	-0.0832576455	0.0153551113	-0.017891154	0.0573057946	-0.0736470928	-0.0612740405	-0.0096893201	0.0045713828	-0.1387489559	0.0561223589	0.0293368507	0.0260002906	-0.0078680386	-0.0634012047	-0.0583716614	-0.1579489054	-0.0381784066	-0.0169283895	0.0276436628	-0.0412741273	-0.0015933718	-0.0248972628	-0.0067588645	0.1147048067	0.1124192083	0.108643553	0.0243444800419894	1.2179984011598949e-05	0.0005926537085148	1.4835201052280603e-10	-0.0577991500632322	0.0278642952970074	0.0007764189523988	0.003340741748032	0.0102270497191341	-0.0198274042229371	0.0001045925459576	0.0003931259582197	0.0047647295426034	0.0005750265164732	3.3065549464730373e-07	2.2702647614157607e-05	-0.0009088264921941	0.0002391557915413	8.259655929138325e-07	5.7195492627745774e-08	0.0015456718401899	0.0003397606094509	1.1543727173444706e-07	2.389101437556032e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
991408.6390198048	1237.7387056672014	1531997.103506719	982891089523.1016	1471644.601284247	17914.901027397485	320943678.8214475	2165737832489.07	991570.8954067122	-420.4773890785873	176801.2347263457	983212840617.669	1048656.0814166989	1170154.1343664743	1.259023	28.963572	0.0601463235682984	0.0442836013137822	-0.0768685039	0.0858149093	0.13951164	-0.039408959	-0.0890611188	0.1188866194	0.009766283	0.1958036361	-0.0422277067	0.1235412666	0.0526374653	-0.1838400221	-0.0420157814	0.0776332173	0.0278910737	0.1200459298	0.0041108699	0.0579801971	0.1275859358	-0.082790336	-0.0047894763	0.1538525637	0.1120284212	-0.0418543948	0.0367476368	-0.0183481186	0.0344635188	-0.0563010796	0.1090631459	-0.0929597555	-0.0256997718	0.0117028957	-0.0214027084	-0.1022247246	0.1231324076	0.0241713429	-0.0224398181	0.0312891055	-0.1085501418	0.1119199093	0.1243536223	0.1051566123	-0.1186738252	-0.0127296692	0.059364428	0.060553249	-0.0930838302	-0.1702614384	-0.0946316316	0.0757949269	-0.0140206042	0.0501124329	0.1320623863	0.0824963273	0.030281718	-0.0081988285	0.050199566	-0.1043559338	-0.0008916822	-0.1047301869	0.1075484638	-0.1454435027	-0.0915810979	-0.0135106054	-0.0228948589	0.046292099	-0.0839613371	0.0215081969	0.0213274038	-0.045670911	0.0850518739	0.0296408653	0.0620764642	0.0347951229	0.0678348127	-0.1075428744	-0.0792709709	-0.0050674039	-0.0815434597	0.0078315136	0.0344281873	-0.0555191992	0.0457634384	0.0266277335	0.0019786062	0.1144017065	0.1112164334	0.105973176	0.0243566079381736	1.2127896184200432e-05	0.0005932443502539	1.470858658547434e-10	-0.0785351559187432	-0.020736005855511	0.0004299819388397	0.0061677707151813	0.0098291834180059	-0.0003978663011281	9.661284666480215e-05	1.582975935734347e-07	0.0040221991033961	-0.0007425304392073	5.513514531493869e-07	1.6178085627360386e-05	-0.0009089691146721	-1.4262247799998534e-07	8.262248514277812e-07	2.0341171230856296e-14	0.0015083384315657	-3.7333408624200086e-05	1.393783399501497e-09	2.275084824138076e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
990699.4181333524	-709.2208864523564	502994.2657802661	981485337089.7632	1458094.2017123287	-13550.399571918184	183613328.5586405	2126038701067.113	990854.4459613196	-716.4494453925872	513299.8078033458	981792533081.3136	1041987.7715742172	1168949.9911179314	1.295121	29.794003	0.0710891283767182	0.0325308192792092	0.0167655066	-0.1532492245	0.112244739	-0.0787608563	0.0856289867	-0.1051902465	0.0259793601	0.0184038156	-0.0261905537	-0.0803222894	-0.0769696701	-0.1762164856	-0.0960745344	-0.0405925924	0.0379395319	0.0677679405	0.0293985205	0.0382552599	0.0417612578	0.0691900214	-0.000401604	0.0631577029	0.0504824201	0.0376937338	-0.0296990819	-0.0318708246	-0.0076639401	-0.0086765604	0.0951631441	-0.0778087389	-0.1016076981	0.0087131951	-0.0751263657	-0.0630863486	0.1513652254	0.0044295624	-0.0266347526	0.0610120421	0.0643205802	-0.0962531862	0.0774019019	0.1733598251	0.0343079147	-0.0950262714	0.023405798	0.0155413736	-0.0101329959	-0.1228151076	-0.0496445521	0.0031122141	-0.0479409508	-0.0822313703	0.0525358786	0.0394880215	-0.0012961886	-0.0678518527	0.0025884609	-0.0882355126	-0.0562334152	-0.0587748499	0.0969363899	-0.1573832218	-0.1065706789	0.0392824826	-0.0045599452	0.113039114	0.0354735439	0.0593887516	0.0235565005	0.0484294745	-0.0736432778	0.0014560208	0.000188463	0.0951372146	0.0262723461	-0.0491478376	0.1119788996	-0.1055210028	0.0391720084	0.016129027	0.0345890187	0.0693679529	0.0636777211	-0.0267448122	-0.0922180724	0.1140484259	0.1098185471	0.1028845713	0.0423118337306931	0.0179552257925195	0.0017902912736538	0.0003223901332603	-0.0845909493783807	-0.0060557934596374	3.66726344257883e-05	0.0071556287167357	0.0102117053863821	0.0003825219683761	0.0001042789268982	1.4632305629040172e-07	0.0044499234479147	0.0004277243445186	1.8294811489386627e-07	1.980181869230105e-05	-0.0006431820763848	0.0002657870382872	4.1368318338266274e-07	7.064274972153466e-08	0.0012679380712479	-0.0002404003603177	5.7792333240928016e-08	1.607666952519845e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
992589.4542267576	1890.036093405215	3572236.434374447	985233824642.1726	1457075.1666952055	-1019.035017123213	1038432.3661233071	2123068041399.8608	992857.0670861776	2002.6211248580369	4010491.369727668	985765155662.9668	1045198.4348062428	1169678.9507417225	1.153448	26.534843	0.1659824705033477	0.0824067402885054	0.0580884641	0.058443496	0.0535190894	-0.2017373981	0.0901435287	0.0869192063	0.0574827791	0.0235055055	-0.0307318474	0.1120326171	-0.0663227212	-0.1254043123	0.0900975043	-0.1264925511	0.0338903274	0.0035107555	-0.1007750038	0.0699486247	0.0341712527	0.0188504128	0.0569677705	0.0391886204	-0.0534017847	0.0482646186	0.0569672865	0.0450079223	0.0369920852	-0.0560398398	0.0057655954	-0.0773090413	-0.0085021869	-0.0071826631	-0.0445661929	0.0640194634	-0.0151667051	-0.0555024043	0.0902640604	0.0355029674	0.0691812585	0.1049522657	0.0380801947	0.0496406676	-0.0175575021	-0.161574749	-0.1490963718	0.0044275856	-0.0752024303	0.0177343921	-0.1332065172	0.0147478849	-0.0368500857	-0.0144000859	-0.003621648	-0.0346140734	-0.0809821325	0.0485700632	-0.0401738469	0.0349633579	0.0514562849	-0.0539966617	0.0791266611	-0.16027981	-0.0956909153	0.0274163113	-0.0296233992	0.1025461809	0.0046941288	0.0226059594	-0.108185278	-0.1034646643	-0.0181694052	0.0408900711	0.0772305824	0.0453725577	-0.0007099644	-0.1345163098	0.1343844405	-0.0151596943	0.0722778629	-0.0851031853	-0.045703109	-0.0582402207	0.0677075632	0.0276881865	-0.0235764217	0.1136451198	0.1082280018	0.0993899282	0.025879463250888	-0.0164323704798051	0.000669746618154	0.0002700227995855	-0.0390005460334492	0.0455904033449315	0.0020784848771535	0.0015210425909071	0.0165969585317782	0.0063852531453961	0.0002754590325055	4.077145773079079e-05	0.0052979041799735	0.0008479807320587	7.19071321942978e-07	2.806778870018068e-05	0.000236769125828	0.0008799512022128	5.605961894535529e-08	7.743141182757521e-07	0.0010443811348552	-0.0002235569363927	4.997770380928976e-08	1.0907319548414354e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
995515.0047721828	2925.5505454251543	8558845.993837418	991050124726.5592	1488566.6496575342	31491.482962328708	991713499.1666392	2215830670472.656	998421.1289817976	5564.061895619961	30958784.77829	996844750797.2874	1053680.301821608	1160679.454990932	1.358128	31.243467	0.1080423966242234	0.058962494711897	-0.1493280077	-0.0768006499	0.0262157367	-0.1262602072	-0.1493180562	-0.0750255357	0.0111193217	-0.0209913474	0.0276155126	-0.0192076886	0.1365803222	-0.1498598621	0.1359764875	-0.0626949264	0.0435247516	0.0452031832	-0.0567633576	0.0624828763	0.1247551454	0.0555694721	-0.0107593987	-0.0249440234	-0.0352736173	-0.0050925887	0.0830525638	-0.0625528792	0.0959507959	-0.0830181889	-0.0940994527	-0.0261316657	0.0550100316	-0.0871294108	0.0260009217	-0.0181935883	0.0239392921	0.0166030313	0.0213697512	-0.0844143669	-0.1356517986	-0.0378212132	0.1269628393	-0.0397232014	-0.0447952831	-0.131107478	-0.0967571864	0.0274448517	-0.021636309	0.0644512254	-0.129329888	0.0185952646	-0.0347388874	0.0053706105	0.0630282067	0.0826815419	0.0083924877	0.0944731723	0.0098221366	-0.0356423092	-0.0137799634	-0.1480738105	-0.0731877173	-0.1662195746	-0.1046331844	-0.0170552661	0.0100446135	0.1393220727	-0.0679405262	-0.0910173597	-0.0482380342	-0.0089199867	0.1023471233	-0.0389686873	0.0785741287	0.0954790701	-0.0119731542	-0.1288208434	0.0690522217	-0.1087656355	-0.010722458	-0.1139285014	0.0068059963	-0.0762484956	0.0114486434	-0.0279486791	0.107717952	0.1131919653	0.1064475877	0.0955030384	0.049376599996691	0.023497136745803	0.0024380486272332	0.0005521154352509	-0.0390155118505788	-1.4965817129598824e-05	2.2397568235659357e-10	0.0015222101649626	0.0663658277230325	0.0497688691912543	0.0044044230893632	0.0024769403405761	0.0053100206956432	1.2116515669700031e-05	1.4680995197408643e-10	2.819631978815909e-05	1.0061150991669264e-05	-0.0002267079748363	1.012267592771674e-10	5.1396505854390366e-08	0.0005879771279605	-0.0004564040068946	2.0830461750953733e-07	3.457171030046782e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
