global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00
981880.9578249672	n/a	964090215339.275	n/a	1196042.3881429036	n/a	1430517394234.58	n/a	985298.0441232048	n/a	970812235753.0128	n/a	1003164.6708768874	932923.209123884	n/a	n/a	n/a	n/a	-0.0976149046	-0.0695887999	0.0712782217	-0.0638740538	0.1566586346	0.2640484377	-0.073149818	0.3181127175	-0.08012797	0.1326012444	-0.0917294826	-0.1202874388	0.0704695556	-0.0116725611	0.0036290653	-0.2036268387	-0.1132768695	0.0191803276	-0.0185211683	0.2317469963	-0.1871255345	0.0270601173	-0.1522141865	0.0976371584	-0.0626798025	-0.025681709	0.0523360777	-0.0686134276	0.2286519543	-0.0034125679	0.0087606309	-0.1199413652	0.0783317483	-0.0722636925	0.0847061573	-0.0385252764	0.0977662097	-0.0966118764	0.1212036523	-0.0130900149	-0.1587979643	0.0241153425	-0.0266061016	0.1758651994	0.0255469316	-0.1416076127	0.0344706838	0.0223208319	-0.0757783144	0.0796086833	-0.2493480456	-0.0305985113	0.1186791152	-0.2039311415	0.0904257365	-0.2276974304	0.3150516945	-0.0684075627	0.0096399926	-0.0989916125	0.2049012823	-0.1174840049	0.2752707203	0.080596483	-0.1019493023	0.0352975078	-0.0627793705	0.0426234012	-0.013090823	0.132268888	-0.2802840575	0.0785332739	-0.0561160284	0.0968576634	-0.0331539824	0.0626654099	0.0302047344	-0.0642864935	0.1364472396	-0.0758856412	0.0654711927	-0.0120686408	0.2265267898	-0.0237583905	0.0258223916	-0.1208980916	0.0468014983	-0.0056333392	0.1367847177	-0.0043178383	0.0464647532	-0.0174751967	0.117444618	-0.0377071474	0.0425249316	-0.0794497163	0.0764197934	0.0456806926	-0.1108555172	0.1194482629	0.0698696067	0.1154637225	0.1154447293	0.1154130763	-0.032616632129347	n/a	0.0010638446914611	n/a	-0.0814466893251477	n/a	n/a	0.0066335632020271	0.0253819730667572	n/a	0.0006442445567615	n/a	-0.0021280020246823	n/a	4.528392617051968e-06	n/a	0.0011499259210814	n/a	1.322329623974906e-06	n/a	-0.0008707777557477	n/a	n/a	7.582538999050011e-07	0.0
974865.5706505273	-7015.387174439966	950362880839.7782	49215657.20729677	1157750.6271972656	-38291.76094563794	1340386514775.662	1466258956.3178833	977774.509967876	-7523.534155328758	956042992342.92	56603566.18639841	993852.5065331012	928419.766327195	1.362126	23.100208	0.1078723803347513	0.0628168086014774	-0.124453363	0.0216208561	0.128873482	0.0001135648	0.1309079329	-0.0610850087	0.1043470115	0.0444622162	-0.0097671317	-0.1167463142	-0.0293891366	-0.144230293	-0.0784367057	-0.1417558044	-0.1092811817	0.1562553034	-0.025852214	0.0781240972	0.2523321279	0.0117159877	-0.0326698066	-0.0306105004	-0.1592994269	-0.1070910648	0.1123331908	-0.067269994	0.0847168264	0.0411122255	0.0506592434	0.1108961583	0.152352664	-0.0174056153	0.0641387705	-0.079027377	-0.0461689656	0.012524834	0.0574486647	0.0248021497	0.0771194508	-0.0220927749	-0.1016279845	0.1109774244	-0.0513483467	0.0926877246	0.0071978264	-0.1298585049	-0.0880332232	-0.1229008127	0.1097846443	0.0413067968	0.1596638963	-0.0849393673	0.017843267	-0.2103512366	-0.136676024	0.0407025884	0.1174685843	0.1732447378	-0.0599450971	0.0851204453	0.1163764917	-0.0947587083	0.012215719	0.0057009086	-0.0106650075	0.1735149236	-0.0881715093	-0.0893252662	0.0253802359	0.0592969729	-0.1147084076	0.1307107033	0.1138650043	-0.009978658	-0.0221008725	-0.0600423119	-0.0900898021	-0.0630147614	0.0186262949	0.0208803309	0.1689612018	0.0515568544	0.1675780235	0.0415138386	-0.0468999145	-0.1450377526	0.1015302651	0.0147985993	0.1535648054	-0.0007697737	0.0119661117	0.0160543678	0.0126309417	-0.0942153359	0.1143401157	0.0041730761	0.027870935	-0.125885947	0.032985955	0.0337500354	0.0987265343	0.1154130763	0.1152422001	0.1149575937	-0.0327415722069162	-0.0001249400775692	0.0010720105505807	1.5610022982998963e-08	-0.1092927797333231	-0.0278460904081754	0.0007754047510202	0.0119449117018366	-0.0254284793305146	-0.0508104523972718	0.0006466075610624	0.0025817020728154	-0.0018121245745397	0.0003158774501426	3.2837954736506884e-06	9.97785635085908e-08	0.0010096764389913	-0.00014024948209	1.0194465114541524e-06	1.9669917226541248e-08	-0.0007450867389457	0.0001256910168019	1.579823170472063e-08	5.551542485527378e-07	0.0
975369.708884798	504.1382342707366	951346069010.0156	254155.35925361607	1152556.2748209636	-5194.352376302006	1328385966629.1765	26981296.609194294	975944.925500756	-1829.584467120003	952468497610.676	3347379.322326785	991994.53190331	936365.3710402716	1.189349	20.170103	0.1495416564829184	0.0729792591727646	-0.1037014642	0.0956958502	0.1085992995	0.0542725864	0.0924473047	-0.1378139117	0.0543774235	0.0064496789	-0.1155591395	-0.1131560192	-0.06106341	-0.0419280411	-0.1741434124	-0.1969915776	-0.0300204937	0.0486048851	-0.0890608056	0.0844672688	0.1117749955	0.0003158769	-0.2464771965	0.070786457	-0.0459756359	0.0541706374	0.0774360954	0.0406129838	-0.0299809113	-0.1323424391	-0.0318122345	0.1457388171	0.0339826513	-0.1115121919	-0.1064970131	0.0268048477	0.0241672662	0.1384941445	-0.1035339268	0.0913270448	-0.0661533891	0.1980501169	0.0485663506	-0.0171404153	0.0690230497	-0.0839115563	-0.0151131547	-0.0309904794	-0.1603169012	-0.1931651157	0.0064672856	0.0035163508	-0.0057279796	-0.055480078	0.0999569573	-0.1398092525	-0.2273098406	-0.0509442248	0.0598234413	0.0200863316	0.100631081	0.0316568767	-0.0010477046	-0.0614636662	0.0390279739	-0.1170191918	0.1930754445	-0.0960283013	0.1033431735	-0.102302472	0.0037811138	0.1173237188	0.0883130718	-0.0341656353	0.1532968791	-0.0156316645	0.0623369409	0.0308053392	-0.0454043992	-0.0648601708	0.0577300323	0.0115024378	0.091964992	-0.0778066187	0.2548060281	-0.0083103397	0.0361969183	-0.1975598495	0.104885243	-0.0554371812	0.0917410164	0.0760399229	-0.0113506438	-0.0273301438	0.05510664	0.0139047024	-0.0173625656	-0.0204405856	0.0659958633	-0.0563295361	-0.051419145	-0.1355635672	0.0412642416	0.1153118061	0.1148374968	0.1140484259	-0.0185524406843171	0.0141891315225991	0.0003441930553451	0.0002013314533656	-0.0758868458939048	0.0334059338394183	0.0011159564156835	0.0057588133797252	0.0221205487081164	0.0475490280386309	0.0004893186751481	0.0022609100674185	-0.0023717407305415	-0.0005596161560018	5.625154092909528e-06	3.1317024205823094e-07	0.0006080345363415	-0.0004016419026498	3.697059973840229e-07	1.6131621796415148e-07	-0.0008717799419395	-0.0001266932029937	1.6051167684828195e-08	7.600002671680379e-07	0.0
975572.3695233042	202.66063850617505	951741448177.3145	41071.33439973055	1144689.465576172	-7866.809244791511	1310313972601.0625	61886687.69393719	978075.3404195012	2130.4149187451694	956631371536.7231	4538667.726011987	993889.2203016116	923992.06859189	1.350566	22.904171	0.2077104144657463	0.1169010442014932	-0.0118202333	0.1106693946	0.1030661824	-0.0570818875	-0.0255415898	-0.2118112989	0.0974952779	-0.0043901992	-0.0072718322	-0.1310772284	0.0445922638	0.0925621299	-0.1723155029	-0.132414866	-0.0559981727	0.0126113076	0.0299620622	-0.0702880195	0.0813762857	0.0516205208	0.0020344781	0.0565600404	-0.0304942688	-0.0170835832	0.067733678	0.0247527521	-0.0771293659	0.0635961935	-0.0119367451	0.0338496579	0.0460571819	-0.1329003454	0.0172263354	-0.1214313028	0.0104255332	-0.044369939	-0.1806019612	-0.1313754953	0.1271314757	0.0875044773	-0.094039506	0.0145011061	0.0353916598	0.0395183764	-0.187119025	0.1033086217	-0.1382936002	-0.1369721188	0.0752224684	-0.0211209815	-0.006822823	0.0329390075	-0.0700591275	-0.1235379476	-0.0642460892	0.1032102066	0.0387018366	0.0476000084	0.0652171176	0.0661152171	0.0108020865	0.0237000259	0.0296237034	0.1953095252	0.1840472802	0.0029479804	-0.0265055423	0.1005439106	0.1364729761	0.0762354616	-0.0150286988	-0.0891782653	0.123209288	-0.0278760792	0.056602638	-0.0208506126	0.1055721446	-0.0551342002	0.0359207224	0.0383106278	0.1675064483	0.0243336184	-0.0317993471	0.1750309844	-0.1481482056	-0.1918234509	0.0760530617	-0.0105716398	0.0840041124	-0.0438741697	0.0699410895	0.0504905278	0.0196466306	-0.0288650181	0.0949018381	0.1031559961	-0.0976421152	-0.1294666216	0.1513492378	-0.0493304297	0.1997466704	0.1151599564	0.1142313295	0.112689161	-0.0132373333506166	0.0053151073337004	0.0001752269942353	2.8250365968756827e-05	-0.1164580009558307	-0.0405711550619258	0.0016460186230588	0.0135624659866282	-0.0669331078085235	-0.0890536565166399	0.0044800409209074	0.0079305537389836	-0.0015439238159995	0.000827816914542	2.3837007496104577e-06	6.852808440018369e-07	0.0006066897399441	-1.344796397399978e-06	3.6807244055343973e-07	1.8084773504599602e-12	-0.0002455317418093	0.0006262482001302	3.92186808166315e-07	6.028583623590879e-08	0.0
977587.757723936	2015.3882006318308	955677824051.713	4061789.599246009	1153839.1933186848	9149.72774251271	1331344884038.3132	83717517.76210675	981845.8526077096	3770.512188208406	964021278282.9602	14216762.16142814	998388.0394617452	938609.4391787576	1.307757	22.178167	0.1968833668325556	0.1113782922021336	0.1064547811	0.0246167962	0.0627237543	0.022153744	-0.1340365232	-0.0691663257	0.0050146699	-0.0381880092	0.0373306297	-0.0799872677	-0.0184949666	0.0747992229	-0.0143045013	-0.0426365626	-0.0455771093	0.0812156685	0.0168923309	0.0076626224	0.167002248	0.0824234065	-0.0662821298	-0.19801155	0.1375081005	0.1200780069	-0.1078734022	-0.024038701	0.0204258299	0.0497753467	-0.0376273288	0.0377868591	-0.1445005469	0.0593279943	0.0756471188	-0.0007853214	-0.0285384366	0.0609891983	0.0760895108	-0.0800914254	0.0286615212	0.0191865731	0.15599903	-0.1449131082	0.12306286	-0.0952578036	0.0316403036	0.0875732633	0.0055823362	-0.0472175717	-0.0121390423	0.0326810624	0.138844808	0.078869986	0.002558331	-0.1615179398	-0.0740446837	-0.2253375676	-0.1416719548	0.0211669239	-0.0055731882	-0.0661720287	-0.1025019871	-0.0520215407	-0.1621651743	0.0445202098	0.0597215395	-0.1216641148	0.0029402132	0.1165784751	-0.0766269134	-0.0802845854	0.0500136711	-0.0479562887	-0.0562121365	0.0240293826	0.112742883	-0.0255681359	0.0014281985	-0.0889287615	0.0966313429	-0.044332912	-0.0606275788	-0.0471740425	0.1528564164	0.0892487017	0.0223656094	-0.0693231629	0.062750864	-0.0304596748	-0.0525695156	-0.026681695	0.1071674088	0.0091894503	-0.0594308989	-0.0139133965	0.0218824004	0.1404475296	-0.1041795745	-0.0778290334	-0.0872673549	-0.0080664915	0.0138117829	0.1149575937	0.1134247617	0.1108851636	-0.0025894816957361	0.0106478516548805	6.705415452552309e-06	0.0001133767448643	-0.0481441545205854	0.0683138464352453	0.0046667816147782	0.002317859614502	0.0133402886672513	0.0802733964757748	0.0001779633017255	0.0064438181817569	-0.0019728886761035	-0.0004289648601039	3.89228972829742e-06	1.8401085120404426e-07	0.0009297419848275	0.0003230522448834	8.644201583509793e-07	1.0436275292420425e-07	-0.0002445834014636	9.483403457000464e-07	8.993494112824837e-13	5.982104027150453e-08	0.0
976264.2421375836	-1323.5155863524417	953091870476.4705	1751693.5073178469	1154124.1988932292	285.00557454442605	1332002666470.9382	81228.1775213984	980444.4349962207	-1401.4176114888396	961271290115.0586	1963971.3217910845	997627.4746479384	924641.6451032368	1.037244	17.590569	0.1135959796722804	0.0535556836546436	0.1013837651	0.0070050347	0.0716763478	-0.0508405906	-0.0948997393	-0.0786860568	0.067346574	0.0100699069	0.0726777138	-0.038768294	-0.0695620334	0.1049817889	-0.0253560918	-0.1507482384	-0.0245691936	0.1107067411	-0.0829488361	0.0041256429	0.1055132428	0.0448929185	-0.065856946	0.0530353635	0.0823611202	0.0342117235	0.004189462	0.0461016489	0.0930354683	-0.2660590783	-0.0331879591	-0.0128129008	-0.1812431558	-0.1163852981	-0.1051631405	0.0113011335	0.0715987765	0.1306080779	0.0688344783	0.0125137249	-0.0146535817	-0.0600181024	0.009844418	-0.0745607546	-0.0946377244	0.0482123883	-0.112974988	0.0998610771	0.0164175886	-0.1226840185	0.0781084735	-0.0517532475	0.0285931336	-0.0375396635	0.0700509075	-0.1886687377	-0.0842655867	0.0168048894	-0.0921033215	-0.0183893493	0.0322359753	-0.0521466878	0.0724462396	0.0777920146	0.0534100507	-0.2105755335	0.0977317527	-0.1873531546	0.1545944218	0.0237710702	-0.0673012865	0.1118594596	0.002083986	-0.0739272519	-0.0455088146	0.0661857049	-0.039768031	0.1187075555	0.0501932501	-0.0772386561	0.0318785615	-0.0040137888	0.0582689976	0.0561353733	0.1655418684	0.164684249	-0.0760097735	-0.0912769199	-0.0521416024	-0.0053242925	0.0980971459	0.0809753491	0.089915947	0.0976412147	-0.1309364946	-0.0663541721	0.0495633712	0.0375579027	-0.0030911241	0.0398771553	0.1433969574	0.0070217038	-0.1131316127	0.1147048067	0.1124192083	0.108643553	-0.0180380324951556	-0.0154485507994195	0.0003253706162962	0.0002386577218022	-0.0739870065521017	-0.0258428520315163	0.0006678530011228	0.0054740771385407	-0.0190516435484084	-0.0323919322156597	0.0003629651218956	0.0010492372726638	-0.0019927866172657	-1.989794116219988e-05	3.971198501953271e-06	3.959280624943684e-10	0.0006076990478673	-0.0003220429369602	3.692981327788231e-07	1.0371165324595136e-07	-0.0007008954158549	-0.0004563120143913	2.0822065447784602e-07	4.912543839664132e-07	0.0
979300.1871401848	3035.945002601249	959028856532.801	9216962.0588195	1162043.3525390625	7919.153645833256	1350344753180.224	62712994.466314144	985102.4456727136	4658.0106764928205	970426828470.3616	21697063.462321103	1002044.3090156794	932741.6827848888	1.087963	18.450708	0.1171780641229082	0.0603234970074031	0.1085026492	-0.0583517732	0.0181714276	-0.0088943599	-0.1504779119	-0.0131077222	-0.0629937364	0.0954706167	-0.008728205	-0.0274690775	-0.0563256241	0.0622193601	0.0848392923	0.0176796082	-0.0634402688	0.0143615655	-0.0978654285	0.1087820515	0.0978503588	-0.0099047025	-0.0807061036	0.0116386493	-0.006014924	-0.0189671986	-0.0860609362	0.0533084387	0.0261611374	-0.0466179768	0.0165789891	-0.1281348025	0.0398754605	0.1572174691	0.0068479609	-0.052979677	-0.036008514	-0.0735868628	0.0911269836	0.1363696102	-0.0151791376	0.0552345785	-0.09732148	-0.2256822307	0.0756801099	0.0352349313	-0.0826521393	0.0604371541	0.1100806664	0.0141628931	-0.0467758667	0.0962593295	0.0498448474	-0.0620143213	0.0958521415	-0.0589439859	-0.116339114	-0.0434718639	0.0003617185	-0.0775482569	0.0403351789	0.1026582267	-0.0136556792	0.0022124176	0.0268223877	-0.0802049615	-0.0919337693	0.0935143446	0.0914578888	0.0402567069	-0.0071845973	-0.0605956351	0.0762102497	-0.0137917332	-0.036789003	0.0306966076	-0.1406345673	-0.0943288358	-0.1863814748	-0.072615755	0.0522385907	-0.0642886703	-0.0666737956	0.0226566641	0.1245443939	0.0437954936	0.0621438634	0.0155097366	0.0173306995	-0.0137503561	0.0323435217	0.0971574038	-0.0045087735	0.0893835153	0.0313140147	-0.0378372701	-0.1009782873	-0.0250677034	-0.0152225983	0.046904689	-0.0344569314	0.0377594363	-0.0073770371	0.1144017065	0.1112164334	0.105973176	-0.0073208716840298	0.0107171608111257	5.359516221402932e-05	0.0001148575358515	-0.0328994929208619	0.0410875136312398	0.0016881837763973	0.0010823766344498	-0.0088897995698857	0.0101618439785226	7.902853639273997e-05	0.0001032630730438	-0.0014049456571127	0.0005878409601529	1.9738722994398365e-06	3.455569944336006e-07	0.0006061305041635	-1.56854370380005e-06	3.6739418807749865e-07	2.4603293507307784e-12	-0.0001860740056713	0.0005148214101835	2.6504108438343044e-07	3.462353558656299e-08	0.0
979076.3266033318	-223.86053685296795	958590453315.074	50113.53996009901	1167041.8541666667	4998.501627604244	1361986689376.7715	24985018.52116228	983644.8026738472	-1457.6429988663876	967557097827.2716	2124723.112144196	1001276.306003194	939235.5066173736	0.982746	16.666328	0.0464467725261752	0.0302689318126832	0.0603796848	-0.0701322689	-0.0453538624	0.030033745	-0.0518005619	0.0720486179	0.0079462695	-0.0585549793	0.125242297	-0.0035529171	-0.1344713917	0.0623443131	0.061276395	-0.1218652718	-0.0276528909	0.0513726828	-0.0873726598	-0.0294963109	-0.0170581056	-0.0019005927	0.0506304441	-0.0546416645	0.0513755301	-0.0325377098	0.0240082358	-0.0227892849	0.0026457326	-0.046945235	-0.0493702785	0.0496371417	0.1136247878	0.022309356	-0.0220009198	-0.043191407	0.0371552169	-0.0514627478	-0.0136720438	0.1051485002	-0.0288391454	-0.0704710781	-0.0059303735	-0.0226066108	-0.0615832622	-0.0145441943	0.0406147997	0.045362128	0.082583242	-0.1102809877	0.0731780501	0.0106775789	0.0056319455	0.0388719486	0.0996040676	0.0187259186	0.050868406	0.0118388663	-0.0643073375	0.0027554497	-0.0058221928	0.0391447492	0.0275826199	-0.0362212624	0.0104173382	-0.0587653396	0.0282028453	0.0716979408	-0.0305721469	-0.0645214929	-0.0109631917	-0.0435219308	-0.039346393	0.0305762774	-0.0325985818	-0.0506915752	-0.083359272	0.0001186267	-0.0800989695	-0.1020782249	0.0152903981	0.0358259466	-0.0275716111	0.051036692	0.0901824177	0.0219824641	-0.0506734805	-0.0355766884	-0.0532111028	-0.0089722848	0.0255987435	-0.0299503563	-0.0705802113	0.0230678702	-0.0470908527	-0.0511688406	-0.0896493247	-0.1003744743	-0.0801059401	0.0694194259	-0.0329773832	-0.0593453817	-0.1073488299	0.1140484259	0.1098185471	0.1028845713	-0.006103330244386	0.0012175414396438	3.725064007203687e-05	1.4824071572498982e-06	-0.0204714564474528	0.0124280364734091	0.0001544560905843	0.0004190805290799	-0.0076113399157833	0.0012784596541023	5.793249531359613e-05	1.634459087167628e-06	-0.0019359161086631	-0.0005309704515503	3.74777117978128e-06	2.819296204196356e-07	0.0006067761008001	6.455966366000071e-07	3.681772365021731e-07	4.167950171892416e-13	-0.0002849126566647	-9.88386509934e-05	9.769078930195131e-09	8.117522192773723e-08	0.0
979192.0060312366	115.67942790477537	958816984675.4772	13381.730040376122	1157016.9064127605	-10024.94775390625	1338688121724.9546	100499577.46854997	985752.6601473924	2107.857473545242	971708306987.6604	4443063.128780531	1002012.1916013357	936586.3518856956	1.056077	17.909941	0.0902995241969731	0.0462107431116069	-0.0028277383	-0.11486051	-0.0009670303	-0.0760782544	-0.116700405	0.0434595737	0.0311815283	-0.0540714396	-0.1209682054	-0.1350984672	0.0348402044	-0.0314045947	0.1296682195	0.0045847298	0.0150632069	-0.1011666081	-0.0407399964	-0.1490111965	0.1217032842	-0.1473010274	-0.0702533884	-0.0970596084	-0.0387725062	0.0219205916	-0.0073317397	-0.0544771623	-0.0096616536	-0.0317690474	0.0264086839	-0.1913557425	-0.0266664992	0.0918314708	-0.0935091343	0.0332022303	0.0310176311	-0.0324403514	0.0048248369	-0.114960662	0.023208383	0.0671658129	0.0659109847	0.0919859986	-0.1383594649	0.0087970482	-0.0472558526	-0.0547356139	0.1149411702	0.0098822579	-0.1124555538	0.0279429992	-0.0130082573	0.1743704664	-0.0432120017	0.0043806269	-0.1745972107	0.010948387	-0.0378667886	0.0772426906	-0.0295286159	-0.059607468	-0.0098550671	0.0662662371	0.060013238	0.0182884658	-0.0519859681	0.1915902249	0.0743072807	0.0407825057	-0.0887380244	-0.0053557585	0.0105483678	0.0558893147	-0.0737332442	0.1250809714	0.0464703447	0.0476137353	0.0571759661	-0.0617611405	0.0557142533	-0.0474947686	-0.0558741467	0.0196677085	0.0416951211	-0.0790136256	0.0725759118	-0.0009640678	0.0273977496	-0.0258653081	0.0516024213	0.0039520247	0.0493081544	-0.144679181	-0.0667128499	0.0995765094	-0.0224001836	0.006455636	-0.0416839031	0.0501643997	0.0051866867	-0.0743461712	-0.0097840223	0.1136451198	0.1082280018	0.0993899282	-0.0080552658063908	-0.0019519355620048	6.488730721160883e-05	3.810052438218996e-06	-0.003711708941509	0.0167597475059438	0.0002808891364629	1.377678326647786e-05	0.0132081077566112	0.0208194476723945	0.0001744541105102	0.0004334494013835	-0.0011918301368525	0.0007440859718105	1.420459075109849e-06	5.536639334453248e-07	0.0006068316619556	5.556115549999568e-08	3.682446659517956e-07	3.0870420004946992e-15	-0.0005561389928312	-0.0002712263361665	7.356372543030329e-08	3.092905793473016e-07	0.0
979364.568046953	172.56201571633574	959154957145.7948	29777.6492680849	1157415.0524088542	398.14599609375	1339609603542.5908	158520.2342054844	983715.5271636432	-2037.1329837492667	967696238382.8444	4149910.79347919	999820.0620735337	940367.4669619604	0.868946	14.736406	0.0562633334920738	0.0307930071651193	0.0127986025	-0.0970669935	-0.0363277942	-0.0025027794	-0.0918652314	0.0604325278	0.0426789569	-0.1014119193	-0.0126242207	-0.1122352392	-0.0273363755	0.0064662953	0.0756519465	-0.1344188744	0.0151431798	-0.0446759347	-0.0441338202	-0.0909587368	0.003729644	-0.1187339108	0.1020203403	-0.0769651796	-0.0055999884	0.0113469883	0.0784819937	-0.097427822	-0.0741632193	0.0188062602	-0.0243255097	-0.1136888077	0.0572981716	-0.0060894256	0.0511384037	0.0203291402	-0.0004893126	-0.0317117422	-0.2099561319	0.072883496	-0.0092522025	0.0498551661	0.143390043	0.0113285992	-0.0200302425	0.0831520053	-0.0245104404	-0.0154529347	0.0835994031	-0.1426656945	-0.0185362556	-0.002430154	-0.0038264534	0.1003110652	-0.0096611248	0.0849234163	-0.0418867367	0.0992540215	-0.0505914233	0.137545885	-0.0198111961	-0.090261481	-0.0498059899	0.0525217975	0.0236200598	0.0607213193	0.0461549141	0.0691977793	-0.028525847	0.0452452592	0.0286090264	-0.0718824056	0.0242345416	-0.0060778013	0.0201914562	-0.0862249071	0.0239422955	-0.1772736705	0.0712944917	-0.0917987189	0.0061206505	0.0324478719	-0.0266790082	0.0309287354	0.056260275	-0.0445650619	-0.0256709173	-0.0336935314	-0.02592173	-0.004141494	0.0564393676	-0.0128756057	-0.0203798394	-0.0660070146	-0.1291728617	0.0282149755	-0.0453327169	-0.075759746	-0.0569548407	0.1504510045	-0.031909427	-0.0612779118	-0.1058802693	0.1131919653	0.1064475877	0.0955030384	-0.0161541861961609	-0.0080989203897701	0.0002609577316602	6.559251147983387e-05	-0.0024974679009233	0.0012142410405856	1.474381304642643e-06	6.237345916142235e-06	-0.0090291703149318	-0.022237278071543	8.152591657604563e-05	0.0004944965360311	-0.0016578401940652	-0.0004660100572126	2.74843410905814e-06	2.1716537342338378e-07	0.0006069376777859	1.060158303000042e-07	3.68373344716141e-07	1.1239356274199288e-14	-0.0005279971860707	2.8141806760500067e-05	7.919612877453271e-10	2.7878102849857734e-07	0.0
