global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18
950240.5288376876	n/a	n/a	902957062645.728	1549073.0939184637	n/a	2399627450302.1216	n/a	971555.9295393956	n/a	943920924223.159	n/a	1052299.3375473742	918169.640061829	n/a	n/a	n/a	n/a	-0.0861238948	0.0809064045	-0.1516340032	0.066801858	-0.0876977512	0.0178126825	-0.4175967457	0.4151778066	-0.5726565011	0.0301645288	-0.087674519	0.1041954044	-0.0263439852	0.0510082342	-0.0540366689	0.158586118	-0.2009884891	0.01154764	-0.1369220985	-0.1150300572	0.067376641	-0.0108976382	0.1806338707	-0.0778320363	0.4108829168	-0.1209902945	0.0405595229	-0.1995431574	0.2152321114	-0.1812399488	0.1099353105	-0.1161919963	0.076217624	-0.0823361519	0.0304294961	-0.0845491916	0.0154828165	-0.0353842331	0.0087413146	-0.1021757046	0.0287381426	-0.033258065	0.18928721	-0.0251420245	-0.0336326803	0.0298616598	-0.149978561	0.0513435222	0.0067826161	-0.1917070224	-0.0552714346	-0.0253227941	0.0366997341	-0.2512868827	0.546014491	-0.0913969129	0.0601106663	-0.207087148	0.284407665	-0.3822939834	0.0533581856	-0.0448121954	0.2189588893	-0.3024569503	0.0071514932	-0.1044346473	0.0429952741	-0.1096490311	0.0734415802	-0.0269926049	0.1663429072	-0.016249605	0.0055586143	-0.0415726655	0.0628048672	-0.0060195627	0.0383716257	-0.0209116054	0.0466935768	-0.0240971092	0.0002111949	-0.1007820614	-0.1002378581	0.1382982443	-0.0217095812	0.1189847956	-0.0648830564	0.0316840765	-0.2262212306	0.1974641329	-0.2005666503	0.2445351784	-0.0110733901	0.170378807	-0.0214524903	0.1327585815	-0.1013646439	0.1749701813	-0.2265669522	0.0478814488	-0.0483668669	0.1033661351	0.0953901323	-0.09953074	-0.079328266	0.1154637225	0.1154447293	0.1154130763	0.0238033414217824	n/a	0.0005665990628419	n/a	0.0137253942465491	n/a	0.0001883864472232	n/a	0.0011064707220214	n/a	1.224277458690558e-06	n/a	0.0056514279289405	n/a	n/a	3.193863763600871e-05	0.0007540144743367	n/a	5.6853782750925e-07	n/a	0.0015948864979766	n/a	2.543662941428064e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
945684.4966458654	-4556.032191822189	20757429.3329201	894319167196.3438	1492423.6567553908	-56649.43716307287	2227328371243.1323	3209158730.892941	966403.5861966824	-5152.343342713197	933935891413.8086	26546641.921201	1036988.2498922022	882969.4345940276	1.638033	30.669132	0.2050981460782416	0.0937563035603173	-0.0588633131	-0.0205575652	-0.2357830816	0.1215953504	0.0340326836	-0.0660646008	-0.1240465274	0.131222046	0.128283222	-0.0580024518	0.197087062	0.1816576418	0.0925831394	-0.1109941168	-0.072656763	0.3175652076	-0.0707732362	0.1109231719	-0.0780889201	-0.1309647344	-0.0760148471	-0.1017904302	0.1185210303	-0.0602848547	0.2004993729	-0.2180171286	-0.0146440795	-0.050865835	0.0110117678	0.138297537	0.0218042937	-0.0400112628	0.0335336826	-0.092754298	-0.0118765126	0.0956833939	-0.2037796642	0.012206124	0.0017671832	-0.0063145838	0.1610911887	-0.0260291763	-0.1110676827	-0.0344100877	0.0092772567	0.0013034447	-0.0780054353	0.0312803904	-0.0190567581	-0.0405427133	0.1702899446	0.0598172208	0.1731426557	0.2181298917	0.1976427227	-0.175084109	-0.1440137192	-0.0066333051	0.0863746077	-0.075007715	-0.0610279503	0.1233315627	-0.0326023745	-0.0626243654	-0.0204015103	0.145262155	0.1561440136	-0.1611332926	-0.2292713721	0.1167207716	0.0880543727	-0.073693233	-0.06232152	0.0320456408	-0.1399772772	0.1101962338	-0.0406956327	0.0527178931	0.016152538	-0.0054048258	-0.1334851821	-0.1107586407	-0.1108845056	0.1727760036	0.0156925137	-0.1343500072	-0.0539513042	-0.02240551	-0.2765933063	0.0909583555	-0.2698658141	0.0561294717	0.1273449844	-0.0305838277	-0.0134446979	0.1198113539	-0.0542992551	0.171817102	0.0091016139	0.2499152083	-0.1774499218	0.3226899828	-0.05037164	0.0490909713	0.0929644632	0.1154130763	0.1152422001	0.1149575937	0.0417544965644935	0.0179511551427111	0.0017434379833542	0.0003222439709576	0.0749761608050789	0.0612507665585298	0.005621424689069	0.0037516564040075	0.0413506368899021	0.0402441661678807	0.0017098751712005	0.0016195929105479	0.0047611814864698	-0.0008902464424706	7.92538728331737e-07	2.266884914710277e-05	0.0008149884848469	6.097401051020001e-05	6.642062304330458e-07	3.717829957697981e-09	0.0008330657867751	-0.0007618207112015	6.939986050952163e-07	5.803707960155594e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
948419.8205477862	2735.323901920812	7481996.8484192975	899500156007.895	1509897.324187163	17473.66743177222	2279789929587.5547	305329053.5161772	966530.4588270142	126.87263033178168	934181127840.3586	16096.664327304932	1042331.9260961328	912106.1560899856	1.837007	34.394554	0.1726902302311026	0.0883874701827231	-0.0361093441	0.0407316171	-0.0482709803	0.2022587339	0.0661487733	-0.1633500817	-0.091751015	-0.2030335588	-0.1569896883	-0.1441095186	0.0655584861	0.1798150111	0.1661120561	-0.068840557	-0.1477560132	0.2706437628	-0.2847772929	0.2797787524	-0.0624210843	-0.0121724796	0.1303174326	-0.3037395555	-0.2402078026	-0.4274681835	-0.2439078543	0.0257717498	-0.102673714	0.0818107615	0.0945299503	-0.089597065	-0.0333585485	0.1218326341	0.0105443898	0.1105422823	0.0398879429	-0.0632354326	0.1020563137	0.0163905473	0.0010940662	0.0601987564	-0.1216193239	0.0530353969	0.0141163603	-0.0403017156	0.0007031795	0.1308335611	0.1467182117	-0.0419319823	-0.013286754	0.1115520113	-0.0427399364	0.0740373561	-0.1172525029	0.052007502	0.3222947386	-0.0498304631	-0.3862330458	-0.0570395321	0.1561661601	0.0709615056	0.2560518965	-0.2298397138	-0.2745051717	0.4738437312	-0.1607634438	0.011466357	0.0027816262	0.0184221273	-0.0516371018	-0.1364362915	-0.1850450314	0.0564129712	0.1400518014	-0.0165531713	-0.0709418487	0.017889035	0.0381201282	-0.0482401812	-0.047969457	-0.0072580832	-0.00821072	-0.0830984847	-0.0587894561	0.0971908947	-0.0028615395	0.0096485073	-0.1172294693	-0.0498859613	-0.1059748513	-0.0812154719	-0.2907364583	-0.0413307379	0.0256892139	0.0008551574	0.1616494417	-0.1120973615	0.2385874815	-0.3059664613	0.5098561126	-0.0382397203	-0.1680089172	-0.0989236339	-0.2690689399	-0.1664765525	-0.0207025761	0.1153118061	0.1148374968	0.1140484259	0.0227218807151388	-0.0190326158493547	0.0005162838632329	0.0003622404660691	-0.0011082876920056	-0.0760844484970845	1.2283016082510998e-06	0.0057888433031055	0.0113542957570587	-0.0299963411328434	0.0001289200321387	0.0008997804813579	0.0049379232551318	0.0001767417686619	3.1237652789771826e-08	2.4383086073571427e-05	0.0003852075948365	-0.0004297808900104	1.4838489111972116e-07	1.847116134181316e-07	0.0004880519504111	-0.0003450138363639	2.3819470630007885e-07	1.1903454728260495e-07	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
953922.1701460816	5502.349598295405	30275851.1018616	909967506696.2098	1475179.7831241577	-34717.54106300534	2176155392538.2368	1205307657.4614618	971386.012181576	4855.553354561795	943590784662.0248	23576398.378996298	1038544.9597545617	957020.0257301253	1.984632	37.158562	0.1195696430966933	0.0594384415484489	-0.0295595357	-0.0256878278	0.0739868008	0.1286437752	-0.0569872264	-0.0187076484	0.1900499746	-0.0127586449	0.1544297531	-0.0690483415	-0.0084695798	0.1107880089	0.0947857776	0.0756742307	-0.1261118537	-0.0338182333	0.0409466149	-0.0654867977	0.0619177495	-0.1685055498	-0.0679523735	0.0706261181	0.0629643464	0.0037270666	0.0967945038	0.02785591	0.0555541419	0.022174588	0.0152048657	0.1150055575	0.05935637	-0.3265670901	0.127014806	0.1342025697	0.0797165751	0.0381895056	-0.2148426948	-0.0291466876	0.0248013739	0.0402973331	-0.232653156	0.0601236387	0.0839994364	0.0577052927	0.0383387129	-0.0233648446	0.2724574286	-0.0092127225	0.0951812505	0.0046887562	-0.0587089134	-0.1428378037	-0.0264002088	0.1383183253	-0.0617501401	0.0345390743	0.03252346	0.0944178549	0.0297982057	0.0053868767	-0.149279898	-0.0383009742	0.012592358	-0.1176327514	0.0897190484	0.0985361444	-0.1090052448	-0.1094302425	0.0663561097	0.0335953431	-0.1301625433	-0.231234437	0.0372615276	-0.0236343557	-0.2361558568	0.0026738098	0.3357101842	0.0235309188	-0.0846330725	0.2422618804	0.1372814976	-0.072251191	-0.0322014045	0.114266636	-0.0555001221	-0.0810997008	-0.0031623265	-0.0957636162	-0.0011300188	-0.0085916724	0.0173476202	0.1471278744	-0.1434300051	0.0543390596	0.0065656169	0.0418288554	0.0174561712	0.0653639637	0.0178398658	-0.3269452709	0.1109982247	-0.1149929133	-0.0732945768	0.2884384016	-0.1558318444	0.1151599564	0.1142313295	0.112689161	0.0153032642441814	-0.0074186164709573	0.0002341898965272	5.5035870343160414e-05	0.0374371212932516	0.0385454089852572	0.0014015380507256	0.0014857485538407	-0.026231685713725	-0.0375859814707837	0.0006881013353836	0.001412706003122	0.0052209181971989	0.0002829949420671	8.008613723556157e-08	2.725798682184261e-05	0.000655843810926	0.0002706362160895	4.301311043299389e-07	7.324396145924254e-08	0.0003212903851738	-0.0001667615652373	1.0322751160512877e-07	2.7809419640394272e-08	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
952689.01163223	-1233.1585138515802	1520679.920284638	907616352884.7952	1490919.5820838949	15739.798959737178	2222841200241.216	247741271.29294357	971662.598785545	276.5866039689863	944128205878.679	76500.14949509688	1041325.0521968048	942557.4529153086	1.455116	27.244341	0.1073187600230491	0.0546691537850836	-0.0166188537	-0.0348974175	0.0429629378	0.0912775135	0.124524358	-0.0445819832	0.0462145673	-0.0257496937	0.2130187643	-0.0609694964	-0.0793226451	0.1312892593	-0.0134261664	-0.0027789043	0.0072079665	0.1264904134	0.0018439141	0.0538781978	0.1454158133	-0.0988340628	0.0405340449	-0.0185367634	-0.0966877829	0.1656089136	0.0781366715	0.0726678543	-0.1314275532	-0.0035352451	-0.0167202204	0.2844846083	-0.0913231197	-0.0681198549	-0.047603783	-0.0872974886	0.0454233825	0.0794771885	-0.0016203917	0.0349784018	-0.0250894599	0.072448142	0.0160812172	-0.0118095016	-0.0810391646	0.0156039708	0.0913610197	0.0918329006	-0.0126634967	-0.1204512645	-0.1131668113	-0.0816592508	-0.0569059097	-0.0025393513	0.1156573173	0.1257315745	-0.0549870878	0.0015985458	-0.148753411	0.1080889161	-0.0260845316	0.2348119599	-0.0138084926	0.0730750909	0.0891821872	-0.0310456006	-0.0851764774	0.1748066528	0.1479357041	-0.1793867379	0.037288247	-0.0441933918	0.1114317458	-0.0537645774	-0.0752810331	-0.0127631582	-0.0976373653	0.0109274583	0.057674108	-0.0179748347	0.1012540004	-0.0028867075	0.0307646735	-0.0705352538	-0.050387762	0.1196780666	-0.0387597092	-0.0931915771	-0.0231941557	-0.0717756261	0.0133866061	-0.046709982	-0.0304066111	-0.0452270736	0.0474849828	-0.02220647	0.2236657089	0.0485420937	0.16404509	0.0915817981	0.0067779315	-0.0626589998	0.0102553324	-0.0734026	0.0337219793	0.2642883903	-0.0551504433	0.1149575937	0.1134247617	0.1108851636	0.0133862610209121	-0.0019170032232692	0.0001791919841199	3.674901358024883e-06	0.0581476732771477	0.020710551983896	0.0033811519075459	0.0004289269634776	0.004545249765826	0.030776935479551	2.065929543374131e-05	0.0009472197575124	0.0044890259437546	-0.0007318922534442	5.356662706517753e-07	2.015135392370188e-05	0.0006619605759914	6.1167650654000505e-06	4.381918041668661e-07	3.741481486529848e-11	-1.8985983043154263e-05	-0.0003402763682169	3.6046755211494117e-10	1.1578800676692025e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
950699.5813440452	-1989.4302881847836	3957832.8715469902	903829693967.7428	1493032.907976752	2113.325892857043	2229147264301.516	4466146.329420018	969002.4459789692	-2660.1528065757598	938965740313.2252	7076412.954332889	1040975.0876338962	946321.8978184114	1.335761	25.009651	0.0847077913019133	0.0422535604467216	0.1307296193	-0.0035892449	0.0485727385	0.0724098428	-0.0106776052	0.0349714851	0.0551651734	-0.1538911213	-0.0081518817	-0.0469378655	0.0488484878	0.0721877823	0.0558003302	-0.080197115	-0.1445548912	-0.0015201426	-0.0272405664	0.0205937196	0.1377133583	-0.0342526309	0.0471128716	0.0639623907	0.056500173	0.0417674313	0.0117373514	0.1615832475	-0.1955943815	0.2052105211	-0.0889607185	0.1340977906	0.0010586867	-0.0005792415	0.0227918834	0.0676441565	0.0556555456	-0.1164440588	0.0245597241	-0.0168633764	-0.071768832	-0.1391335518	0.0063170411	0.069293142	0.0302930134	0.1688109417	-0.0606353475	-0.1185004833	-0.0680958391	0.0971086003	-0.1145472385	-0.0126243604	-0.125842295	0.030038105	-0.1665930998	0.1147705601	0.0266841615	0.041230472	-0.0637811799	0.0481519969	0.0356733164	0.0671729724	-0.0690624322	-0.0870851393	-0.1224609405	-0.0584441313	0.0796902432	0.1234487974	0.0158176853	0.058670169	0.2071006869	0.0473816377	0.0250353446	0.0486159198	-0.0692846892	-0.0477358093	0.1339060051	-0.187660687	-0.0006105602	0.1612402636	0.1065348286	0.0743564466	0.0620512996	-0.0726707659	-0.0289303189	0.0761249076	0.0790367001	-3.06036e-05	0.0449387771	-0.075485385	-0.0174874173	0.0228041214	0.0142598702	0.0285811524	0.0214923465	0.0978219465	0.1166344417	0.0634132667	0.0631258985	-0.0614498671	-0.0276600994	-0.0214312407	0.0587591416	-0.1297307222	0.1415443756	0.2648157475	0.0979950395	0.1147048067	0.1124192083	0.108643553	-0.002092998921455	-0.0154792599423671	4.380644485211793e-06	0.0002396074883633	0.0263186432884054	-0.0318290299887423	0.0006926709845423	0.0010130871500242	-0.0024157931617452	-0.0069610429275712	5.83605660033487e-06	4.845611863948903e-05	0.0044423545668871	-4.667137686750061e-05	2.1782174187082715e-09	1.973451409794267e-05	0.0008128754423981	0.0001509148664067	6.607664848539069e-07	2.277529690255211e-08	0.0003921969425473	0.0004111829255904	1.5381844174345018e-07	1.6907139829712508e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
946123.6425154398	-4575.93882860546	20939216.16313911	895149946926.6837	1493469.0582884096	436.1503116576933	2230449828064.869	190227.09435910292	967065.1569534952	-1937.2890254739905	935215017793.4884	3753088.768221964	1038575.6935253268	944590.7655331352	1.38865	25.999901	0.2009208734187054	0.1039366311211035	-0.0139777672	-0.0749382625	-0.0032405688	0.0641989413	-0.001944562	0.1130041925	0.0265090721	-0.0436606852	0.1421282876	0.0594045407	0.0052899808	-0.0247077302	-0.1087545667	-0.1482222188	-0.0910154305	0.1030547265	0.0573159188	0.0965088882	0.1460375044	-0.0114873163	-0.0987460966	0.0455473526	0.1103481247	0.0901721677	0.0826666278	0.0349844045	0.1142569668	0.0828877588	-0.1680462345	0.1536591306	0.007679831	0.0445123112	0.0515551618	-0.0225957655	-0.0002643058	0.0420215525	0.0842444744	0.0311676021	0.1540201443	0.0323239445	0.0139897552	-0.0042265964	-0.0380488834	-0.0194048513	0.0295855619	-0.0080255376	-0.0543663505	-0.0035068535	0.2201716745	0.1301158016	0.2264734081	0.0885122203	0.0301685604	0.2249446581	-0.0499911987	0.002092234	-0.12078773	0.0102752699	-0.033322249	-0.0569468198	-0.1223521372	0.0870752269	0.0356133575	-0.0378540514	0.0514883621	0.1225395915	-0.0111190864	-0.1084435094	0.0984000718	-0.0061858134	-0.0502664146	-0.1481251842	0.0250723779	0.0154227923	0.1026988045	-0.1175575141	-0.1460666945	-0.025630464	0.0348471582	-0.1863824368	0.1386343359	-0.0728956547	-0.0515555358	0.1125213892	0.0022900341	-0.1571212902	0.0071036795	0.0319452398	-0.1254753483	-0.0691959412	0.0517100898	-0.0416535379	-0.0420289582	-0.0012281533	0.1009566544	-0.001104234	-0.0304779704	0.2173047883	0.0408070718	-0.0867079673	0.0899806451	-0.1259008849	0.0156955095	-0.040901868	0.0409942973	0.1144017065	0.1112164334	0.105973176	0.0241988134445563	0.0262918123660113	0.0005855825721244	0.0006912593974895	0.1075982283290954	0.08127958504069	0.0115773787395601	0.0066063709443867	0.0477025779007789	0.0501183710625241	0.0022755359383798	0.0025118511179608	0.0042566269408839	-0.0001857276260031	3.44947510607845e-08	1.8118872913858623e-05	0.0008099035522006	-2.971890197500074e-06	6.5594376386715e-07	8.832131345997028e-12	-0.0002837256402416	-0.0006759225827889	8.050023893050582e-08	4.5687133792401757e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
948103.2337110748	1979.591195635032	3918781.3018357353	898899741773.397	1484249.6123547002	-9219.445933709389	2202996911775.0776	84998183.32459055	970251.4200236968	3186.2630702016177	941387818058.0002	10152272.35253064	1039367.4802999614	909392.4590412911	1.349094	25.259291	0.1734178970865565	0.1102547739530587	-0.0481349551	0.1208733714	-0.1057684874	0.0488748404	-0.0702928039	-0.0007056274	0.151416407	0.1145600791	0.0189023938	-0.0034793107	0.0489406687	0.0024434079	0.0276496988	0.0543077484	-0.1341146836	0.0474783731	-0.034541812	-0.0306433455	-0.0767075325	0.0428695168	-0.0544079571	0.102139228	0.0576902427	0.0793588254	-0.0010168069	0.0737076668	-0.0923423626	0.020285821	-0.1075643549	0.1021293374	-0.0455057714	-0.0742583193	0.1098033569	0.1214427343	0.0132951445	-0.0217246633	0.1724758987	-0.0433844683	-0.1420492831	0.0050241773	-0.0497753957	-0.0084559977	-0.0029775109	-0.090328703	0.0209626336	-0.1620992895	0.0007635487	-0.0094402008	-0.000828758	-0.0275023829	0.0604671517	-0.1333588828	0.0161670373	0.1101565232	0.0612798065	-0.0901672912	0.0568055534	0.0408002175	-0.1188554666	0.0378709212	-0.0907975108	-0.0258731971	0.0143745496	-0.0239053781	-0.0101605399	0.1042300667	-0.057697615	0.0056756297	0.192578647	-0.0170189981	0.026682723	-0.0833527098	0.0478510487	-0.1471122337	-0.0238381078	-0.0446011826	-0.030188201	0.1524340869	0.0787708206	0.0532877426	-0.0585238073	-0.0708228869	-0.0283938055	0.0788533052	0.0667811583	0.0785104441	-0.034295218	0.0512831261	-0.0221921102	-0.016003031	-0.0469558129	0.0806717277	-0.117574254	0.2238106624	-0.0694648104	-0.0361036477	0.095604708	-0.0463964221	-0.0868566925	-0.0221556785	0.0361562599	-0.1825211951	0.0233210128	-0.0262291997	0.0377657074	0.1140484259	0.1098185471	0.1028845713	0.023361755508418	-0.0008370579361383	0.000545771620435	7.00665988452112e-07	0.0014146255522149	-0.1061836027768804	2.0011654529793107e-06	0.0112749574986783	0.0312020507640511	-0.0165005271367278	0.0009735679718824	0.0002722673957898	0.0045774012345105	0.0003207742936265	1.0289614745164408e-07	2.0952602061698245e-05	0.0009660469385088	0.0001561433863082	9.332466874022252e-07	2.4380757087791792e-08	0.0002372908645598	0.0005210165048014	5.6306954403537356e-08	2.714581982754673e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
951741.2960841648	3638.062373089953	13235497.830492904	905811494671.9658	1503934.0491492588	19684.43679455854	2261817624190.485	387477051.9189701	970217.9438314572	-33.476192239671946	941322858532.5406	1120.6554468674722	1042356.5058976716	941495.2697389442	1.391764	26.058197	0.1390201986953487	0.0692422523575646	0.0387226852	-0.0965906669	-0.0358498951	0.0937412822	-0.0369182393	-0.0067626267	-0.0788241876	-0.1197276492	0.01767259	-0.0621804155	0.1720841421	0.018929891	-0.0881038523	-0.1386099839	-0.0405769109	0.0611076217	0.0064535311	-0.0190349661	0.0461638834	-0.0304903792	-0.104684736	0.1106632126	-0.0507877705	0.0475140188	-0.137331337	0.0521690941	-0.0149248032	-0.0335922726	-0.0424913226	-0.0497821263	0.012425084	0.0880467714	-0.1222339904	-0.097422595	-0.0451550639	-0.0373886901	0.0680565213	-0.0811280891	-0.118324263	-0.1052673656	-0.0781144093	-0.0984802908	-0.0065657591	-0.0465667743	0.0810650954	0.034277987	-0.068633957	0.174611328	0.1212691454	0.0228521679	-0.0766496591	0.119225292	-0.0185740517	0.1311485297	-0.0132762801	-0.0686254429	-0.04863752	0.0905344471	-0.0161651091	-0.0713102618	-0.0524329774	-0.0659697624	-0.0247301386	-0.0688467674	-0.0910018572	-0.1110521349	-0.0622116142	0.2148555257	0.0306506117	-0.0833577329	-0.0030383024	0.0581249242	-0.1157687754	0.0602844734	0.0974770121	-0.0400119314	-0.0497238266	0.0586869351	-0.0170827476	0.0344500122	-0.0551155083	-0.0618693925	-0.0156957119	0.0878296533	0.0343333701	-0.0827250637	0.0809353294	0.0105944633	-0.0111418072	-0.0268585724	0.032470633	-0.00669737	-0.0706916614	-0.0749053757	-0.0526766424	-0.1080369336	-0.11469155	0.0138085539	0.1033419069	-0.0562243622	-0.0181557379	0.0001366706	0.0212773045	-0.0351812758	-0.0046237847	0.1136451198	0.1082280018	0.0993899282	0.0155136249511684	-0.0078481305572496	0.0002406725591255	6.159315324363492e-05	0.0595794404258072	0.0581648148735923	0.0035497097214523	0.0033831456892792	0.0051328491997963	-0.0260692015642548	2.634614090784952e-05	0.0006796032701977	0.0043360746547624	-0.000241326579748	5.8238518092915784e-08	1.880154341167287e-05	0.0013318028344753	0.0003657558959665	1.7736987899164437e-06	1.337773754342572e-07	-9.438769373064196e-05	-0.0003316785582904	8.909036727789468e-09	1.100106660296261e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
951682.8222146176	-58.47386954713147	3419.1934198149493	905700194098.3796	1487043.931519542	-16890.11762971687	2211299654269.096	285276073.54567266	972110.747704384	1892.8038729268592	944999305802.3766	3582706.501366917	1041645.4923605438	939633.2180809848	1.413259	26.460657	0.0774664088825066	0.0374337312707908	-0.0813576028	0.0713104601	0.058327812	0.0388732154	-0.102711386	0.0049991316	0.0908798348	0.0690739242	0.1134999212	0.0156742819	-0.0031217568	-0.0681461732	0.0396365212	0.0751428886	-0.0510487082	0.0815124838	0.028924659	-0.0757128396	-0.0187202153	0.0246396055	-0.1302060701	0.2071982773	-0.0641102236	0.0114962845	-0.0380662723	0.0521186245	-0.0047175478	-0.0533504324	-0.0607463754	-0.0994046871	0.0063135081	0.1093266836	-0.0819901527	0.1015684508	0.0368217425	0.094460711	-0.0004896089	0.0523458939	0.0094691852	0.0938884164	-0.070616075	0.023124849	-0.0263808845	0.0213455546	0.0672550224	-0.1197843865	0.1089295474	-0.0486875917	-0.0844413897	-0.0505782507	-0.0220659558	-0.0853628119	0.0790844574	0.0964601688	-0.0200820527	0.0047412809	0.0017653778	0.0656618735	-0.1317753316	-0.0125803375	-0.0615248576	-0.1299890375	0.130711124	-0.0111790503	0.0049997716	-0.0485221369	-0.0698308611	0.1196574857	-0.0264290402	-0.0028378002	-0.0575833551	0.0861508452	0.1428595845	-0.0837674452	-0.064513214	0.0369810851	-0.1149448373	-2.24536e-05	-0.1135749907	-0.0186806648	-0.0746516619	-0.0733530202	-0.0220742086	0.0814858656	0.0018468178	0.0033283943	-0.0356745628	0.0781614926	0.1552692728	-0.0347713662	0.0317478732	0.0042480046	0.0403377819	0.0540598587	-0.024203968	-0.1273118869	0.0435964292	-0.0746008156	-0.086596921	0.0103837479	0.028752676	-0.0516601761	-0.0568063119	0.0280387916	0.0902532275	0.1131919653	0.1064475877	0.0955030384	-0.0055116720125596	-0.021025296963728	3.037852837403279e-05	0.0004420631124129	0.056827222789991	-0.0027522176358161	0.0032293332500232	7.5747019148977105e-06	-0.0144476754460782	-0.0195805246458745	0.0002087353257952	0.0003833969454076	0.0045683573050219	0.0002322826502595	5.3955229611577295e-08	2.086988846634696e-05	0.0013908962705908	5.909343611549991e-05	1.934592435543396e-06	3.4920341919366687e-09	-0.0004851790000974	-0.0003907913063667	2.3539866213551285e-07	1.5271784513183734e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
