global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10
876.1392325348835	n/a	n/a	767619.9547868146	908.7902112338631	n/a	n/a	825899.6480344896	832.0789526709777	n/a	692355.3834780313	n/a	833.1588974854236	669.4535934155466	n/a	n/a	n/a	n/a	-0.0553976905	0.0024170431	0.0689848199	-0.0180074529	0.0516047201	-0.0790846794	0.0369216646	-0.0856094772	0.0006970326	-0.0849372899	0.0660690484	-0.0893190298	0.0842071081	-0.035749449	0.0443141962	-0.0564761816	0.0973847587	-0.0756867233	0.1624900555	-0.0274819562	0.0154019647	-0.0024931297	0.0792997019	-0.0450493291	0.0717376524	-0.0249661667	0.040651704	-0.0888171114	0.0299525784	-0.04087654	-0.0022812944	0.1959956671	0.0011873544	-0.1380478221	0.1030134785	0.0423643874	0.0147084167	-0.0227270014	-0.0811751593	0.0034531305	-0.0802674908	0.0222653631	-0.0632487407	0.0926867177	-0.165500412	0.0222540895	-0.14648496	0.0516563776	-0.0521159064	0.0040388758	-0.1007522547	-0.0063531739	0.0774861964	-0.0047916848	0.1227326455	-0.0987667093	0.0338856262	-0.0482441421	0.009982078	-0.1514524765	0.012409966	-0.1598526516	0.0503844559	-0.0419747861	0.0915417991	-0.1381361786	-0.0240174923	-0.0703879111	-0.0488006774	0.0704243395	-0.001642328	0.0829326964	-0.0073611746	0.0352883549	-0.055187208	0.059580485	-0.0262005747	0.0233734165	-0.1916079408	0.1050493092	-0.1126082107	0.0583637494	-0.1316921505	0.0111508366	0.1100429809	-0.0927663692	-0.0236991371	0.1591901938	-0.0285585446	0.1229654699	-0.1118508532	0.1290883846	0.1290552057	0.1289999139	0.1289225186	0.0335260810856539	n/a	n/a	0.0011239981129618	-0.1109753514000573	n/a	n/a	0.0123155286183662	-0.2152613091353288	n/a	n/a	0.0463374312106555	0.002394999502663	n/a	n/a	5.736022617756017e-06	1.1600798977440265e-05	n/a	n/a	1.3457853691497908e-10	0.0013369882464747	n/a	1.787537571211493e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
871.5560664451473	-4.58316608973621	21.0054114061079	759609.9769573379	892.7671527556557	-16.023058478207417	256.7384029960546	797033.1890394404	832.6866874751171	0.6077348041393407	693367.1194982833	0.3693415921622827	833.0654963580556	641.3851530137504	1.187365	21.908228	0.160103449464813	0.0827527308372816	-0.0809449112	-0.1575039551	0.1254441541	0.0940294977	0.0009527757	0.1007690818	0.1059626412	-0.0723997463	-0.0040128674	-0.0901473349	0.0087974509	-0.103653845	0.0381603855	-0.0867818403	-0.0212602327	0.0923293451	0.1636998218	0.0654627596	-0.024445121	-0.0341536323	0.0615152542	0.0080306098	0.002761715	-0.0510457934	-0.003664438	0.0869344343	-0.0755100121	-0.0649319449	-0.0774583862	-0.0161542149	-0.0861644616	0.0806956724	0.014583551	-0.0859935394	-0.1392609549	0.2652755232	-0.0253786943	0.0068172064	-0.0699048675	0.0111871716	-0.087218461	-0.0120684543	-0.1892754578	0.0267049654	-0.1022670714	-0.0332452869	0.0017891758	0.0199257233	-0.090108344	-0.0806748936	0.0443011623	-0.0198236309	-0.0497483188	-0.0803231884	-0.096789488	-0.0181169081	-0.0394612685	0.0879573822	-0.0519447537	-0.0093677059	-0.0181432221	0.0052736771	-0.1787795856	0.1624336531	0.0932787506	-0.0699892193	-0.012744789	-0.0645297731	-0.0554232031	0.0174055767	0.0418435402	0.1753975611	-0.0478109395	-0.0688346623	-0.1081485893	0.1062712225	-0.0153824116	0.0016165062	0.0583030948	0.0878788853	-0.1409434903	0.1095738107	-0.0473620864	-0.1105148307	0.1047598736	-0.0825923071	0.1808971654	0.0991494211	-0.0266033014	0.0289033136	-0.1764999666	0.1289999139	0.1287014744	0.1282045865	0.1275100165	0.0709541290323017	0.0374280479466477	0.0014008587730965	0.0050344884267325	-0.0930286319799762	0.0179467194200811	0.0003220847379431	0.0086543263680658	-0.1548358939854139	0.0604254151499148	0.0036512307960395	0.0239741540662623	0.0018670216089264	-0.0005279778937365	2.787606562745364e-07	3.485769688198123e-06	-2.29495673278457e-05	-3.455036630528596e-05	1.1937278118294395e-09	5.266826405353227e-10	0.0016605253253962	0.0003235370789215	2.757344356282156e-06	1.0467624143705695e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
872.7841646207489	1.2280981756016445	1.5082251289160875	761752.1980127386	900.2165788864706	7.4494261308149134	55.49394967846805	810389.8889020613	832.4280360572624	-0.2586514178547077	692936.4352141509	0.0669005559582506	833.0732290802453	639.2970331642214	0.967057	17.843281	0.0587705467474794	0.0280868119376502	-0.0784823924	-0.1619976701	0.0994579012	0.0906116034	-0.001840817	0.0472571408	0.0602115096	-0.050999968	-0.0148310278	-0.0988104238	0.0574911645	-0.1007802162	0.0641042585	-0.0575708692	0.0489099725	0.0880888157	-0.0293080166	0.0732976233	-0.1664231808	-0.0403523533	-0.0037189353	0.1682558341	-0.0151576714	-0.0628386565	-0.048599699	0.0221708635	0.1138671851	0.0312907068	0.103412162	-0.1113761164	0.0576465227	0.0124481747	-0.0429543091	0.2411751273	-0.0822243842	0.0506747537	-0.0637207498	0.1737760987	-0.0569480836	0.0196567558	-0.1013659425	0.0162158824	-0.0577674386	0.1361791501	0.0168293482	-0.0761625692	0.1245712468	0.0608845017	0.001043885	-0.0463339157	0.1588655198	0.0831130912	0.0407073863	-0.0646350199	-0.0914597345	-0.0137093248	-0.0311472108	0.1446068579	0.0563954229	-0.0519608495	-0.0199140459	0.0016705955	0.0729342997	-0.0876447911	-0.0742529953	0.0203841836	0.1411354809	-0.0582641713	-0.0491624846	0.0384683387	0.0314665505	0.1512475641	-0.0037594135	-0.0731351524	-0.0455914384	0.1266087146	0.0308461363	0.0267158178	0.0481609308	-0.0429052983	-0.0934385472	0.0376560216	-0.0666168699	-0.0462256077	0.0077909067	0.0861388441	-0.0095988018	0.1449087369	0.0564690365	0.0451638207	-0.064737657	0.1288230331	0.1279949812	0.1266188352	0.124700488	0.062537870563986	-0.0084162584683156	7.083340660549552e-05	0.0039109852546778	-0.1098731999688595	-0.0168445679888833	0.0002837394707321	0.0120721200713969	-0.1643266863120587	-0.0094907923266448	9.00751389875002e-05	0.0270032598343017	0.0015910260775639	-0.0002759955313625	7.617353333206875e-08	2.531363979488369e-06	-3.283375179385928e-05	-9.88418446601358e-06	9.769710255818413e-11	1.0780552568607572e-09	0.001466026481952	-0.0001944988434441	2.149233645784558e-06	3.7829800101131384e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
873.5151995545793	0.731034933830415	0.5344120744804391	763028.8038528765	895.5835327311634	-4.633046155307284	21.465116677207604	802069.8640992307	831.8822523198769	-0.5457837373854773	692028.0817247913	0.2978798879944596	831.6479487776404	641.9615404584338	0.899046	16.588402	0.0607822890505122	0.0418218491569921	-0.0704688618	-0.146318681	0.1088398874	0.1122868289	-0.0090834395	0.1062782101	-0.0893182762	-0.0649447997	-0.0559361885	-0.0502170424	0.0989284807	0.0143721028	0.0457927577	0.0004534879	0.0273537662	-0.0798720053	0.0576198274	-0.0943799474	-0.1194879234	0.0807190599	0.0748589115	-0.0629458954	-0.1208281119	0.1328956018	0.0194024784	0.0721887676	-0.0193881114	-0.0328437211	0.1184159309	0.038879705	0.1747840832	-0.1210864075	0.0246714852	0.0977661687	0.0306108651	-0.045182327	-0.0222295925	0.1028531127	-0.0621724835	0.0577950058	-0.0711633748	0.1160152368	0.0562351405	0.0260340333	-0.1174572953	0.0313019641	-0.0848359106	-0.0635754068	-0.0215921348	0.0089714202	0.06262389	0.0672027609	0.0495235626	-0.0208375225	0.0190180612	0.0527960805	-0.0120888557	-0.0454177778	-0.135939868	0.0730309016	0.0033519517	0.0974019371	-0.0945561927	-0.0951585315	-0.2251587767	0.0944992251	-0.0061681085	-0.0523286012	-0.0339999287	0.0032641817	0.0408620454	0.1234523446	-0.0061389651	-0.039211102	-0.0767698446	0.1203281656	-0.0053885612	0.0110591513	0.038390069	0.0227873625	-0.0177087437	-0.038007173	-0.0900441535	0.0545127962	-0.0412717893	-0.0473636437	-0.0475585433	0.0815898818	-0.0252532299	-0.0236750356	-0.0650472219	0.1285578634	0.1269376627	0.1242524367	0.1205247148	0.0710612921764237	0.0085234216124376	7.264871598336987e-05	0.005049707245783	-0.0700051497349534	0.039868050233906	0.0015894614294532	0.0049007209894132	-0.1549609796099105	0.0093657067021482	8.771646203066375e-05	0.0240129052016631	0.0015910607405184	3.4662954499992474e-08	1.2015204146685484e-15	2.5314742800189597e-06	-8.084249230666529e-05	-4.8008740512806014e-05	2.304839165625941e-09	6.535508562353237e-09	0.0014535676753789	-1.2458806573100108e-05	2.112858986906419e-06	1.5522186122592243e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
877.4137887262368	3.898589171657477	15.198997529364933	769854.9566469294	902.8647247559246	7.281192024761253	53.01575730144688	815164.7112085915	833.2927553072637	1.4105029873868489	694376.8160475714	1.989518677427225	833.0329515305241	647.5732805928043	1.003146	18.509163	0.0854920870063973	0.0427583716483897	-0.0446148676	-0.0636266439	0.0424128417	0.0011707844	0.0615184871	0.0996953142	-0.0736176305	-0.0428975611	-0.0286871228	0.0453344299	0.0219843021	0.06529697	-0.0810168236	0.0025936075	-0.0654846024	-0.0402127154	0.1919844053	0.1193774867	-0.0109192247	0.1699899486	0.0316847282	-0.0124535831	0.0418073484	0.1129956158	-0.1524666725	-0.0988275545	-0.0012356618	0.0154405855	0.0261730085	0.1064794253	0.1287533931	-0.0485395882	-0.0487685782	0.0250177302	-0.063582448	-0.1006077386	0.1565785973	0.1247789822	-0.0391328194	0.0287135782	0.0346422322	0.0549395647	-0.0331260131	-0.2114442039	-0.0121796313	0.03671739	-0.0825004009	-0.0435365189	-0.052708614	-0.0821533506	0.0874021752	-0.073580114	0.1153078782	-0.0577398892	-0.0861561706	0.2511404119	-0.0439730323	-0.0808856332	-0.0566201608	0.0886135624	-0.0113954811	0.0685612383	0.1158743945	0.0226971747	-0.0521953922	0.0056472531	-0.0635153927	-0.0372070978	-0.0091548496	0.0226360207	0.0197171816	0.0922780189	0.0386107122	-0.0155861162	0.004058854	0.0582325025	0.1080749939	-0.0757861316	0.0932457717	-0.0383670805	0.0909075626	-0.0833155468	0.0712954379	-0.0083911016	0.1192957443	-0.0491705861	-0.1264406031	-0.0109660551	-0.0073542944	-0.0914166464	-0.0253157591	0.1282045865	0.1255324169	0.1211199807	0.1150284477	0.0382498671378925	-0.0328114250385311	0.0010765896130591	0.0014630523360664	-0.0559316289443501	0.0140735207906033	0.0001980639874435	0.0031283471163684	-0.1508156698227694	0.0041453097871411	1.7183593231367924e-05	0.0227453662640905	0.0011892680469159	-0.0004017926936024	1.6143736863235234e-07	1.4143584874151597e-06	-0.0003681345907036	-0.0002872920983969	8.253674980131402e-08	1.3552307687250712e-07	0.0014537195111819	1.518358030000444e-07	2.1133004171909423e-06	2.305411107266829e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
880.8722556243645	3.4584668981276536	11.960993285444712	775935.9307287557	908.8103987341896	5.945673978264949	35.35103905581695	825936.3408473966	835.0852595094036	1.7925042021398667	697367.390649888	3.2130713146890804	835.4234125458033	670.8585595417238	1.044986	19.281172	0.0598199910933588	0.028508712195283	-0.0249790577	0.0370439456	0.0126384424	-0.0495416086	-0.0101912236	0.0076148475	0.0174842147	-0.0087423355	0.0479244315	0.0386870193	-0.0742741018	-0.0189855066	-0.0495932948	-0.0242823142	-0.0942952644	0.0726600709	-0.06352369	-0.0250225058	0.1324424259	-0.0648117297	-0.0558903735	-0.1346684646	-0.0187181511	0.0777133434	-0.0832205611	-0.1198433235	-0.0036144056	-0.100203771	-0.1557657429	-0.0380044298	-0.2454267517	0.130405252	-0.1048669381	0.0775041975	-0.0226947018	-0.0604845138	0.0519009024	0.0392004532	-0.0137399981	-0.0460644937	0.0554748356	-0.0849461062	-0.1283029649	-0.1223165876	0.0604188366	-0.0322709408	0.0374110501	-0.035587236	-0.0030488507	0.1640126284	-0.0467259466	0.0444997767	0.0387782364	0.1432236834	0.0391068597	-0.0393687661	-0.0894632994	-0.0990699257	0.0162456849	0.0343580632	0.0001984207	0.0157793763	0.1476779322	-0.0525322934	0.2776036487	0.058219493	0.0623937346	-0.0350741128	0.0021533083	0.0177584976	-0.0125826483	0.0523361239	-0.0283106376	-0.0287595134	0.0627783792	-0.0819333135	0.0320560128	0.0406518205	0.0062931511	-0.1183242273	-0.0463126559	0.0037707295	-0.0451386151	-0.1120244974	-0.0879286464	-0.0319530858	-0.0270471064	-0.1119276909	-0.0012910991	-0.2103100382	0.0246870765	0.1277634447	0.1237830955	0.1172407796	0.1082719048	0.0469264215593909	0.0086765544214983	7.528259662922334e-05	0.0022020890403696	-0.0623105219113711	-0.0063788929670209	4.069027548470991e-05	0.0038826011408674	-0.1726369806480789	-0.0218213108253094	0.0004761696061347	0.0298035270872851	0.000940729241582	-0.0002485388053339	6.177153775680225e-08	8.84971505967445e-07	-0.0003689152009258	-7.806102222000029e-07	6.093523190031379e-13	1.360984254741234e-07	0.0012441742691474	-0.0002095452420345	1.5479696120084669e-06	4.390920845929722e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
880.7104923597988	-0.1617632645657067	0.0261673537629548	775650.9713526391	914.9370784657524	6.126679731562831	37.5362045331428	837109.8575514463	835.2936719164715	0.2084124070678399	697715.5183437018	0.043435731419811	835.4940674548304	670.0404109847195	0.989952	18.265732	0.0820800195365303	0.0391946016872017	-0.0147432966	0.0275182897	-0.0021956441	-0.0467532195	-0.0194480227	-0.028086156	-0.0401257289	-0.0117546056	0.0454410746	0.0237435922	-0.1074084295	-0.0711716744	-0.0416723767	-0.0272471494	0.0206364699	-0.0627352298	-0.1954905666	-0.014318713	-0.1385162646	-0.0159585703	0.0391110138	-0.1025496602	0.0377931923	0.0227394999	0.1959331551	0.065582402	0.0863750001	-0.0166442536	-0.0131234275	0.0854568697	-0.0729868317	-0.010718499	0.099362224	0.0963971811	-0.0960332874	2.34279e-05	-0.1098806989	-0.1423105608	-0.0182789857	-0.0348667402	0.0318016646	-0.0930239528	0.0977533602	0.1599091917	0.0984860824	0.0008883603	-0.0656124163	-0.1145984347	0.0588942383	0.0947905407	0.0921061617	-0.0748330544	-0.1245734007	0.0962463867	-0.0145035511	-0.0950566667	-0.0143218737	-0.0385135102	0.0694472992	0.0160746874	0.0776377775	0.1229663214	-0.0461604617	-0.0612657836	0.0297103482	0.1145134445	0.0996647968	-0.0321653954	0.0085205068	0.0121974378	-0.0026354609	0.0138307724	0.001132895	0.0055179809	0.0614424785	-0.0785344869	0.0714597063	0.1181393404	-0.086256966	-0.1109543182	0.0995865897	-0.0279190013	-0.0924397432	0.0671270168	-0.1408828272	-0.0586826936	-0.022262801	0.0632577595	-0.0481569414	0.0022625167	0.129855419	0.1272347401	0.1216944932	0.1126387502	0.1003291122	0.0576699470731227	0.0107435255137318	0.0001154233404642	0.0033258227954167	-0.0860971285501079	-0.0237866066387368	0.0005658026553859	0.0074127155445738	-0.1726601303248145	-2.314967673561208e-05	5.359075329633391e-10	0.0298115206037819	0.0006120372789767	-0.0003286919626053	1.0803840628132398e-07	3.745896308572029e-07	-8.122175418767696e-05	0.0002876934467381	8.276751929606126e-08	6.5969733533234215e-09	0.0009100249243443	-0.000334149344803	8.281453629278491e-07	1.1165578463234093e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
881.3415608179332	0.6310684581344503	0.3982473988521925	776762.9468249907	913.4199527189692	-1.517125746783222	2.301670531552549	834336.0100251238	834.7215908394254	-0.5720810770460503	696760.1342135011	0.3272767587141689	835.4250471897182	674.7916945474681	1.015531	18.737696	0.0703311553625109	0.041222252676533	-0.0215854043	0.0625540299	0.0148901287	-0.0692403329	-0.0281290485	-0.0163669803	-0.0034429863	-0.0265548219	0.0205883809	0.058807843	-0.0338849402	0.0643064767	-0.0087782564	0.0815595597	-0.0037081606	0.1358057485	-0.096164196	-0.0896513084	-0.0640667866	-0.0730930396	0.0026017748	0.04791209	0.067833691	-0.0192082641	-0.0557092353	-0.0206438972	-0.0483828909	0.022794811	-0.0167651944	0.0063835014	-0.0251403918	-0.0115628083	-0.1622282926	0.0564232853	0.0970691697	0.2324142931	0.0929108431	-0.1641529169	-0.0291060416	-0.0146132848	0.0516918076	-0.0154783567	0.0834750224	0.014550171	0.0839052807	-0.0538217063	0.0966197052	0.0809244838	-0.0871818753	0.0177862153	-0.1272926099	0.0029811072	-0.0213473048	0.0625310367	-0.0782966887	-0.014247145	0.0205127975	-0.0066398237	-0.0610473457	-0.0578216417	0.1146360611	-0.129951934	-0.0943486616	-0.0702458733	0.0193614676	-0.0989027724	-0.071805746	-0.0386685207	0.0005904268	0.017854426	-0.0407247852	-0.0285888237	-0.1212658264	-0.05812111	0.0027420825	-0.13909111	0.0372216993	0.0747527048	0.0278269172	0.1465197181	0.1318137388	0.0125204625	0.1217119995	-0.055624656	0.0473523056	-0.0603145943	0.0538397258	-0.0691576957	-0.0068857238	0.0312369507	0.0879387144	0.1266188352	0.1192723348	0.1073422654	0.0912870929	0.038237929406435	-0.0194320176666877	0.0003776033105984	0.0014621392452915	-0.0907329913527803	-0.0046358628026724	2.149122392520165e-05	0.0082324757198237	-0.2064431531681165	-0.033783022843302	0.001141292632431	0.0426187754899944	0.0005439539347801	-6.808334419659997e-05	4.635341756992702e-09	2.958858831627533e-07	0.0001002475108771	0.0001814692650647	3.2931094163150274e-08	1.0049563437054282e-08	0.0009099724926087	-5.243173560002135e-08	8.280499373044906e-07	2.7490868980305465e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
882.2183516703825	0.8767908524492896	0.7687621989387519	778309.2200240067	911.642206365412	-1.777746353557177	3.160382097585839	831091.5124267965	834.1650460720766	-0.5565447673487824	695831.3240884297	0.3097420780633104	834.5065756108556	674.6044884481495	0.879841	16.234062	0.0500133406920842	0.0243217362879077	-0.0114681319	0.0712861799	0.0009565215	-0.0418448285	-0.0401780449	-0.0302910821	-0.0083545093	-0.0112068647	0.0176622223	0.0394423982	0.0425875263	0.1450358517	-0.0060477037	0.1201885097	0.0871174109	0.0398005214	-0.1253999968	-0.0735549046	-0.1295052804	-0.0656935951	0.0233975934	0.0725660933	0.0087445534	-0.0026299009	-0.0091227107	-0.1372698566	-0.0846149331	0.0300909007	-0.0419330785	0.0328700423	-0.2009254194	0.0621461876	-0.0623716809	0.1136392031	0.080173442	0.0051078499	0.1098559516	-0.0885573212	-0.0191983601	-0.020248567	0.0329971504	0.0608833296	0.1413512965	-0.0148017331	0.0594285825	0.0184957789	0.1275607674	0.0916269023	0.0871269195	0.0022141215	-0.0431999956	0.1365905042	0.0179187164	-0.0128229768	-0.0683297803	-0.0440675957	-0.009389646	-0.0050693762	0.0054872553	0.0420689604	0.1190287173	-0.0007960151	-0.0966984922	-0.1002543075	0.1932219804	0.0753391262	-0.0017948538	-0.0310160287	0.0073464365	0.0174296672	-0.0173197466	-0.0275071757	-0.1358468395	-0.0601053177	0.0442692214	-0.0863137348	0.0363157972	0.0126670591	-0.0903472862	0.0246146569	0.0185639343	0.0261275879	0.0098577662	-0.0379631513	-0.0379743423	0.1547467459	-0.0705040412	-0.0093862317	-0.0355413073	0.072282326	0.0174676557	0.1259161521	0.1165232592	0.1013839798	0.0812449131	0.0444845239811257	0.0062465945746906	3.901994378055528e-05	0.0019788728738273	-0.09714368426161	-0.0064106929088297	4.109698357131942e-05	0.0094368953919193	-0.2064689857556203	-2.583258750379902e-05	6.673225771414332e-10	0.0426294420789545	0.0007471247925799	0.0002031708577997	4.1278397459106546e-08	5.581954556875586e-07	-0.0002190763885989	-0.000319323899476	1.0196775277655857e-07	4.7994464041536254e-08	0.0011340821477541	0.0002241096551453	1.2861423178545522e-06	5.0225137529390095e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
881.9787995944409	-0.2395520759415603	0.0573851970879111	777886.6029340511	913.1825197597238	1.540313394311852	2.3725653526964985	833902.3143947184	834.7569268366083	0.591880764531652	696819.1269016985	0.3503228394225728	834.6467663430183	678.7698194275591	0.909567	16.782541	0.0558660214975018	0.0249377766027342	-0.0144338243	0.0983600379	0.0075642728	-0.0446135123	-0.0074101866	-0.0384988623	-0.0069250998	-0.0139322459	0.0325955404	0.02593828	-0.0520420954	-0.0009460349	0.0793138666	0.019346056	0.0751632903	-0.0430050088	0.078523228	0.0125562457	0.1716324272	0.087808041	-0.1720484124	-0.033242552	-0.0233151946	-0.1040439192	-0.0370522386	0.0417892771	0.0321124945	0.1822252288	0.1482464185	-0.021920813	0.1138078172	0.1284470549	0.1406877933	-0.0256089193	0.0471129259	0.0485026817	0.1236961251	0.0961943368	-0.0212663106	-0.034276702	0.0218346226	-0.0381030712	0.0266954931	-0.0088498028	-0.0812060293	0.0883757038	0.0326007726	0.0711882822	0.0338733207	-0.0761634101	-0.0280336616	-0.016337551	-0.0328267798	-0.0526382052	0.1215206315	0.0817447025	0.2234304252	-0.0463495753	-0.1619105306	-0.1560762477	-0.0333186474	-0.1184317957	0.2478546756	0.0364300302	-0.0465584433	0.0371159194	-0.0860174465	-0.0299622436	-0.0007527084	0.0028221879	-0.019593488	-0.0416462371	-0.1192157074	-0.0155763765	0.0553533541	-0.0276658009	-0.0339994833	-0.0153923182	-0.1195539524	0.0621794659	-0.0493907745	-0.0192651897	0.0038658192	-0.0166904013	0.1442451992	-0.026922499	-0.1169650631	-0.0845063725	0.0760311708	-0.0611919261	0.1940579853	0.1251271724	0.1134548014	0.0948006283	0.0703125971	0.0380330700973274	-0.0064514538837983	4.1621257214776185e-05	0.0014465144210282	-0.0907655643820533	0.0063781198795567	4.068041319799646e-05	0.0082383876775926	-0.1907998293699435	0.0156691563856768	0.0002455224618387	0.0364045748875995	0.0010212288239737	0.0002741040313937	7.513302002633327e-08	1.042908310914706e-06	-0.0004269548195876	-0.0002078784309887	4.3213442070323706e-08	1.8229041796908005e-07	0.0010687187831672	-6.536336458690009e-05	1.1421598374943805e-06	4.272369430120025e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
