global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07
869.2757409637792	n/a	755640.3138281273	n/a	984.83056138437	n/a	969891.2346366532	n/a	776.0169761249558	n/a	n/a	602202.3472341202	797.3332891557426	644.732718732403	n/a	n/a	n/a	n/a	0.0386185233	-0.0298100007	0.1636898335	-0.1202713278	0.1151612535	-0.0262856388	-0.0808843974	0.1096172602	-0.0369274441	0.0292605617	-0.1824401552	0.171248948	-0.076118503	0.048963225	-0.0173541145	0.0788852294	-0.1649975077	0.0250608163	-0.0206901037	0.0452429787	-0.170560527	0.0103615867	-0.1537275265	0.0253480534	0.0760319555	-0.0607771721	0.0418553741	-0.0174773228	0.0011912117	-0.3101718464	0.1302041484	-0.040248387	0.0021237676	-0.0021140317	0.1121550066	-0.0473934671	0.1063077348	0.0321354686	-0.0828383921	0.1980035692	0.1160828354	-0.1606817114	-0.0366434218	0.0507450537	0.0375170193	-0.0202303676	-0.0329275394	0.1149538365	0.0211643158	0.0295948938	-0.1726209496	0.0377497409	-0.0301061873	-0.0183346797	0.1734555	-0.0064031908	0.1401692441	-0.03904294	0.0268605304	0.0427785078	-0.0313860662	0.0421289186	-0.1935999985	0.1237209033	-0.1279341502	0.1743022149	-0.0468988467	0.0159662451	-0.0153606429	0.0958909789	-0.143082516	0.0767887317	-0.2822811364	0.1319861363	0.0283945789	0.0005619738	-0.0660309568	0.0025047176	0.1819388177	-0.0296568255	-0.1264690446	0.0363368585	-0.1139065539	0.1821421278	-0.1139140787	0.0028677947	0.0215781618	-0.0158966081	0.1969133463	-0.3680755832	0.1205917686	-0.0402287425	0.1225585167	-0.1355281938	0.228359917	-0.1552657416	0.1721446679	-0.0410073798	-0.1732540385	0.0726765415	-0.1389312815	0.2240792193	-0.0397906888	0.0123247805	-0.1818082599	0.1290883846	0.1290552057	0.1289999139	0.1289225186	-0.0471869265660274	n/a	n/a	0.0022266060387476	-0.0931622158932583	n/a	0.008679198470142	n/a	-0.1135572906150201	n/a	n/a	0.0128952582518241	-0.0025749209770031	n/a	n/a	6.630218037810599e-06	-0.0022699031519139	n/a	n/a	5.152460319068658e-06	-0.0012479248787992	n/a	1.5573165031259978e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
868.3347655421948	-0.940975421584426	754005.2650492183	0.8854347440259881	976.4709714092786	-8.359589975091353	953495.5580049802	69.88274455164785	776.2950809777028	0.278104852746992	0.0773423091214261	602634.0527501781	796.9576036409757	633.8790788046256	1.031364	16.63916	0.2286938097580695	0.1110697847689854	-0.0443512225	-0.1287323645	0.118743729	-0.1791667114	0.0244547951	0.0335274038	-0.023894893	0.0186589783	0.0979259425	-0.0178813893	-0.0933748732	0.2663438721	-0.0691985868	0.0043986014	0.0434456224	0.0831695636	-0.1559326466	0.0747506603	-0.1199802553	0.1318413367	-0.1603424493	-0.0260704492	-0.0741909632	0.0793582873	0.178205124	0.0480561365	0.1104759012	-0.0880227763	0.0888373232	-0.0530936626	0.0362452729	-0.1225364282	-0.0915785687	0.044887057	0.0672156713	0.0114373032	0.0635211377	0.2141095403	0.0217691503	0.0342078665	-0.0520491166	0.0336286657	0.0115743927	0.0833009248	-0.0372239807	0.0895584245	0.0413279089	0.050296698	-0.0647180747	0.0336652253	-0.1691213362	-0.0130232317	0.0572002426	-0.0380331445	0.2127053835	-0.0304079313	0.1306057849	-0.0327639575	0.1351310268	-0.137720378	0.0365817756	0.1267150668	-0.0414122199	0.1423054505	-0.1090867987	0.1133864813	0.0547100132	-0.0345922872	-0.014811939	-0.0044734783	-0.0439172388	0.0763024784	0.0410903138	0.0923366284	0.0037223043	-0.027014735	-0.0527092368	0.088018856	0.0134378238	-0.0969259239	-0.0967071907	0.0006172302	-0.0019555206	0.2146583815	-0.1010346927	0.1141507434	0.0540622829	-0.0163502071	0.1097520835	-0.1907572369	0.100285684	-0.0505033083	-0.0744033317	-0.0786927395	0.2740279998	-0.0268692015	0.0163130164	0.0485638669	-0.2537494989	0.1929249297	0.1522433504	0.0363761699	0.0008529207	0.0348389833	0.0906037028	0.1289999139	0.1287014744	0.1282045865	0.1275100165	-0.016033616380696	0.0311533101853314	0.0009705287355034	0.0002570768542433	-0.058930706977577	0.0342315089156812	0.003472828224877	0.0011717962026443	-0.1433669779292969	-0.0298096873142768	0.0008886174577749	0.0205540903605795	-0.0012880561843408	0.0012868647926623	1.656020994593784e-06	1.6590887340185813e-06	-0.001225916508867	0.0010439866430469	1.0899081108603355e-06	1.5028712867126534e-06	-0.0009087902476528	0.0003391346311463	8.258997142288375e-07	1.1501229804280476e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
868.0175749579462	-0.3171905842485785	753454.5104358738	0.1006098667359545	971.2433961312984	-5.227575277980236	943313.7345286582	27.327543286950142	774.9491937582385	-1.3458872194643163	1.8114124075173887	600546.2529065439	795.3308509801809	637.7562005129071	1.070289	17.267159	0.1749030978375322	0.0930093206385546	-0.0915066291	-0.1213860843	-0.0250296645	-0.0554283403	0.1057788466	-0.0734220439	0.0354583065	-0.0644044552	0.095232013	-0.0373970591	-0.1522378203	-0.0522898091	0.0268297032	0.0292342031	-0.0595673284	0.0459592556	0.0786920034	0.1469457661	0.0441894342	0.1081973195	0.0884435085	0.0415002235	0.1551489959	0.0475763134	0.027820831	-0.0401377476	0.1038494334	-0.1554768729	-0.1072095743	-0.0939227988	-0.1511903107	0.1041528492	-0.132738386	0.1564679861	-0.0291204082	0.0231580538	-0.0885970031	0.0621569539	0.0688857966	-0.0038621248	-0.0523314163	-0.0132607495	-0.0130936026	-0.0293610548	-0.0300881013	0.0176202965	0.027431301	0.0407740776	-0.0106653834	0.0407372715	0.0164863684	-0.1651193452	0.0122318169	-0.1442660233	-0.0216379749	0.0380248338	-0.1009684047	-0.0223548614	0.0558468175	-0.1448525873	0.1322176167	-0.1386779403	0.1294314031	0.0073182063	-0.1418146517	-0.0146779136	-0.0258333738	-0.0200043166	0.1021101793	0.0611634131	-0.0988838086	0.1286265737	0.0198651158	0.1364014192	-0.0308035732	-0.0092871002	0.0260900368	-0.0323376571	-0.0596533417	0.197893452	0.044155533	-0.0606098625	-0.011574787	0.1462025311	0.0037388813	-0.094160701	0.0919478173	0.0369680898	0.0049092342	0.0572208943	-0.0045178159	-0.0215146732	-0.0226784644	0.1282306872	-0.0273819444	0.1503414494	-0.0043686136	-0.0070287618	0.1227896465	-0.0994290383	0.058758342	-0.049235029	-0.068504424	0.0478176797	0.0027792389	0.1288230331	0.1279949812	0.1266188352	0.124700488	-0.0105130284855619	0.005520587895134	3.0476890707901144e-05	0.0001105237679382	-0.1327091528337405	-0.0737784458561635	0.017611719245849	0.0054432590729508	-0.1626149529409915	-0.0192479750116945	0.0003704845420508	0.0264436229200008	-0.0002503089709099	0.0010377472134309	1.076919278983598e-06	6.265458091797316e-08	-0.0016348766645837	-0.0004089601557167	1.6724840896382758e-07	2.6728217084003243e-06	-0.000989204659996	-8.041441234319996e-05	9.78525859357802e-07	6.4664777125021905e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
867.1078362496976	-0.9097387082485966	751875.9996856324	0.8276245172858252	965.5385457292388	-5.704850402059606	932264.6832889332	32.545318109879645	774.2433580940152	-0.7058356642232866	0.4982039848895281	599452.7775526975	794.821515508894	633.9596535023251	1.006422	16.23678	0.0850189885806144	0.0442375447433287	-0.0610461373	-0.1186185494	0.0866317334	0.0599815071	0.0263889123	-0.0549994937	0.1124113269	-0.0849691823	-0.0068254744	0.0496216675	-0.0281046092	-0.0426908134	0.0164594117	-0.0979851371	0.0855588175	0.1350205071	-0.0872152826	0.1371297811	-0.006043864	0.0164601439	0.1003541987	-0.0243486364	0.0534656843	0.0452822192	0.0979254912	-0.074870679	0.0374558275	0.0905709405	-0.0838027213	-0.0413291584	0.1179134371	0.2004646809	0.1423136747	-0.1242985271	-0.122539644	0.1845914182	0.0680053971	-0.0561418348	-0.0806132725	-0.000684181	-0.0430907284	0.1310557936	0.1418291609	-0.0794753946	0.1283834585	0.0669507965	0.0271294674	0.0377938452	-0.104593425	0.0907413505	-0.1256810764	-0.1233794059	0.0236581151	-0.1030838722	-0.0786665315	-0.0906089971	-0.1161120441	-0.0582440461	-0.0484508949	-0.0163763701	0.0401852106	0.0272147278	-0.0717187069	0.0743326825	-0.081391166	-0.135993356	0.0065863494	0.0731069512	-0.0718482174	0.1494095037	0.1320640014	-0.276032622	0.0567065014	-0.1125633868	0.0163831884	0.032096586	0.0177383977	0.0525701602	-0.1076058212	-0.0426366765	-0.0075380198	-0.0390676867	-0.0762558812	0.1436478516	-0.0305768944	-0.0559241399	-0.1336191734	0.0136835997	-0.0325791542	0.047693293	0.0368652881	-0.016008706	-0.1002643505	0.0604556038	-0.0779624857	0.0830428103	-0.0996967915	0.1475911751	-0.0117566729	-0.0434732566	0.0262965007	-0.0350899151	-0.0335980923	-0.0239451786	-0.1101081811	0.1285578634	0.1269376627	0.1242524367	0.1205247148	-0.0097435909342209	0.000769437551341	5.920341454136343e-07	9.493756429343171e-05	-0.096809182948121	0.0358999698856194	0.0093720179030827	0.0012888078377883	-0.1396532782853725	0.0229616746556189	0.0005272385029904	0.0195030381358516	-0.0003778890481386	-0.0001275800772287	1.627667610568106e-08	1.4280013270309718e-07	-0.0014727730116497	0.000162103652934	2.6277594294546752e-08	2.1690603438437278e-06	-0.001207279059594	-0.000218074399598	1.457522727734173e-06	4.75564437600282e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
868.4992360295362	1.3913997798385935	754290.922983888	1.9359933473348865	967.6564009461222	2.117855216883413	936358.9102920024	4.485310719680289	775.3301617186746	1.0868036246594102	1.181142118572832	601136.8596707061	795.4872838495609	637.9536012512922	0.982017	15.843044	0.057394612024237	0.0308466443397336	-0.0456557783	0.0123692986	0.1240546436	-0.0959390529	0.0381241586	-0.157410135	-0.0029263582	-0.0579193269	0.0190777828	0.0853807884	-0.0701707698	0.0460983444	0.0260773306	-0.2179538242	-0.0413441534	0.0861726473	-0.1343014197	-0.0280115122	-0.0059427788	0.0493087309	0.0333743283	-0.0022066706	0.0970737145	-0.0740568256	0.0233705807	-0.0099629347	0.0376908054	-0.0437295109	-0.073645632	0.1129590807	-0.1574953745	-0.0038295209	-0.0145294177	0.0246408455	0.0721329109	0.0825375057	-0.0471643822	-0.1526635622	-0.0318926639	0.0037814296	-0.091744336	0.0575028804	-0.121784926	-0.0381153097	0.1413986975	-0.0968875404	0.0288071959	0.0419790046	-0.0648856551	0.0670328439	-0.1211394551	0.065015041	0.0267243399	-0.0996834127	-0.0269216795	0.0014845103	-0.0338673425	0.0360304638	-0.1010555919	-0.0259207574	0.1320293684	-0.0778921805	0.0617124677	-0.0086883148	0.0377734662	-0.0516208257	0.0617108036	-0.0416203359	0.0436059365	-0.0794013282	-0.0732390732	-0.0523541461	0.1367716172	-0.0076342928	-0.0363772268	0.1253145435	0.112699501	0.0253899329	-0.1997015809	0.0698989859	-0.014136294	-0.0499951599	-0.1058038342	0.0855001139	-0.098673125	-0.0610641218	0.0093173784	-0.1116057489	0.028933975	0.0366542195	0.0789325119	-0.016849877	-0.1080647526	-0.0059690762	-0.1776666601	0.0739590085	0.0061700527	-0.0042936525	0.0854203201	-0.0940967196	0.0261096279	-0.1379536874	0.071556757	-0.0133386882	-0.0253536511	0.1282045865	0.1255324169	0.1211199807	0.1150284477	-0.0128639708445206	-0.0031203799102996	9.73677078460196e-06	0.0001654817458886	-0.1179990454324411	-0.02118986248432	0.0139237747229672	0.0004490102721043	-0.1580764066069448	-0.0184231283215723	0.0003394116571531	0.0249881503257641	-0.0004399991755409	-6.211012740230001e-05	3.857667925929939e-09	1.9359927447667174e-07	-0.0014301938095764	4.257920207329999e-05	1.8129884491989141e-09	2.045454332950656e-06	-0.0013958145562793	-0.0001885354966852	1.948298275521179e-06	3.554563351037275e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
869.486286525863	0.9870504963267877	756006.402456535	0.9742686822989578	973.2805688592452	5.624167913123074	947275.065718976	31.63126471500315	775.1480526237331	-0.182109094941552	0.0331637224604312	600854.5034863657	795.6792192862943	644.9839720397613	1.059885	17.099306	0.0763778500109786	0.0518088299756148	0.0059978394	0.0407718546	0.0382804306	-0.0695779943	0.2148885392	0.0612579986	-0.075826802	0.0653038578	-0.0395885809	0.017632264	-0.0480534456	0.1325855203	0.1422305085	-0.0744211284	-0.0144288358	0.0586880772	0.008093142	0.0321460243	0.1212025615	0.1144460645	-0.1068509304	0.0348691119	-0.0291800789	-0.2039094287	-0.0963355359	0.0288606693	0.0878167519	0.0092926816	-0.0042620556	0.1768280171	-0.0541168819	-0.0066874001	0.098962464	-0.0946702903	0.1780468293	-0.1748885014	0.0578908443	-0.0299943577	-0.0506750942	0.0644749097	0.0533055802	0.1040351628	-0.0346271696	0.0291601406	0.0473739075	-0.0812648655	0.0743628872	-0.2372086059	0.0380499026	0.0389191588	0.0131035259	0.0151062469	-0.1469932006	-0.1293469999	0.1407874228	-0.0007095678	0.0395119928	0.0205618553	-0.1078934435	0.0508566454	-0.0058636936	-0.1381160178	-0.0472261324	0.0384443864	0.1796834065	-0.0073135126	-0.0773466673	-0.1058009995	-0.0444388923	-0.1628098239	-0.129145067	-0.1564062725	0.097638924	-0.0336664584	-0.0128439262	-0.0814936092	0.1450478231	0.1031234448	-0.0151228272	-0.1126429702	0.1286351159	-0.0184488561	-0.1062863045	0.0610643781	-0.1182107703	0.0356398409	0.0878107702	0.1655125069	-0.0443142333	-0.0148236713	0.0532999725	0.0148339456	-0.1125405761	0.0846239337	-0.1381841378	0.0177953617	-0.0090955935	0.0476358	-0.0081917576	-0.0432224389	0.0117617491	-0.0315763626	-0.0108755155	-0.1026742976	0.0278390509	0.1277634447	0.1237830955	0.1172407796	0.1082719048	-0.0115949328524465	0.0012690379920741	1.610457425327465e-06	0.0001344424678527	-0.0738612626974202	0.0441377827350208	0.0054554861272573	0.0019481438647639	-0.1582351446152685	-0.0001587380083236	2.5197755286573292e-08	0.0250383609914149	-0.0004303127542696	9.686421271300032e-06	9.382675704509372e-11	1.8516906648708916e-07	-0.0016347907203058	-0.0002045969107293	4.185989588001404e-08	2.672540699197956e-06	-0.0009938520627688	0.0004019624935104	9.877419226697988e-07	1.615738461891787e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
868.7525706540806	-0.7337158717823513	754731.0290180733	0.5383389805053358	971.9444620639464	-1.3361067952988606	944676.0373367742	1.7851813684437914	775.7758967081705	0.62784408443747	0.3941881943631249	601828.2419133661	796.7899705222064	639.903665965582	1.139365	18.381573	0.0901947104443996	0.0439106452522333	-0.0843166271	-0.1671966108	-0.0510755515	0.0025019969	0.1187287673	0.0622042017	0.1338261968	0.0541447009	-0.0528113745	-0.0992276599	-0.0032140491	0.0605126869	0.1399927386	-0.1436411835	-0.1661367142	0.0162773473	0.0410424757	0.2133248815	0.0049683037	-0.0183345847	-0.1434047206	-0.00443129	0.0461875807	-0.0309519426	0.0880080851	0.0418840334	-0.0206805233	0.0417704511	0.0364513556	0.0637912643	-0.0236526225	0.0020940619	-0.1458008885	-0.0136610045	-0.1658799936	0.0049845812	-0.0749803864	-0.0780551351	0.0897916175	-0.0430295699	-0.0532140546	-0.1216698877	0.0380221228	-0.0291059835	0.0285832327	0.0182764765	-0.1110318077	-0.1391585295	-0.0808588039	-0.0152417383	0.0130285527	-0.1824537718	-0.0518319874	0.0285368996	0.1499893493	-0.097254337	-0.0074618532	-0.0151119534	-0.0765453287	-0.066035579	0.0462756843	0.085630551	0.047648516	-0.0517368496	0.0687174509	-0.0824631554	-0.0316534441	0.0882816485	-0.0618005325	-0.0252429271	-0.0521480736	0.0878465823	0.0104016307	-0.0536437716	-0.1390848419	0.117674182	-0.0916900754	-0.0556366066	0.0485118639	0.0161731305	-0.0143228116	-0.0373317954	0.0521910985	0.1780476003	0.0210005156	0.0156000576	0.0038117161	0.1238698305	-0.0161301089	0.033620862	0.0123946171	-0.0643528428	-0.0524327216	-0.0001525781	-0.0833437034	0.0666347141	0.0304410422	-0.0732317532	0.037228288	-0.029540332	0.0841607499	-0.080720634	0.0573473687	-0.0239038067	0.0411015179	0.1272347401	0.1216944932	0.1126387502	0.1003291122	-0.0159931232015395	-0.0043981903490929	1.93440783468548e-05	0.0002557799897396	-0.106440119544672	-0.0325788568472518	0.011329499048684	0.0010613819134737	-0.1297568480168536	0.0284782965984148	0.0008110133771472	0.0168368396072688	-0.0003440390757657	8.627367850389998e-05	7.443147602594292e-09	1.1836288565371708e-07	-0.0015018735621519	0.0001329171581538	1.7666970931708835e-08	2.2556241966908373e-06	-0.0007182555664338	0.000275596496335	5.158910587131389e-07	7.59534287921277e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
867.3018487088523	-1.450721945228338	752212.4967737929	2.1045941623670927	966.9237829280804	-5.020679135865976	934941.6019919496	25.20721898531992	774.1996607682341	-1.576235939936396	2.4845197383471733	599385.1147336488	794.7387118386135	638.6507913994067	1.061354	17.123001	0.0203115434583556	0.0109544141840906	-0.0409575205	-0.1592208107	0.0904293797	0.0833474486	-0.0274593541	-0.0253701194	0.2087398314	-0.0658084811	-0.0317323589	-0.007507227	-0.0157440315	0.0430937753	0.0240436425	-0.01760248	-0.0951055155	0.1158229398	-0.046634123	0.1526846983	-0.0347507889	-0.1032185837	-0.0144812828	0.0790577915	-0.0345830963	0.0645515885	-0.2180871703	-0.0586794685	0.0823326884	-0.0501090273	-0.0245187752	-0.1136657484	0.214930914	0.0453015896	-0.0465881661	-0.0621470815	-0.0958897238	-0.020711169	0.017785541	0.0026050543	0.1185938208	-0.0478079912	-0.0239508537	-0.0991505619	0.0680618015	-0.006790657	-0.0024026807	-0.0700650555	0.0445865628	0.0790344965	0.1071235321	0.0725160121	-0.1314243244	-0.1536685131	-0.0035739194	0.069211443	0.0136950283	0.0294508122	-0.0648586863	-0.0669542839	0.0636890083	0.0106728743	-0.0575615276	-0.1873054475	-0.0696256552	-0.0194935827	0.0110060648	0.137900244	-0.0149701086	0.2076082147	-0.1109471432	0.1165046489	0.0677595992	-0.0550554032	-0.0327911217	-0.0175551807	-0.0639642861	-0.0022609179	-0.0622858571	-0.0362726292	0.072448354	0.0226850673	0.0061486701	-0.017677359	-0.065226645	0.1411660581	0.0209069621	0.0086590227	-0.1001923504	-0.0013137146	-0.0311825398	0.0651583473	0.0281572644	0.0329224964	0.0503984893	0.0899388258	-0.00697785	0.1317143284	-0.1236345652	0.1538014478	0.1667376372	0.0166604364	0.0253713531	0.1100104258	0.0179466353	0.028290945	-0.0455667208	0.1266188352	0.1192723348	0.1073422654	0.0912870929	-0.0200270147760051	-0.0040338915744656	1.627228123454457e-05	0.0004010813208383	-0.1048265679976054	0.0016135515470666	0.0109886093581565	2.603548595041035e-06	-0.130514265665397	-0.0007574176485433	5.736814943250072e-07	0.0170339735421778	-0.0001969421680721	0.0001470969076936	2.163750025301948e-08	3.8786217564939285e-08	-0.001498945491233	2.928070918900008e-06	8.573599306107937e-12	2.24683758568774e-06	-0.0005901468912807	0.0001281086751531	3.482733532882744e-07	1.6411832649482508e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
865.7649060890806	-1.5369426197717075	749548.8726154345	2.36219261647072	970.0671962303452	3.143413302264776	941030.365202203	9.881047188855142	774.0233325722777	-0.1763281959564437	0.031091632689254	599112.1193662948	794.2314584092131	642.6557469407389	1.147157	18.507282	0.0483264396606779	0.0253876229780811	-0.0647140724	-0.0404488996	0.0638552452	-0.1633176961	-0.0266514191	-0.0613012002	-0.0383446159	-0.1628346473	0.0971353188	0.0235507668	-0.1812838272	-0.0324876425	0.0776938244	-0.0396433876	0.0891469731	0.1011169731	-0.0004712837	0.1107413109	0.0570412818	0.0571503923	0.057474253	0.080582131	-0.0735943842	-0.0506211706	-0.1745656152	0.1489378983	-0.2194693279	-0.1450806708	-0.0141945546	-0.0921134588	0.0309860232	-0.1347252234	0.0753245683	0.0612181967	-0.1302193886	-0.0918982707	0.1079655624	0.0129252683	0.0487678767	-0.1235912027	-0.0658361985	-0.0444805967	-0.0116074702	0.0894995353	-0.0472455174	-0.0110771034	-0.1721439855	0.008643699	-0.0037358964	0.0918233636	-0.0319508874	-0.1007172924	-0.0338959948	-0.1302710607	0.0101530138	0.096042479	0.0495684348	0.0892450556	0.0871752262	0.2499825871	-0.0369928835	0.0111895264	0.0376901532	-0.0108337784	0.0902768881	0.0862763498	0.1368448924	-0.0607799678	0.0061325075	0.1834789089	0.0857368734	0.0487783891	0.0105418103	-0.0863653813	-0.0109696743	-0.0989377552	-0.1743665494	-0.1399888991	0.0565673987	-0.0090736148	-0.0961038639	-0.0235377249	-0.0245339783	0.0993556567	-0.0062248299	-0.0538174616	0.1094194826	-0.0888090981	0.0442212738	0.1223081325	-0.0226222138	0.1842463969	0.0636933776	0.0587031245	-0.0867612547	0.018556759	-0.0860722744	-0.1203394483	-0.0605956369	-0.1526679049	-0.01378344	0.0216328538	0.0695610311	0.029058934	-0.0172172984	0.1259161521	0.1165232592	0.1013839798	0.0812449131	-0.0305914037940056	-0.0105643890180005	0.0001116063153236	0.0009358339860879	-0.0904180060291253	0.0144085619684801	0.0081754158142829	0.0002076066579995	-0.1139632794164597	0.0165509862489373	0.0002739351458125	0.012987629055354	-0.0001969822842634	-4.0116191299996006e-08	1.6093088044178752e-15	3.8802020313626924e-08	-0.0016349407084101	-0.000135995217177	1.8494699095046584e-08	2.67303112001652e-06	-0.0005901616064175	-1.4715136800041996e-08	3.4829072168928426e-07	2.165352510439501e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
866.1856341379871	0.4207280489065397	750277.5527870269	0.1770120911367036	963.4581397334232	-6.609056496921994	928251.5870185884	43.679627779506816	774.1851840078095	0.1618514355318439	0.0261958871837186	599362.699137206	794.4489612268702	635.2576793455223	1.334046	21.522392	0.0911076070209896	0.0490436591881457	0.0674533483	-0.0586853837	0.1070192201	0.118629745	0.1817019322	-0.0112149029	-0.0033560141	-0.0424632059	-0.1127037677	0.1305165533	0.0209828994	-0.0869893571	0.2363518383	-0.0105368312	0.0947700373	0.1332415664	0.0377876897	0.1025222011	0.1568869196	0.0039147269	-0.0324470073	-0.154908343	0.1107910559	-0.043904509	-0.1788167587	-0.076367002	-0.0586135415	0.0964639163	-0.0685650305	0.0639276195	-0.1913967271	-0.0366323475	0.1274203377	-0.0965690715	-0.0090551879	-0.0423999486	0.117515279	-0.1248711421	0.0611850837	0.0696735357	0.0885519002	0.0527534896	-0.0625323097	0.0281558253	-0.0398124012	0.141778331	-0.0227041967	0.0568895701	0.0290886091	0.0996546774	0.015426185	-0.107598229	-0.1743550621	-0.0921132483	0.0153031934	-0.1429080605	-0.1239202656	0.0855007317	-0.036879846	0.1914000475	-0.114654396	-0.1572835739	-0.0980093896	-0.0720505681	-0.0086110913	-0.1139064855	-0.0114052664	-0.1761085336	-0.0247767398	-0.1046510904	-0.0232322344	-0.0600702768	0.0314412031	-0.002251265	0.0316866345	0.0545137974	0.0709288951	-0.0049735955	-0.0268250948	-0.0002131584	-0.0742947081	0.0430194978	-0.1538245238	0.051739627	-0.0166573364	-0.076114345	-0.0866200006	0.2146291277	-0.0004720879	-0.0158954389	-0.0271335889	0.1907606846	0.0497907558	-0.0598023275	-0.0373858432	0.0819171433	0.0269954182	0.0496199588	0.2042330161	0.0709072627	0.0065812214	0.0310073201	-0.0092150664	-0.1490167683	0.0704795072	0.1251271724	0.1134548014	0.0948006283	0.0703125971	-0.0305308684770722	6.053531693340011e-05	3.664524596227199e-09	0.0009321339299642	-0.0791646547921089	0.0112533512370164	0.0062670425683537	0.0001266379140636	-0.0822959825022948	0.0316672969141648	0.0010028176938498	0.006772628736018	-0.0007479658748305	-0.0005509835905671	3.035829170742137e-07	5.594529499109551e-07	-0.0013322369166919	0.0003027037917182	9.16295855205754e-08	1.7748552021967404e-06	-0.0006990026951897	-0.0001088410887721	4.886047678824647e-07	1.1846382605117902e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
