global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01
978.5811480453802	n/a	957621.0633098144	n/a	1124.0118610776703	n/a	n/a	1263402.663843288	925.976595009025	n/a	n/a	857432.6545045079	961.4837176496084	756.1197874775299	n/a	n/a	n/a	n/a	-0.1869914882	0.0170932217	-0.0106299318	0.003824539	-0.0355110623	0.2210714575	0.1538861363	-0.1822675882	0.0001121384	-0.271495151	0.083804038	-0.0759589099	0.3054987628	-0.2478499689	0.1067364763	-0.0093373636	0.2112292125	-0.1801513411	0.0747824853	-0.2762635827	0.0335643261	-0.053252986	0.0665071552	-0.0544271231	-0.0655144006	0.1251494948	-0.1281132994	0.0637286302	-0.0386718801	0.030058557	-0.1440620474	0.0292511167	-0.0003813145	0.0093547973	-0.044456274	0.0463747241	-0.0730889185	0.169156742	-0.0490839506	-0.0542831905	0.0406126508	0.1498444542	-0.0735217491	-0.1046235074	0.0993314818	-0.1792871775	0.022039146	0.0835589339	0.1361156195	-0.0132855559	-0.008020665	-0.0541216434	-0.1275806593	0.0888075896	-0.0114293115	0.243063668	-0.0948534881	-0.3492654095	0.1320607277	-0.1346728221	0.0345370385	-0.0489512772	0.1088453542	-0.0182049293	0.0522151331	-0.0835141887	0.2326458711	0.1132610632	-0.0027311614	0.1165194709	-0.0967884268	0.2284127992	-0.0599864246	0.2205178449	-0.0307307649	0.0544228382	-0.1492487059	0.0021555441	0.0951853345	-0.1351349101	0.001310764	0.0470447572	-0.1363976979	0.0165273943	0.0123424394	0.2029683157	-0.0202738366	-0.0887112855	0.088077198	-0.3675118744	0.005556791	-0.156326908	-0.0920682276	0.03729523	-0.1754051717	0.0005056238	-0.0431551825	0.0813419165	-0.0028302083	0.0646152922	-0.0925726583	0.0061089497	-0.382923534	0.2083936284	-0.4441427798	0.0726638264	0.0934031746	-0.1767229384	0.0341282193	-0.0980580954	0.3725992161	-0.0402707664	0.0358182703	0.1290883846	0.1290552057	0.1289999139	0.1289225186	0.0124871081353319	n/a	n/a	0.0001559278695834	-0.0526315626331381	n/a	n/a	0.0027700813852059	-0.2929622156366775	n/a	n/a	0.0858268597907511	0.0063961786413418	n/a	4.091110121195703e-05	n/a	0.0003341708854787	n/a	n/a	1.1167018070161843e-07	0.0022409566409892	n/a	5.021886666793599e-06	n/a	0.0	0.0
980.9257585981225	2.3446105527422105	962215.343881302	5.497198644030134	1122.6792372341813	-1.3326238434890456	1.7758863082355163	1260408.669716723	928.8343305638228	2.8577355547978414	8.166652501155726	862733.213633945	963.6750917110388	784.2842419285041	1.492347	22.770643	0.1589264506509394	0.0846405557210487	-0.3066518789	0.0102036418	0.0021999188	0.0237275495	0.0637079269	0.1035826033	0.2052451285	-0.0109891867	-0.1187748301	-0.1301232654	-0.0317704243	-0.0854512798	0.0293059605	0.1470955869	-0.0003444324	0.0802149902	0.249655563	0.1889467024	0.115519873	-0.1220734335	-0.037340701	0.0302116623	-0.1630594428	-0.0100375442	0.0518582179	-0.1338342861	-0.0032359461	0.1889395452	-0.0025145745	-0.0564584411	-0.0134184975	-0.0338812282	0.0375705583	-0.0269461049	0.0613857309	0.0528659354	0.0355661396	-0.0206424716	0.1104696948	0.0096457832	0.2125956139	0.0252588164	0.0394859077	-0.0444376158	-0.2605130291	0.0019764784	0.0158247335	-0.1153322649	-0.0034742159	0.1147579779	-0.0612667032	-0.0492134127	-0.0363483658	-0.0215878985	-0.2270084519	0.1332556759	-0.1088706239	-0.1251527456	0.1072111111	0.093152525	-0.0367397368	0.0757083459	-0.0763576265	-0.1237906547	0.0730023069	0.2069346871	-0.0846945471	-0.0676785236	0.0062219643	-0.0199418576	-0.0352184276	-0.0913564972	0.0366714081	0.0246848828	-0.0894961311	-0.2180831153	-0.0351579153	-0.1253967977	0.0278257827	0.0214114012	0.0967475523	-0.0213701749	0.0979599652	-0.2589070216	-0.0537452637	-0.048822621	0.108877604	0.0835113143	0.1808914075	-0.3469274823	0.0279117117	-0.1681904947	-0.056160235	-0.0964757508	-0.0343307396	0.1316501645	-0.0300572528	0.0688004006	-0.2133379056	-0.0337398878	0.2821148194	0.2290311575	0.067222261	-0.0378344155	0.2361130625	0.2148194946	-0.1222577359	0.1009936473	0.0919771364	-0.190751775	-0.1393191703	0.0765558575	-0.2237546095	0.1289999139	0.1287014744	0.1282045865	0.1275100165	0.0204468868799096	0.0079597787445777	6.335807766263095e-05	0.0004180751830798	0.015809372701085	0.0684409353342231	0.0046841616294233	0.0002499362652018	-0.2591066282530789	0.0338555873835986	0.0011462007970884	0.0671362448046792	0.0062399133294002	-0.0001562653119415	3.893651835842629e-05	2.4418847716205353e-08	0.0001619803205445	-0.0001721905649341	2.9649590652358937e-08	2.623762424369897e-08	0.0015960095340942	-0.000644947106895	2.547246432919586e-06	4.159567706922307e-07	0.0	0.0
978.9715449304048	-1.9542136677176811	958385.2857834236	3.818951059094592	1121.6760847157443	-1.0031525184369912	1.006314975246478	1258157.2390232417	928.0376036844136	-0.7967268794092206	0.6347737203731547	861253.7938523088	962.9555652453508	767.4142277607551	1.148785	17.528477	0.2212614752876275	0.1082135349755909	-0.2790064167	-0.0076300957	0.0049809244	0.0579123498	0.0782524949	0.0831844612	0.1211220194	0.1145736541	-0.1839822621	-0.1041838294	0.0040458088	-0.1351745106	0.1673724111	0.0986245832	-0.0597035704	0.0585918133	0.2629250937	0.0698338328	0.0695923116	-0.1581185619	-0.0461176813	0.0329522314	-0.0364940402	-0.0674664775	0.0195236482	-0.0061032523	-0.0390446838	0.053893173	0.0030661033	0.01848123	0.0506676272	-0.1609163871	-0.0326200101	-0.1220403025	0.0057333355	0.117426288	-0.1119573551	-0.1062034031	-0.0040115012	-0.0201739573	-0.0337872566	-0.0732010579	0.0633923095	-0.0492016149	0.0122409304	0.0448381631	0.0465123807	0.1278889589	-0.1003154985	-0.0039039778	-0.0729418933	-0.1244511978	0.0970041537	0.0542832176	-0.26678335	0.1157789563	-0.0691244386	-0.1359929751	-0.005173375	-0.028243193	0.027812837	0.1115917955	-0.0487191979	0.0152891525	0.0269941236	0.0833744747	0.1104404787	-0.0001270162	0.0587091259	0.0269413335	0.0175909926	-0.0941733114	0.1528590379	0.0043273891	-0.0211489411	0.1269177323	0.1957645458	0.0219378081	-0.0557833258	0.0942184166	-0.0014020218	0.0620463618	0.0045289802	0.0438787483	-0.0756925965	-0.0397353822	0.0480482601	-0.0348481869	-0.076817837	-0.3555138419	-0.0654149085	-0.0012528454	-0.044057461	-0.0455287367	-0.0642201639	0.005680814	0.1237458174	-0.0128474756	-0.0612037543	-0.0706672511	0.0517801362	-0.0181881868	0.056952687	0.0015314111	0.1107102571	-0.0051365047	-0.0781338293	0.2102759631	0.0671390928	0.1720170711	-0.0344360837	-0.040865831	0.1612790112	0.1288230331	0.1279949812	0.1266188352	0.124700488	0.0754478144032901	0.0550009275233805	0.0030251020284321	0.0056923726982333	-0.0449004838510092	-0.0607098565520941	0.0036856866825758	0.0020160534500547	-0.2120599725130461	0.0470466557400328	0.0022133878163211	0.0449694319422338	0.0054552884737009	-0.0007846248556993	2.976017233129389e-05	6.156361641811485e-07	0.0002601400334818	9.815971293729996e-05	9.635329243933136e-09	6.767283701991201e-08	0.0018833056749	0.0002872961408058	3.546840265110545e-06	8.253907252190605e-08	0.0	0.0
978.7519985383742	-0.2195463920305655	957955.4746428616	0.0482006182536387	1126.9558238325449	5.279739116800556	27.87564514147392	1270029.4288700898	928.4488030758274	0.4111993914137883	0.1690849394990699	862017.1799329366	963.7130113233408	769.3595374776767	1.056346	16.118017	0.0713260348616537	0.0348605344137641	-0.2258566299	-0.0117692291	-0.0701490827	0.017547887	0.0228177754	-0.0189474347	0.1917165212	0.1239448598	-0.1179237672	-0.0748668553	-0.0774725535	-0.1051651401	0.0683937677	0.0803124289	0.0522418288	-0.0136381776	0.2101819476	0.1642965686	0.1274758179	-0.1454131401	-0.0612880455	0.0703062247	0.0134638573	-0.0222032088	-0.0162664919	-0.0144508943	-0.0300061541	-0.0925341395	0.0213929586	0.1125562632	0.010118416	0.0228298057	0.0855177326	0.0820795971	0.0788616392	-0.0213454774	-0.0196775125	-0.1342337394	-0.106124272	-0.0615440492	-0.0180200335	-0.0957137097	0.0052408996	-0.0267781368	0.0699624611	0.0108143845	-0.1172536172	-0.1153598629	-0.0067979771	-0.119477113	0.0158250902	-0.0824264104	0.1796112333	-0.113477203	-0.2821945953	0.0978048772	-0.0728494756	-0.0896684737	0.0351108078	0.0280270025	0.0896177053	0.0739789791	-0.0584890581	-0.0665327549	0.0133206522	-0.0542190651	0.0332282618	-0.1082091285	-0.0688200994	-0.0841643142	-0.0085172518	-0.0930939731	-0.0075469588	-0.0313884286	0.1501726992	0.0759667546	0.1776286375	-0.0338851433	0.0554819416	0.1232865315	0.0390485042	0.0948313827	0.0447249554	-0.029965577	0.0210140414	0.0106627101	-0.0019167461	-0.0602223403	-0.0631539942	-0.3180510336	-0.1276198894	0.1049717141	-0.023875695	0.0203420514	0.0052987354	0.0026039093	0.0895277963	-0.1062564853	0.0705220894	-0.0975169331	-0.0304329902	-0.0473243205	0.0579317146	-0.0069956981	0.1632605592	-0.0411366554	0.0204810253	0.024285906	-0.0562448606	0.2568844456	0.0024735981	0.0561539334	0.1247632962	0.1285578634	0.1269376627	0.1242524367	0.1205247148	0.0931702603391499	0.0177224459358597	0.0003140850899494	0.0086806974116649	-0.0407117421029283	0.0041887417480808	1.7545557432115822e-05	0.0016574459450553	-0.2210627076373441	-0.009002735124298	8.104923971826893e-05	0.0488687207079538	0.0057358420384778	0.0002805535647768	3.289988389036916e-05	7.871030270902619e-08	0.0007061420987271	0.0004460020652453	1.989178422030729e-07	4.986366635947135e-07	0.0019649922859461	8.168661104610009e-05	3.861194683827681e-06	6.672702424196841e-09	0.0	0.0
978.4292738931372	-0.3227246452370309	957323.8440110516	0.1041511966433674	1123.0719860339989	-3.883837798545983	15.084196045414506	1261290.6858143506	928.1387594986636	-0.3100435771638103	0.0961270197405316	861441.5568837181	963.4057388525532	763.7091167294062	1.020432	15.570032	0.2615383680071793	0.1317038885777588	-0.1818737939	0.0007269683	-0.0649630603	0.0169675518	-0.0219560783	-0.0474771933	0.17689384	0.1478678484	-0.0825889675	-0.0791355146	-0.00977471	-0.1955542589	-0.0311308692	0.0281104603	0.1588808235	-0.1317361035	0.179474847	0.0743884589	0.0389061184	-0.1169188579	-0.0688374402	-0.0171034504	0.0286009466	-0.0059641922	-0.0216619546	-0.0605315512	-0.0715996975	-0.060263675	0.1474239497	0.0256216865	-0.0155001736	0.0315594015	0.0852707972	-0.0120808367	-0.0751652542	-0.0081896212	0.0778541759	0.0910055435	-0.0426455339	-0.0018443734	-0.0209578707	-0.0813807555	0.0651782795	0.1089576439	0.0644468104	0.0777531402	0.0321447514	-0.0098414499	-0.0598244209	-0.1031471445	0.1439912735	0.1237751894	-0.1063721218	0.0450481768	-0.2061691876	0.1021142747	-0.0711766737	-0.0349911096	-0.0469569236	0.0594223296	0.0237937233	0.1126211747	0.0422732763	0.0009475268	-0.064115812	-0.1221021318	0.0150971547	-0.1685130804	0.0508027353	-0.054952311	-0.0538475858	0.0786895487	-0.0944908067	-0.1171059052	0.0296340145	0.095238221	-0.1066828461	0.0697706681	-0.0963447923	0.0435816258	-0.0620884547	0.033382128	0.0538784984	0.052133063	0.0943627071	-0.0992782121	-0.1531598912	0.0518999972	-0.0503382075	-0.2045319512	-0.0273065265	0.142448476	-0.0424193325	0.062825906	0.0691298567	-0.0798395095	0.0026687604	-0.0305757172	0.0993243921	0.0110075965	-0.1134871344	-0.1013338418	-0.0415296777	-0.1022130795	0.0250383251	-0.2087460709	0.1725139846	-0.0315987342	-0.2106140342	0.1419584055	-0.1900370545	0.002082841	0.0047403663	0.1282045865	0.1255324169	0.1211199807	0.1150284477	0.0588509125572045	-0.0343193477819453	0.0011778176321781	0.0034634299088157	-0.0688104462340959	-0.0280987041311676	0.0007895371738508	0.0047348775109354	-0.1576714139476678	0.0633912936896763	0.0040184561156507	0.0248602747762568	0.0040949535955403	-0.0016408884429374	1.6768644949628435e-05	2.6925148821658508e-06	0.0009678647806019	0.0002617226818747	6.849876220773775e-08	9.36762233529564e-07	0.0011530229626706	-0.0008119693232755	1.3294619524456878e-06	6.592941819404738e-07	0.0	0.0
977.7196141673628	-0.7096597257743724	955935.6439275768	0.5036169263861575	1124.0840674433216	1.0120814093227182	1.0243087790966594	1263564.990679922	928.1871197951114	0.048360296447754	0.0023387182725146	861531.3293535444	963.1725337575424	762.4935963016289	1.158848	17.682028	0.1617370914502623	0.0807931036801188	-0.1198740711	0.0198674049	-0.1235656412	-0.0498230883	-0.1138774051	-0.0771816988	0.10279633	0.0311594442	0.008882088	0.0900095313	-0.0927448874	-0.0978297558	-0.0248227343	-0.084573223	0.0163144255	-0.1602344887	0.0703963712	-0.0209889606	-0.0732767502	0.0148505388	0.0144757954	0.0236404346	-0.0733313205	0.010177348	-0.0072867402	0.0841771054	0.0504953989	-0.0164405628	0.1054311486	-0.0589275658	0.0698467976	-0.1128479302	0.0619714987	0.1292548469	-0.1766942825	0.0522682579	-0.0258259078	0.1149084665	0.0637747513	-0.0681699114	0.027302204	0.0839126529	-0.0892441756	0.0824548068	-0.0354351721	0.0677003737	0.0093356308	0.0028775006	-0.0537714833	0.006176571	0.0218381363	0.1672128476	-0.0572685398	-0.158874377	-0.0088317884	0.0717941244	-0.1065981733	0.1075199003	-0.0209467566	-0.0412112606	-0.0021198851	0.0369825914	0.1184534462	-0.0674439022	0.0761640093	-0.0477766658	-0.0586926793	0.009903206	-0.0475362395	-0.2066442927	-0.211515614	0.0482109399	-0.0414344698	0.0041085588	-0.0582806077	0.0224409578	-0.2052728235	-0.0410500858	-0.1283821828	-0.0404964069	-0.0837482861	-0.0979699598	0.0830670529	0.1223238184	-0.0225549616	-0.0218597615	-0.0362823818	0.0301719111	-0.0893040501	-0.0586978727	-0.0601797388	0.0064187901	0.0636883419	0.0891331369	0.1899799662	0.0173876931	-0.0891581033	-0.0244524833	0.0767042986	-0.0242951789	0.0594733123	-0.038685073	0.0430205767	-0.2092218611	-0.0386048965	-0.230706919	0.0253110414	-0.1940591434	-0.0388006051	-0.2157125868	-0.1881509349	-0.0691646477	-0.0935873614	0.1277634447	0.1237830955	0.1172407796	0.1082719048	0.0299009928601634	-0.0289499196970411	0.0008380978504651	0.0008940693740235	-0.0324179417059866	0.0363925045281093	0.0013244143858284	0.0010509229444527	-0.0983111474315308	0.0593602665161369	0.0035236412408668	0.0096650817093041	0.0039008765208905	-0.0001940770746498	1.5216837631234773e-05	3.7665910904624126e-08	0.0013213767168729	0.000353511936271	1.2497068908607157e-07	1.7460364278938042e-06	0.0009599239594119	-0.0001930990032587	9.214540078530188e-07	3.7287225059503446e-08	0.0	0.0
975.0215267857748	-2.698087381588038	950666.9776956632	7.2796755186845985	1117.1682869483684	-6.9157804949531965	47.82801985437508	1248064.981363152	926.925159003579	-1.261960791532374	1.592545039365016	859190.2503938102	962.3987068637992	755.2748216115511	1.062925	16.218401	0.1456212003610517	0.0827317621644244	-0.0178024965	0.0536889538	-0.0873139692	-0.1166784251	-0.1076776323	-0.0892239562	-0.0103267655	-0.0894954166	0.0977172329	0.1410717675	-0.0209843503	-0.0539014944	0.0132816618	-0.030919628	0.011473682	0.0651744277	-0.0141249748	-0.0281149203	-0.0592868169	0.0781966815	-0.0758487269	0.101592595	0.0186849276	-0.0620343845	-0.0358942405	0.0361910974	-0.0583039457	-0.0464609009	-0.1957097657	0.1339712837	0.0765069223	-0.0278095684	-0.1190485485	-0.0693895542	-0.0154136768	-0.0586384186	0.0643026279	0.0224024639	0.0805467802	0.0748174089	-0.0265903601	-0.0735033639	0.0932673584	-0.0223323351	0.1037807874	-0.1094635865	0.1350489806	0.0628902406	0.0128493714	0.0982355014	0.0240143255	0.1091444677	-0.0438351799	0.0369841847	0.1253852355	0.0393020721	0.0022373833	0.035782382	0.0071362709	-0.0542471121	0.1806207614	-0.048785026	-0.0968188881	-0.0494695627	0.0714268928	0.0116315037	0.0066864666	-0.0311654748	-0.0425055296	0.0742955683	0.1123935647	-0.0707228193	0.1129891861	-0.0178130418	-0.0891301724	-0.0180528293	-0.0402697554	0.0930481359	0.0522536425	-0.0827943132	-0.0238154595	0.0057815754	-0.0191850736	0.0296270436	0.0055438649	-0.0189743387	-0.2548521318	-0.0768609483	0.0450036659	0.0350323935	-0.0605522727	-0.0344106153	0.1354800351	0.1324815481	0.0257405468	0.0248126756	-0.0399870357	-0.0224140245	0.0136036312	0.1033486067	-0.1097831573	-0.0081725585	0.0946070191	-0.0692100441	-0.0204281187	-0.150552922	0.0313789861	-0.075447285	0.1080480099	-0.2368531774	-0.1178094002	-0.1625894541	-0.0526930524	0.1272347401	0.1216944932	0.1126387502	0.1003291122	0.0240783853027153	-0.005822607557448	3.3902758768051714e-05	0.000579768638786	-0.0231333490095693	0.0092845926964173	8.620366153836547e-05	0.0005351518363985	-0.0422514517638745	0.0560596956676563	0.0031426894783502	0.001785185176155	0.0030476939877597	-0.0008531825331308	9.288438643026623e-06	7.279204348394886e-07	0.0014341707303824	0.0001127940135094	1.2722489483581266e-08	2.0568456838855867e-06	0.0004368144172616	-0.0005231095421503	1.908068351275912e-07	2.7364359308869654e-07	0.0	0.0
973.891641825943	-1.1298849598317702	948464.9300184308	1.2766400224540408	1114.4139730519262	-2.754313896442227	7.586245040134762	1241918.5033333793	926.9719899226328	0.046830919053832	0.0021931349794265	859277.0701011256	961.8092033979872	748.7056753222759	1.039374	15.859054	0.1295441124117423	0.0783148686931039	0.0680893745	0.0780916452	-0.0751360703	-0.0953570553	-0.0372559163	-0.1034094177	-0.1177066594	0.075853944	-0.032702264	0.1682874914	0.0285162604	0.021228443	-0.0635540918	0.0298408506	0.0416854271	0.0892234426	-0.1362885248	0.0634875598	-0.0022438268	0.0285907829	-0.0474884459	0.1991864507	0.010147505	0.0244686672	-0.0409329042	-0.0202760265	0.1955647768	-0.1001784658	0.0950759969	0.0148176321	0.1207777141	-0.0562089645	-0.1446556691	-0.1848755375	0.1252670129	-0.0091837621	0.0793979889	0.1183445926	0.0344226461	0.1116862336	-0.2357326301	-0.0920607591	-0.0077214189	0.0150217437	-0.0465792851	-0.2102046142	0.054710166	-0.0824916687	0.1596241221	-0.0236233709	-0.0103922703	0.2188546299	0.0454049508	0.0702780512	-0.0135131845	-0.2000627744	0.0108009542	0.0448522958	-0.0770290183	-0.0493164629	0.1412832885	0.0148772008	-0.0722227485	0.005885093	-0.0066008097	-0.0055222373	-0.1805989134	0.0006986305	0.0076338054	-0.0256209416	0.0593809921	-0.2071764892	0.108094088	-0.0723186794	-0.1759214993	-0.0493181101	-0.1764842088	0.1548360902	0.0050475148	-0.1322704068	-0.1196248386	-0.0766436805	-0.2962789053	0.1249974343	0.1398204377	-0.0486975124	-0.0190100929	-0.0875123787	0.0120582102	0.1261733553	-0.1024903653	0.0920137282	0.1394951015	0.1367079035	-0.0595349128	0.036072307	-0.0756951816	-0.0559807018	-0.0039392055	0.1016304704	-0.1288071945	0.0803442947	0.112321205	-0.0340114374	0.0887675849	-0.0292786706	0.037000154	0.0092160412	0.0634708703	-0.1570854135	0.044171756	-0.0497538667	-0.0804469208	0.1266188352	0.1192723348	0.1073422654	0.0912870929	0.0261775042244494	0.002099118921734	4.406300247582128e-06	0.000685261727421	-0.0272842445382792	-0.0041508955287099	1.7229933690263845e-05	0.0007444300000246	0.0167048889357488	0.0589563406996233	0.00347585010869	0.0002790533143557	0.0023319610851708	-0.0007157329025889	5.438042502750976e-06	5.122735878483319e-07	0.0018621775549845	0.0004280068246021	1.831898419059728e-07	3.4677052462880505e-06	0.0005798298353041	0.0001430154180425	3.3620263790877973e-07	2.0453409797871035e-08	0.0	0.0
972.0092242706168	-1.882417555326242	944801.9320671662	3.543495852600426	1113.3543467028387	-1.0596263490874662	1.1228079996804328	1239557.9013221047	926.2364760841222	-0.7355138385106557	0.5409806066406788	857914.0096287326	961.2392869405168	734.486786553493	1.048	15.990674	0.1061112149961561	0.0635989565614959	0.1321537003	0.1039750065	0.0280603945	-0.045222057	-0.0100923031	-0.1479825493	-0.1787506722	0.1706262503	0.0379983687	0.1178598127	-0.0242473305	0.0737126382	0.0008734297	0.0509211577	0.0653256131	0.0543765403	-0.152000973	-0.0098732736	-0.0060591436	0.0858458339	-0.0252563554	0.1911222972	0.046191123	0.0356594584	0.0014428657	0.0656660071	-0.0096130175	0.005335523	0.0940344591	-0.0288590408	-0.1037802868	0.0626152083	0.0168715602	-0.0880170246	0.0934145364	-0.1306039279	-0.1165524719	0.0383612366	0.049186263	-0.0209594804	-0.235809167	0.149411863	-0.0736865856	-0.0905239466	-0.163054966	0.0096992545	0.0320153597	0.037227215	-0.1147131782	0.0850354289	0.011756342	-0.036375637	0.1006125875	0.013364986	-0.0308454414	-0.1979764808	0.0883801953	0.0829654119	-0.1314724906	-0.0603902958	0.0589380577	0.0538123997	0.0012575586	0.0852573913	-0.0117156966	0.0380907026	-0.0527103115	0.0431106554	0.0163850255	0.0634076664	0.0675802108	0.0284413201	-0.0765272264	0.1652247177	-0.0366936361	0.0392674989	0.0343771503	0.1226286022	0.0909931697	-0.0696087108	-0.0263462488	-0.0882436743	-0.1107328651	0.0554167592	-0.0815618229	0.0108308874	0.2415826415	-0.030026688	0.0637187368	0.2030312175	-0.1327040595	0.1742318455	0.0952014386	0.0141158498	-0.039169933	-0.0114964729	-0.0336430763	0.0034957416	0.0067715979	0.0618707801	-0.0794874437	0.0530824044	-0.0277955544	-0.094591472	0.0084326762	0.0238211167	0.1089675858	0.0159422696	-0.0643622601	-0.0649947274	0.1447251501	0.2118532044	-0.079835861	0.1259161521	0.1165232592	0.1013839798	0.0812449131	0.0301367437899386	0.0039592395654892	1.5675577936935113e-05	0.0009082233262604	-0.0389751905232884	-0.0116909459850091	0.0001366782180244	0.0015190654763266	0.0629041917770365	0.0461993028412877	0.002134375583021	0.0039569373431221	0.0016759945971613	-0.0006559664880095	2.8089578897138685e-06	4.302920333915175e-07	0.0020159253913967	0.0001537478364122	2.363839720143268e-08	4.063955183677939e-06	0.0005043096276384	-7.552020766569999e-05	2.543282005287817e-07	5.703301765870452e-09	0.0	0.0
970.6940546222723	-1.3151696483444084	942246.9476790272	1.7296712039263549	1114.8247380092223	1.4703913063835898	2.16205059388844	1242834.1964773312	927.1636904223676	0.9272143382454489	0.8597264290479454	859632.5088376239	962.1671615028932	727.0286147135955	1.089964	16.630978	0.0533957784073158	0.027916095780341	0.1440105533	0.0290168617	0.1376438023	0.0710962769	0.1154704863	-0.1726543389	-0.1567042388	0.045711947	0.0400307073	0.067437699	-0.0040940616	0.1126877721	-0.1180929719	0.1140280315	0.0404318284	-0.0540168632	-0.1911109117	0.0821110662	-0.0816907964	0.0072186491	-0.0197347483	-0.1138054028	0.1230149536	0.0700666244	-0.1185649556	0.0556848792	-0.0488900768	-0.0214924285	-0.0515984938	-0.0260507298	-0.0611066796	0.0461769506	0.0569879915	-0.1225013178	-0.0314267449	-0.0619264792	0.034272907	-0.1057105311	-0.0881951108	-0.0896723291	-0.1722213678	-0.037492584	-0.0111118829	-0.1503827055	-0.112495826	0.120977637	-0.0344604933	0.1209575648	0.0879893069	-0.0416449416	-0.0217609421	-0.0511204033	-0.099223897	-0.0852341393	0.0586850915	-0.1907495039	-0.0248907806	0.0871115403	-0.0593060219	0.093254778	-0.0637001657	-0.0029429697	-0.004378187	0.1215202754	0.0550212689	-0.1073135662	0.0663408764	0.0302032597	0.0640984885	0.1209735834	0.0605105856	-0.0446474293	-0.0513562518	0.0712239645	0.0405951333	-0.0019877015	0.1481687432	0.0705536354	-0.0110081563	-0.0688144347	-0.1010993062	-0.0089437685	0.0715924132	-0.05363136	0.0244383816	0.0322941793	0.0876625676	-0.0642089836	0.0413293757	0.2014710153	-0.1404949457	0.1509450225	-0.0227753503	-0.143425147	0.0455025986	-0.0710487301	-0.0024481492	0.0203512877	-0.0024741445	-0.1066824089	-0.0304486018	-0.0167191576	-0.0226343822	-0.0558985787	0.0613773669	0.0534697639	-0.0339966116	0.0390762109	0.0261774396	-0.0457078596	0.1403617563	0.0656001511	0.084517254	0.1251271724	0.1134548014	0.0948006283	0.0703125971	0.0429839706159498	0.0128472268260112	0.0001650512371189	0.0018476217299128	-0.0250187473110514	0.0139564432122369	0.0001947823071363	0.0006259377170142	0.0779249876377292	0.0150207958606927	0.0002256243082886	0.0060723036983402	0.0016757629962486	-2.316009127000841e-07	2.808181619596085e-06	5.3638982763511995e-14	0.0020166187323078	6.933409110996581e-07	4.807216190045042e-13	4.066751111494718e-06	0.0007348109359821	0.0002305013083437	5.399471116388899e-07	5.313085314815746e-08	0.0	0.0
