global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08
966.4341336004004	n/a	933994.9345879564	n/a	1185.474460657092	n/a	n/a	1405349.6968702234	907.3321335279272	n/a	823251.6005323404	n/a	956.6009152159054	744.1233830784729	n/a	n/a	n/a	n/a	-0.0148513583	0.0517907819	-0.1388710641	0.0257632002	-0.0718877403	0.1392591023	-0.1264783991	0.0378865633	-0.457775708	0.3488422002	-0.0661308316	0.066975604	-0.2952836213	0.1682990578	-0.2295366814	0.2102945067	-0.2293584358	0.1339667852	0.0378006841	-0.0038704541	0.0301888968	-0.0198594181	0.0328220195	-0.0788664348	0.069824099	-0.0093417822	0.038921853	-0.0189085812	0.308992766	-0.0742109127	0.053534785	-0.0372557824	0.0495854636	-0.1352028303	0.1018702433	-0.0227409435	0.0713087933	-0.0072619473	0.1803400277	-0.0430352533	0.0262007721	0.0664106108	-0.0804511585	0.07765147	0.007019972	-0.1324059253	0.2844128324	0.0276998324	-0.0683804583	-0.0458359511	-0.0076892196	-0.0814252725	0.310570903	0.0839488511	-0.0246355819	0.0100346388	0.0363494031	-0.0549264969	0.1049650307	-0.0405024289	0.2278871917	-0.2162890963	0.4921106768	-0.0955544941	0.0028312418	0.0107669571	-0.0722917117	0.1330751065	-0.0823069078	0.0636442903	-0.1164701388	0.2525732009	-0.0822893018	0.1431745073	-0.2803080127	0.1573840564	-0.0140895161	0.0565425055	-0.0606527984	0.0200876202	0.0138692101	-0.0530348877	-0.002079401	0.0195712011	0.0473827451	-0.0071899685	-0.0965938542	0.1100414583	-0.1318828188	0.114030169	0.0391764945	-0.0675987377	0.1724855501	-0.1275771485	0.0053888786	-0.1763826062	0.018528501	-0.0861782105	0.0263032235	-0.0196529385	-0.0374435744	0.0863835076	0.0818065322	-0.0882361138	0.0817772319	-0.0558726957	0.2578445127	-0.0401112819	0.0966604036	0.1290883846	0.1290552057	0.1289999139	0.1289225186	0.0235958453189795	n/a	n/a	0.0005567639163172	-0.0595572481564943	n/a	n/a	0.0035470658079742	0.0069317884490374	n/a	n/a	4.804969110220832e-05	-0.0040480871703045	n/a	1.6387009738383894e-05	n/a	9.369024619543254e-05	n/a	n/a	8.77786223216076e-09	0.0016351954344238	n/a	n/a	2.67386410876044e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
967.5183976807028	1.0842640803024324	936091.8498506348	1.1756285958340795	1164.4064737402875	-21.06798691680456	443.860072726648	1355842.436088291	906.0765424381896	-1.2555910897376634	820974.7007567444	1.576508984628613	953.6683687621596	752.0525081364361	1.425868	25.99806	0.1900678903058535	0.1217444080972984	0.0343862365	-0.0303187366	-0.0575826491	-0.1020469881	-0.0177994165	-0.0321372465	-0.0403028692	0.1245102131	-0.0416098617	-0.1379641703	-0.0132584635	-0.0337617528	-0.0766371274	0.0110517231	0.1567012927	0.2722323717	-0.0597511094	-0.115828323	-0.0287147392	0.0939311509	0.1044003924	-0.0849194988	0.3407752695	0.0425021658	-0.0233649447	-0.0121519283	-0.1069724891	0.1705850869	0.1022509564	0.0225004692	-0.1023974138	0.1220547699	-0.1787115513	0.0639872384	0.0974638532	0.034460683	0.1948424895	0.0808177665	-0.1525517436	0.0044943538	0.0234880383	0.1425446291	0.1546493383	0.0251337619	0.1052216366	0.0277894365	0.1993143486	0.000333653	-0.1199707331	0.0555774027	-0.0082820519	0.0361908661	0.0701246019	0.0442820535	-0.0312910703	0.0885891688	-0.1092263382	-0.1724640293	0.1997739284	0.2366607637	-0.1207861893	0.0096770752	0.0142756131	0.0255135507	-0.1857684248	-0.0633880685	0.0708602965	0.2965347782	0.0669231002	0.2932474164	-0.1618135024	-0.0073282963	-0.0374629617	0.1536144897	-0.0365941177	-0.0326432746	0.1056242266	-0.0092699772	0.0144307083	-0.0265028239	0.0681530083	-0.0490518032	0.0558707057	-0.0707693587	0.1003898766	0.0197506385	-0.036299231	0.0826219105	-0.0466369054	0.0208238415	0.059834012	-0.0729106371	0.0176317392	-0.072578026	-0.0502970008	-0.0430869161	0.193066899	-0.0966776621	0.0493249576	0.0961960133	-0.0373112487	0.1574117656	-0.0728372414	-0.1078317192	0.0246858287	0.1142244133	-0.0177188799	0.0097076668	-0.1012924084	0.1289999139	0.1287014744	0.1282045865	0.1275100165	0.0209224593884442	-0.0026733859305352	7.146992333584084e-06	0.000437749306861	-0.0605102322320618	-0.0009529840755675	9.081786482852436e-07	0.003661488204778	-0.0332935182735667	-0.0402253067226041	0.0016180753009275	0.0011084583590323	-0.0020599547525094	0.0019881324177951	4.243413582386064e-06	3.952670510687791e-06	-0.0007240623453623	-0.0008177525915577	6.687193009993877e-07	5.242662799715546e-07	0.0015167561722337	-0.0001184392621901	1.4027858828135264e-08	2.300549286009025e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
968.4099157888676	0.8915181081647461	937817.7649982016	0.7948045371856479	1170.189892533897	5.783418793609371	33.44793294227408	1369344.3845884933	907.9959533898656	1.9194109516760136	824456.6513723709	3.68413840141382	957.369894492117	772.0150163399397	1.29335	23.581833	0.1268458558133544	0.0591915625569182	0.0207541534	0.0500551544	0.2033796083	0.0163353509	0.0079739579	0.0268424228	0.1449444889	0.1634178098	0.046518942	-0.1873901698	0.0148148809	-0.06930171	-0.138051062	0.120079465	0.0024961005	0.0199485867	-0.0875874788	-0.0160548428	-0.079680589	0.0570204633	-0.0008059724	-0.1343990838	0.1154750304	-0.0756330746	-0.0453464683	-0.0609593985	0.0097900837	0.2399326203	0.0819563562	0.0986257037	-0.1026695621	0.0417539144	0.0320015265	0.0100167379	-0.0972290291	0.0003395909	-0.0698508123	0.1766208205	-0.0011105322	0.0326334701	-0.1664083133	0.0758765711	0.0326669005	-0.0360630283	0.0050579957	-0.0529642505	-0.0080565632	-0.0150562165	0.1373934767	0.0897602232	-0.0150281534	0.048060602	-0.0820463965	-0.0658776881	-0.0511359453	0.041262013	-0.1805244229	-0.0997278811	0.0420365942	0.0841313387	-0.0700137738	-0.0028237002	-0.02065736	-0.1193053068	-0.2427454779	0.0563176251	-0.0216707694	0.1008828836	0.0438745345	-0.0261372118	-0.0303360765	-0.1443169066	-0.0029951977	-0.1995729924	0.0751994417	-0.0851179836	0.0856705798	-0.1360922938	-0.0253333699	0.0134543789	0.0369880212	-0.0478206497	0.0206036858	0.0810238172	-0.1828381419	0.0162627509	-0.0543599924	0.068951665	-0.0120252231	0.0950218241	0.0961816348	0.0197873025	-0.0021235542	-0.1047173021	0.0254378156	0.0561377216	0.0703443699	0.0342283293	-0.0215674375	0.1642209417	-0.1110941404	0.106924937	0.0208651921	0.0198577864	-0.0227526429	0.0270799889	-0.051381872	-0.0019013689	-0.1964179382	0.1288230331	0.1279949812	0.1266188352	0.124700488	0.0421583544329138	0.0212358950444695	0.0004509632383397	0.0017773268484911	-0.0417067579295036	0.0188034743025581	0.0003535706458469	0.0017394536569902	0.00180568614266	0.0350992044162267	0.001231954150652	3.26050244579435e-06	-0.0016899536129977	0.0003700011395116	2.85594321408398e-06	1.3690084323995644e-07	-0.0013872812813409	-0.0006632189359786	4.3985935704058645e-07	1.924549353558849e-06	0.001515830606722	-9.255655116998956e-07	8.566715164482899e-13	2.297742428275187e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
963.970388548856	-4.439527240011557	929238.9099990324	19.70940211480464	1180.4468345089235	10.25694197502662	105.204858679063	1393454.729102138	907.036341927857	-0.9596114620085244	822714.9255778684	0.920854158018138	958.0868657726218	761.3114660076841	1.326374	24.183956	0.0645764548961573	0.0302874373963936	-0.0293246084	0.1790978829	0.0809758908	0.0889709322	0.1157393378	0.0979860357	0.1861403482	-0.0917361885	-0.0415995679	-0.0244903474	-0.0726528968	-0.0384544639	0.0132804882	0.2968668752	0.1501306799	-0.1337106781	-0.0085593154	-0.051955762	-0.1285938962	0.0554597712	0.1456961028	0.0358569648	-0.3095456844	-0.232820054	0.0176803407	0.0192231976	0.2344555979	0.0736596748	-0.0346179259	-0.0873584256	-0.0346455767	-0.0155901131	0.0236694617	-0.1783532185	0.0621777694	-0.0451415877	-0.0393490413	-0.0928575746	0.0627638686	0.1140200994	-0.2145585109	-0.0026121354	-0.0328270448	0.065531001	-0.044563367	0.007497919	0.0339210455	0.0718757391	0.001085469	0.1280585952	-0.00807215	0.0824046097	-0.1002478173	-0.1323382225	-0.1100931897	0.1769851783	0.0617590678	-0.0884095544	-0.0609248222	-0.1313533258	0.2025841781	0.1015342606	0.0202783367	-0.1925121026	-0.0194803405	-0.0048892911	-0.2154560746	-0.0752478735	-0.0815155406	-0.100767949	-0.0698374083	-0.1973920408	0.0326112202	-0.1373846942	-0.0154989725	-0.0451252538	-0.0981909527	-0.1981320095	-0.0065183957	-0.147537315	-0.082002758	-0.0556585338	-0.0729526237	-0.0619783785	-0.1064113853	0.0094707511	-0.0287799709	0.0335739955	-0.0468169851	0.1260474582	0.0960318838	-0.0596206335	0.112791136	-0.1226352686	0.0078901663	0.0365045139	-0.1107648104	-0.0272216203	-0.0131672193	0.0508578131	-0.1691893729	0.0307282493	0.0685530018	0.1209641456	0.0255792468	-0.1807939173	0.179701124	0.0169904009	0.104901415	0.1285578634	0.1269376627	0.1242524367	0.1205247148	0.036186206486704	-0.0059721479462097	3.5666551091417875e-05	0.0013094415398983	-0.0562458417181233	-0.0145390837886196	0.0002113849574125	0.0031635947105801	0.0079766503680929	0.0061709642254329	3.808079947157267e-05	6.362695109479659e-05	-0.0018068625114233	-0.0001169088984255	3.264752135186915e-06	1.3667690531087248e-08	-0.0010590909549532	0.0003281903263877	1.0770889033446505e-07	1.121673650863681e-06	0.0012030446528174	-0.0003127859539045	9.783505296001052e-08	1.4473164366725389e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
964.7746493933904	0.8042608445343831	930790.1241121392	0.6468355060511591	1182.6009313611016	2.1540968521781	4.640133248563598	1398544.962856145	907.4176436782086	0.3813017503515539	823406.7800585123	0.1453910248211587	958.3358801716378	748.1977928197596	1.266306	23.08873	0.0853287525970149	0.0410128488945277	-0.0381111884	0.0661585831	-0.0980961665	-0.0839573267	0.0198125276	0.0629633589	-0.0113280614	-0.1481907665	-0.074917258	-0.0031139726	0.1441658726	0.1360093817	0.0789023269	0.0021813772	-0.0142821765	-0.0394197589	0.077593879	-0.1290192762	0.0555343633	0.04833398	-0.0160109571	-0.0491291814	-0.0174159369	-0.0417773544	-0.0426997361	0.0712591093	-0.1593888706	-0.1461627362	0.1697365679	-0.0790486025	0.0093208911	0.1554715509	-0.0243665019	-0.0152928219	0.0394414922	0.0318192314	-0.0008565025	-0.0426976922	-0.0798895837	-0.054372565	-0.0704496624	-0.2008514366	0.2261311385	-0.0318084265	-0.0053219813	-0.1477281706	-0.0498913994	0.1728990257	-0.0587814018	0.0707752049	0.090745366	0.0545040987	-0.0830581066	-0.008452767	0.0585852213	0.0639624896	-0.0010215648	0.080034758	-0.0486142805	0.0319762958	0.0492103451	-0.0696062741	0.0076649526	0.0835996946	0.1174204284	0.0652532629	0.0096614003	0.1549332891	0.0247729557	0.0589375274	0.1552315884	-0.0139878569	0.0065131231	-0.1132641789	-0.1066311408	-0.1730638801	0.1146028489	-0.1384450191	-0.0436780616	-0.0576714008	-0.0827911974	0.0670192096	0.0271935905	-0.0858850416	0.0890777329	-0.002767243	-0.0501064508	0.0882901646	-0.0283749138	0.0562059532	0.0555244219	-0.0786357028	0.1021265227	-0.0182525137	-0.0336039707	-0.0449253986	-0.0051064547	-0.0485215543	0.0261749822	0.0502807588	0.0014444047	0.1435409813	0.0252581197	-0.0445808189	0.0405014025	-0.045628078	0.1081211058	-0.0248721785	-0.057326949	0.1282045865	0.1255324169	0.1211199807	0.1150284477	0.0319836454896602	-0.0042025609970438	1.76615189338738e-05	0.0010229535788082	-0.0440335941011227	0.0122122476170005	0.0001491389918589	0.0019389574094624	-0.0271766292136277	-0.0351532795817206	0.0012357530653506	0.000738569175415	-0.002179026825127	-0.0003721643137036	4.748157904623053e-06	1.3850627639454594e-07	-0.0009401092997072	0.000118981655246	1.4156634285078006e-08	8.83805495395962e-07	0.0010189773337421	-0.0001840673190753	3.388077795156831e-08	1.0383148066801592e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
967.1103349356148	2.3356855422243825	935302.399939277	5.455426952156008	1176.0086221556733	-6.592309205428364	43.458540659975554	1382996.279384485	907.2599876416762	-0.1576560365324439	823120.6851755744	0.0248554258551193	955.5753358321526	741.9537560615314	1.113724	20.306694	0.0606643367732295	0.0387729873511525	-0.0156474629	-0.0426235024	-0.0902176739	-0.1696237601	-0.0650642755	0.026649239	-0.0561835539	0.0670613063	0.0050007156	-0.0080033553	0.1486725395	0.0635263378	-0.0145373014	-0.1650527593	0.0310243777	-0.0253226932	0.0075191524	0.0784533398	0.1215039887	-0.0029033987	-0.0366060619	-0.0604500919	-0.0684203084	0.1838002746	0.0707837723	-0.0688735703	0.0055092842	-0.1602169933	0.0734968247	-0.1491928417	0.1826286899	-0.1628146234	0.1182731995	0.1035725344	-0.0784444313	0.1737630461	0.0622991169	-0.0603789601	-0.0826888389	-0.0422689704	-0.0767461476	-0.0596928661	-0.075777748	0.0765249603	-0.0893251293	-0.0676873252	0.0598761116	-0.0391501017	0.0561132562	-0.0779129821	0.0293594027	-0.0701365262	-0.0438129422	0.0746644557	0.0897450782	-0.0182285069	-0.0389421098	0.1665544492	0.0760266164	-0.044340385	-0.0268699106	0.0371218789	0.0760269451	0.0506178737	0.0777613976	0.0417139886	0.0484112219	-0.0644039246	-0.1344896482	0.0611070297	0.1307780499	-0.0197768848	0.1580999824	0.0599197116	0.0982436692	0.1662600797	0.0933152254	-0.1579018331	0.1300341019	0.1152895183	-0.1041964906	0.005276683	-0.0552137461	0.0204269068	0.010537676	0.0030049826	-0.0431398864	0.0531035771	-0.065984021	0.0615672125	-0.0013966084	-0.0986461058	-0.0219647255	-0.0596551697	-0.0799053729	-0.0465726177	0.1555343812	-0.0556014038	0.0646400058	-0.0643104961	-0.0449272848	0.0798098073	0.0518626011	-0.0424047972	-0.0698257348	0.1221571485	0.0093367386	-0.058848088	-0.0822572127	0.1277634447	0.1237830955	0.1172407796	0.1082719048	0.0321361036690603	0.0001524581794001	2.3243496465993106e-08	0.0010327291590285	-0.0792547674206503	-0.0352211733195275	0.0012405310500042	0.0062813181589013	-0.0279998493013096	-0.0008232200876818	6.776913127629942e-07	0.000783991560896	-0.0019101270249846	0.0002688998001423	3.648585251576519e-06	7.230710251662256e-08	-0.0007309856734425	0.0002091236262647	4.3732691062097934e-08	5.343400547781852e-07	0.0010303036110674	1.1326277325299963e-05	1.2828455804960414e-10	1.0615255309785242e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
970.1933803923306	3.0830454567158085	941275.1953570975	9.505169288175988	1179.7360631970391	3.727441041365864	13.89381671685864	1391777.1788076484	908.4431309335704	1.1831432918942255	825268.9221403882	1.3998280491543045	957.4102120719482	753.2143779729245	1.08939	19.862999	0.159622871442309	0.0762661655059594	-0.0214891354	-0.027913787	-0.064556256	-0.019047135	-0.1831536674	0.1234006803	-0.0763386156	0.0776771137	0.0093680039	0.0173321277	0.0910681444	0.0208292413	-0.033371415	0.0214186089	-0.0202136077	-0.1267451355	0.0672210746	-0.1263290632	0.0212895036	-0.0375410461	-0.0389117511	-0.0320093038	0.0512683375	0.0390356572	0.1891451665	0.1167498552	0.0373410402	-0.0036436858	0.1344582236	0.0745876017	-0.0127423501	-0.1137650408	-0.0342054754	0.050728874	-0.0100596623	-0.0549313529	0.0366700368	-0.0443337514	0.1021078337	0.0459007663	-0.1300437751	0.0385393679	-0.0826114823	-0.0174418456	-0.0842855124	0.1506906311	-0.0431324344	-0.0176946139	0.0762191152	-0.0051946715	0.0558236055	-0.1700164611	-0.0013386468	0.0497393165	0.0184902587	-0.0528886536	-0.0522710501	0.0275070972	0.1473392497	-0.0356556095	0.1039054292	-0.0407936297	0.0023735312	-0.0037926424	-0.0057805421	-0.0109410385	0.0077497635	0.0281325975	0.0029981231	0.1053713972	0.0777488369	-0.0133030185	0.1253422753	-0.0445617567	0.2350216949	-0.0094237842	-0.0947653141	-0.0156340864	-0.0922890682	0.1348861904	0.0339485057	-0.0390040708	-0.1097327534	-0.0716984586	0.1129957882	-0.0217065909	-0.0240698025	-0.0094242045	-0.1533256403	0.1091350315	-0.0048874109	0.1238440482	-0.0051963429	-0.1140844673	-0.0492047716	-0.1070130647	0.1681943929	0.0450391367	0.1693692602	0.0064825331	0.0654337586	0.0628565062	-0.0128703839	-0.0443821646	0.0432355752	0.0644885792	-0.2076175471	-0.135609742	-0.1349817229	0.1272347401	0.1216944932	0.1126387502	0.1003291122	0.0658848202174482	0.0337487165483878	0.0011389758686634	0.0043408095350854	-0.0589006570782402	0.02035411034241	0.000414289807831	0.0034692874042484	-0.0531373054944452	-0.0251374561931356	0.0006318917038618	0.0028235732352099	-0.0018360270101939	7.410001479070004e-05	3.3709951821615517e-06	5.4908121919819645e-09	2.6841911556108045e-05	0.0007578275849986	5.743026485848225e-07	7.204882159859266e-10	0.0018060277784456	0.0007757241673782	6.017479838546017e-07	3.2617363365171493e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
972.4293843748204	2.2360039824898195	945618.9075955922	4.999713809710333	1180.283710092738	0.5476468956987901	0.2999171223685214	1393069.6363102782	911.3451937560516	2.9020628224811844	830550.0621822552	8.421968625627459	960.051247290486	763.9216826991922	1.363965	24.86937	0.3777804507890309	0.1935101609198779	0.0647872495	0.016184471	-0.0746204625	0.0899489391	-0.046076991	-0.1313328579	-0.0626894242	0.0043226632	0.0799688958	0.0023796603	-0.1387642694	-0.1260175063	0.075570991	-0.0381469043	-0.0607888986	-0.0447563774	-0.0096213645	0.0417790819	-0.122108156	-0.1527195214	-0.0989872477	0.1156310634	-0.0358098537	-0.1020823848	-0.0424860334	-0.0232615999	-0.095257667	-0.0727419209	-0.0728292755	-0.0165082664	0.1599002177	-0.0040470714	-0.1935767844	0.1507077781	-0.0582013305	0.0396168794	0.1498172255	-0.1672539241	-0.0493878324	0.2195872166	0.1018551666	0.0529052974	-0.0060635024	-0.0432026453	-0.0217228199	-0.1379296165	0.008479991	0.2324049543	-0.0444829358	0.0080196997	-0.1289821692	0.0525457052	-0.2038811518	-0.0357442111	-0.0903571735	-0.1764429509	0.065912435	-0.06601545	-0.1267251984	-0.0485485498	-0.0414509529	0.044545494	-0.0898844582	0.1150122569	0.026343546	-0.0851722255	0.0918682497	0.0832599418	-0.0679395448	0.0851519181	-0.0904960112	-0.057021048	0.0180894598	0.1603266986	0.215231481	0.07056871	-0.047117389	-0.0601195559	0.0098160359	-0.2596202984	-0.2074157476	0.1473997158	0.1554234679	-0.0587776629	0.0481217406	0.0533401086	0.085815142	-0.0465341173	0.0626840323	0.0229192019	-0.0553525181	-0.0256244868	0.0501906694	0.0341328952	-0.0073357453	-0.0732365201	0.0494680369	-0.093982269	0.0186333074	-0.1041063301	-0.0282558864	-0.0767851471	0.0096019573	0.0472154633	-0.0383536132	0.1224819348	0.0043818834	0.0399871076	0.1213966159	0.1266188352	0.1192723348	0.1073422654	0.0912870929	0.0435551504481992	-0.0223296697692489	0.0004986141520037	0.0018970511305652	-0.0064930790741328	0.0524075780041074	0.0027465542322566	4.2160075862941264e-05	-0.0868895240367493	-0.033752218542304	0.0011392122565274	0.0075497893873328	0.0010739186928168	0.0029099457030106	1.1533013587813442e-06	8.467783994470435e-06	-0.00171392524552	-0.0017407671570761	3.0302702951548355e-06	2.937539747230792e-06	0.001070920949065	-0.0007351068293806	5.403820506019988e-07	1.14687167914628e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
968.3165928792116	-4.112791495608803	937637.0240452047	16.915053886352098	1181.2891637829766	1.00545369023871	1.0109371232146396	1395444.088471084	909.5254441991524	-1.8197495568991824	827236.5336456655	3.3114884498347714	960.7904018713116	760.7702241796009	1.409708	25.703398	0.3362290157989572	0.1940493547194879	0.0912526033	0.1424730031	0.03706074	-0.064504623	0.1322584032	-0.2652406975	0.0943743851	-0.1230467406	0.0954496485	-0.036636806	-0.1324406565	-0.0791808424	0.0243035093	0.1079768841	-0.1856532434	0.1014836558	0.181861792	0.1879862929	-0.197457302	-0.1004935887	0.0256265928	0.1331261749	-0.0425213473	0.0701297524	-0.1227521876	-0.1755112741	0.0378968739	0.0566492199	-0.1004916579	0.06518933	0.2735034425	0.090944158	0.1421803265	0.0578400944	0.0310326678	-0.1054693973	0.0516664279	-0.0225918242	0.1185540489	-0.0854152228	-0.1169893042	0.0907727545	0.0385092006	0.018400426	0.0011720129	0.1976671062	-0.1141450679	-0.0300831576	-0.0408254664	-0.0532839692	-0.0476892175	0.0482049587	-0.0445102718	-0.1672506053	-0.1284465709	-0.0599873258	0.1204939396	0.0683496749	-0.1143114203	-0.0011828296	-0.2279040149	0.1050971048	0.0559933267	0.0071618036	-0.0017655608	0.0034352359	-0.0422519254	-0.1581777467	-0.1225122712	-0.1155987594	-0.2276697175	0.1073933694	0.0961401514	0.0091014676	0.0885510923	-0.2494839872	-0.1040511703	-0.074337046	-0.0360724523	0.030805078	0.1030149727	0.0016111145	-0.0828166069	-0.0310502599	-0.0211990525	0.1281221256	0.2269285551	-0.1412194601	0.1416810725	0.0334017768	0.0791621131	0.0175958068	-0.1351592421	0.1760176532	-0.1106022191	0.0197990838	0.0284095377	-0.0978802941	-0.100120855	0.0516935598	0.0351320942	-0.0547459345	-0.1318972994	-0.0005621914	-0.0224655269	0.1251290995	-0.0278962666	0.0837563409	0.2963196873	0.1259161521	0.1165232592	0.1013839798	0.0812449131	0.0399453200490285	-0.0036098303991706	1.303087551077688e-05	0.0015956285938193	-0.0283369862414986	-0.0218439071673658	0.0004771562803364	0.0008029847892508	-0.160211223635855	-0.0733216995991057	0.0053760716321014	0.0256676361788979	0.0040838167734804	0.0030098980806636	1.6677559439359865e-05	9.059486455982423e-06	-0.0029938959761135	-0.0012799707305934	1.6383250711760578e-06	8.963413115788606e-06	0.0015301237104742	0.0004592027614092	2.108671760858348e-07	2.3412785693553337e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
971.2721332242128	2.955540345001168	943369.5567779128	8.735218730929624	1191.7843066229336	10.495142839956998	110.14802323110064	1420349.833512707	908.665663144382	-0.8597810547703375	825673.2873776197	0.7392234621419941	960.4740936905558	777.012096730633	1.375754	25.084322	0.1506710848803959	0.0706171725771523	0.0146455506	0.1156919973	0.0638794646	-0.0198752696	-0.051516379	0.0270235228	0.0945177518	-0.0710479953	0.0771518915	0.0858562997	0.1334368254	0.0080061097	0.0865381452	0.0282481407	-0.061988521	0.0025709251	0.1696201003	0.046564271	-0.0878019869	-0.0623284346	0.0548358066	-0.0328499869	0.0261795918	0.1775770463	0.0490538497	0.0428252556	-0.0259863716	-0.1173380073	-0.1066637564	0.1676267238	-0.0499949539	0.0510336568	-0.0339598344	0.041332371	0.0867267011	-0.0350966499	-0.0444702841	0.072409728	-0.0102209518	-0.13017765	0.0656082264	-0.1254030271	0.0666973274	0.071825756	-0.1193912109	0.018377444	-0.0137211166	-0.2194952388	0.1093483988	0.0968063082	0.1926040408	-0.0334810741	0.0430019495	-0.1008289807	-0.0518381591	-0.0225246749	0.0321085895	0.1126776904	0.0766047573	0.0020555289	-0.062480397	-0.0575417255	-0.0388234331	0.0091297627	0.2423385145	-0.0584957978	0.029845128	-0.0856004262	0.2126096336	0.0181450525	0.044725554	0.0969024235	-0.0453780583	-0.1065990187	-0.0490816459	-0.1861425739	-0.0562145037	0.1541749286	-0.139161637	0.047495806	0.2286267581	0.0549943192	0.0107079053	-0.0504280896	0.0487660608	0.0519001293	0.173542079	-0.1664141998	0.0206773697	0.1013034059	0.037821545	0.1673495316	-0.1410829462	0.0341766991	0.0202596764	0.03587512	-0.0353758935	-0.0273609958	0.1233498544	-0.0860823771	0.2044151261	0.002918196	-0.0189925285	-0.0582293173	0.0165745202	-0.0606168746	-0.2287160665	0.0226063372	0.0219781492	0.1251271724	0.1134548014	0.0948006283	0.0703125971	0.0669915579147897	0.0270462378657611	0.0007314989826913	0.0044878688318506	-0.0555984961125091	-0.0272615098710105	0.0007431899204472	0.0030911927699726	-0.1387485710714457	0.0214626525644092	0.0004606454551005	0.019251165974368	0.003396679845564	-0.0006871369279164	1.153743397326068e-05	4.72157157706388e-07	-0.0021879196590746	0.0008059763170388	6.495978236275892e-07	4.786992434565114e-06	0.0015252232638452	-4.900446629000016e-06	2.4014377163677623e-11	2.326306004574605e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
