global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50	motion_outlier51	motion_outlier52	motion_outlier53	motion_outlier54	motion_outlier55	motion_outlier56	motion_outlier57	motion_outlier58	motion_outlier59	motion_outlier60	motion_outlier61	motion_outlier62	motion_outlier63	motion_outlier64	motion_outlier65	motion_outlier66	motion_outlier67	motion_outlier68	motion_outlier69	motion_outlier70	motion_outlier71	motion_outlier72	motion_outlier73	motion_outlier74	motion_outlier75	motion_outlier76	motion_outlier77	motion_outlier78	motion_outlier79	motion_outlier80	motion_outlier81	motion_outlier82	motion_outlier83	motion_outlier84	motion_outlier85	motion_outlier86	motion_outlier87	motion_outlier88	motion_outlier89	motion_outlier90
1887.564279039913	n/a	n/a	3562898.907507466	2202.497252598705	n/a	4850994.147704843	n/a	2010.1392329701207	n/a	n/a	4040659.735925705	2066.078736834198	1718.0240525601912	n/a	n/a	n/a	n/a	-0.0079398662	0.0352598561	-0.0783122662	0.0201723157	0.0089221445	0.0614555824	-0.01396364	0.0948093924	0.0492286199	-0.0201758114	-0.0111241552	0.0009690332	-0.0045994108	-0.0416196246	-0.0382089778	-0.0063338214	-0.0240688198	0.0156180959	0.0001176754	0.0119121503	-0.0609283509	0.0577665632	-0.0599872371	-0.0067035134	0.0171746772	-0.0282324802	-0.0177031332	-0.0222976482	0.035319146	-0.049296333	0.0533287888	-0.0261180483	0.0060794332	-0.0744322228	0.0580980089	-0.0138279854	0.0517149832	-0.0191651115	0.0141464993	-0.0518775898	0.0119183449	-0.0228986199	0.0210452224	-0.0694279103	0.0019308154	0.0087180699	-0.0214948577	0.0502605201	-0.0372753039	0.0139870928	0.0816485389	0.0816451812	0.0816395852	0.081631751	0.0816216788	0.0816093689	0.0815948217	0.0815780375	0.0394281906182953	n/a	0.0015545822154326	n/a	-0.0330671451473563	n/a	n/a	0.0010934360881963	0.1082913255895832	n/a	n/a	0.0117270111979491	-0.0037982563668898	n/a	1.4426751428618903e-05	n/a	-0.0029370498414147	n/a	8.626261770954114e-06	n/a	-0.0028810953407928	n/a	8.300710362737981e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1883.454168680196	-4.110110359716828	16.89300716905159	3547399.6055188086	2196.1695826997693	-6.32766989893571	4823160.835975679	40.03940634989706	1999.987494003564	-10.15173896655665	103.05780404510467	3999949.976170656	2048.2653935853286	1680.5142653945427	1.142869	53.645157	0.5354795137041245	0.3234607133544123	-0.017594205	0.0074391838	0.0390980558	-0.0036925122	-0.0107326329	-0.0482989753	0.0519878426	-0.0959708994	-0.0032150935	0.0360981398	0.003273315	0.0019471117	-0.0204980346	-0.0251036448	0.0054191856	0.008904218	0.0202311571	-0.0063897665	-0.0070251774	0.013951337	-0.0236197584	-0.0414974487	0.0499717197	-0.0564951406	0.0462869207	-0.0240649582	-0.0193321172	-0.0426850038	-0.0546929584	0.0235582201	0.0239689471	-0.0238823715	-0.0184132768	-0.0024518492	0.0165177856	0.0378102049	-0.0009956207	0.0249438104	0.0138654369	-0.0148141879	0.0452182458	0.0275691292	-0.0130669449	0.0328414992	-0.0044444353	0.0400055441	0.0010042062	-0.0617331296	-0.0694607132	-0.0024730728	0.0816395852	0.0816093689	0.0815590168	0.0814885411	0.0813979594	0.081287294	0.0811565722	0.0810058262	0.0254752148163674	-0.0139529758019278	0.00064898656994	0.0001946855337291	-0.0133190637015587	0.0197480814457976	0.0003899867207898	0.0001773974578861	0.0395773976032742	-0.0687139279863089	0.0047216038993076	0.0015663704010476	0.0018926883934772	0.005690944760367	3.5822693548033044e-06	3.238685226554861e-05	-0.0020612491381417	0.0008758007032729	4.2487480094899015e-06	7.670268718534808e-07	-0.000786550235031	0.0020945451057618	6.186612722273213e-07	4.38711920007071e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1885.712368547424	2.2581998672278587	5.099466640347918	3555911.1368927355	2195.2863757242294	-0.8832069755399061	4819282.271440422	0.7800545616423483	1994.2466548451207	-5.74083915844335	32.95723424311655	3977019.720360954	2048.9461713165406	1670.400809686311	1.020703	47.910809	0.7115497833800972	0.4485049210039175	-0.0290781946	0.0314973281	0.0033789075	0.0015546163	-0.0009460658	0.0233522539	0.0589228071	0.0597206677	0.0516233628	-0.0237354388	0.0100848607	0.0001592577	0.001377044	0.0135623076	-0.0192814539	0.0025885948	-0.0060896455	-0.0020002527	0.0002806241	0.0003784115	-0.0083837193	0.0248094801	-0.0254014926	-0.0293583768	-0.0022642667	-0.0677833671	-0.0250198561	-0.0444944838	-0.0921815334	0.0181519544	-0.0067950576	-0.0236048861	-0.0101649423	0.0030205121	0.0359684937	0.0499416898	0.012236341	0.0318732441	0.0072137663	-0.0059027633	0.0543871399	0.0373871865	-0.0716375627	0.0513086487	0.0481399605	-0.0184811113	0.0649295788	-0.0214396091	0.0911596517	-0.0900200921	0.0816216788	0.0815377601	0.0813979594	0.0812023727	0.0809511339	0.0806444153	0.080282427	0.0798654172	0.1099219567510516	0.0844467419346842	0.01208283657598	0.0071312522233831	-0.0325096452121442	-0.0191905815105855	0.0003682784187144	0.0010568770318194	0.0611525299834667	0.0215751323801925	0.0004654863372228	0.0037396319233787	0.0017810278324488	-0.0001116605610284	3.1720601399572705e-06	1.2468080889177072e-08	0.0025860333484335	0.0046472824865752	6.687568479210181e-06	2.1597234510028577e-05	0.0061812532684581	0.0069678035034891	3.820789196882394e-05	4.855028566323498e-05	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1888.6124544803408	2.900085932916909	8.410498418302538	3566857.0032182573	2206.560018859453	11.273643135223663	4868907.11682903	127.09502954037566	2001.8448473478616	7.598192502740858	57.732529308707385	4007382.792853183	2054.9810073173	1693.4859370510428	1.062951	49.893879	0.6718786680476199	0.3796072418046894	-0.0034529829	-0.012684688	0.0808872354	-0.004894087	-0.034693786	-0.0511740985	0.0991001123	0.0568428879	0.0134411341	0.0327559185	-0.0034622883	-0.0015695247	0.0116605693	-0.0188136604	0.0208676919	0.0070583498	0.0084064607	0.0093596417	-0.0012815205	-0.0151466414	-0.0298259393	0.0412437602	0.0239760018	-0.0367488332	0.0031193568	-0.0402474717	-0.0083143112	-0.015009993	-0.062717939	0.059180336	-0.0100212859	-0.0354493644	0.001916171	0.0236705187	0.007256036	0.0417117321	0.0370387166	0.0357939981	0.0212646188	-0.0121549237	0.0508369932	0.0144973989	-0.0218982075	0.0212849469	0.0105026328	0.0193704505	0.0042698331	0.0362897667	0.0557003444	0.0286567446	0.0815948217	0.0814303861	0.0811565722	0.0807737477	0.080282427	0.0796832699	0.0789770813	0.0781648097	0.01698636959253	-0.0929355871585216	0.000288536751934	0.0086370233604991	0.0113958003179845	0.0439054455301287	0.001927688147199	0.0001298642648873	-0.0801715527685829	-0.1413240827520496	0.0199724963657081	0.0064274778733256	0.0025978456515374	0.0008168178190886	6.748802029211779e-06	6.671913495806572e-07	0.0014977780128266	-0.0010882553356069	2.243338975706799e-06	1.1842996754768868e-06	0.0002120553710152	-0.0059691978974428	4.4967480376394134e-08	3.563132353883673e-05	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1887.1522339948613	-1.4602204854795673	2.1322438662141834	3561343.554271796	2205.5365244206164	-1.0234944388366785	4864391.360553373	1.0475408663296073	1992.3214903714363	-9.523356976425248	90.69432810042744	3969344.920995861	2049.1697624916974	1695.1096225614615	0.707781	33.22253	0.149180788178186	0.065199105759746	-0.0122533766	-0.010163431	0.0655056171	0.0032518327	-0.0229156426	-0.0502153745	0.0755711163	-0.0262632819	0.0213583756	-0.0494472146	0.0104757826	-0.0083488497	-0.0254398933	0.0099611811	0.0307537067	-0.0024481775	-0.0045205442	-0.0066126323	-0.0001526327	0.0100419539	-0.0132776165	-0.0012794319	0.071366827	-0.0612124422	-0.0031950554	-0.0275255631	-0.0100520312	-0.0224350931	-0.0688640055	0.0565966673	-0.0154098328	-0.0211635086	-0.0097544284	0.0119156088	-0.001514796	0.0287024126	0.0192588733	0.0354587122	0.0132278335	-0.0183667216	0.058549301	0.021901442	-0.0304204669	0.0299330671	0.0221734196	-0.0209405137	0.0383084793	-0.0036365339	0.0245414238	-0.0088595679	0.0815590168	0.081287294	0.0808350932	0.0802034182	0.0793936715	0.0784076511	0.0772475461	0.0759159322	-0.0054968359652036	-0.0224832055577335	3.0215205628355788e-05	0.0005054945321513	0.0366256756214227	0.0252298753034382	0.000636546607827	0.0013414401147256	-0.0518171764069137	0.0283543763616692	0.0008039706588591	0.0026850197707852	0.0034629302447429	0.0008650845932054	1.199188587995512e-05	7.483713534015251e-07	0.0009467899273023	-0.0005509880855243	8.964111664410946e-07	3.035878703897333e-07	0.0001658614306381	-4.619394037710001e-05	2.7510014173317252e-08	2.13388012756307e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1884.7147780106309	-2.4374559842303825	5.941191675060503	3552149.7944516614	2200.167160955852	-5.369363464764319	4840735.536148534	28.830064016745897	1995.1010532312223	2.779562859785983	7.725969691501633	3980428.2126043327	2045.5610300905792	1671.913404345236	0.630781	29.608229	0.0823011003208286	0.0421165113154258	-0.0107968926	-0.0188255337	0.0822844791	0.0062249102	-0.0130882059	-0.0301842458	0.0871280699	0.0376907247	-0.0021202099	-0.0156585367	0.0021056928	-0.0004664488	0.0028617578	0.0032798616	0.0467048942	-0.0019736462	0.027995562	0.0002894391	-0.0051647448	0.0008089789	-0.0086731811	0.0174152886	0.0555209279	-0.0302221601	0.0117456335	-0.0183586147	-0.0073900999	-0.0192435558	-0.0638221492	0.047073993	-0.0047400784	-0.0274831183	-0.0018915156	0.0329230087	-0.0085164639	0.0368083028	0.0294195532	0.020722496	0.0026762036	-0.0068629762	0.0309537961	0.0135252188	-0.0204207625	0.0165096709	0.0233594649	-0.0006325746	0.0408583835	0.0273168523	0.0485893888	0.0425535027	0.081514268	0.0811085467	0.0804338397	0.0794923845	0.0782873035	0.0768225931	0.0751031108	0.073134559	-0.0091881976115075	-0.0036913616463039	8.442297534811212e-05	1.3626150803803438e-05	0.0424050299738212	0.0057793543523985	3.3400936730587485e-05	0.0017981865670806	-0.0222140823623675	0.0296030940445461	0.0008763431770102	0.000493465455202	0.0032041926779254	-0.0002587375668174	1.0266850717270749e-05	6.694512848264019e-08	0.0011858574827503	0.000239067555448	1.4062579693948782e-06	5.715329606788257e-08	0.0005326021139242	0.0003667406832861	2.8366501175652653e-07	1.3449872877715552e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1886.485444342948	1.7706663323172052	3.135259260401664	3558827.33171781	2175.0852222826657	-25.08193867318641	4730995.724192433	629.1036476054843	1992.2648381818808	-2.83621504934149	8.04411580611115	3969119.185455876	2039.8800745666751	1689.254050227716	0.677551	31.803598	0.1576548557082438	0.0749856639708879	-0.0108865216	0.0003439849	0.0173738759	-0.0124000575	-0.0024384382	-0.0373963509	0.0286450985	-0.061375914	0.0124722025	0.0507126118	0.0121885562	-0.0061716862	-0.0057371631	-0.0072627445	0.0167212465	0.0047013023	0.0486550328	-0.0091768093	0.0089488367	0.0015622713	-0.0080023571	-0.0240310169	0.0331737492	-0.0130061835	0.0445845748	0.0164725789	-0.0088573558	-0.0189177421	-0.0384162186	0.0252581227	-0.0086733528	0.0029353652	-0.0138276157	-0.0026871539	0.0020451593	0.0170399185	0.0156400036	0.0232527694	0.0152915328	-0.0102697199	0.0386138145	0.0153880355	-0.0152931384	0.0238593809	0.0068177333	-0.0035988847	0.0111329218	-0.0247270769	0.0026081201	-0.0089331414	0.0814605803	0.0808942224	0.0799532077	0.0786418943	0.0769663555	0.0749343514	0.0725552932	0.0698401994	0.0054158330284366	0.0146040306399441	2.933124739190476e-05	0.0002132777109324	0.0223284376995707	-0.0200765922742505	0.0004030695573464	0.0004985591301036	-0.008803646571927	0.0134104357904405	0.0001798397880895	7.750419296340203e-05	0.0020289857408854	-0.00117520693704	4.116783136716276e-06	1.3811113448669387e-06	0.0006520520867647	-0.0005338053959856	4.251719238541999e-07	2.849482007833433e-07	5.0338506877625625e-05	-0.0004822636070465	2.533965274668762e-09	2.325781866815727e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1885.7252018003232	-0.7602425426248374	0.5779687236166776	3555959.53670487	2164.321081583932	-10.764140698733629	4684285.744188641	115.86672498213365	1991.8771437260143	-0.3876944558664945	0.1503069911096173	3967574.555698105	2039.2707975441629	1718.2205286225144	0.935848	43.927773	0.5385173480112859	0.3823793980079694	-0.0049209419	0.0504261806	-0.1144950986	-0.0054981512	0.0369259353	0.0386264712	-0.0635874502	-0.0061196352	0.0368127852	-0.020707213	0.0067993867	-0.0119358934	0.0156355158	-0.0042414041	-0.0301901287	-0.0052700386	-0.0159978314	-0.0078610154	0.0165907459	0.0046132653	-0.0115587147	0.0194626549	-0.0373327768	-0.0236358133	-0.0028994944	-0.0090977277	-0.010398034	-0.0203894394	0.0320994582	-0.0551987163	0.0127187823	0.0054009453	-0.0064047752	-0.0951109199	0.0535012652	-0.0323749543	0.0059134329	0.0157056723	0.0348274188	-0.0262076593	0.0233250968	0.0047729876	-0.0041195666	-0.0346000261	0.0179584471	-0.0255630816	-0.0258557695	0.0410687802	0.0312323958	-0.032012081	0.0813979594	0.0806444153	0.0793936715	0.0776534394	0.0754344479	0.0727503781	0.0696177779	0.066055961	-0.005423115393853	-0.0108389484222896	2.9410180575045376e-05	0.000117482802901	-0.0374271366069933	-0.059755574306564	0.0035707286607072	0.0014007905545985	0.085246730301904	0.094050376873831	0.0088454733901096	0.0072670050271655	-0.0049018607515531	-0.0069308464924385	2.4028238827616725e-05	4.8036633101747065e-05	0.0006467065606348	-5.345526129899979e-06	4.1822937556809226e-07	2.8574649605443453e-11	-0.000490918442726	-0.0005412569496036	2.410009174085209e-07	2.929590854942217e-07	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1876.873572960276	-8.85162884004717	78.3513331219548	3522654.408876673	2163.1159577849726	-1.2051237989594483	4679070.646824	1.4523233708184529	1994.120275664748	2.243131938733768	5.031640894567513	3976515.673817251	2039.7547812519767	1692.4912291967123	0.710946	33.371101	0.1450649576945567	0.0761523266472076	-0.009287082	0.0421782335	-0.0853064394	-0.0164647048	0.0192957792	0.0168208529	-0.0325625042	0.0469024192	-0.0057914456	0.0586269889	0.0069633314	-0.0090791012	-0.0179792428	-0.0180491097	-0.0430293604	0.0143792656	0.0010557526	-0.0040580572	0.0131586764	0.0133283484	-0.012611271	-0.0004914098	-0.0383950819	0.0320688711	0.0416991302	0.0354374583	-0.0109147922	-0.010908048	0.0246672413	-0.0554399488	0.0268706329	9.96706e-05	0.0177422677	-0.0780659504	0.037676784	-0.0286551231	0.0310173058	-0.0096985783	0.0248605137	-0.017111359	0.011146593	0.0086694524	-0.0084968926	-0.0198193078	0.0072956025	0.000782705	-0.0386223824	0.0005431842	0.0020700581	-0.0038976658	0.0813264124	0.0803592349	0.0787557834	0.076528754	0.0736957799	0.0702792922	0.0663063423	0.0618083875	-0.0106567152304393	-0.0052335998365863	0.0001135655795026	2.739056724951615e-05	-0.0272327259674227	0.0101944106395706	0.0001039260082881	0.0007416213636167	0.0646670276713692	-0.0205797026305347	0.0004235241603612	0.0041818244678496	-0.0039741008468499	0.0009277599047032	1.579347754093309e-05	8.607384407748919e-07	-0.0001947071151098	-0.0008414136757446	3.7910860674380914e-08	7.079769737300388e-07	-0.0009028897540355	-0.0004119713113095	8.152099079422857e-07	1.6972036134206896e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1880.4180097766432	3.5444368163671243	12.563032345218716	3535971.891492352	2180.099069480128	16.983111695155458	4752831.95274812	288.4260828501261	1993.152291067023	-0.9679845977250352	0.9369941814328984	3972656.055385723	2039.897716815655	1705.869093343996	0.702035	32.952831	0.1681349067845579	0.0981827984601174	-0.0022073366	0.0291924231	-0.0562790136	0.001215653	-0.0003706368	0.0172685565	-0.0242353328	-0.0632429627	0.0193895387	-0.0441067745	0.0062090115	-0.0142376082	-0.0054727005	-0.0024156139	-0.0102754857	-0.0384680799	0.0043067011	-0.0075797399	0.0087870627	0.0015665001	0.0164518966	-0.056483188	0.0142237654	-0.0307384691	0.0090327164	-0.0159098272	-0.0063869585	-0.0090063731	0.0102013642	-0.0207442512	0.0114856155	-0.0051179108	-0.0067817724	-0.051535637	0.0259779421	-0.0036453843	0.014366621	0.0181698617	0.015918845	-0.016403564	0.0075712953	0.0002460422	-0.0040827932	-0.0086077799	0.002054528	-0.0099768599	-0.0128267657	0.0028431114	0.0180173093	-0.0414733817	0.0812459471	0.0800388062	0.0780401729	0.0752698111	0.0717551168	0.0675308461	0.0626387723	0.0571272725	-0.0038812968042378	0.0067754184262015	1.5064464882586558e-05	4.5906294850110816e-05	-0.035750095427474	-0.0085173694600513	7.254558251901462e-05	0.0012780693230734	0.014922796157144	-0.0497442315142252	0.0024744885689408	0.0002226898451476	-0.0025200484217616	0.0014540524250882	6.350644048023131e-06	2.114268454905165e-06	-0.0002580482977161	-6.334118260630002e-05	6.658892395417699e-08	4.0121054139646446e-09	-0.0003583256140485	0.000544564139987	1.2839724568323456e-07	2.96550102559781e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
